"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key AI/ML Methods and Approaches","Data Modalities and Sources","Challenges and Limitations"
"Diabetes and artificial intelligence beyond the closed loop: a review of the landscape, promise and challenges.","https://scispace.com/paper/diabetes-and-artificial-intelligence-beyond-the-closed-loop-1yju2pdvuu","2023","","Diabetologia","Scott C. Mackenzie
Chris A R Sainsbury
Deborah J Wake","10.1007/s00125-023-06038-8","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a broad AI/ML survey to map techniques across wearables, CGM, imaging, and genetics; discusses fusion, generalization, bias, deployment, and democratization, but offers limited formal taxonomy and few concrete benchmark references.","Abstract The discourse amongst diabetes specialists and academics regarding technology and artificial intelligence (AI) typically centres around the 10% of people with diabetes who have type 1 diabetes, focusing on glucose sensors, insulin pumps and, increasingly, closed-loop systems. This focus is reflected in conference topics, strategy documents, technology appraisals and funding streams. What is often overlooked is the wider application of data and AI, as demonstrated through published literature and emerging marketplace products, that offers promising avenues for enhanced clinical care, health-service efficiency and cost-effectiveness. This review provides an overview of AI techniques and explores the use and potential of AI and data-driven systems in a broad context, covering all diabetes types, encompassing: (1) patient education and self-management; (2) clinical decision support systems and predictive analytics, including diagnostic support, treatment and screening advice, complications prediction; and (3) the use of multimodal data, such as imaging or genetic data. The review provides a perspective on how data- and AI-driven systems could transform diabetes care in the coming years and how they could be integrated into daily clinical practice. We discuss evidence for benefits and potential harms, and consider existing barriers to scalable adoption, including challenges related to data availability and exchange, health inequality, clinician hesitancy and regulation. Stakeholders, including clinicians, academics, commissioners, policymakers and those with lived experience, must proactively collaborate to realise the potential benefits that AI-supported diabetes care could bring, whilst mitigating risk and navigating the challenges along the way. Graphical Abstract ","This review provides an overview of AI techniques and explores the use and potential of AI and data-driven systems. It covers patient education and self-management, clinical decision support systems, predictive analytics (including diagnostic support, treatment, screening, and complications prediction), and the use of multimodal data like imaging or genetic data. The paper discusses how data- and AI-driven systems could transform diabetes care.","The review covers AI and data-driven systems, encompassing patient education and self-management, clinical decision support, and predictive analytics. It specifically discusses the use of multimodal data, such as imaging or genetic data. The paper also mentions glucose sensors.","The paper discusses existing barriers to scalable adoption, including challenges related to data availability and exchange, health inequality, clinician hesitancy, and regulation. It also highlights the need for stakeholders to proactively collaborate to mitigate risks and navigate challenges to realize the potential benefits of AI-supported diabetes care."
"Machine learning in precision diabetes care and cardiovascular risk prediction","https://scispace.com/paper/machine-learning-in-precision-diabetes-care-and-1d2wex6ls2","2023","","Cardiovascular Diabetology","Evangelos K Oikonomou
Rohan Khera","10.1186/s12933-023-01985-3","","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Offers a thorough review of AI/ML for diabetes, covering risk prediction, bias, deployment, and precision medicine; mentions wearables, CGM, retinal imaging, and fusion but without deep technical detail; discusses generalization, robustness, and transfer learning; touches on fairness, interpretability, and low‑resource deployment; includes a high‑level taxonomy and cites public datasets, though not as primary focus.","Abstract Artificial intelligence and machine learning are driving a paradigm shift in medicine, promising data-driven, personalized solutions for managing diabetes and the excess cardiovascular risk it poses. In this comprehensive review of machine learning applications in the care of patients with diabetes at increased cardiovascular risk, we offer a broad overview of various data-driven methods and how they may be leveraged in developing predictive models for personalized care. We review existing as well as expected artificial intelligence solutions in the context of diagnosis, prognostication, phenotyping, and treatment of diabetes and its cardiovascular complications. In addition to discussing the key properties of such models that enable their successful application in complex risk prediction, we define challenges that arise from their misuse and the role of methodological standards in overcoming these limitations. We also identify key issues in equity and bias mitigation in healthcare and discuss how the current regulatory framework should ensure the efficacy and safety of medical artificial intelligence products in transforming cardiovascular care and outcomes in diabetes. ","This review offers a broad overview of various data-driven methods for developing predictive models in precision diabetes care and cardiovascular risk prediction. It discusses existing and expected artificial intelligence solutions for diagnosis, prognostication, phenotyping, and treatment of diabetes and its cardiovascular complications, focusing on properties enabling successful application in complex risk prediction.","The review discusses various data-driven methods for developing predictive models. It broadly covers machine learning applications for personalized care in diabetes and cardiovascular risk, including diagnosis, prognostication, phenotyping, and treatment. Specific data modalities or sources like wearable sensors, physiological signals, imaging, EHR, or genomic data are not explicitly detailed in the abstract. Multimodal fusion is not discussed.","The paper discusses challenges arising from the misuse of machine learning models and the role of methodological standards in overcoming these limitations. It identifies key issues in equity and bias mitigation in healthcare. Additionally, it addresses how the current regulatory framework should ensure the efficacy and safety of medical artificial intelligence products."
"Machine Learning And Artificial Intelligence in Diabetes Prediction And Management: A Comprehensive Review of Models","https://scispace.com/paper/machine-learning-and-artificial-intelligence-in-diabetes-756pe7ncze4b","2024","Journal Article","","Md Ashraful Alam
Amir Sohel
Kh Maksudul Hasan
Mohammad Ariful Islam","10.70937/jnes.v1i01.41","","- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses extensive literature synthesis to map AI/ML methods across wearables, CGM, imaging, and fusion; highlights challenges, explainability, and deployment, but lacks concrete dataset listings and low‑resource focus.","Diabetes mellitus is a chronic metabolic disorder with significant global prevalence and associated healthcare burdens, necessitating early detection and effective management strategies. The integration of Machine Learning (ML) and Artificial Intelligence (AI) has revolutionized diabetes care, offering innovative approaches to prediction, monitoring, and personalized management. This study conducted a systematic review of 82 high-quality peer-reviewed articles, following the PRISMA guidelines, to provide a comprehensive evaluation of ML and AI applications in diabetes prediction and management. The review highlights the widespread adoption of supervised learning models, such as Random Forest and Support Vector Machines (SVM), which consistently demonstrate high accuracy and reliability in predicting diabetes risk. Ensemble learning methods, particularly Gradient Boosting, emerged as superior techniques for predictive performance, while deep learning models, including Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs), proved effective in analyzing unstructured data such as medical images and time-series glucose data. The integration of AI into wearable devices and mobile health applications has further enhanced real-time monitoring and glycemic control, bridging the gap between technological advancements and practical healthcare solutions. Despite these advancements, challenges such as data imbalance, limited external validation, and the need for explainable AI frameworks persist, underscoring the necessity for methodological rigor and standardization. This review provides critical insights into the current state, limitations, and opportunities of ML and AI in diabetes care, emphasizing their transformative potential in addressing this global health challenge. ","The paper highlights supervised learning models like Random Forest and Support Vector Machines (SVM). Ensemble learning methods, especially Gradient Boosting, are noted for superior predictive performance. Deep learning models, including Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs), are effective for unstructured data analysis. AI integration into wearable devices and mobile health applications is also discussed.","The paper discusses unstructured data such as medical images and time-series glucose data. It also highlights the integration of AI into wearable devices and mobile health applications, enhancing real-time monitoring and glycemic control. Multimodal fusion is not explicitly discussed in the provided metadata.","Challenges highlighted include data imbalance, limited external validation, and the persistent need for explainable AI frameworks. These issues underscore the necessity for methodological rigor and standardization in the field."
"Deep Learning for Diabetes: A Systematic Review","https://scispace.com/paper/deep-learning-for-diabetes-a-systematic-review-16h9xgmevt","2021","Journal Article","Biomedical and Health Informatics","Taiyu Zhu
Kezhi Li
Pau Herrero
Pantelis Georgiou","10.1109/JBHI.2020.3040225","","- **Relevance Score:** 71/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review to synthesize deep‑learning applications across diabetes, especially CGM and diagnosis, but only briefly touches wearables, retinal imaging, fusion methods, and broader deployment or fairness issues.","Diabetes is a chronic metabolic disorder that affects an estimated 463 million people worldwide. Aiming to improve the treatment of people with diabetes, digital health has been widely adopted in recent years and generated a huge amount of data that could be used for further management of this chronic disease. Taking advantage of this, approaches that use artificial intelligence and specifically deep learning, an emerging type of machine learning, have been widely adopted with promising results. In this paper, we present a comprehensive review of the applications of deep learning within the field of diabetes. We conducted a systematic literature search and identified three main areas that use this approach: diagnosis of diabetes, glucose management, and diagnosis of diabetes-related complications. The search resulted in the selection of 40 original research articles, of which we have summarized the key information about the employed learning models, development process, main outcomes, and baseline methods for performance evaluation. Among the analyzed literature, it is to be noted that various deep learning techniques and frameworks have achieved state-of-the-art performance in many diabetes-related tasks by outperforming conventional machine learning approaches. Meanwhile, we identify some limitations in the current literature, such as a lack of data availability and model interpretability. The rapid developments in deep learning and the increase in available data offer the possibility to meet these challenges in the near future and allow the widespread deployment of this technology in clinical settings.","The paper reviews applications of deep learning, an emerging type of machine learning. It notes that various deep learning techniques and frameworks have achieved state-of-the-art performance in diabetes-related tasks, outperforming conventional machine learning approaches. Specific model architectures or learning paradigms are not detailed beyond ""deep learning techniques.""","The paper mentions that digital health has generated a ""huge amount of data"" for diabetes management. It does not specify particular data modalities such as wearable sensors, physiological signals, imaging, electronic health records, clinical data, or genomic data. Multimodal fusion is not discussed.","The paper identifies limitations in the current literature, specifically a lack of data availability and model interpretability. While deep learning shows promising results, these issues pose challenges for widespread deployment in clinical settings. The rapid developments in deep learning and increasing data availability are expected to address these challenges in the near future."
"Artificial intelligence and machine learning for improving glycemic control in diabetes: best practices, pitfalls, and opportunities","https://scispace.com/paper/artificial-intelligence-and-machine-learning-for-improving-52no2s7yey","2023","Journal Article","IEEE Reviews in Biomedical Engineering","Peter G. Jacobs
Pau Herrero
Andrea Facchinetti
Josep Vehı́
Boris Kovatchev
Marc D. Breton
Ali Çιnar
Konstantina S. Nikita
Francis J. Doyle
Jorge Bondía
Tadej Battelino
Jessica R. Castle
Konstantia Zarkogianni
Rahul Narayan
Clara Mosquera-Lopez","10.1109/rbme.2023.3331297","https://ieeexplore.ieee.org/iel7/4664312/10398544/10313965.pdf","- **Relevance Score:** 68/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Offers a thorough ML review focused on glycemic control, CGM, and open tools; touches wearables and fusion, but lacks retinal imaging. Strong on generalization, fairness, deployment, democratization, taxonomy, and dataset resources.","<italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">Objective:</i> Artificial intelligence and machine learning are transforming many fields including medicine. In diabetes, robust biosensing technologies and automated insulin delivery therapies have created a substantial opportunity to improve health. While the number of manuscripts addressing the topic of applying machine learning to diabetes has grown in recent years, there has been a lack of consistency in the methods, metrics, and data used to train and evaluate these algorithms. This manuscript provides consensus guidelines for machine learning practitioners in the field of diabetes, including best practice recommended approaches and warnings about pitfalls to avoid. <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">Methods:</i> Algorithmic approaches are reviewed and benefits of different algorithms are discussed including importance of clinical accuracy, explainability, interpretability, and personalization. We review the most common features used in machine learning applications in diabetes glucose control and provide an open-source library of functions for calculating features, as well as a framework for specifying data sets using data sheets. A review of current data sets available for training algorithms is provided as well as an online repository of data sources. <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">Significance:</i> These consensus guidelines are designed to improve performance and translatability of new machine learning algorithms developed in the field of diabetes for engineers and data scientists. ","The paper reviews algorithmic approaches and discusses benefits of different algorithms, including the importance of clinical accuracy, explainability, interpretability, and personalization. It also reviews common features used in machine learning applications for diabetes glucose control. Specific model architectures or learning paradigms are not detailed in the provided metadata.","The paper reviews common features used in machine learning applications for diabetes glucose control, and provides an online repository of data sources and a framework for specifying data sets. It does not explicitly list specific data modalities like wearable sensors, physiological signals, imaging, EHRs, or genomic data, nor does it discuss multimodal fusion.","The paper notes a lack of consistency in methods, metrics, and data used to train and evaluate algorithms in diabetes. It emphasizes the importance of clinical accuracy, explainability, interpretability, and personalization for improving performance and translatability of new machine learning algorithms."
"Artificial Intelligence for Diabetes: Enhancing Prevention, Diagnosis, and Effective Management","https://scispace.com/paper/artificial-intelligence-for-diabetes-enhancing-prevention-1jhaut5502","2024","Journal Article","Computer methods and programs in biomedicine update","Mohamed Khalifa
Mona Albadawy","10.1016/j.cmpbup.2024.100141","","- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review to map AI across eight diabetes domains, offers a taxonomy of challenges, and touches on wearables, CGM, imaging, fusion, generalization, bias, deployment, and precision medicine, but lacks deep technical detail, benchmark listings, and low‑resource focus.","Diabetes, a major cause of premature mortality, affects millions globally, with its prevalence increasing due to lifestyle factors and aging populations. This systematic review explores the role of Artificial Intelligence (AI) in enhancing the prevention, diagnosis, and management of diabetes, highlighting the potential for personalised and proactive healthcare. A structured four-step method was used, including extensive literature searches, specific inclusion and exclusion criteria, data extraction from selected studies focusing on AI's role in diabetes, and thorough analysis to identify specific domains and functions where AI contributes significantly. Through examining 43 experimental studies, AI has been identified as a transformative force across eight key domains in diabetes care: 1) Diabetes Management and Treatment, 2) Diagnostic and Imaging Technologies, 3) Health Monitoring Systems, 4) Developing Predictive Models, 5) Public Health Interventions, 6) Lifestyle and Dietary Management, 7) Enhancing Clinical Decision-Making, and 8) Patient Engagement and Self-Management. Each domain showcases AI's potential to revolutionise care, from personalising treatment plans and improving diagnostic accuracy to enhancing patient engagement and predictive healthcare. AI's integration into diabetes care offers personalised, efficient, and proactive solutions. It enhances care accuracy, empowers patients, and provides better understanding of diabetes management. However, the successful implementation of AI requires continued research, data security, interdisciplinary collaboration, and a focus on patient-centred solutions. Education for healthcare professionals and regulatory frameworks are also crucial to address challenges like algorithmic bias and ethics. AI in diabetes care promises improved health outcomes and quality of life through personalised and proactive healthcare. Future efforts should focus on continued investment, ensuring data security, fostering interdisciplinary collaboration, and prioritising patient-centred solutions. Regular monitoring and evaluation are essential to adjust strategies and understand long-term impacts, ensuring AI's ethical and effective integration into healthcare. ","Not available in metadata.","The paper discusses AI's role in diabetes care across eight domains, including Diagnostic and Imaging Technologies and Health Monitoring Systems. It mentions improving diagnostic accuracy and personalising treatment plans. However, specific data modalities like wearable sensors, CGM, activity trackers, smartwatches, ECG, PPG, heart rate, fundus photography, OCT, retinal images, electronic health records, clinical data, or genomic data are not explicitly detailed. Multimodal fusion is not discussed.","The successful implementation of AI in diabetes care requires continued research, data security, interdisciplinary collaboration, and a focus on patient-centred solutions. Regulatory frameworks are crucial to address challenges like algorithmic bias and ethics. Future efforts should also ensure data security and foster interdisciplinary collaboration."
"Machine Learning to Diagnose Complications of Diabetes","https://scispace.com/paper/machine-learning-to-diagnose-complications-of-diabetes-mrjdyramuiio","2025","Journal Article","Journal of diabetes science and technology","Agatha F. Scheideman
M. Shao
Henry Zelada
Jorge Cuadros
Joshua Foreman
Pinaki Sarder
Cindy Ho
Niels Ejskjær
Jesper Fleischer
Simon Lebech Cichosz
David G. Armstrong
Nestoras Mathioudakis
Tao Wang
Yih‐Chung Tham
David C. Klonoff","10.1177/19322968251365245","","- **Relevance Score:** 64/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses extensive literature synthesis on ML for diabetes complications, covering many data types and challenges, but lacks deep focus on wearables, CGM specifics, fusion methods, bias analysis, deployment details, and benchmark datasets.","Machine learning (ML) uses computer systems to develop statistical algorithms and statistical models that can draw inferences from demographic data, structured behavioral data, continuous glucose monitor (CGM) tracings, laboratory data, cardiovascular and neurological physiology measurements, and images from a variety of sources. ML is becoming increasingly used to diagnose complications of diabetes based on these types of datasets. In this article, we review the current status, barriers to progress, and future prospects for using ML to diagnose seven complications of diabetes, including five traditional complications, one set of other systemic complications, and one prediction that can result in favorable or unfavorable outcomes. The complications include (1) diabetic retinopathy, (2) diabetic nephropathy, (3) peripheral neuropathy, (4) autonomic neuropathy, (5) diabetic foot ulcers, and (6) other systemic complications. The prediction is for outcomes in hospitalized patients with diabetes. ML for these purposes is in its infancy, as evidenced by only a limited number of products having received regulatory clearance at this time. However, as multicenter reference datasets become available, it will become possible to train algorithms on increasingly larger and more complex datasets and patterns so that diagnoses and predictions will become increasingly accurate. The use of novel choices of images and imaging technologies will contribute to progress in this field. ML is poised to become a widely used tool for the diagnosis of complications and predictions of outcomes and glycemia in people with diabetes. ","The paper states that machine learning (ML) uses computer systems to develop statistical algorithms and statistical models to draw inferences from various data types, including demographic, behavioral, CGM tracings, laboratory, cardiovascular, neurological, and image data. It focuses on ML's application for diagnosing diabetes complications and predicting outcomes, but does not specify particular model architectures, learning paradigms, or specialized techniques like CNNs, RNNs, or supervised learning.","The paper discusses machine learning using demographic data, structured behavioral data, continuous glucose monitor (CGM) tracings, laboratory data, cardiovascular and neurological physiology measurements, and images from various sources. Multimodal fusion is implied through the use of diverse datasets, but not explicitly stated as ""multimodal fusion.""","The paper highlights that machine learning for diagnosing diabetes complications is in its infancy, with only a limited number of products having received regulatory clearance. A key barrier is the need for multicenter reference datasets to train algorithms on larger, more complex data patterns. This points to regulatory challenges and data availability/heterogeneity as critical issues."
"Artificial intelligence in diabetes management: advancements, opportunities, and challenges","https://scispace.com/paper/artificial-intelligence-in-diabetes-management-advancements-35se3f17gj","2023","","Cell reports medicine","Zhouyu Guan
Huating Li
Ruhan Liu
Chun Cai
Yuexing Liu
Jiajia Li
Xiangning Wang
Shan Huang
Liang Wu
Dan Liu
Shujie Yu
Zheyuan Wang
Jia Shu
Xuhong Hou
Xiaokang Yang
Weiping Jia
Bin Sheng","10.1016/j.xcrm.2023.101213","https://www.cell.com/cell-reports-medicine/pdf/S2666-3791(23)00380-4.pdf","- **Relevance Score:** 64/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Reviews AI advances in diabetes, mentions wearables, CGM, retinal imaging, and deployment issues; offers general challenges taxonomy but lacks detailed fusion methods, benchmarks, or extensive multimodal focus.","The increasing prevalence of diabetes, high avoidable morbidity and mortality due to diabetes and diabetic complications, and related substantial economic burden make diabetes a significant health challenge worldwide. A shortage of diabetes specialists, uneven distribution of medical resources, low adherence to medications, and improper self-management contribute to poor glycemic control in patients with diabetes. Recent advancements in digital health technologies, especially artificial intelligence (AI), provide a significant opportunity to achieve better efficiency in diabetes care, which may diminish the increase in diabetes-related health-care expenditures. Here, we review the recent progress in the application of AI in the management of diabetes and then discuss the opportunities and challenges of AI application in clinical practice. Furthermore, we explore the possibility of combining and expanding upon existing digital health technologies to develop an AI-assisted digital health-care ecosystem that includes the prevention and management of diabetes. ","Not available in metadata.","The paper discusses advancements in digital health technologies, especially artificial intelligence, for diabetes management. It explores combining and expanding existing digital health technologies to develop an AI-assisted digital health-care ecosystem, including prevention and management. Specific data modalities or sources like wearable sensors, physiological signals, imaging, EHR, or genomic data are not explicitly detailed in the provided metadata. Multimodal fusion is not specifically discussed.","The paper discusses opportunities and challenges of AI application in clinical practice. It highlights the significant health challenge of diabetes due to its increasing prevalence, high avoidable morbidity and mortality, and substantial economic burden. Challenges include a shortage of diabetes specialists, uneven distribution of medical resources, low adherence to medications, and improper self-management contributing to poor glycemic control."
"Artificial Intelligence for Diabetes Management and Decision Support: Literature Review","https://scispace.com/paper/artificial-intelligence-for-diabetes-management-and-decision-qzn2ktfld1","2018","Journal Article","Journal of Medical Internet Research","Ivan Contreras
Josep Vehí","10.2196/10775","https://scispace.com/pdf/artificial-intelligence-for-diabetes-management-and-decision-qzn2ktfld1.pdf","- **Relevance Score:** 61/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses AI/ML review to map diabetes management challenges; proposes functional taxonomy. Covers wearables, CGM, and fusion basics, but lacks retinal imaging, bias analysis, and democratization details. Mentions datasets modestly.","Background: Artificial intelligence methods in combination with the latest technologies, including medical devices, mobile computing, and sensor technologies, have the potential to enable the creation and delivery of better management services to deal with chronic diseases. One of the most lethal and prevalent chronic diseases is diabetes mellitus, which is characterized by dysfunction of glucose homeostasis. Objective: The objective of this paper is to review recent efforts to use artificial intelligence techniques to assist in the management of diabetes, along with the associated challenges. Methods: A review of the literature was conducted using PubMed and related bibliographic resources. Analyses of the literature from 2010 to 2018 yielded 1849 pertinent articles, of which we selected 141 for detailed review. Results: We propose a functional taxonomy for diabetes management and artificial intelligence. Additionally, a detailed analysis of each subject category was performed using related key outcomes. This approach revealed that the experiments and studies reviewed yielded encouraging results. Conclusions: We obtained evidence of an acceleration of research activity aimed at developing artificial intelligence-powered tools for prediction and prevention of complications associated with diabetes. Our results indicate that artificial intelligence methods are being progressively established as suitable for use in clinical daily practice, as well as for the self-management of diabetes. Consequently, these methods provide powerful tools for improving patients’ quality of life.","The paper discusses AI/ML methodologies including Artificial Neural Networks (ANNs), Deep Learning (with Convolutional Neural Networks), Support Vector Machines (SVMs), Random Forests (RF), Decision Trees (DTs), Fuzzy Logic (FL), Bayesian methods, and Evolutionary Algorithms (EAs). Learning paradigms cover supervised, unsupervised, and reinforcement learning. Specialized techniques include K-means, K-nearest neighbors, hierarchical clustering, particle swarm optimization, and natural language processing (NLP).","The paper discusses data from Continuous Glucose Monitoring (CGM) devices, electroencephalogram (EEG), self-monitoring blood glucose (SMBG) measurements, and electronic health records (EHR). It also mentions accelerometer and heart rate sensors for physical activity detection. Multimodal fusion of adaptive prediction models is discussed for detecting glycemic events.","The paper highlights that systems lacking access to valuable data face substantial hurdles. It notes that current AI applications are being revitalized, but ""safety and failure detection"" is less extensively reviewed, constituting under 6% of studies. Few investigations delve into early detection of critical issues like exercise, meals, or infusion set failures. Ethical implications of intelligent algorithms in decision-making and data release, such as discrimination or exclusion from health services, are also raised."
"AI-based diabetes care: risk prediction models and implementation concerns","https://scispace.com/paper/ai-based-diabetes-care-risk-prediction-models-and-53lx211ct4","2024","","npj digital medicine","Serena C Y Wang
Grace Nickel
Kaushik P. Venkatesh
Marium M. Raza
Joseph C. Kvedar","10.1038/s41746-024-01034-7","","- **Relevance Score:** 59/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses a scoping review to synthesize AI challenges in multimodal diabetes, highlighting bias and implementation concerns; touches on wearables, CGM, imaging, and deployment but lacks detailed coverage, taxonomy, or dataset benchmarks.","The utilization of artificial intelligence (AI) in diabetes care has focused on early intervention and treatment management. Notably, usage has expanded to predict an individual’s risk for developing type 2 diabetes. A scoping review of 40 studies by Mohsen et al. shows that while most studies used unimodal AI models, multimodal approaches were superior because they integrate multiple types of data. However, creating multimodal models and determining model performance are challenging tasks given the multi-factored nature of diabetes. For both unimodal and multimodal models, there are also concerns of bias with the lack of external validations and representation of race, age, and gender in training data. The barriers in data quality and evaluation standardization are ripe areas for developing new technologies, especially for entrepreneurs and innovators. Collaboration amongst providers, entrepreneurs, and researchers must be prioritized to ensure that AI in diabetes care is providing quality and equitable patient care. ","The paper discusses unimodal and multimodal AI models for risk prediction in diabetes care. Multimodal approaches are highlighted as superior for integrating multiple data types. The text mentions challenges in creating these models and determining performance, but does not specify particular architectures, learning paradigms, or specialized techniques beyond ""unimodal"" and ""multimodal"" AI models.","The paper discusses unimodal and multimodal AI models. Multimodal approaches integrate multiple types of data. While specific data sources like wearable sensors, physiological signals, imaging, EHR, clinical, or genomic data are not explicitly listed, the text notes the superiority of multimodal approaches for integrating various data types. Multimodal fusion is explicitly discussed.","Challenges include creating multimodal models and determining model performance given diabetes' multi-factored nature. Concerns exist regarding bias due to a lack of external validations and representation of race, age, and gender in training data. Barriers in data quality and evaluation standardization are also noted. Collaboration is prioritized to ensure quality and equitable patient care."
