"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Integrated image-based deep learning and language models for primary diabetes care","https://scispace.com/paper/integrated-image-based-deep-learning-and-language-models-for-3igwcas8v1","2024","Journal Article","Nature Medicine","Jiajia Li
Zhouyu Guan
Li Wang
Carol Y. Cheung
Yingfeng Zheng
Lee‐Ling Lim
Cynthia Ciwei Lim
Paisan Ruamviboonsuk
Rajiv Raman
Leonor Corsino
Justin B. Echouffo‐Tcheugui
Andrea O. Y. Luk
Li Jia Chen
Xiaodong Sun
Haslina Hamzah
Qiang Wu
Xiangning Wang
Ruhan Liu
Ya Xing Wang
Ting‐Li Chen
Xiao Zhang
Xiaolong Yang
Jun Yin
Jing Wan
Du Wei
Ten Cheer Quek
Jocelyn Hui Lin Goh
Dawei Yang
Xiaoyan Hu
Truong Nguyen
Simon Szeto
Peranut Chotcomwongse
Rachid Malek
Nargiza Normatova
Nilufar Ibragimova
Ramyaa Srinivasan
Pingting Zhong
Wenyong Huang
Chenxin Deng
Lei Ruan
Cuntai Zhang
Chenxi Zhang
Yan Zhou
Chan Wu
Rongping Dai
Sky Wei Chee Koh
Adina Abdullah
Nicholas Ken Yoong Hee
Hong Chang Tan
Zhong Hong Liew
Carolyn Shan‐Yeu Tien
Shih Ling Kao
Amanda Yuan Ling Lim
Shao Feng Mok
Lina Sun
Jing Gu
Liang Wu
Tingyao Li
Di Cheng
Zheyuan Wang
Yanyan Qin
Ling Dai
Ziyao Meng
Jia Shu
Yuwei Lu
Nan Jiang
Tingting Hu
Shan Huang
Gengyou Huang
Sungwook Yu
Dan Liu
Weizhi Ma
Minyi Guo
Xinping Guan
Xiaokang Yang
Covadonga Bascarán
Charles R Cleland
Yuqian Bao
Elif I. Ekinci
Alicia J. Jenkins
Juliana C.N. Chan
Yong Mong Bee
Sobha Sivaprasad
Jonathan E. Shaw
Rafael Simó
Pearse A. Keane
Ching‐Yu Cheng
Gavin Siew Wei Tan
Weiping Jia
Yih‐Chung Tham
Huating Li
Bin Sheng
Tien Yin Wong","10.1038/s41591-024-03139-8","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Integrates image‑based deep learning with LLMs for diabetes management, directly applies to DR screening, provides decision support and real‑world deployment, and fuses imaging with language; lacks federated learning, bias analysis, and transfer learning components.","Abstract Primary diabetes care and diabetic retinopathy (DR) screening persist as major public health challenges due to a shortage of trained primary care physicians (PCPs), particularly in low-resource settings. Here, to bridge the gaps, we developed an integrated image–language system (DeepDR-LLM), combining a large language model (LLM module) and image-based deep learning (DeepDR-Transformer), to provide individualized diabetes management recommendations to PCPs. In a retrospective evaluation, the LLM module demonstrated comparable performance to PCPs and endocrinology residents when tested in English and outperformed PCPs and had comparable performance to endocrinology residents in Chinese. For identifying referable DR, the average PCP’s accuracy was 81.0% unassisted and 92.3% assisted by DeepDR-Transformer. Furthermore, we performed a single-center real-world prospective study, deploying DeepDR-LLM. We compared diabetes management adherence of patients under the unassisted PCP arm ( n = 397) with those under the PCP+DeepDR-LLM arm ( n = 372). Patients with newly diagnosed diabetes in the PCP+DeepDR-LLM arm showed better self-management behaviors throughout follow-up ( P &lt; 0.05). For patients with referral DR, those in the PCP+DeepDR-LLM arm were more likely to adhere to DR referrals ( P &lt; 0.01). Additionally, DeepDR-LLM deployment improved the quality and empathy level of management recommendations. Given its multifaceted performance, DeepDR-LLM holds promise as a digital solution for enhancing primary diabetes care and DR screening. "
"Privacy-preserving detection and classification of diabetic retinopathy using federated learning with FedDEO optimization","https://scispace.com/paper/privacy-preserving-detection-and-classification-of-diabetic-51m5zh3gx7wz","2024","Journal Article","Systems Science & Control Engineering","Dasari Bhulakshmi
Dharmendra Singh Rajput","10.1080/21642583.2024.2436664","","- **Relevance Score:** 99/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses federated learning with FedDEO to classify diabetic retinopathy images, achieving high accuracy while preserving privacy; focuses on DR detection, not multimodal or bias analysis.","Diabetic retinopathy (DR) is a major cause of blindness among adults worldwide. Detecting and classifying DR early is essential for timely treatment and prevention of vision loss. This study introduces a new approach to identify and classify DR by using federated learning (FL) environment and Federated differential evolution optimization (FedDEO). FL enables collaborative learning across multiple decentralized devices while maintaining data privacy. FedDEO optimization enhances the model's performance by fine-tuning hyperparameters in a distributed manner. The research achieves state-of-the-art accuracy in DR classification using the MESSIDOR dataset for training and testing. The findings suggest that integrating FedDEO optimization within the FL framework can significantly improve DR detection, offering a scalable and privacy-preserving solution for ophthalmic healthcare. The FedDEO algorithm optimizes hyperparameters, including learning rates and batch sizes, to enhance model performance. The experiments show that FedDEO works effectively for the MESSIDOR dataset to achieve a high classification accuracy, specificity, recall, and F1-Measure of 96.98%, 98.12%, 97.12%, and 98.00% while preserving privacy. The results demonstrate that implementing these algorithms in an FL environment significantly improves privacy and performance compared to other approaches. Specifically, the proposed technique outperforms others in terms of accuracy, specificity, recall, and F1 score when applied to categorizing retinal images. "
"Source-free active domain adaptation for diabetic retinopathy grading based on ultra-wide-field fundus images","https://scispace.com/paper/source-free-active-domain-adaptation-for-diabetic-1yfh0x2oi6","2024","Journal Article","Computers in Biology and Medicine","Jinye Ran
Guanghua Zhang
Fan Xia
Ximei Zhang
Juan Xie","10.1016/j.compbiomed.2024.108418","","- **Relevance Score:** 99/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses source‑free active domain adaptation on ultra‑wide‑field fundus images for DR grading, enhancing privacy and clinical accuracy; lacks multimodal, federated, or bias analyses.","Domain adaptation (DA) is commonly employed in diabetic retinopathy (DR) grading using unannotated fundus images, allowing knowledge transfer from labeled color fundus images. Existing DAs often struggle with domain disparities, hindering DR grading performance compared to clinical diagnosis. A source-free active domain adaptation method (SFADA), which generates features of color fundus images by noise, selects valuable ultra-wide-field (UWF) fundus images through local representation matching, and adapts models using DR lesion prototypes, is proposed to upgrade DR diagnostic accuracy. Importantly, SFADA enhances data security and patient privacy by excluding source domain data. It reduces image resolution and boosts model training speed by modeling DR grade relationships directly. Experiments show SFADA significantly improves DR grading performance, increasing accuracy by 20.90% and quadratic weighted kappa by 18.63% over baseline, reaching 85.36% and 92.38%, respectively. This suggests SFADA's promise for real clinical applications. "
"Integrated biomarker analysis and next-generation AI for precision diabetes prediction.","https://scispace.com/paper/41503444","2026","Journal Article","Toxicological research","Sim
Ha
Kim","10.1007/s43188-025-00312-0","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12770190/pdf","- **Relevance Score:** 98/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses transformer and diffusion models for diabetes prediction, integrates EHR, imaging, and wearables, provides interpretability and minority‑class recall gains, but lacks federated learning, explicit imaging analysis, and transfer learning.","This study explored the integration of advanced deep learning with key pharmaceutical biomarkers to enhance early diabetes prediction. We developed a multimodal ensemble approach that leverages transformer architectures to capture complex dependencies in heterogeneous healthcare data and Diffusion Models to address class imbalances by generating synthetic samples. Our research utilized diverse data sources, including electronic health records, medical imaging, and wearable device time-series data, supplemented with synthetic samples to better represent minority populations such as patients with type 1 and gestational diabetes. Critical biomarkers, including C-peptide, insulin, and hemoglobin A1c, were incorporated to improve model interpretability. The methodology involved extensive evaluation using accuracy, area under the receiver operating characteristic (ROC) curve (AUC), precision, recall, and F1-score, with cross-validation to mitigate overfitting. We also implemented interpretability features to provide clinicians with insight into the significance of biomarkers. Results showed a 6.2% improvement in minority class recall when pharmaceutical biomarkers were combined with diffusion-based augmentation. The model demonstrated enhanced classification stability and provided clear insights into clinical decision-making, highlighting the influence of biomarkers on disease progression and treatment outcomes. Future work will focus on multicenter validation, integration of additional omics data, and specialized validation across diverse populations. These findings underscore the potential of AI-driven biomarker analysis for advancing early diagnosis and personalized diabetes management, with broader implications for chronic disease prediction."
"A Multi-modal Deep Learning Approach for Predicting Type 2 Diabetes Complications: Early Warning System Design and Implementation","https://scispace.com/paper/a-multi-modal-deep-learning-approach-for-predicting-type-2-5nnb3lvqkzpo","2024","Journal Article","Journal of improved oil and gas recovery technology","Ke Xiong
Guanghe Cao
Ming Jin
Biao Ye","10.53469/wjimt.2024.07(06).15","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses attention‑based multimodal deep learning to predict T2D complications, providing early warnings and interpretable risk scores; lacks federated, imaging, bias or transfer learning components.","This paper presents a novel multi-modal deep learning framework for early prediction of Type 2 Diabetes (T2D) complications through an advanced early warning system. The proposed architecture integrates multiple data modalities including clinical measurements, laboratory results, and temporal patient data through a sophisticated attention-based fusion mechanism. The system implements specialized preprocessing techniques for different data modalities and employs an innovative feature extraction pipeline for comprehensive risk assessment. Experimental validation was conducted on a dataset comprising 15,847 patients collected over five years from multiple medical centres. The framework achieved 94.7% prediction accuracy with a 72-hour warning window, demonstrating superior performance compared to existing approaches. The implementation of adaptive threshold mechanisms reduced false positive rates to 4.8% while maintaining 93.8% sensitivity and 95.2% specificity. The system's effectiveness was validated through prospective testing on an independent cohort of 3,245 patients, showing robust performance across diverse patient populations. The attention-based fusion mechanism demonstrated a 15% improvement in prediction accuracy compared to conventional approaches. This research contributes to the advancement of medical artificial intelligence through interpretable deep learning models, providing healthcare practitioners with insights into the decision-making process while maintaining high prediction accuracy for early intervention in T2D complications management. "
"<scp>GlucoNet</scp>‐<scp>MM</scp>: A multimodal attention‐based multi‐task learning framework with decision transformer for personalised and explainable blood glucose forecasting","https://scispace.com/paper/scp-gluconet-scp-scp-mm-scp-a-multimodal-attention-based-io3ap30t1q9h","2025","Journal Article","Diabetes, Obesity and Metabolism","Sarmad Maqsood
Muhammad Abdullah Sarwar
Eglė Belousovienė
Rytis Maskeliūnas","10.1111/dom.70147","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses attention‑based multimodal DL and Decision Transformer for personalized glucose forecasting; integrates CGM, insulin, carbs, activity; provides interpretability and uncertainty, but lacks federated learning, imaging, bias analysis, or transfer learning.","Abstract Aims Accurate and personalized blood glucose prediction is critical for proactive diabetes management. Conventional machine learning (ML) models often struggle to generalize across patients due to individual variability, nonlinear glycemic dynamics, and sparse multimodal input data. This study aims to develop an advanced, interpretable deep learning (DL) framework for patient‐specific, policy‐aware blood glucose forecasting. Materials and Methods We propose GlucoNet‐MM, a novel multimodal DL framework that combines attention‐based multi‐task learning (MTL) with a Decision Transformer (DT), a reinforcement learning paradigm that frames policy learning as sequence modeling. The model integrates heterogeneous physiological and behavioral data, continuous glucose monitoring (CGM), insulin dosage, carbohydrate intake, and physical activity, to capture complex temporal dependencies. The MTL backbone learns shared representations across multiple prediction horizons, while the DT module conditions future glucose predictions on desired glycemic outcomes. Temporal attention visualizations and integrated gradient‐based attribution methods are used to provide interpretability, and Monte Carlo dropout is employed for uncertainty quantification. Results GlucoNet‐MM was evaluated on two publicly available datasets, BrisT1D and OhioT1DM. The model achieved R 2 scores of 0.94 and 0.96 and mean absolute error (MAE) values of 0.031 and 0.027, respectively. These results outperform single‐modality and conventional non‐adaptive baseline models, demonstrating superior predictive accuracy and generalizability. Conclusion GlucoNet‐MM represents a promising step toward intelligent, personalized clinical decision support for diabetes care. Its multimodal design, policy‐aware forecasting, and interpretability features enhance both prediction accuracy and clinical trust, enabling proactive glycemic management tailored to individual patient needs. "
"Assessment of transfer learning models for grading of diabetic retinopathy","https://scispace.com/paper/assessment-of-transfer-learning-models-for-grading-of-2rwy4wwj","2023","Journal Article","THE SCIENTIFIC TEMPER","","10.58414/scientifictemper.2023.14.2.17","https://scispace.com/pdf/assessment-of-transfer-learning-models-for-grading-of-2rwy4wwj.pdf","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses transfer learning models (VGG16, Inception v3, ResNet50) to grade diabetic retinopathy from retinal fundus images, directly applying AI to a diabetes‑related imaging task. Evaluates model performance but lacks deeper discussion of interpretability, bias, or deployment.","Diabetic retinopathy is a potentially mortal diabetic complication. The severity level of DR must be identified earlier to reduce the medical complications. Effective automated ways for identifying DR and classifying its severity stage are necessary to reduce the burden on ophthalmologists. Transfer learning methods are utilized to automatically grade the  severity of diabetic retinopathy in this study. The stages of DR are diagnosed using pretrained VGG16, Inception v3, and ResNet50 models on pre-processed retinal images of DDR dataset. Out of three implemented models, Inception v3 achieved higher validation accuracy of 76.47% and testing accuracy of 67% compared to VGG16 and ResNet50 models. This research contributes to the analysis of deep learning architectures for the creation of automated diabetic retinopathy stage diagnosis and grading"
"Federated Learning for Diabetic Retinopathy Diagnosis: Enhancing
  Accuracy and Generalizability in Under-Resourced Regions","https://scispace.com/paper/federated-learning-for-diabetic-retinopathy-diagnosis-fl1mi8qbnqka","2024","Journal Article","","Gajan Mohan Raj
Michael Morley
Mohammad Eslami","10.48550/arxiv.2411.00869","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses federated learning with EfficientNetB0 for diabetic retinopathy detection, achieving high accuracy on unseen and low‑quality fundus images; deployed in apps, but lacks multimodal data, bias analysis, and explicit transfer‑learning discussion.","Diabetic retinopathy is the leading cause of vision loss in working-age adults worldwide, yet under-resourced regions lack ophthalmologists. Current state-of-the-art deep learning systems struggle at these institutions due to limited generalizability. This paper explores a novel federated learning system for diabetic retinopathy diagnosis with the EfficientNetB0 architecture to leverage fundus data from multiple institutions to improve diagnostic generalizability at under-resourced hospitals while preserving patient-privacy. The federated model achieved 93.21% accuracy in five-category classification on an unseen dataset and 91.05% on lower-quality images from a simulated under-resourced institution. The model was deployed onto two apps for quick and accurate diagnosis. "
"Tongue image fusion and analysis of thermal and visible images in diabetes mellitus using machine learning techniques","https://scispace.com/paper/tongue-image-fusion-and-analysis-of-thermal-and-visible-2qpiv4z68p","2024","Journal Article","Dental science reports","Usharani Thirunavukkarasu
U. Snekhalatha
V. Sowmya
Tahani Jaser Alahmadi","10.1038/s41598-024-64150-0","https://scispace.compdf/tongue-image-fusion-and-analysis-of-thermal-and-visible-2qpiv4z68p.pdf","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses DWT fusion of thermal/visible tongue images and pretrained VGG16/ResNet50 to classify diabetes, achieving high accuracy; addresses pre‑screening but lacks interpretability or deployment analysis.","Abstract The study aimed to achieve the following objectives: (1) to perform the fusion of thermal and visible tongue images with various fusion rules of discrete wavelet transform (DWT) to classify diabetes and normal subjects; (2) to obtain the statistical features in the required region of interest from the tongue image before and after fusion; (3) to distinguish the healthy and diabetes using fused tongue images based on deep and machine learning algorithms. The study participants comprised of 80 normal subjects and age- and sex-matched 80 diabetes patients. The biochemical tests such as fasting glucose, postprandial, Hba1c are taken for all the participants. The visible and thermal tongue images are acquired using digital single lens reference camera and thermal infrared cameras, respectively. The digital and thermal tongue images are fused based on the wavelet transform method. Then Gray level co-occurrence matrix features are extracted individually from the visible, thermal, and fused tongue images. The machine learning classifiers and deep learning networks such as VGG16 and ResNet50 was used to classify the normal and diabetes mellitus. Image quality metrics are implemented to compare the classifiers’ performance before and after fusion. Support vector machine outperformed the machine learning classifiers, well after fusion with an accuracy of 88.12% compared to before the fusion process (Thermal-84.37%; Visible-63.1%). VGG16 produced the classification accuracy of 94.37% after fusion and attained 90.62% and 85% before fusion of individual thermal and visible tongue images, respectively. Therefore, this study results indicates that fused tongue images might be used as a non-contact elemental tool for pre-screening type II diabetes mellitus. "
"Intelligent medical diagnosis and treatment for diabetes with deep convolutional fuzzy neural networks","https://scispace.com/paper/intelligent-medical-diagnosis-and-treatment-for-diabetes-1a3i3i5qld","2024","Journal Article","Information Sciences","Wenhui Zhou
Xiaomin Liu
Hongtao Bai
Lina He","10.1016/j.ins.2024.120802","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a deep convolutional fuzzy neural network to predict type‑2 diabetes risk with interpretable rules, directly supporting clinical decision‑making.","The advent of smart healthcare has significantly heightened the importance of computer technologies in supporting medical diagnosis and treatment. Nevertheless, the challenges of mining latent knowledge within diagnostic data and explaining results to healthcare professionals have limited the application of many algorithms in clinical practice. To address these issues, our study introduces an Interpretable Predictor with Deep Convolutional Fuzzy Neural Network (IP-DCFNN). The proposed model is capable of assessing disease risk based on individual data and providing interpretable justifications to aid in medical diagnosis and treatment decisions. By deconstructing the fuzzy inference process and incorporating convolutional neural network, our approach enhances the ability to discover underlying information while maintaining transparency and interpretability. Furthermore, we introduce a grid partition-based method for initializing the antecedent parameters and a hybrid approach that combines gradient descent with least squares estimation for training. Compared with Adaptive Neuro-Fuzzy Inference System (ANFIS) and Deep Neural Networks (DNN) Our model has an average improvement of 7.4% on prediction accuracy. More importantly, it can extract interpretable insights from membership functions, rule bases, and fuzzy contributions, offering valuable knowledge for medical research on type 2 diabetes, supporting intelligent diagnostic processes and providing personalized healthcare recommendations. The model can also be applied on the diagnosis and treatment of various other diseases. "
