"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The SEE Study: Safety, Efficacy, and Equity of Implementing Autonomous Artificial Intelligence for Diagnosing Diabetic Retinopathy in Youth.","https://scispace.com/paper/the-see-study-safety-efficacy-and-equity-of-implementing-3gjv4ut16e","2021","Journal Article","Diabetes Care","Risa M. Wolf
T. Y. Alvin Liu
Chrystal G. Thomas
Laura Prichett
Ingrid Zimmer-Galler
Kerry Smith
Michael D. Abràmoff
Roomasa Channa
Roomasa Channa","10.2337/DC20-1671","","OBJECTIVE Diabetic retinopathy (DR) is a leading cause of vision loss worldwide. Screening for DR is recommended in children and adolescents, but adherence is poor. Recently, autonomous artificial intelligence (AI) systems have been developed for early detection of DR and have been included in the American Diabetes Association’s guidelines for screening in adults. We sought to determine the diagnostic efficacy of autonomous AI for the diabetic eye exam in youth with diabetes. RESEARCH DESIGN AND METHODS In this prospective study, point-of-care diabetic eye exam was implemented using a nonmydriatic fundus camera with an autonomous AI system for detection of DR in a multidisciplinary pediatric diabetes center. Sensitivity, specificity, and diagnosability of AI was compared with consensus grading by retinal specialists, who were masked to AI output. Adherence to screening guidelines was measured before and after AI implementation. RESULTS Three hundred ten youth with diabetes aged 5–21 years were included, of whom 4.2% had DR. Diagnosability of AI was 97.5% (302 of 310). The sensitivity and specificity of AI to detect more-than-mild DR was 85.7% (95% CI 42.1–99.6%) and 79.3% (74.3–83.8%), respectively, compared with the reference standard as defined by retina specialists. Adherence improved from 49% to 95% after AI implementation. CONCLUSIONS Use of a nonmydriatic fundus camera with autonomous AI was safe and effective for the diabetic eye exam in youth in our study. Adherence to screening guidelines improved with AI implementation. As the prevalence of diabetes increases in youth and adherence to screening guidelines remains suboptimal, effective strategies for diabetic eye exams in this population are needed.","In this article, a point-of-care diabetic eye exam was implemented using a nonmydriatic fundus camera with an autonomous artificial intelligence system for detection of diabetic retinopathy (DR) in a multidisciplinary pediatric diabetes center."
"Is it time to consider teleophthalmology as a game-changer in the management of diabetic retinopathy?","https://scispace.com/paper/is-it-time-to-consider-teleophthalmology-as-a-game-changer-1v6rj00762","","Journal Article","Revista Brasileira De Oftalmologia","Marianne L Shahsuvaryan","10.37039/1982.8551.20230045","","Currently the “pandemic” of diabetes mellitus is noted. The incidence and prevalence of diabetes and diabetic retinopathy, the most common microvascular complications of diabetes, are exponentially growing due to increased life expectancy in many parts of the world. The increasing number of people suffering from diabetic retinopathy not only highlights medical issues, but also an economic burden, representing a medical and social challenge. It is extremely important to identify a disease as soon as possible and successfully treat it. Technological progress results in developing Artificial Intelligence systems capable of detecting diabetic retinopathy. Current screening will be cost effectively based on the use of advanced digital technologies, in particular teleretinal screening systems.","Current screening will be cost effectively based on the use of advanced digital technologies, in particular teleretinal screening systems, capable of detecting diabetic retinopathy."
"Digital innovations for retinal care in diabetic retinopathy","https://scispace.com/paper/digital-innovations-for-retinal-care-in-diabetic-retinopathy-2iz4iz24","2022","Journal Article","Acta Diabetologica","Stela Vujosevic
Celeste Limoli
Livio Luzi
Paolo Nucci","10.1007/s00592-022-01941-9","","The purpose of this review is to examine the applications of novel digital technology domains for the screening and management of patients with diabetic retinopathy (DR).A PubMed engine search was performed, using the terms ""Telemedicine"", ""Digital health"", ""Telehealth"", ""Telescreening"", ""Artificial intelligence"", ""Deep learning"", ""Smartphone"", ""Triage"", ""Screening"", ""Home-based"", ""Monitoring"", ""Ophthalmology"", ""Diabetes"", ""Diabetic Retinopathy"", ""Retinal imaging"". Full-text English language studies from January 1, 2010, to February 1, 2022, and reference lists were considered for the conceptual framework of this review.Diabetes mellitus and its eye complications, including DR, are particularly well suited to digital technologies, providing an ideal model for telehealth initiatives and real-world applications. The current development in the adoption of telemedicine, artificial intelligence and remote monitoring as an alternative to or in addition to traditional forms of care will be discussed.Advances in digital health have created an ecosystem ripe for telemedicine in the field of DR to thrive. Stakeholders and policymakers should adopt a participatory approach to ensure sustained implementation of these technologies after the COVID-19 pandemic. This article belongs to the Topical Collection ""Diabetic Eye Disease"", managed by Giuseppe Querques. ","In this article , the authors examined the applications of novel digital technology domains for the screening and management of patients with diabetic retinopathy (DR) and examined the current development in the adoption of telemedicine, artificial intelligence and remote monitoring as an alternative to or in addition to traditional forms of care."
"AI-Driven Predictive Modeling in Chronic Disease Management","https://scispace.com/paper/ai-driven-predictive-modeling-in-chronic-disease-management-2s7jayibxy64","2025","Journal Article","Deleted Journal","Hiyam Kamal Ahmed ALquwayri","10.62341/hkaa1925","","By facilitating early detection, individualized therapy, and better patient outcomes, AI-driven predictive modeling holds the potential to completely transform the management of chronic diseases. Artificial intelligence (AI) algorithms are able to recognize complex patterns and forecast an individual's future health by evaluating massive datasets from several sources, such as wearable technology, electronic health records, and demographic data.aAI-powered predictive modeling represents a breakthrough in chronic disease management by enabling early detection, personalized treatment, and improved health outcomes for patients. Algorithms rely on analyzing massive datasets from multiple sources, with edge computing, data can be analyzed locally, reducing response time and accelerating decision-making quick decision-making, Therefore, the purpose of this study is to clarify the gaps resulting from the traditional management of chronic diseases by exploring the various roles of predictive modeling based on artificial intelligence. This will be done by enumerating some of these gaps and highlighting the reasons why AI-based methods may be useful in addressing them, particularly in providing more details regarding the latest developments aimed at enhancing long-term health outcomes for patients. To achieve this, a descriptive analytical approach was adopted to study and analyze the current technologies used, along with conducting an in-depth analysis of the impacts these technologies may have on health outcomes. Keywords: AI-driven healthcare, predictive analytics, chronic disease management, personalized treatment, data privacy. ","This study explores AI-driven predictive modeling's potential to transform chronic disease management by enabling early detection, personalized treatment, and improved health outcomes through analyzing massive datasets from multiple sources, addressing traditional management gaps."
"Exploring Diabetic Retinopathy Diagnosis: Insights from a Comprehensive Literature Review and Initial Fundus Image Analysis","https://scispace.com/paper/exploring-diabetic-retinopathy-diagnosis-insights-from-a-3qswse4rf9it","2024","Journal Article","","Kumar Reddy
M Malleswari
P.P. Reddy
Shaik Karimullah
Fahimuddin Shaik
Peddapullaiahgari Hariobulesu","10.1109/iceect61758.2024.10739014","","This article looks at recent advances in diabetic retinopathy (DR) detection with retinal fundus and optical coherence tomography angiography (OCTA) pictures. Key studies have investigated a variety of methods, including combining Multiscale Retinex with Chromaticity Preservation (MSRCP) and Bi-LSTM networks for high accuracy, integrating the Internet of Things (IoT) with deep learning for increased sensitivity, and using Multi-Stream Deep Neural Networks to classify DR severity. Innovations like the PMNPDR system for microaneurysm detection and deep learning ensembles for OCT images have also performed well. Despite these gains, issues like as data transfer latency, model complexity, and reliance on tiny datasets remain. Overall, while current models show great potential, they require further modification and validation to assure their efficacy and applicability in clinical situations.","Recent studies on diabetic retinopathy detection using retinal fundus and OCTA images have shown promising results with various methods, including MSRCP, Bi-LSTM networks, and deep learning ensembles, but face challenges like data latency and model complexity."
"AI-Driven Predictive Analytics for Disease Management","https://scispace.com/paper/ai-driven-predictive-analytics-for-disease-management-05cvpflwsex1","2025","Journal Article","Advances in medical technologies and clinical practice book series","Nikhil Kumar Goyal
Monika Dandotiya
Jameel Ahmad Qurashi
Monika Kumari
Shikha Sharma","10.4018/979-8-3373-0690-2.ch008","","AI-driven predictive analytics with powers of artificial intelligence and highly advanced machine learning algorithms applied to the vast healthcare data sources that help in the early indication of health risks, watching for potential diseases, monitoring, and then following on with more innovative interventions-not reactive care, but proactively preventing diseases. The integration of predictive analytics into healthcare systems addresses universal challenges in the form of chronic disease and population aging, in addition to further increasing costs in healthcare, while improving efficiency and patient outcomes. This chapter discusses the principles, applications, challenges, and future opportunities of AI-driven predictive analytics in disease management, highlighting its critical role in building a more sustainable, equitable, and patient-centered healthcare ecosystem. ","AI-driven predictive analytics leverages AI and machine learning to identify health risks, monitor diseases, and prevent chronic conditions, improving patient outcomes, efficiency, and equity in healthcare, while addressing universal challenges of aging populations and rising healthcare costs."
"Artificial Intelligence Analysis of Diabetic Retinopathy in Retinal Screening Events","https://scispace.com/paper/artificial-intelligence-analysis-of-diabetic-retinopathy-in-v0qdlj0s","2023","Posted Content","","","10.21203/rs.3.rs-2562995/v1","","Abstract Purpose: Patients with Type II Diabetes are at increased risk Diabetic Retinopathy (DR). Early detection and treatment of DR is critical for saving vision and preventing blindness. To address the need for increased DR detection and referrals, we evaluated the use of artificial intelligence (AI) for screening DR. Methods: Patient images were obtained using a 45-degree Canon Non-Mydriatic CR-2 Plus AF retinal camera in the Department of Endocrinology Clinic (Newark, NJ) and in a community screening event (Newark, NJ). Images were initially classified by an on-site grader and uploaded for analysis by EyeArt, a cloud-based AI software developed by Eyenuk (California, USA). The images were also graded by an off-site retina specialist. Using Fleiss kappa analysis, a correlation was investigated between the three grading systems, the AI, onsite grader, and a US board-certified retina specialist, for a diagnosis of DR and referral pattern. Results: The EyeArt results, onsite grader, and the retina specialist had a 79% overall agreement on the diagnosis of DR. The kappa value for concordance on a diagnosis was 0.69 (95% CI: 0.61-0.77), indicating substantial agreement. Referral patterns by EyeArt, the onsite grader, and the ophthalmologist had an 85% overall agreement. The kappa value for concordance on “whether to refer” was 0.70 (95% CI: 0.60-0.80), indicating substantial agreement. Conclusions: This retrospective cross-sectional analysis offers insights into use of AI in diabetic screenings and the significant role it will play in automated detection of DR. The EyeArt readings were beneficial with some limitations in a community screening environment. ","In this paper , the authors evaluated the use of artificial intelligence (AI) for screening diabetic retinopathy (DR) using a 45-degree Canon Non-Mydriatic CR-2 Plus AF retinal camera in the Department of Endocrinology Clinic (Newark, NJ)."
"Application of artificial intelligence for automated interpretation of optical retinal images in diabetic retinopathy","https://scispace.com/paper/application-of-artificial-intelligence-for-automated-1zjtn1tuitre","2025","Journal Article","Optiko-elektronnì ìnformacìjno-energetičnì tehnologìï","O. Kornilenko
Oleksandr Karas","10.31649/1681-7893-2025-49-1-209-216","","This article explores the application of artificial intelligence (AI) for the automated interpretation of optical retinal images in diabetic retinopathy. It presents the main imaging methods, including fundus photography and optical coherence tomography, and analyzes deep learning algorithms used to detect retinopathic changes. The study evaluates the effectiveness of current autonomous systems, such as IDx-DR and EyeArt, and outlines key limitations of their use. Special attention is given to ethical, technical, and legal aspects of AI implementation in ophthalmic practice. The article highlights AI’s potential as a tool for early screening and prevention of vision loss in diabetic patients. ","This study explores AI's application in automated retinal image interpretation for diabetic retinopathy, evaluating current autonomous systems and their limitations, while highlighting AI's potential for early screening and prevention of vision loss in diabetic patients."
"Ten years later: how is AI impacting retina care today?","https://scispace.com/paper/ten-years-later-how-is-ai-impacting-retina-care-today-8m4kotmwkkjk","2025","Journal Article","Current Opinion in Ophthalmology","David Kuo
Miroslav Pajić
Majda Hadziahmetovic","10.1097/icu.0000000000001167","","Artificial intelligence (AI) is transforming retina care, with deep learning (DL) models shaping a new era of improved screening accessibility, diagnostic precision, and personalized disease monitoring. This review highlights recent AI-powered clinical applications in diabetic retinopathy (DR), and age-related macular degeneration (AMD) care. Since the FDA's authorization of the first autonomous AI system for DR screening in 2018, multiple platforms have emerged, expanding access to diabetic eye care. Real-world studies have confirmed a significant improvement in screening adherence and diagnostic accuracy, illustrating AI's tangible impact on public health. Meanwhile, newly certified AI technologies that meet European regulatory standards are increasingly guiding clinical decision-making in the management of AMD and diabetic macular edema through automated analysis of optical coherence tomography (OCT) images. Most recently, FDA-authorized home OCT platforms are transforming AMD monitoring, enabling proactive and remote management of retinal fluid. As AI increasingly empowers patients and providers, its widespread success still depends on ongoing work, including thorough validation, outcome-based metrics, and improved workflow integration. The next decade will reveal whether AI in retina care transitions from a promising innovation to an essential and indispensable tool in modern retina. ","Artificial intelligence transforms retina care through improved screening accessibility, diagnostic precision, and personalized disease monitoring, with significant advancements in diabetic retinopathy and age-related macular degeneration care, and expanding access to diabetic eye care."
"The Role of Telemedicine, In-Home Testing and Artificial Intelligence to Alleviate an Increasingly Burdened Healthcare System: Diabetic Retinopathy","https://scispace.com/paper/the-role-of-telemedicine-in-home-testing-and-artificial-d9rfc6a6vb","2021","Journal Article","Ophthalmology and therapy","Janusz Pieczynski
Patrycja Kuklo
Andrzej Grzybowski","10.1007/S40123-021-00353-2","","In the presence of the ever-increasing incidence of diabetes mellitus (DM), the prevalence of diabetic eye disease (DED) is also growing. Despite many improvements in diabetic care, DM remains a leading cause of visual impairment in working-age patients. So far, prevention has been the best way to protect vision. The sooner we diagnose DED, the more effective the treatment is. Thus, diabetic retinopathy (DR) screening, especially with imaging techniques, is a method of choice for vision protection. To alleviate the burden of diabetic patients who need ophthalmic care, telemedicine and in-home testing are used, supported by artificial intelligence (AI) algorithms. This is why we decided to evaluate current image teleophthalmology methods used for DR screening. We searched the PubMed platform for papers published over the last 5 years (2015–2020) using the following key words: telemedicine in diabetic retinopathy screening, diabetic retinopathy screening, automated diabetic retinopathy screening, artificial intelligence in diabetic retinopathy screening, smartphone diabetic retinopathy testing. We have included 118 original articles meeting the above criteria, discussing imaging diabetic retinopathy screening methods. We have found that fundus cameras, stable or mobile, are most commonly used for retinal photography, with portable fundus cameras also relatively common. Other possibilities involve the use of ultra-wide-field (UWF) imaging and even optical coherence tomography (OCT) devices for DR screening. Also, the role of smartphones is increasingly recognized in the field. Retinal fundus images are assessed by humans instantly or remotely, while AI algorithms seem to be useful tools facilitating retinal image assessment. The common use of smartphones and availability of relatively cheap, easy-to-use adapters for retinal photographs augmented by AI algorithms make it possible for eye fundus photographs to be taken by non-specialists and in non-medical setting. This opens the way for in-home testing conducted on a much larger scale in the future. In conclusion, based on current DR screening techniques, we can suggest that the future practice of eye care specialists will be widely supported by AI algorithms, and this way will be more effective.","In this article, the authors evaluate current image teleophthalmology methods used for diabetic retinopathy screening and suggest that the future practice of eye care specialists will be widely supported by AI algorithms, and this way will be more effective."
