"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Artificial intelligence perspective in the future of endocrine diseases","https://scispace.com/paper/artificial-intelligence-perspective-in-the-future-of-19wr0guo","2022","Journal Article","Journal of diabetes and metabolic disorders","Mandana Hasanzad
Hamid Reza Aghaei Meybodi
Negar Sarhangi
Bagher Larijani","10.1007/s40200-021-00949-2","","In recent years, artificial intelligence (AI) shows promising results in the diagnosis, prediction, and management of diseases. The move from handwritten medical notes to electronic health records and a huge number of digital data commenced in the era of big data in medicine. AI can improve physician performance and help better clinical decision making which is called augmented intelligence. The methods applied in the research of AI and endocrinology include machine learning, artificial neural networks, and natural language processing. Current research in AI technology is making major efforts to improve decision support systems for patient use. One of the best-known applications of AI in endocrinology was seen in diabetes management, which includes prediction, diagnosis of diabetes complications (measuring microalbuminuria, retinopathy), and glycemic control. AI-related technologies are being found to assist in the diagnosis of other endocrine diseases such as thyroid cancer and osteoporosis. This review attempts to provide insight for the development of prospective for AI with a focus on endocrinology. ","In this paper , a review of the use of Artificial Intelligence (AI) in the diagnosis, prediction, and management of diseases in endocrinology is presented, which includes prediction, diagnosis of diabetes complications, and glycemic control."
"Can artificial intelligence assist physicians in selecting the right medications for patients with diabetes mellitus, improve outcomes, and reduce financial burdens on health-care systems?","https://scispace.com/paper/can-artificial-intelligence-assist-physicians-in-selecting-2rtsxtzk2f","2023","Journal Article","Advances in Biomedical and Health Sciences","Amr Ahmed","10.4103/abhs.abhs_10_23","","Dear Editor Diabetes and its effects have a significant financial impact on the world and it exhausts the economies of countries and will only get worse by 2030. Even if nations achieve their collective goals, the economic load on the world would not lessen [1]. AI such as machine learning (ML) or deep learning is growing dramatically in many subjects of life and increasing speedily in medical aspects and especially in discovering diseases and medical equipment in diabetes such as insulin pumps and continuous glucose monitoring (CGM) with sensors [2]. Noncompliance with suggested treatment has delayed the onset of long-term problems, which can take years. As a result, diabetes management is complex, and therapeutic decisions must consider various medical aspects as well as lifestyle-related activities that must be adjusted to improve the quality of life of diabetic patients. Artificial intelligence (AI) is a rapidly expanding area, and its applications to diabetes research are expanding even faster [3]. Diabetes does not affect just the patient but all families as need multidisciplinary care and need health education and follow-up with health-care providers to update the health condition and follow-up from complications so using the ML model will help with health education and suspect complications [4]. Using CGMs helps diabetics patients with type I diabetes to improve control and avoid hypoglycemia occurrence and avoid the frequent bricking of the skin, AI in large diabetic databases that integrate different data sources are rapidly necessitating the use of AI approaches for the creation of applications for therapy personalization and complication prevention [5]. The most challenge in diabetes management and during aerobic exercises is the occurrence of hypoglycemia so the use of AI can be giving promising role in the prevention of hypoglycemia a study by Vehí et al. introduced the patient safety system, an AI-based decision support system for the prediction and prevention of hypoglycemia events and the classification of glycemic control profiles [6]. Time in the range is very important and is considered an eye on controlling blood glucose all day. It collects blood sugar measurements from the CGM every 5 min and analyzes them in real-time using AI algorithms. Incorporating AI into future products successfully will help Medtronic fulfill its aim of employing biomedical engineering to restore health and minimize the management load for individuals with diabetes. Moreover, widen the use of time in the range using AI in CGM devices[5]. Nowadays and after more, many drugs are growing dramatically and will see hundreds of medicines and many anti-diabetic groups and many updated guidelines, and many insulin in the next year’s many groups of medications for diabetes so choosing the best suitable type of patient need more concentration and attention from doctors. Finally, AI may play a very important role in the next years to help doctors to speed up the decision for choosing the right medicines for patients using ML such as the medical history, drug history, contraindications, updated guidelines, A1C, laboratory investigations, type of diabetes, risk of hypoglycemia, drug interactions, alarming when blood glucose drop and warning signals, and helping doctors at giving correct decision for fasting for patients at Ramadan and much helpful information. Furthermore, AI helps doctors at the decision at choosing the right type of insulin. Policy-makers must move quickly to equip health and social security institutions to deal with the effects of diabetes, fasten the use of AI in health education and control of diabetes, and improve outcomes using many learning machine models. Financial support and sponsorship Not applicable. Conflict of interests No conflict of interests declared. ","AI can assist physicians in selecting the right medications for patients with diabetes mellitus, improve outcomes, and reduce financial burdens on health-care systems."
"A systematic literature review of predicting diabetic retinopathy, nephropathy and neuropathy in patients with type 1 diabetes using machine learning","https://scispace.com/paper/a-systematic-literature-review-of-predicting-diabetic-4ii7wveuil","2020","Journal Article","","Qingqing Xu
Liye Wang
Sujit S. Sansgiry","10.21037/JMAI.2019.10.04","","Background: Diabetic retinopathy, nephropathy and neuropathy in patients with type 1 diabetes (T1D) are microvascular complications that can adversely impact disease prognosis and incur greater healthcare costs. Early identification of patients at risk of these microvascular complications using predictive models through machine learning (ML) can be helpful in T1D management. The objective of current review was to systematically identify and summarize published predictive models that used ML to assess the risk of diabetic nephropathy, retinopathy and neuropathy in T1D patients.
 Methods: A targeted review of English literature was undertaken in PubMed (http://www.ncbi.nlm.nih. gov/pubmed) and Google Scholar (http://scholar.google.com/) from January 1, 2016 to May 31, 2019. Eligible articles were also identified from cross-references. Following concepts were used in combination to conduct the search queries: diabetes, retinopathy, nephropathy, neuropathy, microvascular complication, risk/predictive model, and ML/artificial intelligence/data mining.
 Results: A total of 3,769 hits were found from all sources combined, duplicates were removed, titles and abstracts were screened, 61 studies underwent full-text review and a total of six studies met the eligibility criteria. Among them, four studies had developed risk models using data obtained from T1D patients alone, whereas two used data from both T1D and type 2 diabetes (T2D) patients. There was only one study that evaluated all three types of microvascular complications while the other five focused on one individual complication, i.e., either diabetic retinopathy, nephropathy or neuropathy. Only two studies evaluated time to developing a complication. The other four studies assessed complications as either binary (yes/no) or categorical (multiple levels). Prediction models were built using cross-sectional data from survey questionnaire (n=1, Iran) and longitudinal data (n=5) which were further classified as sources of electronic medical records (EMR) (n=3, US: 1, Europe: 2), clinical trial (n=1, US) and prospective study (n=1, Europe). Common predictors across studies as well as across types of microvascular complications included age, gender, diabetes duration, BMI, blood pressure, lipid level, and mean or a single HbA1C value. Commonly used ML algorithms included classification and regression tree (CART) and random forest (RF) (CART/RF, n=3), support vector machines (SVMs, n=2), logistic regression (LR, n=2) and neural networks (NNs, n=1). Model performance was evaluated using area under curve (AUC, n=4) and accuracy (n=2). Only half (n=3) of the included studies tested their developed models in an external dataset of patients with T1D. Conclusions: Overall, very few studies reported predictive models for diabetic retinopathy, nephropathy and neuropathy using ML specifically for T1D patients. Future research that utilizes contemporary clinical data from T1D patients to predict the three types of microvascular complications is needed.","Overall, very few studies reported predictive models for diabetic retinopathy, nephropathy and neuropathy using ML specifically for T1D patients, and future research that utilizes contemporary clinical data from T2D patients to predict the three types of microvascular complications is needed."
"Risk Factors of Death in the Decision to Install Artificial Intelligence Systems in the Management of Diabetes","https://scispace.com/paper/risk-factors-of-death-in-the-decision-to-install-artificial-7n0odxm8kfdk","2024","Journal Article","International Journal Of Public Health Excellence","Asbath
Prima Dewi Kusumawati
Pius Weraman
Eli Sabrifha
Ahmad Zil Fauzi","10.55299/ijphe.v4i1.906","","Diabetes represents a significant public health concern, affecting millions of individuals worldwide. Its prevalence is increasing, driven in part by lifestyle factors and the aging of the global population. This systematic review explores the potential of artificial intelligence (AI) in enhancing diabetes prevention, diagnosis, and management. The review highlights the promise of personalized and proactive healthcare enabled through AI. The research methodology employed an exhaustive review of the literature, the formulation of specific inclusion and exclusion criteria, a data extraction process from selected studies that focused on the role of AI in diabetes, and a comprehensive analysis to identify the specific domains and functions in which AI makes a significant contribution. The results of the conducted literature review indicate that artificial intelligence (AI) can be regarded as a transformative force in the following eight key areas within the field of diabetes care: 1) Management and Care of Diabetes, 2) Diagnostic and Imaging Technologies, 3) Health Monitoring Systems, 4) Development of Predictive Models, 5) Public Health Interventions, 6) Lifestyle and Dietary Management, 7) Enhancement of Clinical Decision Making, and 8) Engagement and Self-Management of Patients. Additionally, the utilization of AI may result in a reduction in the risk of mortality from diabetes.","This systematic review explores AI's potential in diabetes prevention, diagnosis, and management, highlighting its transformative impact in eight key areas, including management, diagnostics, and public health interventions, potentially reducing mortality risk."
"How Artificial Intelligence Technology can be Used to Treat Diabetes","https://scispace.com/paper/how-artificial-intelligence-technology-can-be-used-to-treat-2ibo581eoj","2024","Preprint","","Syed Adnan Jawaid
Jamshir Qureshi","10.20944/preprints202401.2049.v1","","Background: The research is conducted against the backdrop of the rising incidence of diabetes and the demand for novel approaches to improve patient outcomes. With the goal of revolutionizing conventional methods and addressing the changing healthcare landscape, the study concentrated on the application of AI technology in diabetes treatment. Objective: Examining the various ways AI can be used in diabetes care and assessing how it can enhance automated screenings, tailored treatment recommendations, predictive modeling, and patient self-management were the main goals of the study. Result: The findings demonstrated how well AI works to anticipate a patient's unique reaction to a therapy, assist medical personnel in making decisions, and give patients more control over their own care. Artificial intelligence (AI)-powered solutions showed promise in improving real-time monitoring and encouraging patient adherence, supporting a comprehensive strategy for managing diabetes. Conclusion: The research indicates that artificial intelligence (AI) has great potential to change the way diabetes is treated. However, it also highlights the need for more research, ethical issues, and validation of AI. The results advocate for joint efforts to ensure responsible and patient-centered technology innovation in diabetes care and encourage the integration of AI with new technologies. ","AI has the potential to revolutionize diabetes treatment by improving automated screenings, tailored treatment recommendations, predictive modeling, and patient self-management."
"Clinical interpretation of machine learning models for prediction of diabetic complications using electronic health records","https://scispace.com/paper/clinical-interpretation-of-machine-learning-models-for-2vy8netq","2022","Posted Content","medRxiv","Amanda Momenzadeh
Abdulhussain J. M. Shamsa
Jeffrey G. Meyer","10.1101/2022.03.11.22272039","","Type 2 diabetes is a massive public health issue that continues to grow. The rate of diabetic complication progression varies across individuals. Understanding factors that alter the rate of complication onset may uncover new clinical interventions and help prioritize individuals for more aggressive management. Here, we explore how various machine learning models and types of electronic health records can predict fast versus slow diabetic complication onset using only patient data prior to diabetes diagnosis. We find that optimized random forests generally perform best among the tested models and combining all data sources yields the best predictive performance. A key differentiator of our study is our model interpretation, which identifies specific patient metrics from each dataset that play a unique role in the progression of each complication. Overall, our clinical interpretation of machine learning models can identify patients at risk for poorer outcomes years in advance of their diabetic complication.","This study explores how various machine learning models and types of electronic health records can predict fast versus slow diabetic complication onset using only patient data prior to diabetes diagnosis, finding that optimized random forests generally perform best among the tested models."
"Evaluation of Machine Learning Methods Developed for Prediction of Diabetes Complications: A Systematic Review","https://scispace.com/paper/evaluation-of-machine-learning-methods-developed-for-5bnncjsjzs","2021","Journal Article","Journal of diabetes science and technology","Kuo Ren Tan
Jun Jie Benjamin Seng
Yu Heng Kwan
Ying Jie Chen
Sueziani Binte Zainudin
Dionne Hui Fang Loh
Nan Liu
Nan Liu
Lian Leng Low
Lian Leng Low
Lian Leng Low","10.1177/19322968211056917","","Background With the rising prevalence of diabetes, machine learning (ML) models have been increasingly used for prediction of diabetes and its complications, due to their ability to handle large complex data sets. This study aims to evaluate the quality and performance of ML models developed to predict microvascular and macrovascular diabetes complications in an adult Type 2 diabetes population. Methods A systematic review was conducted in MEDLINE®, Embase®, the Cochrane® Library, Web of Science®, and DBLP Computer Science Bibliography databases according to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) checklist. Studies that developed or validated ML prediction models for microvascular or macrovascular complications in people with Type 2 diabetes were included. Prediction performance was evaluated using area under the receiver operating characteristic curve (AUC). An AUC >0.75 indicates clearly useful discrimination performance, while a positive mean relative AUC difference indicates better comparative model performance. Results Of 13 606 articles screened, 32 studies comprising 87 ML models were included. Neural networks (n = 15) were the most frequently utilized. Age, duration of diabetes, and body mass index were common predictors in ML models. Across predicted outcomes, 36% of the models demonstrated clearly useful discrimination. Most ML models reported positive mean relative AUC compared with non-ML methods, with random forest showing the best overall performance for microvascular and macrovascular outcomes. Majority (n = 31) of studies had high risk of bias. Conclusions Random forest was found to have the overall best prediction performance. Current ML prediction models remain largely exploratory, and external validation studies are required before their clinical implementation. Protocol registration Open Science Framework (registration number: 10.17605/OSF.IO/UP49X).","In this article, the authors evaluated the quality and performance of ML models developed to predict microvascular and macrovascular diabetes complications in an adult Type 2 diabetes population, using area under the receiver operating characteristic curve (AUC)."
"Reinforcement Learning Models and Algorithms for Diabetes Management","https://scispace.com/paper/reinforcement-learning-models-and-algorithms-for-diabetes-y3y4f4ri","","Journal Article","IEEE Access","Kok-Lim Alvin Yau
Yung-Wey Chong
Xiumei Fan
Celimuge Wu
Yasir Saleem
Phei Ching Lim","10.1109/ACCESS.2023.3259425","","With the advancements in reinforcement learning (RL), new variants of this artificial intelligence approach have been introduced in the literature. This has led to increased interest in using RL to address complex issues in diabetes management. Using RL, a decision maker (or agent) observes decision-making factors (or state) from the dynamic operating environment, selects actions, and subsequently receives delayed rewards. The agent adapts its actions to changes in the operating environment to maximize its cumulative reward and improve system performance. This paper presents how various variants of RL have been used to improve diabetes management, such as a higher time in range during which the blood glucose level is within the normal range and a higher similarity between RL and physician’s policies. Key highlights focus on the application of RL in diabetes management, including a taxonomy of the attributes of RL (e.g., roles and advantages), essential elements for training (e.g., data and simulators), representations of diabetes attributes in RL models, and variants of RL algorithms. In addition, this paper discusses open issues and potential future developments in the use of RL in diabetes management.","In this paper , a taxonomy of the attributes of RL (e.g., roles and advantages), essential elements for training, representations of diabetes attributes in RL models, and variants of RL algorithms are discussed."
"DiaTrend: A dataset from advanced diabetes technology to enable
  development of novel analytic solutions","https://scispace.com/paper/diatrend-a-dataset-from-advanced-diabetes-technology-to-wwxkx7yx","2023","Posted Content","","","10.48550/arxiv.2304.06506","","Objective digital data is scarce yet needed in many domains to enable research that can transform the standard of healthcare. While data from consumer-grade wearables and smartphones is more accessible, there is critical need for similar data from clinical-grade devices used by patients with a diagnosed condition. The prevalence of wearable medical devices in the diabetes domain sets the stage for unique research and development within this field and beyond. However, the scarcity of open-source datasets presents a major barrier to progress. To facilitate broader research on diabetes-relevant problems and accelerate development of robust computational solutions, we provide the DiaTrend dataset. The DiaTrend dataset is composed of intensive longitudinal data from wearable medical devices, including a total of 27,561 days of continuous glucose monitor data and 8,220 days of insulin pump data from 54 patients with diabetes. This dataset is useful for developing novel analytic solutions that can reduce the disease burden for people living with diabetes and increase knowledge on chronic condition management in outpatient settings. ","The DiaTrend dataset as discussed by the authors is composed of intensive longitudinal data from wearable medical devices, including a total of 27,561 days of continuous glucose monitor data and 8,220 days of insulin pump data from 54 patients with diabetes."
"The Safety Challenges of Deep Learning in Real-World Type 1 Diabetes Management","https://scispace.com/paper/the-safety-challenges-of-deep-learning-in-real-world-type-1-2vdh6ahq2m","2023","Journal Article","arXiv.org","Harry Emerson
Ryan McConville
Matt Guy","10.48550/arxiv.2310.14743","","Blood glucose simulation allows the effectiveness of type 1 diabetes (T1D) management strategies to be evaluated without patient harm. Deep learning algorithms provide a promising avenue for extending simulator capabilities; however, these algorithms are limited in that they do not necessarily learn physiologically correct glucose dynamics and can learn incorrect and potentially dangerous relationships from confounders in training data. This is likely to be more important in real-world scenarios, as data is not collected under strict research protocol. This work explores the implications of using deep learning algorithms trained on real-world data to model glucose dynamics. Free-living data was processed from the OpenAPS Data Commons and supplemented with patient-reported tags of challenging diabetes events, constituting one of the most detailed real-world T1D datasets. This dataset was used to train and evaluate state-of-the-art glucose simulators, comparing their prediction error across safety critical scenarios and assessing the physiological appropriateness of the learned dynamics using Shapley Additive Explanations (SHAP). While deep learning prediction accuracy surpassed the widely-used mathematical simulator approach, the model deteriorated in safety critical scenarios and struggled to leverage self-reported meal and exercise information. SHAP value analysis also indicated the model had fundamentally confused the roles of insulin and carbohydrates, which is one of the most basic T1D management principles. This work highlights the importance of considering physiological appropriateness when using deep learning to model real-world systems in T1D and healthcare more broadly, and provides recommendations for building models that are robust to real-world data constraints.","While deep learning prediction accuracy surpassed the widely-used mathematical simulator approach, the model deteriorated in safety critical scenarios and struggled to leverage self-reported meal and exercise information, and provides recommendations for building models that are robust to real-world data constraints."
