"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A multimodal deep learning architecture for predicting interstitial glucose for effective type 2 diabetes management","https://scispace.com/paper/a-multimodal-deep-learning-architecture-for-predicting-8t2ekzhehdu6","2025","Journal Article","Dental science reports","Muhammad Salman Haleem
Daphne N. Katsarou
Eleni I. Georga
George Dafoulas
Αlexandra Bargiota
Laura Lopez-Perez
Miguel Rujas
Giuseppe Fico
Leandro Pecchia
Dimitrios I. Fotiadis","10.1038/s41598-025-07272-3","","Abstract The accurate prediction of blood glucose is critical for the effective management of diabetes. Modern continuous glucose monitoring (CGM) technology enables real-time acquisition of interstitial glucose concentrations, which can be calibrated against blood glucose measurements. However, a key challenge in the effective management of type 2 diabetes lies in forecasting critical events driven by glucose variability. While recent advances in deep learning enable modeling of temporal patterns in glucose fluctuations, most of the existing methods rely on unimodal inputs and fail to account for individual physiological differences that influence interstitial glucose dynamics. These limitations highlight the need for multimodal approaches that integrate additional personalized physiological information. One of the primary reasons for multimodal approaches not being widely studied in this field is the bottleneck associated with the availability of subjects’ health records. In this paper, we propose a multimodal approach trained on sequences of CGM values and enriched with physiological context derived from health records of 40 individuals with type 2 diabetes. The CGM time series were processed using a stacked Convolutional Neural Network (CNN) and a Bidirectional Long Short-Term Memory (BiLSTM) network followed by an attention mechanism. The BiLSTM learned long-term temporal dependencies, while the CNN captured local sequential features. Physiological heterogeneity was incorporated through a separate pipeline of neural networks that processed baseline health records and was later fused with the CGM modeling stream. To validate our model, we utilized CGM values of 30 min sampled with a moving window of 5 min to predict the CGM values with a prediction horizon of (a) 15 min, (b) 30 min, and (c) 60 min. We achieved the multimodal architecture prediction results with Mean Absolute Point Error (MAPE) between 14 and 24 mg/dL, 19–22 mg/dL, 25–26 mg/dL in case of Menarini sensor and 6–11 mg/dL, 9–14 mg/dL, 12–18 mg/dL in case of Abbot sensor for 15, 30 and 60 min prediction horizon respectively. The results suggested that the proposed multimodal model achieved higher prediction accuracy compared to unimodal approaches; with upto 96.7% prediction accuracy; supporting its potential as a generalizable solution for interstitial glucose prediction and personalized management in the type 2 diabetes population. ","This study proposes a multimodal deep learning architecture that integrates continuous glucose monitoring data with physiological context from health records to predict interstitial glucose levels in type 2 diabetes patients with high accuracy (up to 96.7%) and low error (MAPE 6-26 mg/dL)."
"<scp>GlucoNet</scp>‐<scp>MM</scp>: A multimodal attention‐based multi‐task learning framework with decision transformer for personalised and explainable blood glucose forecasting","https://scispace.com/paper/scp-gluconet-scp-scp-mm-scp-a-multimodal-attention-based-io3ap30t1q9h","2025","Journal Article","Diabetes, Obesity and Metabolism","Sarmad Maqsood
Muhammad Abdullah Sarwar
Eglė Belousovienė
Rytis Maskeliūnas","10.1111/dom.70147","","Abstract Aims Accurate and personalized blood glucose prediction is critical for proactive diabetes management. Conventional machine learning (ML) models often struggle to generalize across patients due to individual variability, nonlinear glycemic dynamics, and sparse multimodal input data. This study aims to develop an advanced, interpretable deep learning (DL) framework for patient‐specific, policy‐aware blood glucose forecasting. Materials and Methods We propose GlucoNet‐MM, a novel multimodal DL framework that combines attention‐based multi‐task learning (MTL) with a Decision Transformer (DT), a reinforcement learning paradigm that frames policy learning as sequence modeling. The model integrates heterogeneous physiological and behavioral data, continuous glucose monitoring (CGM), insulin dosage, carbohydrate intake, and physical activity, to capture complex temporal dependencies. The MTL backbone learns shared representations across multiple prediction horizons, while the DT module conditions future glucose predictions on desired glycemic outcomes. Temporal attention visualizations and integrated gradient‐based attribution methods are used to provide interpretability, and Monte Carlo dropout is employed for uncertainty quantification. Results GlucoNet‐MM was evaluated on two publicly available datasets, BrisT1D and OhioT1DM. The model achieved R 2 scores of 0.94 and 0.96 and mean absolute error (MAE) values of 0.031 and 0.027, respectively. These results outperform single‐modality and conventional non‐adaptive baseline models, demonstrating superior predictive accuracy and generalizability. Conclusion GlucoNet‐MM represents a promising step toward intelligent, personalized clinical decision support for diabetes care. Its multimodal design, policy‐aware forecasting, and interpretability features enhance both prediction accuracy and clinical trust, enabling proactive glycemic management tailored to individual patient needs. ","This study presents GlucoNet-MM, a multimodal deep learning framework that integrates heterogeneous data for personalized blood glucose forecasting, achieving superior predictive accuracy and generalizability on two public datasets with R² scores of 0.94-0.96 and MAE of 0.027-0.031."
"Continuous Temporal Learning of Probability Distributions via Neural ODEs with Applications in Continuous Glucose Monitoring Data","https://scispace.com/paper/continuous-temporal-learning-of-probability-distributions-kqomhrma7v5p","2025","Journal Article","arXiv.org","Antonio 'Alvarez-L'opez
Marcos Matabuena","10.48550/arxiv.2505.08698","","Modeling the dynamics of probability distributions from time-dependent data samples is a fundamental problem in many fields, including digital health. The goal is to analyze how the distribution of a biomarker, such as glucose, changes over time and how these changes may reflect the progression of chronic diseases such as diabetes. We introduce a probabilistic model based on a Gaussian mixture that captures the evolution of a continuous-time stochastic process. Our approach combines a nonparametric estimate of the distribution, obtained with Maximum Mean Discrepancy (MMD), and a Neural Ordinary Differential Equation (Neural ODE) that governs the temporal evolution of the mixture weights. The model is highly interpretable, detects subtle distribution shifts, and remains computationally efficient. We illustrate the broad utility of our approach in a 26-week clinical trial that treats all continuous glucose monitoring (CGM) time series as the primary outcome. This method enables rigorous longitudinal comparisons between the treatment and control arms and yields characterizations that conventional summary-based clinical trials analytical methods typically do not capture.","This study introduces a probabilistic model using Neural ODEs to analyze the temporal evolution of probability distributions in continuous glucose monitoring data, enabling rigorous longitudinal comparisons and capturing subtle distribution shifts in chronic disease progression."
"A Multi-modal Deep Learning Approach for Predicting Type 2 Diabetes Complications: Early Warning System Design and Implementation","https://scispace.com/paper/a-multi-modal-deep-learning-approach-for-predicting-type-2-5nnb3lvqkzpo","2024","Journal Article","Journal of improved oil and gas recovery technology","Ke Xiong
Guanghe Cao
Ming Jin
Biao Ye","10.53469/wjimt.2024.07(06).15","","This paper presents a novel multi-modal deep learning framework for early prediction of Type 2 Diabetes (T2D) complications through an advanced early warning system. The proposed architecture integrates multiple data modalities including clinical measurements, laboratory results, and temporal patient data through a sophisticated attention-based fusion mechanism. The system implements specialized preprocessing techniques for different data modalities and employs an innovative feature extraction pipeline for comprehensive risk assessment. Experimental validation was conducted on a dataset comprising 15,847 patients collected over five years from multiple medical centres. The framework achieved 94.7% prediction accuracy with a 72-hour warning window, demonstrating superior performance compared to existing approaches. The implementation of adaptive threshold mechanisms reduced false positive rates to 4.8% while maintaining 93.8% sensitivity and 95.2% specificity. The system's effectiveness was validated through prospective testing on an independent cohort of 3,245 patients, showing robust performance across diverse patient populations. The attention-based fusion mechanism demonstrated a 15% improvement in prediction accuracy compared to conventional approaches. This research contributes to the advancement of medical artificial intelligence through interpretable deep learning models, providing healthcare practitioners with insights into the decision-making process while maintaining high prediction accuracy for early intervention in T2D complications management. ","This study presents a multi-modal deep learning framework for early prediction of Type 2 Diabetes complications, achieving 94.7% accuracy with a 72-hour warning window, and demonstrates superior performance compared to existing approaches with adaptive threshold mechanisms."
"From data to insights","https://scispace.com/paper/from-data-to-insights-p6wewm3t38","2024","Book Chapter","","Asra Khanam
Faheem Masoodi
Alwi M. Bamhdi","10.1016/b978-0-443-24001-0.00007-5","","Managing diabetes is a complex task that requires continuous monitoring, personalized treatment plans, and informed decision-making. In recent years, advancements in machine learning (ML) have shown great potential in improving diabetes management by analyzing vast amounts of patient data and extracting valuable insights. This chapter presents a comprehensive overview of the utilization of the ML techniques in diabetes management, focusing on the journey from data collection to generating actionable insights. This chapter discusses the various sources of data available for diabetes management, including electronic health records, continuous glucose monitoring systems, wearable devices, and patient-reported data. The chapter delves into the application of ML algorithms in diabetes management. It examines various ML techniques such as supervised learning, unsupervised learning, and deep learning and discusses their specific applications in predicting blood glucose levels and identifying patterns and trends. Furthermore, the chapter explores the interpretability and explainability of ML models in diabetes management. It emphasizes the importance of transparent models that can provide meaningful insights to healthcare professionals and patients, enabling them to understand the underlying factors contributing to diabetes progression and treatment outcomes. ","The utilization of machine learning in diabetes management involves data collection, analysis, and insights generation. It encompasses various techniques like supervised learning, unsupervised learning, and deep learning to predict blood glucose levels, identify patterns, and provide actionable insights."
"Chapter 11. Artificial Intelligence for Diabetes-related Complications: The Eye as a Window to the Systemic Health","https://scispace.com/paper/chapter-11-artificial-intelligence-for-diabetes-related-3czez4la","2022","Book Chapter","","","10.1039/9781839165498-00305","","Diabetes mellitus (DM) is a global pandemic that is one of the fastest growing chronic diseases and the top cause of blindness in the working population. The eye provides a direct visualization to the body's vasculature and systemic health, allowing it to be a minimally invasive tool to evaluate DM and its micro- and macrovascular complications, including diabetic retinopathy, corneal neuropathy, cardiovascular disease, chronic kidney disease and cerebrovascular disease. With the rapid rate of disease burden, there is an unmet public health need to identify these diseases at an early stage to implement timely management. Artificial intelligence (AI), in particular deep learning, has been widely explored for disease segmentation, classification, and prediction. Despite the advances in AI for optimizing the screening and management of DM, future work is warranted to address the issues such as interpretability, cost, and acceptance of AI systems by patients and healthcare workers. ","In this article , the authors proposed a minimally invasive approach to evaluate DM and its micro-and macrovascular complications, including diabetic retinopathy, corneal neuropathy, cardiovascular disease, chronic kidney disease and cerebrovascular disease."
"Multi-modal Predictive Models of Diabetes Progression","https://scispace.com/paper/multi-modal-predictive-models-of-diabetes-progression-45cl26z20s","2019","Proceedings Article","arXiv: Learning","Ramin Ramazi
Christine Perndorfer
Emily C. Soriano
Jean-Philippe Laurenceau
Rahmatollah Beheshti","10.1145/3307339.3342177","","With the increasing availability of wearable devices, continuous monitoring of individuals' physiological and behavioral patterns has become significantly more accessible. Access to these continuous patterns about individuals' statuses offers an unprecedented opportunity for studying complex diseases and health conditions such as type 2 diabetes (T2D). T2D is a widely common chronic disease that its roots and progression patterns are not fully understood. Predicting the progression of T2D can inform timely and more effective interventions to prevent or manage the disease. In this study, we have used a dataset related to 63 patients with T2D that includes the data from two different types of wearable devices worn by the patients: continuous glucose monitoring (CGM) devices and activity trackers (ActiGraphs). Using this dataset, we created a model for predicting the levels of four major biomarkers related to T2D after a one-year period. We developed a wide and deep neural network and used the data from the demographic information, lab tests, and wearable sensors to create the model. The deep part of our method was developed based on the long short-term memory (LSTM) structure to process the time-series dataset collected by the wearables. In predicting the patterns of the four biomarkers, we have obtained a root mean square error of 1.67% for HBA1c, 6.22 mg/dl for HDL cholesterol, 10.46 mg/dl for LDL cholesterol, and 18.38 mg/dl for Triglyceride. Compared to existing models for studying T2D, our model offers a more comprehensive tool for combining a large variety of factors that contribute to the disease.","In this paper, the authors developed a wide and deep neural network and used the data from demographic information, lab tests, and wearable sensors to create the model for predicting the levels of four major biomarkers related to type 2 diabetes after a one-year period."
"GluMarker: A Novel Predictive Modeling of Glycemic Control Through Digital Biomarkers","https://scispace.com/paper/glumarker-a-novel-predictive-modeling-of-glycemic-control-5819ql0863","2024","Journal Article","arXiv.org","Ziyi Zhou
Ming Cheng
Xingjian Diao
Yanjun Cui
Xiangling Li","10.48550/arxiv.2404.12605","","The escalating prevalence of diabetes globally underscores the need for diabetes management. Recent research highlights the growing focus on digital biomarkers in diabetes management, with innovations in computational frameworks and noninvasive monitoring techniques using personalized glucose metrics. However, they predominantly focus on insulin dosing and specific glucose values, or with limited attention given to overall glycemic control. This leaves a gap in expanding the scope of digital biomarkers for overall glycemic control in diabetes management. To address such a research gap, we propose GluMarker -- an end-to-end framework for modeling digital biomarkers using broader factors sources to predict glycemic control. Through the assessment and refinement of various machine learning baselines, GluMarker achieves state-of-the-art on Anderson's dataset in predicting next-day glycemic control. Moreover, our research identifies key digital biomarkers for the next day's glycemic control prediction. These identified biomarkers are instrumental in illuminating the daily factors that influence glycemic management, offering vital insights for diabetes care.","GluMarker is a novel framework for modeling digital biomarkers to predict glycemic control, addressing the gap in existing solutions. It achieves state-of-the-art performance on Anderson's dataset and identifies key digital biomarkers for next-day glycemic control prediction."
"Artificial Intelligence-Based Methods for Precision Medicine: Diabetes Risk Prediction","https://scispace.com/paper/artificial-intelligence-based-methods-for-precision-medicine-1s9y1h4t","2023","Journal Article","arXiv.org","Farida Mohsen
Hamada R. H. Al-Absi
Noha A. Yousri
Nady El Hajj
Zubair Shah","10.48550/arXiv.2305.16346","","The rising prevalence of type 2 diabetes mellitus (T2DM) necessitates the development of predictive models for T2DM risk assessment. Artificial intelligence (AI) models are being extensively used for this purpose, but a comprehensive review of their advancements and challenges is lacking. This scoping review analyzes existing literature on AI-based models for T2DM risk prediction. Forty studies were included, mainly published in the past four years. Traditional machine learning models were more prevalent than deep learning models. Electronic health records were the most commonly used data source. Unimodal AI models relying on EHR data were prominent, while only a few utilized multimodal models. Both unimodal and multimodal models showed promising performance, with the latter outperforming the former. Internal validation was common, while external validation was limited. Interpretability methods were reported in half of the studies. Few studies reported novel biomarkers, and open-source code availability was limited. This review provides insights into the current state and limitations of AI-based T2DM risk prediction models and highlights challenges for their development and clinical implementation.","In this paper , a comprehensive review of existing literature on AI-based models for type 2 diabetes mellitus risk prediction is presented, highlighting the challenges for their development and clinical implementation."
"Advances in Artificial Intelligence forDiabetes Prediction: Insights
  from a Systematic Literature Review","https://scispace.com/paper/advances-in-artificial-intelligence-fordiabetes-prediction-6z3ndzy6c0t0","2024","Journal Article","","Pir Bakhsh Khokhar
Carmine Gravino
Fabio Palomba","10.48550/arxiv.2412.14736","","This systematic review explores the use of machine learning (ML) in predicting diabetes, focusing on datasets, algorithms, training methods, and evaluation metrics. It examines datasets like the Singapore National Diabetic Retinopathy Screening program, REPLACE-BG, National Health and Nutrition Examination Survey, and Pima Indians Diabetes Database. The review assesses the performance of ML algorithms like CNN, SVM, Logistic Regression, and XGBoost in predicting diabetes outcomes. The study emphasizes the importance of interdisciplinary collaboration and ethical considerations in ML-based diabetes prediction models. ","This systematic review examines the application of machine learning algorithms, including CNN, SVM, and XGBoost, in predicting diabetes outcomes using various datasets, highlighting the importance of interdisciplinary collaboration and ethical considerations in ML-based models."
