"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A dashboard-based system for supporting diabetes care.","https://scispace.com/paper/a-dashboard-based-system-for-supporting-diabetes-care-4ja545vj95","2018","Journal Article","Journal of the American Medical Informatics Association","Arianna Dagliati
Arianna Dagliati
Lucia Sacchi
Valentina Tibollo
Giulia Cogni
Marsida Teliti
Antonio Martinez-Millana
Vicente Traver
Daniele Segagni
Jorge Posada
Manuel Ottaviano
Giuseppe Fico
Maria Teresa Arredondo
Pasquale De Cata
Luca Chiovato
Riccardo Bellazzi","10.1093/JAMIA/OCX159","","","This study demonstrates that decision support tools based on the integration of multiple-source data and visual and predictive analytics do improve the management of a chronic disease such as type 2 diabetes by enacting a successful implementation of the learning health care system cycle."
"A Reinforcement Learning System to Encourage Physical Activity in Diabetes Patients.","https://scispace.com/paper/a-reinforcement-learning-system-to-encourage-physical-1ztc3amfxi","2016","Journal Article","arXiv: Computers and Society","Irit Hochberg
Guy Feraru
Mark Kozdoba
Shie Mannor
Moshe Tennenholtz
Elad Yom-Tov","10.2196/JMIR.7994","","Regular physical activity is known to be beneficial to people suffering from diabetes type 2. Nevertheless, most such people are sedentary. Smartphones create new possibilities for helping people to adhere to their physical activity goals, through continuous monitoring and communication, coupled with personalized feedback. 
We provided 27 sedentary diabetes type 2 patients with a smartphone-based pedometer and a personal plan for physical activity. Patients were sent SMS messages to encourage physical activity between once a day and once per week. Messages were personalized through a Reinforcement Learning (RL) algorithm which optimized messages to improve each participant's compliance with the activity regimen. The RL algorithm was compared to a static policy for sending messages and to weekly reminders. 
Our results show that participants who received messages generated by the RL algorithm increased the amount of activity and pace of walking, while the control group patients did not. Patients assigned to the RL algorithm group experienced a superior reduction in blood glucose levels (HbA1c) compared to control policies, and longer participation caused greater reductions in blood glucose levels. The learning algorithm improved gradually in predicting which messages would lead participants to exercise. 
Our results suggest that a mobile phone application coupled with a learning algorithm can improve adherence to exercise in diabetic patients. As a learning algorithm is automated, and delivers personalized messages, it could be used in large populations of diabetic patients to improve health and glycemic control. Our results can be expanded to other areas where computer-led health coaching of humans may have a positive impact.","In this paper, the authors used reinforcement learning (RL) to encourage diabetic patients to participate in physical activity, and found that participants who received messages generated by the RL algorithm increased the amount of activity and pace of walking while the control group patients did not."
"A predictive model of subcutaneous glucose concentration in type 1 diabetes based on Random Forests","https://scispace.com/paper/a-predictive-model-of-subcutaneous-glucose-concentration-in-l2f0qloheq","2012","Proceedings Article","International Conference of the IEEE Engineering in Medicine and Biology Society","Eleni I. Georga
Vasilios C. Protopappas
Demosthenes Polyzos
Dimitrios I. Fotiadis","10.1109/EMBC.2012.6346567","","In this study, an individualized predictive model of the subcutaneous glucose concentration in type 1 diabetes is presented, which relies on the Random Forests regression technique. A multivariate dataset is utilized concerning the s.c. glucose profile, the plasma insulin concentration, the intestinal absorption of meal-derived glucose and the daily energy expenditure. In an attempt to capture daily rhythms in glucose metabolism, we also introduce a time feature in the predictive analysis. The dataset comes from the continuous multi-day recordings of 27 type 1 patients in free-living conditions. Evaluating the performance of the proposed method by 10-fold cross validation, an average RMSE of 6.60, 8.15, 9.25 and 10.83 mg/dl for 15, 30, 60 and 120 min prediction horizons, respectively, was attained.","An individualized predictive model of the subcutaneous glucose concentration in type 1 diabetes is presented, which relies on the Random Forests regression technique, and a time feature is introduced in the predictive analysis to capture daily rhythms in glucose metabolism."
"Case-Based Reasoning for Insulin Bolus Advice: Evaluation of Case Parameters in a Six-Week Pilot Study.","https://scispace.com/paper/case-based-reasoning-for-insulin-bolus-advice-evaluation-of-3y7yhzo5ep","2017","Journal Article","Journal of diabetes science and technology","Peter Pesl
Pau Herrero
Monika Reddy
Nick Oliver
Desmond G. Johnston
Christofer Toumazou
Pantelis Georgiou","10.1177/1932296816629986","","Background:Insulin bolus calculators assist people with Type 1 diabetes (T1D) to calculate the amount of insulin required for meals to achieve optimal glucose levels but lack adaptability and personalization. We have proposed enhancing bolus calculators by the means of case-based reasoning (CBR), an established problem-solving methodology, by individualizing and optimizing insulin therapy for various meal situations. CBR learns from experiences of past similar meals, which are described in cases through a set of parameters (eg, time of meal, alcohol, exercise). This work discusses the selection, representation and effect of case parameters used for a CBR-based Advanced Bolus Calculator for Diabetes (ABC4D).Methods:We analyzed the usage and effect of selected parameters during a pilot study (n = 10), where participants used ABC4D for 6 weeks. Retrospectively, we evaluated the effect of glucose rate of change before the meal on the glycemic excursion. Feedback from study participants about the choice of par...","Exercise and alcohol were the most frequently used parameters, which was congruent with the feedback from study participants, who found these parameters most useful, and indicated the potential benefit of including parameters exercise, alcohol and glucose-rate of change for insulin dosing decision support."
"Personalized glucose forecasting for type 2 diabetes using data assimilation.","https://scispace.com/paper/personalized-glucose-forecasting-for-type-2-diabetes-using-3nj6gm1mrq","2017","Journal Article","PLOS Computational Biology","David J. Albers
Matthew E. Levine
Bruce J. Gluckman
Henry N. Ginsberg
George Hripcsak
Lena Mamykina","10.1371/JOURNAL.PCBI.1005232","","Type 2 diabetes leads to premature death and reduced quality of life for 8% of Americans. Nutrition management is critical to maintaining glycemic control, yet it is difficult to achieve due to the high individual differences in glycemic response to nutrition. Anticipating glycemic impact of different meals can be challenging not only for individuals with diabetes, but also for expert diabetes educators. Personalized computational models that can accurately forecast an impact of a given meal on an individual's blood glucose levels can serve as the engine for a new generation of decision support tools for individuals with diabetes. However, to be useful in practice, these computational engines need to generate accurate forecasts based on limited datasets consistent with typical self-monitoring practices of individuals with type 2 diabetes. This paper uses three forecasting machines: (i) data assimilation, a technique borrowed from atmospheric physics and engineering that uses Bayesian modeling to infuse data with human knowledge represented in a mechanistic model, to generate real-time, personalized, adaptable glucose forecasts; (ii) model averaging of data assimilation output; and (iii) dynamical Gaussian process model regression. The proposed data assimilation machine, the primary focus of the paper, uses a modified dual unscented Kalman filter to estimate states and parameters, personalizing the mechanistic models. Model selection is used to make a personalized model selection for the individual and their measurement characteristics. The data assimilation forecasts are empirically evaluated against actual postprandial glucose measurements captured by individuals with type 2 diabetes, and against predictions generated by experienced diabetes educators after reviewing a set of historical nutritional records and glucose measurements for the same individual. The evaluation suggests that the data assimilation forecasts compare well with specific glucose measurements and match or exceed in accuracy expert forecasts. We conclude by examining ways to present predictions as forecast-derived range quantities and evaluate the comparative advantages of these ranges.","This paper uses three forecasting machines, a technique borrowed from atmospheric physics and engineering that uses Bayesian modeling to infuse data with human knowledge represented in a mechanistic model, to generate real-time, personalized, adaptable glucose forecasts."
"Evolvable rough-block-based neural network and its biomedical application to hypoglycemia detection system","https://scispace.com/paper/evolvable-rough-block-based-neural-network-and-its-3osy3somsb","2014","Journal Article","IEEE Transactions on Systems, Man, and Cybernetics","Phyo Phyo San
Sai Ho Ling
Nuryani
Hung T. Nguyen","10.1109/TCYB.2013.2283296","","This paper focuses on the hybridization technology using rough sets concepts and neural computing for decision and classification purposes Based on the rough set properties, the lower region and boundary region are defined to partition the input signal to a consistent (predictable) part and an inconsistent (random) part In this way, the neural network is designed to deal only with the boundary region, which mainly consists of an inconsistent part of applied input signal causing inaccurate modeling of the data set Owing to different characteristics of neural network (NN) applications, the same structure of conventional NN might not give the optimal solution Based on the knowledge of application in this paper, a block-based neural network (BBNN) is selected as a suitable classifier due to its ability to evolve internal structures and adaptability in dynamic environments This architecture will systematically incorporate the characteristics of application to the structure of hybrid rough-block-based neural network (R-BBNN) A global training algorithm, hybrid particle swarm optimization with wavelet mutation is introduced for parameter optimization of proposed R-BBNN The performance of the proposed R-BBNN algorithm was evaluated by an application to the field of medical diagnosis using real hypoglycemia episodes in patients with Type 1 diabetes mellitus The performance of the proposed hybrid system has been compared with some of the existing neural networks The comparison results indicated that the proposed method has improved classification performance and results in early convergence of the network","The proposed block-based neural network (BBNN) is selected as a suitable classifier due to its ability to evolve internal structures and adaptability in dynamic environments and a global training algorithm, hybrid particle swarm optimization with wavelet mutation is introduced for parameter optimization of proposed R-BBNN."
"An Actor-Critic based controller for glucose regulation in type 1 diabetes","https://scispace.com/paper/an-actor-critic-based-controller-for-glucose-regulation-in-2xqg8gskah","2013","Journal Article","Computer Methods and Programs in Biomedicine","Elena Daskalaki
Peter Diem
Stavroula Mougiakakou","10.1016/J.CMPB.2012.03.002","","","The AC based controller seems to be a promising approach for the automatic adjustment of insulin infusion in order to improve glycemic control and will be tested in a clinical trial."
"An Advanced Bolus Calculator for Type 1 Diabetes: System Architecture and Usability Results","https://scispace.com/paper/an-advanced-bolus-calculator-for-type-1-diabetes-system-1o4x99skbd","2016","Journal Article","IEEE Journal of Biomedical and Health Informatics","Peter Pesl
Pau Herrero
Monika Reddy
Maria Xenou
Nick Oliver
Desmond Johnston
Christofer Toumazou
Pantelis Georgiou","10.1109/JBHI.2015.2464088","","This paper presents the architecture and initial usability results of an advanced insulin bolus calculator for diabetes (ABC4D), which provides personalized insulin recommendations for people with diabetes by differentiating between various diabetes scenarios and automatically adjusting its parameters over time. The proposed platform comprises two main components: a smartphone-based patient platform allowing manual input of glucose and variables affecting blood glucose levels (e.g., meal carbohydrate content and exercise) and providing real-time insulin bolus recommendations; and a clinical revision platform to supervise the automatic adaptations of the bolus calculator parameters. The system implements a previously in silico validated bolus calculator algorithm based on case-based reasoning, which uses information from similar past events (i.e., cases) to suggest improved personalized insulin bolus recommendations and automatically learns from new events. Usability of ABC4D was assessed by analyzing the system usage at the end of a six-week pilot study ( n = 10). Further feedback on the use of ABC4D has been obtained from each participant at the end of the study from a usability questionnaire. On average, each participant requested 115 $\pm$ 21 insulin recommendations, of which 103 $\pm$ 28 (90%) were accepted. The clinical revision software proposed a total of 754 case revisions, where 723 (96%) adaptations were approved by a clinical expert and updated in the patient platform.","The architecture and initial usability results of an advanced insulin bolus calculator for diabetes (ABC4D), which provides personalized insulin recommendations for people with diabetes by differentiating between various diabetes scenarios and automatically adjusting its parameters over time, are presented."
"A hybrid clustering prediction for type 1 diabetes aid: towards decision support systems based upon scenario profile analysis","https://scispace.com/paper/a-hybrid-clustering-prediction-for-type-1-diabetes-aid-mi907bf2xo","2017","Proceedings Article","Cooperative and Human Aspects of Software Engineering","Ivan Contreras
Josep Vehí
Roberto Visentin
Martina Vettoretti","10.1109/CHASE.2017.61","","Type 1 diabetic patients present large variability reducing dramatically the ability to achieve adequate blood glucose control. Lifestyle and physiological factors highly impact their treatments which require some predictive capabilities to prevent as many adverse events as possible. The identification of the characteristic profiles of these patients would lead to an improvement in the accuracy of treatments in the specific scenarios that they face. This study presents the proof of concept of a clinical decision support system combining a classifier of glycemic profiles and a predictor of blood glucose levels. The system is aimed to identify data profiles according to a given scenario and to generate prediction models based of these scenarios to forecast blood glucose levels. The experiments were conducted in silico, by simulating different characteristics profiles of type 1 diabetic patients, in order to prove the feasibility of the approach. Clinical decision support systems based on this methodology could assist type 1 diabetic patients in their treatments according to patient's conditions and to the situations faced by patients.","This study presents the proof of concept of a clinical decision support system combining a classifier of glycemic profiles and a predictor of blood glucose levels to assist type 1 diabetic patients in their treatments according to patient's conditions and to the situations faced by patients."
"Artificial neural networks for closed loop control of in silico and ad hoc type 1 diabetes","https://scispace.com/paper/artificial-neural-networks-for-closed-loop-control-of-in-1sjp71ox1o","2012","Journal Article","Computer Methods and Programs in Biomedicine","J. Fernandez de Canete
S. Gonzalez-Perez
J. C. Ramos-Diaz","10.1016/J.CMPB.2011.11.006","","","Artificial neural networks are used for both the identification of patient dynamics and the glycaemic regulation of the in silico patient, and the results obtained show a good performance during food intake and variable exercise conditions."
