"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A systematic review on diabetic retinopathy detection and classification based on deep learning techniques using fundus images","https://scispace.com/paper/a-systematic-review-on-diabetic-retinopathy-detection-and-oj7e39ge8r","2024","Journal Article","PeerJ","Dasari Bhulakshmi
Dharmendra Singh Rajput","10.7717/peerj-cs.1947","","Diabetic retinopathy (DR) is the leading cause of visual impairment globally. It occurs due to long-term diabetes with fluctuating blood glucose levels. It has become a significant concern for people in the working age group as it can lead to vision loss in the future. Manual examination of fundus images is time-consuming and requires much effort and expertise to determine the severity of the retinopathy. To diagnose and evaluate the disease, deep learning-based technologies have been used, which analyze blood vessels, microaneurysms, exudates, macula, optic discs, and hemorrhages also used for initial detection and grading of DR. This study examines the fundamentals of diabetes, its prevalence, complications, and treatment strategies that use artificial intelligence methods such as machine learning (ML), deep learning (DL), and federated learning (FL). The research covers future studies, performance assessments, biomarkers, screening methods, and current datasets. Various neural network designs, including recurrent neural networks (RNNs), generative adversarial networks (GANs), and applications of ML, DL, and FL in the processing of fundus images, such as convolutional neural networks (CNNs) and their variations, are thoroughly examined. The potential research methods, such as developing DL models and incorporating heterogeneous data sources, are also outlined. Finally, the challenges and future directions of this research are discussed. ","A systematic review on diabetic retinopathy detection and classification based on deep learning techniques using fundus images explores the use of deep learning techniques for diagnosing and evaluating diabetic retinopathy using fundus images. The research covers various aspects of the disease, including its prevalence, complications, treatment strategies, and future directions."
"Long-term Prediction of Blood Glucose Levels in Type 1 Diabetes Using a CNN-LSTM-Based Deep Neural Network.","https://scispace.com/paper/long-term-prediction-of-blood-glucose-levels-in-type-1-1f97jm0w","2022","Journal Article","Journal of diabetes science and technology","Mehrad Jaloli
Marzia Cescon","10.1177/19322968221092785","","BACKGROUND
In this work, we leverage state-of-the-art deep learning-based algorithms for blood glucose (BG) forecasting in people with type 1 diabetes.


METHODS
We propose stacks of convolutional neural network and long short-term memory units to predict BG level for 30-, 60-, and 90-minute prediction horizon (PH), given historical glucose measurements, meal information, and insulin intakes. The evaluation was performed on two data sets, Replace-BG and DIAdvisor, representative of free-living conditions and in-hospital setting, respectively.


RESULTS
For 90-minute PH, our model obtained mean absolute error of 17.30 ± 2.07 and 18.23 ± 2.97 mg/dL, root mean square error of 23.45 ± 3.18 and 25.12 ± 4.65 mg/dL, coefficient of determination of 84.13 ± 4.22% and 82.34 ± 4.54%, and in terms of the continuous glucose-error grid analysis 94.71 ± 3.89% and 91.71 ± 4.32% accurate predictions, 1.81 ± 1.06% and 2.51 ± 0.86% benign errors, and 3.47 ± 1.12% and 5.78 ± 1.72% erroneous predictions, for Replace-BG and DIAdvisor data sets, respectively.


CONCLUSION
Our investigation demonstrated that our method achieved superior glucose forecasting compared with existing approaches in the literature, and thanks to its generalizability showed potential for real-life applications.","The investigation demonstrated that the proposed stacks of convolutional neural network and long short-term memory units to predict BG level for 30, 60, and 90-minute prediction horizon (PH) achieved superior glucose forecasting compared with existing approaches in the literature, and showed potential for real-life applications."
"A Human-Centered Evaluation of a Deep Learning System Deployed in Clinics for the Detection of Diabetic Retinopathy","https://scispace.com/paper/a-human-centered-evaluation-of-a-deep-learning-system-11f9ax1y0j","2020","Proceedings Article","Human Factors in Computing Systems","Emma Beede
Elizabeth Elliott Baylor
Fred Hersch
Anna Iurchenko
Lauren Wilcox
Paisan Ruamviboonsuk
Laura Vardoulakis","10.1145/3313831.3376718","","Deep learning algorithms promise to improve clinician workflows and patient outcomes. However, these gains have yet to be fully demonstrated in real world clinical settings. In this paper, we describe a human-centered study of a deep learning system used in clinics for the detection of diabetic eye disease. From interviews and observation across eleven clinics in Thailand, we characterize current eye-screening workflows, user expectations for an AI-assisted screening process, and post-deployment experiences. Our findings indicate that several socio-environmental factors impact model performance, nursing workflows, and the patient experience. We draw on these findings to reflect on the value of conducting human-centered evaluative research alongside prospective evaluations of model accuracy.","A human-centered study of a deep learning system used in clinics for the detection of diabetic eye disease in Thailand indicates that several socio-environmental factors impact model performance, nursing workflows, and the patient experience."
"Temporal deep learning framework for retinopathy prediction in patients with type 1 diabetes","https://scispace.com/paper/temporal-deep-learning-framework-for-retinopathy-prediction-34bez9kd","2022","Journal Article","Artificial Intelligence in Medicine","Sara Rabhi
Frédéric Blanchard
Alpha Mamadou Diallo
Djamal Zeghlache
Celine Lukas
Aurélie Berot
Brigitte Delemer
Sara Barraud","10.1016/j.artmed.2022.102408","","","In this paper , a generic deep learning-based framework for modeling irregular medical time series (IMTS) was developed to facilitate the comparative studies of sequential neural networks (transformers and long short-term memory) and irregular time representation techniques."
"GlySim: Modeling and Simulating Glycemic Response for Behavioral Lifestyle Interventions","https://scispace.com/paper/glysim-modeling-and-simulating-glycemic-response-for-u0d5vb42s6","2023","Proceedings Article","","Asiful Arefeen
Hassan Ghasemzadeh","10.1109/bhi58575.2023.10313443","","Effective prevention and management of diabetes relies on maintaining a normal blood glucose level, thus avoiding abnormal events such as hyperglycemia and hypoglycemia. Predicting anomalous events beforehand can potentially help patients and caregivers intervene to prevent such events through modifiable behaviors such as exercise, diet, and medication. Although Continuous Glucose Monitor (CGM) sensors have been used to monitor and forecast blood glucose level, current research lacks a computational approach that recommends a behavioral intervention to bring the glucose level to a normal range. To address this shortcoming, we present GlySim1, a CGM simulator that uses multimodal data to not only forecast future glucose readings but also enable a user to examine the impacts of behavior change on glucose response in advance. GlySim creates opportunities for change in food consumption, medication, and physical activity to avoid dysglycemia by pinpointing factors that cause anomalous events using Grad-CAM (Gradient-weighted Class Activation Mapping) and allowing users to observe how adjusting a behavioral factor changes glucose trajectories. We validate GlySim on a dataset of 10 patients with type 1 diabetes and achieve an overall mean absolute error (MAE) as low as 16.5 mg/dl in simulating glycemic response. Furthermore, GlySim detects hyperglycemic events with 0.89 average precision.","GlySim1 is presented, a CGM simulator that uses multimodal data to not only forecast future glucose readings but also enable a user to examine the impacts of behavior change on glucose response in advance and validate GlySim on a dataset of 10 patients with type 1 diabetes."
"Federated Learning for Microvasculature Segmentation and Diabetic Retinopathy Classification of Optical Coherence Tomography Data","https://scispace.com/paper/federated-learning-for-microvasculature-segmentation-and-3pb1ofdspv","2021","Journal Article","","Julian Lo
Timothy T. Yu
Da Ma
Pengxiao Zang
Julia P. Owen
Qinqin Zhang
Ruikang K. Wang
Mirza Faisal Beg
Aaron Y. Lee
Yali Jia
Marinko V. Sarunic","10.1016/J.XOPS.2021.100069","","Purpose To evaluate the performance of a federated learning framework for deep neural network-based retinal microvasculature segmentation and referable diabetic retinopathy (RDR) classification using optical coherence tomography (OCT) and OCT angiography (OCTA). Design Retrospective analysis of clinical OCT and OCTA scans of control and diabetic patients. Participants The data used for microvasculature segmentation consisted of OCTA en face images acquired from four OCT instruments with a total of 153 images, with fields-of-view ranging from 2×2mm to 6×6mm. The data used for RDR classification consisted of OCTA en face images and structural OCT projections acquired from two commercial OCT systems with a total of 700 images. Methods OCTA images used for microvasculature segmentation were manually delineated and verified by retina experts. Diabetic retinopathy (DR) severity was evaluated by retinal specialists and condensed into two classes: non-referable DR, and RDR. The federated learning configuration was demonstrated via simulation using four clients for microvasculature segmentation and compared with other collaborative methods. Subsequently, federated learning was applied over multiple institutions for RDR classification, and was compared with models trained and tested on data from the same institution (internal models) and different institutions (external models). Main Outcome Measures:For microvasculature segmentation, we measured the accuracy and Dice similarity coefficient (DSC). For severity classification, we measured accuracy, area under the receiver operating characteristic (AUROC) curve, area under the precision-recall curve, balanced accuracy, F1 score, sensitivity, specificity, and accuracy of further stratified severities. Results For both applications, federated learning achieved similar performance to internal models. Additionally, for microvasculature segmentation, the federated learning model achieved similar performance (mean DSC across all test sets 0.793) to models trained on a fully-centralized dataset (mean DSC: 0.807). For RDR classification, federated learning achieved an AUROC of 0.944–0.970; the internal models attained an AUROC of 0.945-0.978. Similar results are reflected in the other calculated evaluation metrics. Conclusions Federated learning shows similar results to traditional deep learning in both applications of segmentation and classification, while maintaining data privacy. Evaluation metrics highlight the potential of collaborative learning for increasing domain diversity and the generalizability of models used for the classification of OCT data.","In this paper, the performance of a federated learning framework for deep neural network-based retinal microvasculature segmentation and referable diabetic retinopathy (RDR) classification using OCT and OCT angiography (OCTA) was evaluated."
"Layered Meta-Learning Algorithm for Predicting Adverse Events in Type 1 Diabetes","https://scispace.com/paper/layered-meta-learning-algorithm-for-predicting-adverse-39xj5gad","","Journal Article","IEEE Access","Federico D'Antoni
Lorenzo Petrosino
Alessandro Marchetti
Luca Bacco
Silvia Pieralice
Luca Vollero
Paolo Pozzilli
Vincenzo Piemonte
Mario Merone","10.1109/ACCESS.2023.3237992","","Type 1 diabetes mellitus (T1D) is a chronic disease that, if not treated properly, can lead to serious complications. We propose a layered meta-learning approach based on multi-expert systems to predict adverse events in T1D. The base learner is composed of three deep neural networks and exploits only continuous glucose monitoring data as an input feature. Each network specializes in predicting whether the patient is about to experience hypoglycemia, hyperglycemia, or euglycemia. The output of the experts is passed to a meta-learner to provide the final model classification. In addition, we formally introduce a novel parameter, $\alpha $ , to evaluate the advance by which a prediction is performed. We evaluate the proposed approach on both a public and a private dataset and implement it on an edge device to test its feasibility in real life. On average, on the Ohio T1DM dataset, our system was able to predict hypoglycemia events with a time gain of 22.8 minutes, hyperglycemia ones with an advance of 24.0 minutes. Our model not only outperforms presented models in the literature in terms of events predicted with sufficient advance, but also with regard to the number of false positives, achieving on average 0.45 and 0.46 hypo- and hyperglycemic false alarms per day, respectively. Furthermore, the meta-learning approach effectively improves performance in a new cohort of patients by training only the meta-learner with a limited amount of data. We believe our approach would be an essential ally for the patients to control the glycemic fluctuations and adjust their insulin therapy and dietary intakes, enabling them to speed up decision-making and improve personal self-management, resulting in a reduced risk of acute and chronic complications. As our last contribution, we assessed the validity of the approach by exploiting only blood glucose variations as well as in combination with the information of the insulin boluses, the skin temperature, and the galvanic skin response. In general, we have observed that providing other information but CGM leads to slightly lower performances with respect to considering CGM alone.","In this article , a layered meta-learning approach based on multi-expert systems was proposed to predict adverse events in Type 1 diabetes mellitus (T1D) using continuous glucose monitoring data as an input feature."
"Artificial Intelligence to Diagnose Complications of Diabetes.","https://scispace.com/paper/artificial-intelligence-to-diagnose-complications-of-2fs8ac87kcmu","2024","Journal Article","Journal of diabetes science and technology","Alessandra T Ayers
Cindy N Ho
David Kerr
Simon Lebech Cichosz
Nestoras Mathioudakis
Michelle Wang
Bijan Najafi
S. Moon
Ambarish Pandey
David C. Klonoff","10.1177/19322968241287773","","Artificial intelligence (AI) is increasingly being used to diagnose complications of diabetes. Artificial intelligence is technology that enables computers and machines to simulate human intelligence and solve complicated problems. In this article, we address current and likely future applications for AI to be applied to diabetes and its complications, including pharmacoadherence to therapy, diagnosis of hypoglycemia, diabetic eye disease, diabetic kidney diseases, diabetic neuropathy, diabetic foot ulcers, and heart failure in diabetes.Artificial intelligence is advantageous because it can handle large and complex datasets from a variety of sources. With each additional type of data incorporated into a clinical picture of a patient, the calculation becomes increasingly complex and specific. Artificial intelligence is the foundation of emerging medical technologies; it will power the future of diagnosing diabetes complications.","Artificial intelligence (AI) is being increasingly applied to diagnose diabetes complications, leveraging large and complex datasets to improve pharmacoadherence, diagnose hypoglycemia and other complications, and enhance patient care through emerging medical technologies."
"Blood Glucose Prediction for Type-1 Diabetics using Deep Reinforcement Learning","https://scispace.com/paper/blood-glucose-prediction-for-type-1-diabetics-using-deep-2ksnw1z1ny","2023","Journal Article","","P. Domański
Aritra Ray
Farshad Firouzi
Kyle Lafata
Krishnendu Chakrabarty
Dirk Pflüger","10.1109/icdh60066.2023.00042","","An accurate prediction of blood glucose levels for individuals affected with type-1 diabetes mellitus helps to regulate blood glucose through specific insulin delivery. In our work, we propose the design of a densely-connected encoder-decoder network in conjunction with Long-Short Term Memory networks. We formulate the blood glucose prediction as a deep reinforcement learning problem and evaluate our results on the OhioT1DM dataset. The OhioT1DM dataset contains blood glucose monitoring records in intervals of 5 minutes over 8 weeks for 12 patients affected with type-1 diabetes mellitus. Prior works aim to predict the blood glucose levels in prediction horizons of 30 and 45 minutes, corresponding to 6 and 9 data points, respectively. Compared to prior work with the best prediction accuracy so far with respect to the mean absolute error, we improve by 18.4% and 22.5% in 30-minute and 45-minute prediction horizons, respectively. Furthermore, for risk assessment in our predictions, we visualize the error and evaluate clinical risk through a surveillance error grid approach. ","This work proposes the design of a densely-connected encoder-decoder network in conjunction with Long-Short Term Memory networks for blood glucose prediction as a deep reinforcement learning problem and evaluates the results on the OhioT1DM dataset."
"Use of Machine Learning Approaches in Clinical Epidemiological Research of Diabetes","https://scispace.com/paper/use-of-machine-learning-approaches-in-clinical-1anpe5qtmg","2020","Journal Article","Current Diabetes Reports","Sanjay Basu
Sanjay Basu
Karl T Johnson
Seth A. Berkowitz","10.1007/S11892-020-01353-5","","Machine learning approaches—which seek to predict outcomes or classify patient features by recognizing patterns in large datasets—are increasingly applied to clinical epidemiology research on diabetes. Given its novelty and emergence in fields outside of biomedical research, machine learning terminology, techniques, and research findings may be unfamiliar to diabetes researchers. Our aim was to present the use of machine learning approaches in an approachable way, drawing from clinical epidemiological research in diabetes published from 1 Jan 2017 to 1 June 2020. Machine learning approaches using tree-based learners—which produce decision trees to help guide clinical interventions—frequently have higher sensitivity and specificity than traditional regression models for risk prediction. Machine learning approaches using neural networking and “deep learning” can be applied to medical image data, particularly for the identification and staging of diabetic retinopathy and skin ulcers. Among the machine learning approaches reviewed, researchers identified new strategies to develop standard datasets for rigorous comparisons across older and newer approaches, methods to illustrate how a machine learner was treating underlying data, and approaches to improve the transparency of the machine learning process. Machine learning approaches have the potential to improve risk stratification and outcome prediction for clinical epidemiology applications. Achieving this potential would be facilitated by use of universal open-source datasets for fair comparisons. More work remains in the application of strategies to communicate how the machine learners are generating their predictions.","Machine learning approaches have the potential to improve risk stratification and outcome prediction for clinical epidemiology applications, and would be facilitated by use of universal open-source datasets for fair comparisons."
