"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Artificial Intelligence Algorithms for Treatment of Diabetes","https://scispace.com/paper/artificial-intelligence-algorithms-for-treatment-of-diabetes-20lfw2x4","2022","Journal Article","Algorithms","Mudassir Rashid
Mohammad Reza Askari
Canyu Chen
Yueqing Liang
Kai Shu
Ali Cinar","10.3390/a15090299","","Artificial intelligence (AI) algorithms can provide actionable insights for clinical decision-making and managing chronic diseases. The treatment and management of complex chronic diseases, such as diabetes, stands to benefit from novel AI algorithms analyzing the frequent real-time streaming data and the occasional medical diagnostics and laboratory test results reported in electronic health records (EHR). Novel algorithms are needed to develop trustworthy, responsible, reliable, and robust AI techniques that can handle the imperfect and imbalanced data of EHRs and inconsistencies or discrepancies with free-living self-reported information. The challenges and applications of AI for two problems in the healthcare domain were explored in this work. First, we introduced novel AI algorithms for EHRs designed to be fair and unbiased while accommodating privacy concerns in predicting treatments and outcomes. Then, we studied the innovative approach of using machine learning to improve automated insulin delivery systems through analyzing real-time information from wearable devices and historical data to identify informative trends and patterns in free-living data. Application examples in the treatment of diabetes demonstrate the benefits of AI tools for medical and health informatics.","This work introduced novel AI algorithms for EHRs designed to be fair and unbiased while accommodating privacy concerns in predicting treatments and outcomes and studied the innovative approach of using machine learning to improve automated insulin delivery systems through analyzing real-time information from wearable devices and historical data to identify informative trends and patterns in free-living data."
"Artificial Intelligence Applications in Diabetic Retinopathy: What We Have Now and What to Expect in the Future","https://scispace.com/paper/artificial-intelligence-applications-in-diabetic-retinopathy-2koa9cg6kf","2024","Journal Article","Endocrinology and Metabolism","Mingui Kong
Su Jeong Song","10.3803/enm.2023.1913","","Diabetic retinopathy (DR) is a major complication of diabetes mellitus and is a leading cause of vision loss globally. A prompt and accurate diagnosis is crucial for ensuring favorable visual outcomes, highlighting the need for increased access to medical care. The recent remarkable advancements in artificial intelligence (AI) have raised high expectations for its role in disease diagnosis and prognosis prediction across various medical fields. In addition to achieving high precision comparable to that of ophthalmologists, AI-based diagnosis of DR has the potential to improve medical accessibility, especially through telemedicine. In this review paper, we aim to examine the current role of AI in the diagnosis of DR and explore future directions. ","AI has the potential to revolutionize diabetic retinopathy diagnosis, improving accessibility and achieving high precision comparable to ophthalmologists."
"A multimodal deep learning architecture for predicting interstitial glucose for effective type 2 diabetes management","https://scispace.com/paper/a-multimodal-deep-learning-architecture-for-predicting-8t2ekzhehdu6","2025","Journal Article","Dental science reports","Muhammad Salman Haleem
Daphne N. Katsarou
Eleni I. Georga
George Dafoulas
Αlexandra Bargiota
Laura Lopez-Perez
Miguel Rujas
Giuseppe Fico
Leandro Pecchia
Dimitrios I. Fotiadis","10.1038/s41598-025-07272-3","","Abstract The accurate prediction of blood glucose is critical for the effective management of diabetes. Modern continuous glucose monitoring (CGM) technology enables real-time acquisition of interstitial glucose concentrations, which can be calibrated against blood glucose measurements. However, a key challenge in the effective management of type 2 diabetes lies in forecasting critical events driven by glucose variability. While recent advances in deep learning enable modeling of temporal patterns in glucose fluctuations, most of the existing methods rely on unimodal inputs and fail to account for individual physiological differences that influence interstitial glucose dynamics. These limitations highlight the need for multimodal approaches that integrate additional personalized physiological information. One of the primary reasons for multimodal approaches not being widely studied in this field is the bottleneck associated with the availability of subjects’ health records. In this paper, we propose a multimodal approach trained on sequences of CGM values and enriched with physiological context derived from health records of 40 individuals with type 2 diabetes. The CGM time series were processed using a stacked Convolutional Neural Network (CNN) and a Bidirectional Long Short-Term Memory (BiLSTM) network followed by an attention mechanism. The BiLSTM learned long-term temporal dependencies, while the CNN captured local sequential features. Physiological heterogeneity was incorporated through a separate pipeline of neural networks that processed baseline health records and was later fused with the CGM modeling stream. To validate our model, we utilized CGM values of 30 min sampled with a moving window of 5 min to predict the CGM values with a prediction horizon of (a) 15 min, (b) 30 min, and (c) 60 min. We achieved the multimodal architecture prediction results with Mean Absolute Point Error (MAPE) between 14 and 24 mg/dL, 19–22 mg/dL, 25–26 mg/dL in case of Menarini sensor and 6–11 mg/dL, 9–14 mg/dL, 12–18 mg/dL in case of Abbot sensor for 15, 30 and 60 min prediction horizon respectively. The results suggested that the proposed multimodal model achieved higher prediction accuracy compared to unimodal approaches; with upto 96.7% prediction accuracy; supporting its potential as a generalizable solution for interstitial glucose prediction and personalized management in the type 2 diabetes population. ","This study proposes a multimodal deep learning architecture that integrates continuous glucose monitoring data with physiological context from health records to predict interstitial glucose levels in type 2 diabetes patients with high accuracy (up to 96.7%) and low error (MAPE 6-26 mg/dL)."
"Application of Machine Learning in the Field of Diabetes","https://scispace.com/paper/application-of-machine-learning-in-the-field-of-diabetes-nkvch2hp0b97","","","","Churong Wei","10.61173/kc05df27","","Diabetes, a prevalent chronic disease worldwide, poses significant challenges to healthcare systems, with its cases steadily increasing. Machine learning has emerged as a promising tool in diabetes research, offering opportunities for prediction and diagnosis through analysis of vast clinical datasets. This paper systematically reviews and analyzes the latest research progress in ML applications for diabetes, encompassing risk prediction and clinical diagnosis. Various ML techniques, including neural networks, supervised learning, semi-supervised learning, deep learning, and ensemble learning, are explored in their application to diabetes research. While ML has shown promise in improving diagnostic accuracy and efficiency, several challenges remain, such as data quality, model interpretability, and computational requirements. Recommendations for future research focus on addressing these challenges to further advance ML’s effectiveness in diabetes management. Through this review, we aim to provide valuable insights for researchers and clinicians, promoting the continued development and application of ML technology in diabetes care, improving efficiency and accuracy.","This paper reviews machine learning applications in diabetes research, exploring techniques like neural networks and deep learning for risk prediction and clinical diagnosis, while highlighting challenges and recommending future research directions to improve ML's effectiveness in diabetes management."
"IoMT-Enabled Real-Time Blood Glucose Prediction With Deep Learning and Edge Computing","https://scispace.com/paper/iomt-enabled-real-time-blood-glucose-prediction-with-deep-34ev709w","2023","Journal Article","IEEE Internet of Things Journal","","10.1109/jiot.2022.3143375","","Blood glucose (BG) prediction is essential to the success of glycemic control in type 1 diabetes (T1D) management. Empowered by the recent development of the Internet of Medical Things (IoMT), continuous glucose monitoring (CGM) and deep learning technologies have been demonstrated to achieve the state of the art in BG prediction. However, it is challenging to implement such algorithms in actual clinical settings to provide persistent decision support due to the high demand for computational resources, while smartphone-based implementations are limited by short battery life and require users to carry the device. In this work, we propose a new deep learning model using an attention-based evidential recurrent neural network and design an IoMT-enabled wearable device to implement the embedded model, which comprises a low-cost and low-power system on a chip to perform Bluetooth connectivity and edge computing for real-time BG prediction and predictive hypoglycemia detection. In addition, we developed a smartphone app to visualize BG trajectories and predictions, and desktop and cloud platforms to backup data and fine-tune models. The embedded model was evaluated on three clinical data sets including 47 T1D subjects. The proposed model achieved superior performance of root mean square error (RMSE), mean absolute error, and glucose-specific RMSE, and obtained the best accuracy for hypoglycemia detection when compared with a group of machine learning baseline methods. Moreover, we performed hardware-in-the-loop in silico trials with ten virtual T1D adults to test the whole IoMT system with predictive low-glucose management, which significantly reduced hypoglycemia and improved BG control. ","In this article , a deep learning model using an attention-based evidential recurrent neural network (RNN) was proposed for real-time blood glucose prediction and predictive hypoglycemia detection."
"Modeling the Research Landscapes of Artificial Intelligence Applications in Diabetes (GAPRESEARCH).","https://scispace.com/paper/modeling-the-research-landscapes-of-artificial-intelligence-4ukkgpuc6l","2020","Journal Article","International Journal of Environmental Research and Public Health","Giang Thu Vu
Bach Xuan Tran
Bach Xuan Tran
Roger S. McIntyre
Hai Quang Pham
Hai Thanh Phan
Giang Hai Ha
Kenneth K. Gwee
Carl A. Latkin
Roger C.M. Ho
Cyrus S.H. Ho","10.3390/IJERPH17061982","","The rising prevalence and global burden of diabetes fortify the need for more comprehensive and effective management to prevent, monitor, and treat diabetes and its complications. Applying artificial intelligence in complimenting the diagnosis, management, and prediction of the diabetes trajectory has been increasingly common over the years. This study aims to illustrate an inclusive landscape of application of artificial intelligence in diabetes through a bibliographic analysis and offers future direction for research. Bibliometrics analysis was combined with exploratory factor analysis and latent Dirichlet allocation to uncover emergent research domains and topics related to artificial intelligence and diabetes. Data were extracted from the Web of Science Core Collection database. The results showed a rising trend in the number of papers and citations concerning AI applications in diabetes, especially since 2010. The nucleus driving the research and development of AI in diabetes is centered around developed countries, mainly consisting of the United States, which contributed 44.1% of the publications. Our analyses uncovered the top five emerging research domains to be: (i) use of artificial intelligence in diagnosis of diabetes, (ii) risk assessment of diabetes and its complications, (iii) role of artificial intelligence in novel treatments and monitoring in diabetes, (iv) application of telehealth and wearable technology in the daily management of diabetes, and (v) robotic surgical outcomes with diabetes as a comorbid. Despite the benefits of artificial intelligence, challenges with system accuracy, validity, and confidentiality breach will need to be tackled before being widely applied for patients' benefits.","An inclusive landscape of application of artificial intelligence in diabetes is illustrated through a bibliographic analysis and future direction for research is offered, including the top five emerging research domains."
"Deep Learning for Automated Diabetic Retinopathy Screening Fused With Heterogeneous Data From EHRs Can Lead to Earlier Referral Decisions.","https://scispace.com/paper/deep-learning-for-automated-diabetic-retinopathy-screening-5d7c8rxyhw","2021","Journal Article","Translational Vision Science & Technology","Min Yen Hsu
Min Yen Hsu
Jeng Yuan Chiou
Jung Tzu Liu
Chee Ming Lee
Ya Wen Lee
Chien Chih Chou
Shih Chang Lo
Edy Kornelius
Yi Sun Yang
Sung Yen Chang
Yu Cheng Liu
Chien-Ning Huang
Vincent S. Tseng","10.1167/TVST.10.9.18","","Purpose Fundus images are typically used as the sole training input for automated diabetic retinopathy (DR) classification. In this study, we considered several well-known DR risk factors and attempted to improve the accuracy of DR screening. Metphods Fusing nonimage data (e.g., age, gender, smoking status, International Classification of Disease code, and laboratory tests) with data from fundus images can enable an end-to-end deep learning architecture for DR screening. We propose a neural network that simultaneously trains heterogeneous data and increases the performance of DR classification in terms of sensitivity and specificity. In the current retrospective study, 13,410 fundus images and their corresponding nonimage data were collected from the Chung Shan Medical University Hospital in Taiwan. The images were classified as either nonreferable or referable for DR by a panel of ophthalmologists. Cross-validation was used for the training models and to evaluate the classification performance. Results The proposed fusion model achieved 97.96% area under the curve with 96.84% sensitivity and 89.44% specificity for determining referable DR from multimodal data, and significantly outperformed the models that used image or nonimage information separately. Conclusions The fusion model with heterogeneous data has the potential to improve referable DR screening performance for earlier referral decisions. Translational relevance Artificial intelligence fused with heterogeneous data from electronic health records could provide earlier referral decisions from DR screening.","In this article, a neural network that simultaneously trains heterogeneous data and increases the performance of diabetic retinopathy classification in terms of sensitivity and specificity has been proposed to improve the accuracy of DR screening."
"Chapter 11. Artificial Intelligence for Diabetes-related Complications: The Eye as a Window to the Systemic Health","https://scispace.com/paper/chapter-11-artificial-intelligence-for-diabetes-related-3czez4la","2022","Book Chapter","","","10.1039/9781839165498-00305","","Diabetes mellitus (DM) is a global pandemic that is one of the fastest growing chronic diseases and the top cause of blindness in the working population. The eye provides a direct visualization to the body's vasculature and systemic health, allowing it to be a minimally invasive tool to evaluate DM and its micro- and macrovascular complications, including diabetic retinopathy, corneal neuropathy, cardiovascular disease, chronic kidney disease and cerebrovascular disease. With the rapid rate of disease burden, there is an unmet public health need to identify these diseases at an early stage to implement timely management. Artificial intelligence (AI), in particular deep learning, has been widely explored for disease segmentation, classification, and prediction. Despite the advances in AI for optimizing the screening and management of DM, future work is warranted to address the issues such as interpretability, cost, and acceptance of AI systems by patients and healthcare workers. ","In this article , the authors proposed a minimally invasive approach to evaluate DM and its micro-and macrovascular complications, including diabetic retinopathy, corneal neuropathy, cardiovascular disease, chronic kidney disease and cerebrovascular disease."
"Interpreting Deep Glucose Predictive Models for Diabetic People Using RETAIN","https://scispace.com/paper/interpreting-deep-glucose-predictive-models-for-diabetic-1gzb8b6w5a","2020","Book Chapter","International Conference on Pattern Recognition","Maxime De Bois
Mounim A. El-Yacoubi
Mehdi Ammi","10.1007/978-3-030-59830-3_59","","Progress in the biomedical field through the use of deep learning is hindered by the lack of interpretability of the models. In this paper, we study the RETAIN architecture for the forecasting of future glucose values for diabetic people. Thanks to its two-level attention mechanism, the RETAIN model is interpretable while remaining as efficient as standard neural networks.","In this paper, the RETAIN model is used to predict future glucose values for diabetic people. But, the model is not interpretable due to the lack of interpretability of the models."
"Interpreting Deep Glucose Predictive Models for Diabetic People Using RETAIN","https://scispace.com/paper/interpreting-deep-glucose-predictive-models-for-diabetic-3k8hmxu85z","2020","Posted Content","arXiv: Learning","Maxime De Bois
Mounim A. El Yacoubi
Mehdi Ammi","","","Progress in the biomedical field through the use of deep learning is hindered by the lack of interpretability of the models. In this paper, we study the RETAIN architecture for the forecasting of future glucose values for diabetic people. Thanks to its two-level attention mechanism, the RETAIN model is interpretable while remaining as efficient as standard neural networks. We evaluate the model on a real-world type-2 diabetic population and we compare it to a random forest model and a LSTM-based recurrent neural network. Our results show that the RETAIN model outperforms the former and equals the latter on common accuracy metrics and clinical acceptability metrics, thereby proving its legitimacy in the context of glucose level forecasting. Furthermore, we propose tools to take advantage of the RETAIN interpretable nature. As informative for the patients as for the practitioners, it can enhance the understanding of the predictions made by the model and improve the design of future glucose predictive models.","The RETAIN architecture for the forecasting of future glucose values for diabetic people is studied, proving its legitimacy in the context of glucose level forecasting and proposing tools to take advantage of its interpretable nature."
