"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"<scp>GlucoNet</scp>‐<scp>MM</scp>: A multimodal attention‐based multi‐task learning framework with decision transformer for personalised and explainable blood glucose forecasting","https://scispace.com/paper/scp-gluconet-scp-scp-mm-scp-a-multimodal-attention-based-io3ap30t1q9h","2025","Journal Article","Diabetes, Obesity and Metabolism","Sarmad Maqsood
Muhammad Abdullah Sarwar
Eglė Belousovienė
Rytis Maskeliūnas","10.1111/dom.70147","","Abstract Aims Accurate and personalized blood glucose prediction is critical for proactive diabetes management. Conventional machine learning (ML) models often struggle to generalize across patients due to individual variability, nonlinear glycemic dynamics, and sparse multimodal input data. This study aims to develop an advanced, interpretable deep learning (DL) framework for patient‐specific, policy‐aware blood glucose forecasting. Materials and Methods We propose GlucoNet‐MM, a novel multimodal DL framework that combines attention‐based multi‐task learning (MTL) with a Decision Transformer (DT), a reinforcement learning paradigm that frames policy learning as sequence modeling. The model integrates heterogeneous physiological and behavioral data, continuous glucose monitoring (CGM), insulin dosage, carbohydrate intake, and physical activity, to capture complex temporal dependencies. The MTL backbone learns shared representations across multiple prediction horizons, while the DT module conditions future glucose predictions on desired glycemic outcomes. Temporal attention visualizations and integrated gradient‐based attribution methods are used to provide interpretability, and Monte Carlo dropout is employed for uncertainty quantification. Results GlucoNet‐MM was evaluated on two publicly available datasets, BrisT1D and OhioT1DM. The model achieved R 2 scores of 0.94 and 0.96 and mean absolute error (MAE) values of 0.031 and 0.027, respectively. These results outperform single‐modality and conventional non‐adaptive baseline models, demonstrating superior predictive accuracy and generalizability. Conclusion GlucoNet‐MM represents a promising step toward intelligent, personalized clinical decision support for diabetes care. Its multimodal design, policy‐aware forecasting, and interpretability features enhance both prediction accuracy and clinical trust, enabling proactive glycemic management tailored to individual patient needs. ","This study presents GlucoNet-MM, a multimodal deep learning framework that integrates heterogeneous data for personalized blood glucose forecasting, achieving superior predictive accuracy and generalizability on two public datasets with R² scores of 0.94-0.96 and MAE of 0.027-0.031."
"Explainable AI-Driven 1D-CNN with Efficient Wireless Communication System Integration for Multimodal Diabetes Prediction","https://scispace.com/paper/explainable-ai-driven-1d-cnn-with-efficient-wireless-qrc0ljnxmur6","2025","Journal Article","AI","Radwa Ahmed Osman","10.3390/ai6100243","","The early detection of diabetes risk and effective management of patient data are critical for avoiding serious consequences and improving treatment success. This research describes a two-part architecture that combines an energy-efficient wireless communication technology with an interpretable deep learning model for diabetes categorization. In Phase 1, a unique wireless communication model is created to assure the accurate transfer of real-time patient data from wearable devices to medical centers. Using Lagrange optimization, the model identifies the best transmission distance and power needs, lowering energy usage while preserving communication dependability. This contribution is especially essential since effective data transport is a necessary condition for continuous monitoring in large-scale healthcare systems. In Phase 2, the transmitted multimodal clinical, genetic, and lifestyle data are evaluated using a one-dimensional Convolutional Neural Network (1D-CNN) with Bayesian hyperparameter tuning. The model beat traditional deep learning architectures like LSTM and GRU. To improve interpretability and clinical acceptance, SHAP and LIME were used to find global and patient-specific predictors. This approach tackles technological and medicinal difficulties by integrating energy-efficient wireless communication with interpretable predictive modeling. The system ensures dependable data transfer, strong predictive performance, and transparent decision support, boosting trust in AI-assisted healthcare and enabling individualized diabetes control. ","This research integrates energy-efficient wireless communication with an interpretable 1D-CNN model for multimodal diabetes prediction, ensuring reliable data transfer, strong predictive performance, and transparent decision support for improved treatment success and patient trust in AI-assisted healthcare."
"Leveraging Artificial Intelligence and Wearable Technologies in Glucose Managenment: A Comprehensive Scoping Review of Current Trends and Future Directions","https://scispace.com/paper/leveraging-artificial-intelligence-and-wearable-technologies-kn1ywmq7j1py","2025","Journal Article","International journal of environmental sciences","Komal Dandge
Manisha Kumawat
Parul Jadhav","10.64252/a6fbg258","","The integration of artificial intelligence (AI) and machine learning (ML) with wearable health monitoring systems presents transformative opportunities for advancing diabetes management. This paper delivers an in-depth review of state-of-the-art AI/MLmethodologies applied to wearable sensor technology, focusing on noninvasive techniques for real- time blood glucose monitoring. Inparticular, we investigate the utility of wrist-worn photoplethysmography (PPG) signals for blood glucose estimation and assess IoTenabled continuous glucose monitoring (CGM) systems. A systematic literature search was conducted across prominent databases such as IEEE Xplore, PubMed, Scopus, and Web of Science. Studies were meticulously selected based on stringent criteria including technological innovation, methodological rigor, and clinical relevance. Our synthesis reveals significant progress in the accuracy, computational efficiency, and practical deployment of AI/ML algorithms in diabetes monitoring, while also identifying persistent challenges related to signal noise reduction, data heterogeneity, and sensor integration. The review further discusses the potential of these advanced technologies to enable early diagnosis, facilitate personalized treatment strategies, and ultimately improve patient outcomes. These insights underscore the critical need for continued interdisciplinary research and collaboration to overcome existing limitations and to drive the successful translation of these innovations into clinical practice. ","This scoping review synthesizes AI/ML methodologies with wearable sensor technology for non-invasive real-time blood glucose monitoring, highlighting advancements in accuracy, efficiency, and deployment, while identifying challenges and potential for early diagnosis and personalized treatment."
"A Multi-modal Deep Learning Approach for Predicting Type 2 Diabetes Complications: Early Warning System Design and Implementation","https://scispace.com/paper/a-multi-modal-deep-learning-approach-for-predicting-type-2-5nnb3lvqkzpo","2024","Journal Article","Journal of improved oil and gas recovery technology","Ke Xiong
Guanghe Cao
Ming Jin
Biao Ye","10.53469/wjimt.2024.07(06).15","","This paper presents a novel multi-modal deep learning framework for early prediction of Type 2 Diabetes (T2D) complications through an advanced early warning system. The proposed architecture integrates multiple data modalities including clinical measurements, laboratory results, and temporal patient data through a sophisticated attention-based fusion mechanism. The system implements specialized preprocessing techniques for different data modalities and employs an innovative feature extraction pipeline for comprehensive risk assessment. Experimental validation was conducted on a dataset comprising 15,847 patients collected over five years from multiple medical centres. The framework achieved 94.7% prediction accuracy with a 72-hour warning window, demonstrating superior performance compared to existing approaches. The implementation of adaptive threshold mechanisms reduced false positive rates to 4.8% while maintaining 93.8% sensitivity and 95.2% specificity. The system's effectiveness was validated through prospective testing on an independent cohort of 3,245 patients, showing robust performance across diverse patient populations. The attention-based fusion mechanism demonstrated a 15% improvement in prediction accuracy compared to conventional approaches. This research contributes to the advancement of medical artificial intelligence through interpretable deep learning models, providing healthcare practitioners with insights into the decision-making process while maintaining high prediction accuracy for early intervention in T2D complications management. ","This study presents a multi-modal deep learning framework for early prediction of Type 2 Diabetes complications, achieving 94.7% accuracy with a 72-hour warning window, and demonstrates superior performance compared to existing approaches with adaptive threshold mechanisms."
"Interpretable Deep Learning Models for Improved Diabetes Diagnosis","https://scispace.com/paper/interpretable-deep-learning-models-for-improved-diabetes-40bf0tf4zned","2025","Journal Article","Indian Scientific Journal Of Research In Engineering And Management","V Yamuna","10.55041/ijsrem50834","","Diabetes, a chronic condition marked by persistent high blood sugar, poses major global health challenges due to complications like cardiovascular disease and neuropathy. Traditional diagnostic methods, though common, are invasive, time-consuming, and prone to interpretation errors. To overcome these issues, this project proposes a novel machine learning framework that integrates structured data (e.g., demographics, test results) and unstructured data (e.g., retinal images, clinical notes) using deep learning models like CNNs, RNNs, and transformers. Explainable AI techniques, such as SHAP and attention mechanisms, are incorporated to make predictions transparent and trustworthy. An interactive diagnostic tool allows clinicians to explore model insights, enhancing adoption in real-world settings. With continuous learning capabilities, this framework aims to improve diagnostic accuracy, personalize treatment, and reduce healthcare burdens. ","This study proposes a novel machine learning framework integrating structured and unstructured data to improve diabetes diagnosis using deep learning models, explainable AI techniques, and an interactive diagnostic tool for enhanced transparency and accuracy."
"Multi-Horizon Glucose Prediction Across Populations with Deep Domain Generalization","https://scispace.com/paper/multi-horizon-glucose-prediction-across-populations-with-5bzjvdcgef","2024","Journal Article","IEEE Journal of Biomedical and Health Informatics","Taiyu Zhu
Ioannis Afentakis
Kezhi Li
Ryan Armiger
Neil Hill
Nick Oliver
Pantelis Georgiou","10.1109/jbhi.2024.3428921","","Real-time continuous glucose monitoring (CGM), augmented with accurate glucose prediction, offers an effective strategy for maintaining blood glucose levels within a therapeutically appropriate range. This is particularly crucial for individuals with type 1 diabetes (T1D) who require long-term self-management. However, with extensive glycemic variability, developing a prediction algorithm applicable across diverse populations remains a significant challenge. Leveraging meta-learning for domain generalization, we propose GPFormer, a Transformer-based zero-shot learning method designed for multi-horizon glucose prediction. We developed GPFormer on the REPLACE-BG dataset, comprising 226 participants with T1D, and proceeded to evaluate its performance using three external clinical datasets with CGM data. These included the OhioT1DM dataset, a publicly available dataset including 12 T1D participants, as well as two proprietary datasets. The first proprietary dataset included 22 participants, while the second contained 45 participants, encompassing a diverse group with T1D, type 2 diabetes, and those without diabetes, including patients admitted to hospitals. These four datasets include both outpatient and inpatient settings, various intervention strategies, and demographic variability, which effectively reflect real-world scenarios of CGM usage. When compared with a group of machine learning baseline methods, GPFormer consistently demonstrated superior performance and achieved the lowest root mean square error for all the evaluated datasets up to a prediction horizon of two hours. These experimental results highlight the effectiveness and generalizability of the proposed model across a variety of populations, demonstrating its substantial potential to enhance glucose management in a wide range of practical clinical settings. ","GPFormer, a Transformer-based zero-shot learning method designed for multi-horizon glucose prediction, demonstrates its substantial potential to enhance glucose management in a wide range of practical clinical settings."
"GARNN: An Interpretable Graph Attentive Recurrent Neural Network for
  Predicting Blood Glucose Levels via Multivariate Time Series","https://scispace.com/paper/garnn-an-interpretable-graph-attentive-recurrent-neural-2aru34mdj9","2024","Preprint","","Chengzhe Piao
Taiyu Zhu
Stephanie E Baldeweg
Paul Taylor
Pantelis Georgiou
Jinsheng Sun
Jun Wang
Kezhi Li","10.48550/arxiv.2402.16230","","Accurate prediction of future blood glucose (BG) levels can effectively improve BG management for people living with diabetes, thereby reducing complications and improving quality of life. The state of the art of BG prediction has been achieved by leveraging advanced deep learning methods to model multi-modal data, i.e., sensor data and self-reported event data, organised as multi-variate time series (MTS). However, these methods are mostly regarded as ``black boxes'' and not entirely trusted by clinicians and patients. In this paper, we propose interpretable graph attentive recurrent neural networks (GARNNs) to model MTS, explaining variable contributions via summarizing variable importance and generating feature maps by graph attention mechanisms instead of post-hoc analysis. We evaluate GARNNs on four datasets, representing diverse clinical scenarios. Upon comparison with twelve well-established baseline methods, GARNNs not only achieve the best prediction accuracy but also provide high-quality temporal interpretability, in particular for postprandial glucose levels as a result of corresponding meal intake and insulin injection. These findings underline the potential of GARNN as a robust tool for improving diabetes care, bridging the gap between deep learning technology and real-world healthcare solutions. ","GARNNs are interpretable graph attentive recurrent neural networks that achieve high accuracy and interpretability in predicting blood glucose levels via multivariate time series."
"FedGlu: A personalized federated learning-based glucose forecasting algorithm for improved performance in glycemic excursion regions","https://scispace.com/paper/fedglu-a-personalized-federated-learning-based-glucose-3n1wojzvoxx0","2024","Journal Article","arXiv.org","Darpit Dave
Kathan Vyas
Jagadish K. Jayagopal
Alfredo Garcia
Madhav Erraguntla
Mark Lawley","10.48550/arxiv.2408.13926","","Continuous glucose monitoring (CGM) devices provide real-time glucose monitoring and timely alerts for glycemic excursions, improving glycemic control among patients with diabetes. However, identifying rare events like hypoglycemia and hyperglycemia remain challenging due to their infrequency. Moreover, limited access to sensitive patient data hampers the development of robust machine learning models. Our objective is to accurately predict glycemic excursions while addressing data privacy concerns. To tackle excursion prediction, we propose a novel Hypo-Hyper (HH) loss function, which significantly improves performance in the glycemic excursion regions. The HH loss function demonstrates a 46% improvement over mean-squared error (MSE) loss across 125 patients. To address privacy concerns, we propose FedGlu, a machine learning model trained in a federated learning (FL) framework. FL allows collaborative learning without sharing sensitive data by training models locally and sharing only model parameters across other patients. FedGlu achieves a 35% superior glycemic excursion detection rate compared to local models. This improvement translates to enhanced performance in predicting both, hypoglycemia and hyperglycemia, for 105 out of 125 patients. These results underscore the effectiveness of the proposed HH loss function in augmenting the predictive capabilities of glucose predictions. Moreover, implementing models within a federated learning framework not only ensures better predictive capabilities but also safeguards sensitive data concurrently.","This study proposes FedGlu, a federated learning-based glucose forecasting algorithm, which improves glycemic excursion detection by 35% using a novel Hypo-Hyper loss function, enhancing predictive capabilities while safeguarding sensitive patient data."
"FedGlu: A personalized federated learning-based glucose forecasting algorithm for improved performance in glycemic excursion regions FedGlu: Personalized federated-learning based glucose forecasting algorithm","https://scispace.com/paper/fedglu-a-personalized-federated-learning-based-glucose-3hah3qqk9gpn","2025","Journal Article","","Dave Darpit
Kathan Vyas
Jagadish Kumaran Jayagopal
Alfredo García
Madhav Erraguntla
Mark Lawley","10.21203/rs.3.rs-7339691/v1","","<title>Abstract</title> <italic>Background:</italic>Continuous glucose monitoring (CGM) devices allow real-time glucose readings leading to improved glycemic control. However, glucose predictions in the lower (hypoglycemia) and higher (hyperglycemia) extremes, referred as glycemic excursions, remain challenging due to their rarity. Moreover, limited access to sensitive patient data hampers the development of robust machine learning models even with advanced deep learning algorithms available. <italic>Methods:</italic> We propose to simultaneously provide accurate glucose predictions in the excursion regions while addressing data privacy concerns. To tackle excursion prediction, we propose a novel Hypo-Hyper (HH) loss function that penalizes errors based on the underlying glycemic range with a higher penalty at the extremes over the normal glucose range. On the other hand, to address privacy concerns, we propose FedGlu, a machine learning model trained in a federated learning (FL) framework. FL allows collaborative learning without sharing sensitive data by training models locally and sharing only model parameters across other patients. The HH loss combined within FedGlu addresses both the challenges at the same time. <italic>Results:</italic> The HH loss function demonstrates a 46% improvement over mean-squared error (MSE) loss across 125 patients. Compared to local models, FedGlu improved glycemic excursion detection by 35% compared to local models. This improvement translates to enhanced performance in predicting both, hypoglycemia and hyperglycemia, for 105 out of 125 patients. <italic>Conclusions:</italic> These results underscore the effectiveness of the proposed HH loss function in augmenting the predictive capabilities of glucose predictions. Moreover, implementing models within a federated learning framework not only ensures better predictive capabilities but also safeguards sensitive data concurrently. ","Researchers propose FedGlu, a federated learning-based glucose forecasting algorithm that uses a novel Hypo-Hyper loss function to improve predictions in glycemic excursion regions, achieving 46% MSE improvement and 35% better glycemic excursion detection in 105 out of 125 patients."
"Graph-Based Explainable Method for Blood Glucose Prediction through Federated Learning","https://scispace.com/paper/graph-based-explainable-method-for-blood-glucose-prediction-29xygv0mdwa6","2024","Journal Article","","Chengzhe Piao
Kezhi Li","10.1201/9781032708430-3","","Around 400,000 individuals suffer from type 1 diabetes (T1D) in the UK, requiring insulin to regulate blood glucose (BG) levels due to their pancreas' inability to produce sufficient insulin. Continuous glucose monitoring (CGM) facilitates blood glucose level prediction (BGLP), allowing for timely interventions based on insulin delivery and carbohydrate intake to prevent complications. Current research has developed sequential models to predict BGLP, incorporating historical BG data along with factors like meal and insulin intake. These models show high performance and some temporal explainability but lack clarity in showing the importance of each attribute and risk privacy by merging data from multiple participants. To address these issues, a novel approach utilizing a graph attention memory (GAM) model comprising a gated recurrent unit (GRU) and a graph attention network (GAT) is proposed. Various data can be organized as multivariate time series, and GAT models the patterns among multiple variables. This method enhances attribute correlation modeling and provides transparent attribute relationships through dynamic graph structures, with attention weights indicating attribute importance over time. Then, GRU aggregates graph features, generating compact vectors for future BG prediction. Additionally, we employ federated learning (FL) for privacy-preserving population pattern learning. FL enables data to be leveraged in local devices rather than being sent to other places, protecting patients' privacy. In our experiments, evaluated using data from the OhioT1DM dataset, our proposed methods demonstrated stability and effectiveness. It achieved a root mean square error (RMSE) of 18.77 or 32.04 mg/dL for 30- or 60-minute prediction horizons, respectively. ","A graph-based explainable method for blood glucose prediction is proposed, utilizing a graph attention memory model and federated learning to enhance attribute correlation modeling, provide transparent attribute relationships, and preserve patient privacy, achieving an RMSE of 18.77-32.04 mg/dL."
