"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Optimal Filter Framework for Automated, Instantaneous Detection of Lesions in Retinal Images","https://scispace.com/paper/optimal-filter-framework-for-automated-instantaneous-4in8zzb6tv","2011","Journal Article","IEEE Transactions on Medical Imaging","Gwenole Quellec
Stephen R. Russell
Michael D. Abràmoff","10.1109/TMI.2010.2089383","","Automated detection of lesions in retinal images is a crucial step towards efficient early detection, or screening, of large at-risk populations. In particular, the detection of microaneurysms, usually the first sign of diabetic retinopathy (DR), and the detection of drusen, the hallmark of age-related macular degeneration (AMD), are of primary importance. In spite of substantial progress made, detection algorithms still produce 1) false positives - target lesions are mixed up with other normal or abnormal structures in the eye, and 2) false negatives - the large variability in the appearance of the lesions causes a subset of these target lesions to be missed. We propose a general framework for detecting and characterizing target lesions almost instantaneously. This framework relies on a feature space automatically derived from a set of reference image samples representing target lesions, including atypical target lesions, and those eye structures that are similar looking but are not target lesions. The reference image samples are obtained either from an expert- or a data-driven approach. Factor analysis is used to derive the filters generating this feature space from reference samples. Previously unseen image samples are then classified in this feature space. We tested this approach by training it to detect microaneurysms. On a set of images from 2739 patients including 67 with referable DR, DR detection area under the receiver-operating characteristic curve (AUC) was comparable (AUC=0.927) to our previously published red lesion detection algorithm (AUC=0.929). We also tested the approach on the detection of AMD, by training it to differentiate drusen from Stargardt's disease lesions, and achieved an AUC=0.850 on a set of 300 manually detected drusen and 300 manually detected flecks. The entire image processing sequence takes less than a second on a standard PC compared to minutes in our previous approach, allowing instantaneous detection. Free-response receiver-operating characteristic analysis showed the superiority of this approach over a framework where false positives and the atypical lesions are not explicitly modeled. A greater performance was achieved by the expert-driven approach for DR detection, where the designer had sound expert knowledge. However, for both problems, a comparable performance was obtained for both expert- and data-driven approaches. This indicates that annotation of a limited number of lesions suffices for building a detection system for any type of lesion in retinal images, if no expert-knowledge is available. We are studying whether the optimal filter framework also generalizes to the detection of any structure in other domains.","A general framework for detecting and characterizing target lesions almost instantaneously, which indicates that annotation of a limited number of lesions suffices for building a detection system for any type of lesion in retinal images, if no expert-knowledge is available."
"Automatic detection of red lesions in digital color fundus photographs","https://scispace.com/paper/automatic-detection-of-red-lesions-in-digital-color-fundus-5ev2m0czug","2005","Journal Article","IEEE Transactions on Medical Imaging","Meindert Niemeijer
B. van Ginneken
Joes Staal
M.S.A. Suttorp-Schulten
Michael D. Abràmoff","10.1109/TMI.2005.843738","","The robust detection of red lesions in digital color fundus photographs is a critical step in the development of automated screening systems for diabetic retinopathy. In this paper, a novel red lesion detection method is presented based on a hybrid approach, combining prior works by Spencer et al. (1996) and Frame et al. (1998) with two important new contributions. The first contribution is a new red lesion candidate detection system based on pixel classification. Using this technique, vasculature and red lesions are separated from the background of the image. After removal of the connected vasculature the remaining objects are considered possible red lesions. Second, an extensive number of new features are added to those proposed by Spencer-Frame. The detected candidate objects are classified using all features and a k-nearest neighbor classifier. An extensive evaluation was performed on a test set composed of images representative of those normally found in a screening set. When determining whether an image contains red lesions the system achieves a sensitivity of 100% at a specificity of 87%. The method is compared with several different automatic systems and is shown to outperform them all. Performance is close to that of a human expert examining the images for the presence of red lesions.","A novel red lesion detection method is presented based on a hybrid approach, combining prior works by Spencer et al. (1996) and Frame (1998) with two important new contributions, including a new red lesions candidate detection system based on pixel classification."
"The accuracy of digital-video retinal imaging to screen for diabetic retinopathy: an analysis of two digital-video retinal imaging systems using standard stereoscopic seven-field photography and dilated clinical examination as reference standards.","https://scispace.com/paper/the-accuracy-of-digital-video-retinal-imaging-to-screen-for-w338794nvg","2004","Journal Article","Transactions of the American Ophthalmological Society","M.G. Lawrence","","","Purpose To evaluate the accuracy of two digital-video retinal imaging (DVRI) systems to detect diabetic retinopathy. Methods A prospective, masked, technology assessment was conducted for two DVRI systems at a tertiary care Veterans Affairs Medical Center. Group A (n = 151 patients) was imaged with a 640x480 resolution system and group B (n = 103 patients) with an 800x600 resolution system. Four retinal evaluations were performed on each patient: DVRI with undilated pupils using one imaging field (U-DVRI), DVRI with dilated pupils using three imaging fields (D-DVRI), dilated clinical examination, and Early Treatment Diabetic Retinopathy Study stereoscopic seven-field photography (ETDRS-P). Two analyses of accuracy were conducted, one using ETDRS-P as a ""gold standard"" (ETDRS-GS) and one using dilated clinical examination as a ""gold standard"" (C-GS). Results For group A, using the ETDRS-GS, sensitivities of U-DVRI and D-DVRI were 0.66 and 0.66; specificities of U-DVRI and D-DVRI were 0.66 and 0.86. Using the C-GS, sensitivities of U-DVRI and D-DVRI were 0.79 and 0.80; specificities of U-DVRI and D-DVRI were 0.68 and 0.85. For group B, using the ETDRS-GS, sensitivities of U-DVRI and D-DVRI were 0.76 and 0.85; specificities of U-DVRI and D-DVRI were 0.45 and 0.80. Using the C-GS, sensitivities of U-DVRI and D-DVRI were 0.81 and 0.87; specificities of U-DVRI and D-DVRI were 0.45 and 0.69. For both groups, dilation significantly improved specificities. Conclusions The 800x600 resolution DVRI system offers an accurate method of detecting diabetic retinopathy, provided there is adequate pupillary dilation and three retinal images are taken. DVRI technology may help facilitate retinal screenings of growing diabetic populations.","The 800x600 resolution DVRI system offers an accurate method of detecting diabetic retinopathy, provided there is adequate pupillary dilation and three retinal images are taken."
"Imaging visual recognition: PET and fMRI studies of the functional anatomy of human visual recognition","https://scispace.com/paper/imaging-visual-recognition-pet-and-fmri-studies-of-the-2zib2dg4m6","1999","Journal Article","Trends in Cognitive Sciences","Martha J. Farah
Geoffrey K. Aguirre","10.1016/S1364-6613(99)01309-1","","","A review of a more recent approach to the neuroimaging of human visual recognition, in which the effects of recognizing different types of visual stimuli are compared directly and yields more replicable results, which accord better with the known effects of lesions."
"Automated segmentation of the optic disc from stereo color photographs using physiologically plausible features.","https://scispace.com/paper/automated-segmentation-of-the-optic-disc-from-stereo-color-3jwe8mlfvn","2007","Journal Article","Investigative Ophthalmology & Visual Science","Michael D. Abràmoff
Michael D. Abràmoff
Michael D. Abràmoff
Wallace L.M. Alward
Wallace L.M. Alward
Emily C. Greenlee
Emily C. Greenlee
Lesya M. Shuba
Chan Y. Kim
John H. Fingert
Young H. Kwon","10.1167/IOVS.06-1081","","RESULTS. The algorithm was able to assign cup, rim, and background correctly to 88% of all pixels. Correlations of the LCDR estimates of glaucoma fellows with those of the reference standard were 0.73 (95% CI, 0.58‐0.83), 0.81 (95% CI, 0.70‐ 0.89), and 0.86 (95% CI, 0.78‐0.91), respectively, whereas the correlation of the algorithm with the reference standard was 0.93 (95% CI, 0.89‐0.96; n 58). CONCLUSIONS. The pixel feature classification algorithm allows objective segmentation of the optic disc from conventional color stereo photographs automatically without human input. The performance of the disc segmentation and LCDR calculation of the algorithm was comparable to that of glaucoma fellows in training and is promising for objective evaluation of optic disc cupping. (Invest Ophthalmol Vis Sci. 2007;48: 1665‐1673) DOI:10.1167/iovs.06-1081","The performance of the disc segmentation and LCDR calculation of the algorithm was comparable to that of glaucoma fellows in training and is promising for objective evaluation of optic disc cupping."
"Automated Detection and Differentiation of Drusen, Exudates, and Cotton-Wool Spots in Digital Color Fundus Photographs for Diabetic Retinopathy Diagnosis","https://scispace.com/paper/automated-detection-and-differentiation-of-drusen-exudates-1mqg1pmyx4","2007","Journal Article","Investigative Ophthalmology & Visual Science","Meindert Niemeijer
Meindert Niemeijer
Meindert Niemeijer
Bram van Ginneken
Bram van Ginneken
Bram van Ginneken
Stephen R. Russell
Stephen R. Russell
Maria S. A. Suttorp-Schulten
Michael D. Abràmoff
Michael D. Abràmoff
Michael D. Abràmoff","10.1167/IOVS.06-0996","","purpose. To describe and evaluate a machine learning-based, automated system to detect exudates and cotton-wool spots in digital color fundus photographs and differentiate them from drusen, for early diagnosis of diabetic retinopathy. methods. Three hundred retinal images from one eye of 300 patients with diabetes were selected from a diabetic retinopathy telediagnosis database (nonmydriatic camera, two-field photography): 100 with previously diagnosed bright lesions and 200 without. A machine learning computer program was developed that can identify and differentiate among drusen, (hard) exudates, and cotton-wool spots. A human expert standard for the 300 images was obtained by consensus annotation by two retinal specialists. Sensitivities and specificities of the annotations on the 300 images by the automated system and a third retinal specialist were determined. results. The system achieved an area under the receiver operating characteristic (ROC) curve of 0.95 and sensitivity/specificity pairs of 0.95/0.88 for the detection of bright lesions of any type, and 0.95/0.86, 0.70/0.93, and 0.77/0.88 for the detection of exudates, cotton-wool spots, and drusen, respectively. The third retinal specialist achieved pairs of 0.95/0.74 for bright lesions and 0.90/0.98, 0.87/0.98, and 0.92/0.79 per lesion type. conclusions. A machine learning-based, automated system capable of detecting exudates and cotton-wool spots and differentiating them from drusen in color images obtained in community based diabetic patients has been developed and approaches the performance level of retinal experts. If the machine learning can be improved with additional training data sets, it may be useful for detecting clinically important bright lesions, enhancing early diagnosis, and reducing visual loss in patients with diabetes.","A machine learning-based, automated system capable of detecting exudates and cotton-wool spots and differentiating them from drusen in color images obtained in community based diabetic patients has been developed and approaches the performance level of retinal experts."
"Automated Analysis of Retinal Images for Detection of Referable Diabetic Retinopathy","https://scispace.com/paper/automated-analysis-of-retinal-images-for-detection-of-4bydz3tlsk","2013","Journal Article","JAMA Ophthalmology","Michael D. Abràmoff
James C. Folk
Dennis P. Han
Jonathan D. Walker
David F. Williams
Stephen R. Russell
Pascale Massin
Béatrice Cochener
Philippe Gain
Li Tang
Mathieu Lamard
Daniela C. Moga
Gwenole Quellec
Meindert Niemeijer","10.1001/JAMAOPHTHALMOL.2013.1743","","Importance The diagnostic accuracy of computer detection programs has been reported to be comparable to that of specialists and expert readers, but no computer detection programs have been validated in an independent cohort using an internationally recognized diabetic retinopathy (DR) standard. Objective To determine the sensitivity and specificity of the Iowa Detection Program (IDP) to detect referable diabetic retinopathy (RDR). Design and Setting In primary care DR clinics in France, from January 1, 2005, through December 31, 2010, patients were photographed consecutively, and retinal color images were graded for retinopathy severity according to the International Clinical Diabetic Retinopathy scale and macular edema by 3 masked independent retinal specialists and regraded with adjudication until consensus. The IDP analyzed the same images at a predetermined and fixed set point. We defined RDR as more than mild nonproliferative retinopathy and/or macular edema. Participants A total of 874 people with diabetes at risk for DR. Main Outcome Measures Sensitivity and specificity of the IDP to detect RDR, area under the receiver operating characteristic curve, sensitivity and specificity of the retinal specialists' readings, and mean interobserver difference (κ). Results The RDR prevalence was 21.7% (95% CI, 19.0%-24.5%). The IDP sensitivity was 96.8% (95% CI, 94.4%-99.3%) and specificity was 59.4% (95% CI, 55.7%-63.0%), corresponding to 6 of 874 false-negative results (none met treatment criteria). The area under the receiver operating characteristic curve was 0.937 (95% CI, 0.916-0.959). Before adjudication and consensus, the sensitivity/specificity of the retinal specialists were 0.80/0.98, 0.71/1.00, and 0.91/0.95, and the mean intergrader κ was 0.822. Conclusions The IDP has high sensitivity and specificity to detect RDR. Computer analysis of retinal photographs for DR and automated detection of RDR can be implemented safely into the DR screening pipeline, potentially improving access to screening and health care productivity and reducing visual loss through early treatment.","The IDP has high sensitivity and specificity to detect referable diabetic retinopathy and automated detection of RDR can be implemented safely into the DR screening pipeline, potentially improving access to screening and health care productivity and reducing visual loss through early treatment."
"Evaluation of a system for automatic detection of diabetic retinopathy from color fundus photographs in a large population of patients with diabetes: response to Abramoff et al.","https://scispace.com/paper/evaluation-of-a-system-for-automatic-detection-of-diabetic-23d60puube","2008","Journal Article","Diabetes Care","John A. Olson
Peter F. Sharp
Alan Fleming
Sam Philip","10.2337/DC08-0827","","We read with interest the recent article by Abramoff et al.(1) but were disappointed in their conclusion that automated grading software could not be recommended for clinical practice.

Our group's published work (2) shows that automated grading of diabetic retinopathy, based on image-quality assessment and microaneurysm detection, can safely reduce the burden of grading in diabetic retinopathy screening programs. Comparing manual and automated grading against a reference standard grading of 14,406 images (from 6,722 patients), we found that our automated system attained a higher sensitivity for detection of patients requiring “full disease” grading than the …","Comparing manual and automated grading against a reference standard grading of 14,406 images, it is found that the automated system attained a higher sensitivity for detection of patients requiring “full disease” grading than the manual system."
"Monoscopic versus stereoscopic retinal photography for grading diabetic retinopathy severity.","https://scispace.com/paper/monoscopic-versus-stereoscopic-retinal-photography-for-28pevspcub","2010","Journal Article","Investigative Ophthalmology & Visual Science","Helen K. Li
Helen K. Li
Larry D. Hubbard
Ronald P. Danis
Adol Esquivel
Jose F. Florez-Arango
Jose F. Florez-Arango
Elizabeth A. Krupinski","10.1167/IOVS.09-4886","","Purpose To assess agreement between monoscopic and stereoscopic photography for research classification of the severity of diabetic retinopathy (DR). Methods Monoscopic digital (MD) images were compared with stereo digital (SD) and film (SF) photographs from a 152-eye cohort with full-spectrum Early Treatment Diabetic Retinopathy Study (ETDRS) severity levels for agreement on severity level, DR presence with ascending severity threshold, presence of DR index lesions, and repeatability of grading. Results There was substantial agreement classifying ETDRS DR severity levels between MD and SF (kappa = 0.65, kappa(w) [linear weighted] = 0.87), MD and SD (kappa = 0.66, kappa(w) = 0.87), and SD and SF (kappa = 0.62, kappa(w) = 0.86) images. Marginal homogeneity analyses found no significant difference between MD and SF images (P = 0.53, Bhapkar test). The kappa agreement between MD and SF ranged from 0.80 to 0.94 for the presence or absence of eight ascending DR severity thresholds. Repeatability between the readers of the MD images was equal to or better than that of the readers of SD or SF images. Severity threshold grading repeatability between readers was similar with the MD and SF images. The kappa agreement between MD and SF for identifying diabetic retinopathy lesions ranged from moderate to almost perfect. The kappa comparisons showed that performance of grading new vessels on the disc in MD images was slightly lower than that with the SF images. Conclusions Monoscopic photography can equal the reliability of stereo photography for full ETDRS DR severity scale grading.","Monoscopic photography can equal the reliability of stereo photography for full ETDRS DR severity scale grading, and kappa agreements for identifying diabetic retinopathy lesions ranged from moderate to almost perfect."
"A comparison of the causes of blindness certifications in England and Wales in working age adults (16–64 years), 1999–2000 with 2009–2010","https://scispace.com/paper/a-comparison-of-the-causes-of-blindness-certifications-in-589b7vmnpo","2014","Journal Article","BMJ Open","Gerald Liew
Michel Michaelides
Michel Michaelides
Catey Bunce","10.1136/BMJOPEN-2013-004015","","Objectives To report on the causes of blindness certifications in England and Wales in working age adults (16–64 years) in 2009–2010; and to compare these with figures from 1999 to 2000. Design Analysis of the national database of blindness certificates of vision impairment (CVIs) received by the Certifications Office. Setting and participants Working age (16–64 years) population of England and Wales. Main outcome measures Number and cause of blindness certifications. Results The Certifications Office received 1756 CVIs for blindness from persons aged between 16 and 64 inclusive between 1 April 2009 and 31 March 2010. The main causes of blindness certifications were hereditary retinal disorders (354 certifications comprising 20.2% of the total), diabetic retinopathy/maculopathy (253 persons, 14.4%) and optic atrophy (248 persons, 14.1%). Together, these three leading causes accounted for almost 50% of all blindness certifications. Between 1 April 1999 and 31 March 2000, the leading causes of blindness certification were diabetic retinopathy/maculopathy (17.7%), hereditary retinal disorders (15.8%) and optic atrophy (10.1%). Conclusions For the first time in at least five decades, diabetic retinopathy/maculopathy is no longer the leading cause of certifiable blindness among working age adults in England and Wales, having been overtaken by inherited retinal disorders. This change may be related to factors including the introduction of nationwide diabetic retinopathy screening programmes in England and Wales and improved glycaemic control. Inherited retinal disease, now representing the commonest cause of certification in the working age population, has clinical and research implications, including with respect to the provision of care/resources in the NHS and the allocation of research funding.","For the first time in at least five decades, diabetic retinopathy/maculopathy is no longer the leading cause of certifiable blindness among working age adults in England and Wales, having been overtaken by inherited retinal disorders."
