"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Deep learning-powered segmentation and classification of diabetic retinopathy for enhanced diagnostic precision","https://scispace.com/paper/deep-learning-powered-segmentation-and-classification-of-1qb4xremz7b7","2024","Journal Article","Deleted Journal","M. Harisha
Arya Arun Bhosale
M. Narender","10.36922/aih.2783","","This study addresses the critical challenge of diabetic retinopathy (DR), a severe complication of diabetes that potentially leads to blindness. We introduce a novel approach to DR detection using transfer learning, leveraging a single fundus photograph to automatically identify the disease&amp;rsquo;s stage. DR progresses through four stages, posing challenges for early detection, with existing methods often inefficient and prone to disagreements among clinicians. The proposed approach demonstrated in the APTOS 2019 Blindness Detection Competition employs convolutional neural networks (CNNs) and achieved a high quadratic weighted kappa score of 0.92546, highlighting its effectiveness in automatic DR detection and emphasizing the need for timely intervention. This paper first reviews related work, spanning classical computer vision methods to deep learning approaches, with a focus on CNNs. Transfer learning with CNN architectures is explored, showcasing promising results from various studies. Identifying two critical gaps in existing literature, the research emphasizes the need for comprehensive exploration into integrating pre-trained large language models (LLMs) with segmented image inputs for generating test/treatment recommendations. In addition, understanding the dynamic interactions among integrated components, including lesion segmentations, disease classification, and LLMs within web applications, remains essential. The objectives of the study include developing a comprehensive DR detection methodology, exploring and implementing model integration, evaluating performance through competition ranking, contributing significantly to DR detection methodologies, and identifying research gaps. The study encompasses revolutionizing DR detection by integrating cutting-edge technologies, focusing on transfer learning and various model integrations within web applications. The methodology covers data pre-processing, augmentation, segmentation using U-Net neural network architecture, and a detailed training process. The U-Net model demonstrates efficient segmentation of retinal structures with high accuracy and an impressive frames-per-second rate. The results highlight the model&amp;rsquo;s effectiveness in segmenting blood vessels, hard exudates, soft exudates, hemorrhages, microaneurysms, and the optical disc, with high Jaccard, F1, recall, precision, and accuracy scores. These findings underscore the model&amp;rsquo;s potential to enhance diagnostic capabilities in retinal pathology assessment, promising improved patient outcomes through timely diagnosis and intervention in combating DR. ","This study introduces a deep learning-powered approach for diabetic retinopathy detection using transfer learning and convolutional neural networks, achieving a high accuracy of 0.92546 in the APTOS 2019 Blindness Detection Competition, enhancing diagnostic precision and timely intervention."
"A Privacy-Preserved Transfer Learning Concept to Predict Diabetic Kidney Disease at Out-of-Network Siloed Sites Using an In-Network Federated Model on Real-World Data.","https://scispace.com/paper/a-privacy-preserved-transfer-learning-concept-to-predict-13f1xu1y","","Journal Article","","Humayera Islam
K. Alaboud
Tanmoy Paul
Md Kamruz Zaman Rana
Abu Saleh Mohammad Mosa","","","Successful implementation of data-driven artificial intelligence (AI) applications requires access to large datasets. Healthcare institutions can establish coordinated data-sharing networks to address the complexity of large clinical data accessibility for scientific advancements. However, persisting challenges from controlled access, safe data transferring, license restrictions from regulatory and legal concerns discourage data sharing among the in-network hospitals. In contrast, out-of-network healthcare institutions are deprived of access to any big EHR database; hence, limiting their research scope. The main objective of this study is to design a privacy-preserved transfer learning architecture that can utilize the knowledge from a federated model developed from in-network hospital-site EHR data for predicting diabetic kidney cases at out-of-network siloed hospital sites. In all our experiments, transfer learning showed improved performance compared to models trained with out-of-network site datasets. Thus, we demonstrate the proof-of-concept of transferring knowledge from established networks to aid data-driven AI discoveries at siloed sites.","In this paper , a privacy-preserved transfer learning architecture was designed to utilize knowledge from a federated model developed from in-network hospital-site EHR data for predicting diabetic kidney cases at out-of-network siloed hospital sites."
"Novel technical and privacy-preserving technology for artificial intelligence in ophthalmology","https://scispace.com/paper/novel-technical-and-privacy-preserving-technology-for-22mf0l2u","2022","Journal Article","Current Opinion in Ophthalmology","Hussain, F. M.
Aditya Sarkar","10.1097/icu.0000000000000846","","The application of artificial intelligence (AI) in medicine and ophthalmology has experienced exponential breakthroughs in recent years in diagnosis, prognosis, and aiding clinical decision-making. The use of digital data has also heralded the need for privacy-preserving technology to protect patient confidentiality and to guard against threats such as adversarial attacks. Hence, this review aims to outline novel AI-based systems for ophthalmology use, privacy-preserving measures, potential challenges, and future directions of each.Several key AI algorithms used to improve disease detection and outcomes include: Data-driven, imagedriven, natural language processing (NLP)-driven, genomics-driven, and multimodality algorithms. However, deep learning systems are susceptible to adversarial attacks, and use of data for training models is associated with privacy concerns. Several data protection methods address these concerns in the form of blockchain technology, federated learning, and generative adversarial networks.AI-applications have vast potential to meet many eyecare needs, consequently reducing burden on scarce healthcare resources. A pertinent challenge would be to maintain data privacy and confidentiality while supporting AI endeavors, where data protection methods would need to rapidly evolve with AI technology needs. Ultimately, for AI to succeed in medicine and ophthalmology, a balance would need to be found between innovation and privacy. ","In this article , the authors outline novel AI-based systems for ophthalmology use, privacy-preserving measures, potential challenges, and future directions of each of these systems."
"Enhancing Eye Health Diagnosis through Deep Transfer Learning: Unveiling Insights from Low Quality Fundus Images","https://scispace.com/paper/enhancing-eye-health-diagnosis-through-deep-transfer-k5zrwcwt2ytj","2025","Journal Article","Indonesian Journal of Information Systems","S. Pariselvam
Sathish Kumar
M. Govindarajan
R. Keerthivasan
I. Srivathsan","10.24002/ijis.v7i2.9103","","Due to the frequency of eye illnesses, effective and precise diagnostic instruments are required. This work suggests an approach that uses low quality fundus images with deep transfer learning more precisely, the EfficientNetB0 architecture to improve eye health diagnosis. We tackle the problem caused by the quality of fundus photographs that are commonly found in clinical settings, which frequently display noise and abnormalities. Our methodology consists of pretraining the EfficientNetB0 model on a sizable dataset of excellent fundus photos, followed by fine-tuning it on a dataset of poor fundus photos. By employing this transfer learning technique, the model enhances its diagnostic capabilities by learning to identify significant features from the low-quality images. We ran tests on a variety of datasets that included fundus photos of varying degrees of deterioration in order to assess our approach. As compared to conventional techniques, the results reveal a significant improvement in diagnostic accuracy, demonstrating the effectiveness of deep transfer learning for improving eye health diagnosis from difficult fundus images. With fused features from MobileNet and DenseNet-121 models, the ANN specifically achieved accuracies of 98.5% for cataracts, 99.1% for diabetic retinopathy, 99% for glaucoma, and 99.5% for normal conditions. ","This study proposes a deep transfer learning approach using EfficientNetB0 to enhance eye health diagnosis from low-quality fundus images, achieving improved diagnostic accuracy of 98.5-99.5% for cataracts, diabetic retinopathy, glaucoma, and normal conditions."
"Enhancing Diabetic Retinopathy Classification for Small Sample Training Data Through Supervised Feature Attention: Transfer and Multitask Learning Approach","https://scispace.com/paper/enhancing-diabetic-retinopathy-classification-for-small-voj3byzr8r","2023","Journal Article","","Rattapon Sanguantrakool
Praisan Padungweang","10.1109/eecsi59885.2023.10295843","","This study introduces a framework aimed at bolstering the effectiveness of deep learning models in image classification tasks, with a specialized focus on diabetic retinopathy detection. The proposed strategy employs transfer and multitask learning methods for the consistent extraction of insights and refinement of pre-established models. The capability of multitask learning to simultaneously acquire knowledge from numerous related tasks, leveraging shared information and inter-dependencies, leads to considerable performance boosts. Integrated into this process is the feature guideline learning task, which empowers the model to have an attention to abnormal areas. This task is initially trained on a small collection of labeled images to develop a custom pre-trained model, which later forms the basis for subsequent classification tasks. The effectiveness of this proposed approach is validated through tests on various data sets. It has been proven that our method contributes considerable advancements in image classification performance. This research offers valuable perspectives on the detection and classification of diabetic retinopathy, providing solutions to problems originating from limited data, and shows promising potential for improving patient care. ","Transfer and multitask learning framework for diabetic retinopathy classification with feature attention learning enhances image classification performance."
"Predictive Analysis of Diabetic Retinopathy with Transfer Learning","https://scispace.com/paper/predictive-analysis-of-diabetic-retinopathy-with-transfer-354z3ix7zx","2021","Proceedings Article","International Conference on Nascent Technologies in Engineering","Raj Sunil Salvi
Shreyas Rajesh Labhsetwar
Piyush Arvind Kolte
Veerasai Subramaniam Venkatesh
Alistair Michael Baretto","10.1109/ICNTE51185.2021.9487789","","With the prevalence of diabetes, Diabetes Mellitus Retinopathy (DR) is becoming a major health problem across the world. The long-term medical complications arising due to DR significantly affect the patient as well as the society, as the disease mostly affects young and productive individuals. Early detection and treatment can help reduce the extent of damage to the patients. The rise of Convolutional Neural Networks for predictive analysis in the medical field paves the way for a robust solution to DR detection. This paper studies the performance of several highly efficient and scalable CNN architectures for Diabetic Retinopathy Classification with the help of Transfer Learning. The research focuses on VGG16, Resnet50 V2, and EfficientNet B0 models. The classification performance is analyzed using several performance measures including True Positive Rate, False Positive Rate, Accuracy, etc. Also, several performance graphs are plotted for visualizing the architecture performance including Confusion Matrix, ROC Curve, etc. The results indicate that Transfer Learning with ImageNet weights using VGG 16 model demonstrates the best classification performance with an accuracy of 95%. It is closely followed by ResNet50 V2 architecture with an accuracy of 93%. This paper shows that predictive analysis of DR from retinal images is achieved with Transfer Learning on Convolutional Neural Networks.","In this article, the performance of several highly efficient and scalable CNN architectures for diabetic retinopathy classification with the help of transfer learning is analyzed using several performance measures including True Positive Rate, False Positive Rate (RPR), Accuracy, etc."
"Reducing Overfitting in Diabetic Retinopathy Detection using Transfer Learning","https://scispace.com/paper/reducing-overfitting-in-diabetic-retinopathy-detection-using-1nw2vhol73","2020","Proceedings Article","International Conference on Computing, Communication and Automation","Nikhil Barhate
Sahil Bhave
Rugved Bhise
Rajendra G. Sutar
Deepak C. Karia","10.1109/ICCCA49541.2020.9250772","","Diabetic retinopathy is a diabetes complication which causes damage to the retina. It is highly prevalent in patients who have had diabetes for 20 years or more. Current deep learning methods of detection of this disease are not efficient with the respect to the number of images required for training and the transfer learning methods use pre-trained networks, which contains many features that are irrelevant to the original task data. In this paper, we pre-train our network in a self supervised manner on the training data, such that the network learns features relevant to the task data without overfitting. We propose a data efficient architecture based on autoencoder and VGG network and a method to train the network such that it is regularized by an autoencoder network to prevent overfitting and improve test data performance.","A data efficient architecture based on autoencoder and VGG network and a method to train the network such that it is regularized by an autoen coder network to prevent overfitting and improve test data performance are proposed."
"A Comparative Study of Deep Learning and Transfer Learning in Detection of Diabetic Retinopathy","https://scispace.com/paper/a-comparative-study-of-deep-learning-and-transfer-learning-jhy5yi0z","2022","Journal Article","International Journal of Computer Applications Technology and Research","J. F. Kamiri
Geoffrey Wambugu
Aaron M. Oirere","10.7753/ijcatr1107.1001","","Computer vision has gained momentum in medical imaging tasks. Deep learning and Transfer learning are some of the approaches used in computer vision. The aim of this research was to do a comparative study of deep learning and transfer learning in the detection of diabetic retinopathy. To achieve this objective, experiments were conducted that involved training four state-of-the-art neural network architectures namely; EfficientNetB0, DenseNet169, VGG16, and ResNet50. Deep learning involved training the architectures from scratch. Transfer learning involved using the architectures which are pre-trained using the ImageNet dataset and then fine-tuning them to solve the task at hand. The results show that transfer learning outperforms learning from scratch in all three models. VGG16 achieved the highest accuracy of 84.12% in transfer learning. Another notable finding is that transfer learning is able to not only achieve high accuracy with very few epochs but also starts higher than deep learning in the first epoch. This study has also demonstrated that in image processing tasks there are a lot of transferrable features since the ImageNet weights worked well in the Diabetic retinopathy detection task.","This study has demonstrated that in image processing tasks there are a lot of transferrable features since the ImageNet weights worked well in the Diabetic retinopathy detection task."
"Exploring the Transfer Learning Capabilities of CLIP in Domain Generalization for Diabetic Retinopathy","https://scispace.com/paper/exploring-the-transfer-learning-capabilities-of-clip-in-47i77tzev9","2023","Journal Article","","Sanoojan Baliah
Fadillah A. Maani
Santosh Sanjeev
Muhammad Haris Khan","10.48550/arxiv.2308.14212","","Diabetic Retinopathy (DR), a leading cause of vision impairment, requires early detection and treatment. Developing robust AI models for DR classification holds substantial potential, but a key challenge is ensuring their generalization in unfamiliar domains with varying data distributions. To address this, our paper investigates cross-domain generalization, also known as domain generalization (DG), within the context of DR classification. DG, a challenging problem in the medical domain, is complicated by the difficulty of gathering labeled data across different domains, such as patient demographics and disease stages. Some recent studies have shown the effectiveness of using CLIP to handle the DG problem in natural images. In this study, we investigate CLIP's transfer learning capabilities and its potential for cross-domain generalization in diabetic retinopathy (DR) classification. We carry out comprehensive experiments to assess the efficacy and potential of CLIP in addressing DG for DR classification. Further, we introduce a multi-modal fine-tuning strategy named Context Optimization with Learnable Visual Tokens (CoOpLVT), which enhances context optimization by conditioning on visual features. Our findings demonstrate that the proposed method increases the F1-score by 1.8% over the baseline, thus underlining its promise for effective DG in DR classification. Our code is publicly available at https://github.com/Sanoojan/CLIP-DRDG. ","This study investigates CLIP's transfer learning capabilities and its potential for cross-domain generalization in diabetic retinopathy (DR) classification, and introduces a multi-modal fine-tuning strategy named Context Optimization with Learnable Visual Tokens (CoOpLVT), which enhances context optimization by conditioning on visual features."
"Improved Transfer Learning Approach for Diabetic Retinopathy Screening","https://scispace.com/paper/improved-transfer-learning-approach-for-diabetic-retinopathy-2cbtvqyk","2023","Proceedings Article","","","10.1109/spin57001.2023.10117173","","Diabetic retinopathy (DR) is a frequent consequence of diabetes mellitus. DR damages the retina’s blood vessel network and can be a significant vision-threatening disorder if not diagnosed early. Using fundus imaging to manually diagnose DR is costly and time-consuming because it calls for trained medical professionals. Automated DR detection is therefore a necessary endeavor. In this paper, we assess and modify multiple Transfer Learning models-VGG, ResNet, and DenseNet models with globalaverage pooling and dropout layers to learn the features from the images with reduced overfitting. After that, the models are trained to adjust to the specialized features. The robustness of the presented models is assessed using accuracy, kappa score, precision, recall, and f-measure. The experimental analysis shows that the proposed approach significantly boosts the performance of DR detection on the APTOS dataset and achieved accuracy of 97.49% and 97.16% and kappa score of 95.56% and 94.76% for multiclass and binary classification, respectively. ","In this article , the authors assess and modify multiple Transfer Learning models-VGG, ResNet, and DenseNet models with global average pooling and dropout layers to learn the features from the images with reduced overfitting."
