"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Artificial Intelligence Algorithms for Treatment of Diabetes","https://scispace.com/paper/artificial-intelligence-algorithms-for-treatment-of-diabetes-20lfw2x4","2022","Journal Article","Algorithms","Mudassir Rashid
Mohammad Reza Askari
Canyu Chen
Yueqing Liang
Kai Shu
Ali Cinar","10.3390/a15090299","","Artificial intelligence (AI) algorithms can provide actionable insights for clinical decision-making and managing chronic diseases. The treatment and management of complex chronic diseases, such as diabetes, stands to benefit from novel AI algorithms analyzing the frequent real-time streaming data and the occasional medical diagnostics and laboratory test results reported in electronic health records (EHR). Novel algorithms are needed to develop trustworthy, responsible, reliable, and robust AI techniques that can handle the imperfect and imbalanced data of EHRs and inconsistencies or discrepancies with free-living self-reported information. The challenges and applications of AI for two problems in the healthcare domain were explored in this work. First, we introduced novel AI algorithms for EHRs designed to be fair and unbiased while accommodating privacy concerns in predicting treatments and outcomes. Then, we studied the innovative approach of using machine learning to improve automated insulin delivery systems through analyzing real-time information from wearable devices and historical data to identify informative trends and patterns in free-living data. Application examples in the treatment of diabetes demonstrate the benefits of AI tools for medical and health informatics.","This work introduced novel AI algorithms for EHRs designed to be fair and unbiased while accommodating privacy concerns in predicting treatments and outcomes and studied the innovative approach of using machine learning to improve automated insulin delivery systems through analyzing real-time information from wearable devices and historical data to identify informative trends and patterns in free-living data."
"Personalized Diabetes Management with Digital Twins: A Patient-Centric Knowledge Graph Approach","https://scispace.com/paper/personalized-diabetes-management-with-digital-twins-a-2simh3bho3","2024","Preprint","","Fatemeh Sarani Rad
Rasha Hendawi
Xinyi Yang
Juan Li","10.20944/preprints202403.0884.v1","","Diabetes management requires constant monitoring and individualized adjustments. This study proposes a novel approach that leverages digital twins and Personal Health Knowledge Graphs (PHKGs) to revolutionize diabetes care. Our key contribution lies in developing a real-time, patient-centric digital twin framework built on PHKGs. This framework integrates data from diverse sources, adhering to HL7 standards and enabling seamless information access and exchange. PHKGs offer a flexible and efficient format that supports various applications. As new knowledge about the patient becomes available, the PHKG can be easily extended to incorporate it. This dynamic approach fosters continuous improvement and facilitates the development of new applications. As proof of concept, we have demonstrated the versatility of our digital twin by applying it to different use cases in diabetes management. These include predicting glucose levels, optimizing insulin dosage, providing personalized lifestyle recommendations, and visualizing health data. By enabling real-time, patient-specific care, this research paves the way for more precise and personalized healthcare interventions, potentially improving long-term diabetes management outcomes. ","A novel digital twin framework for diabetes management based on PHKGs integrates data from diverse sources, enabling real-time, patient-centric care and improving long-term outcomes."
"Continuous Glucose Monitoring Integration in Clinical Practice: A Stepped Guide to Data Review and Interpretation.","https://scispace.com/paper/continuous-glucose-monitoring-integration-in-clinical-im7yxvgsgf","2019","Journal Article","Journal of diabetes science and technology","Grazia Aleppo
Kimberly M. Webb","10.1177/1932296818813581","","Background:The advent of continuous glucose monitoring (CGM) technology has transformed the approach to diabetes care. Multiple CGM systems are commercially available and increased accuracy has all...","In this paper, the advent of continuous glucose monitoring (CGM) technology has transformed the approach to diabetes care, and multiple CGM systems are commercially available and increased accuracy has all..."
"Transformative Trends in Diabetes Care: An Analysis of AI-Enhanced Predictive Healthcare","https://scispace.com/paper/transformative-trends-in-diabetes-care-an-analysis-of-ai-3ej1e7wrdxak","2024","Journal Article","","Atharva Milmile
Prateek Verma","10.1109/idicaiei61867.2024.10842867","","This article examines the ever-changing environment of Artificial Intelligence (AI) in diabetes treatment. It investigates its existing uses, future developments, and the complex interaction of technology innovation, regulatory concerns, and ethical imperatives. AI is transforming diabetes management, from predictive analytics to tailored treatment regimens, by providing real-time information, increasing patient empowerment, and contributing to proactive, individualized care. The developing legal framework and emerging standards work to assure responsible AI technology development and deployment, addressing algorithmic biases and data privacy issues. The study forecasts future developments in the industry, imagining a collaborative future in which AI, seamlessly linked with other technology, augments healthcare professionals' competence and empowers people with diabetes. This investigation is guided by a synthesis of technological and ethical issues, highlighting the importance of inclusion, accessibility, and a harmonious human-AI relationship to advance the future of diabetes treatment toward better results and greater patient well-being","This study examines AI's transformative impact on diabetes care, analyzing its current applications, future developments, and regulatory concerns, forecasting a collaborative future where AI enhances healthcare professionals' competence and empowers people with diabetes through personalized care."
"Clinically relevant stratification of patients with type 2 diabetes by using continuous glucose monitoring data","https://scispace.com/paper/clinically-relevant-stratification-of-patients-with-type-2-1h9qzura8e","2024","Journal Article","Diabetes, Obesity and Metabolism","Xiaofei Shao
Jingyi Lu
Rui Tao
Liang Wu
Yaxin Wang
Wei Lü
Hongru Li
Jian Zhou
Yu Xia","10.1111/dom.15512","","Abstract Aim The wealth of data generated by continuous glucose monitoring (CGM) provides new opportunities for revealing heterogeneities in patients with type 2 diabetes mellitus (T2DM). We aimed to develop a method using CGM data to discover T2DM subtypes and investigate their relationship with clinical phenotypes and microvascular complications. Methods The data from 3119 patients with T2DM who wore blinded CGM at an academic medical centre was collected, and a glucose symbolic pattern (GSP) metric was created that combined knowledge‐based temporal abstraction with numerical vectorization. The k‐means clustering was applied to GSP to obtain subgroups of patients with T2DM. Clinical characteristics and the presence of diabetic retinopathy and albuminuria were compared among the subgroups. The findings were validated in an independent population comprising 773 patients with T2DM. Results By using GSP, four subgroups were identified with distinct features in CGM profiles and parameters. Moreover, the clustered subgroups differed significantly in clinical phenotypes, including indices of pancreatic β‐cell function and insulin resistance (all p &lt; .001). After adjusting for confounders, group C (the most insulin resistant) had a significantly higher risk of albuminuria (odds ratio = 1.24, 95% confidence interval: 1.03‐1.39) relative to group D, which had the best glucose control. These findings were confirmed in the validation set. Conclusion Subtyping patients with T2DM using CGM data may help identify high‐risk patients for microvascular complications and provide insights into the underlying pathophysiology. This method may help refine clinically meaningful stratification of patients with T2DM and inform personalized diabetes care. ","Clinically relevant stratification of patients with T2DM using CGM data identifies subgroups with distinct clinical phenotypes and risk of microvascular complications."
"Latest Advancements in Artificial Intelligence-Enabled Technologies in Treating Type 1 Diabetes.","https://scispace.com/paper/latest-advancements-in-artificial-intelligence-enabled-1kvpxs49fk","2021","Journal Article","Journal of diabetes science and technology","Feng Qian
Patrick J Schumacher","10.1177/1932296820949940","","Type 1 diabetes (T1D) is an autoimmune chronic disease characterized by absolute insulin deficiency, which causes abnormal blood glucose regulation. Currently, there are 1.25 million Americans diagnosed with T1D with approximately 64 000 new cases of T1D being diagnosed every year.1,2 There is no cure for T1D and patients with T1D rely on daily insulin administration. So, self-management of T1D is crucial to prevent or delay major complications. However, only a very small proportion of T1D patients have met the target range set by the American Diabetes Association.3 Recent years have witnessed an explosion of artificial intelligence (AI)-enabled and data-empowered innovations in treating T1D patients. For instance, closedloop systems (ie, “artificial pancreas”) and insulin pumps are reported to effectively improve T1D management as well as patient outcomes. To summarize the latest research in AI-enabled T1D treatment, we conducted a literature review with PubMed and Google Scholar to retrieve publications in peer-reviewed healthcare journals from January 2019 to May 2020 (see Table 1). Overall, continuous improvements in safety, effectiveness, efficiency, and patient satisfaction using closed-loop systems to control blood glucose level in a broader T1D population (especially pediatric patients) were reported. The newest evidence was derived from various types of studies ranging from well-designed multicenter randomized clinical trial with six-month follow-up on closedloop system to comparative study between real-time and intermittent-scanning continuous glucose monitoring (CGM) and to cost-effectiveness study on a hybrid closed-loop system compared with a continuous subcutaneous insulin infusion system.4-6 Notably, machine learning techniques applied in CGMs were reported to lead to significant reductions in postprandial hypoglycemia, decreased rates of closed-loop exits and alerts, improved glycemic control without detectable changes in psychosocial outcomes, and accurate prediction and prevention of nocturnal hypoglycemia. Also, the autonomous diagnostic AI system demonstrated superior sensitivity and specificity for diagnosing referable diabetic retinopathy and macular edema. Additionally, higher glycated hemoglobin level and workload required to use hybrid closed loop were suggested to be the significant factors associated with discontinuation. In a nutshell, there have been remarkable progress in AI-enabled technology in treating T1D reported in literature since 2019. Yet, practical challenges and opportunities exist. Whether the observed benefits will sustain for prolonged use in real-world settings and how AI technologies will protect patient data privacy and security are crucial questions to address. During the past few years, personalized data, machine learning (in particular, deep learning and convolutional neural network techniques), and realtime adaptive algorithms combined with wearable devices have improved prevention and early detection, clinical decision support, deterioration risk prediction, and patient self-management of T1D. Future research endeavors and technological innovations should meet patients’ needs such as mitigating user’s workload and further enhancing outcomes, optimizing data protection, and realizing patientcentered care. Unquestionably, AI, Big Data, interdisciplinary research, and global collaboration will play an increasingly important role in achieving precision medicine for T1D patients. 949940 DSTXXX10.1177/1932296820949940Journal of Diabetes Science and TechnologyQian et al letter2020","There have been remarkable progress in AI-enabled technology in treating T1D reported in literature since 2019, and whether the observed benefits will sustain for prolonged use in real-world settings is crucial questions."
"Diabetes and Prediabetes Classification Using Glycemic Variability Indices From Continuous Glucose Monitoring Data.","https://scispace.com/paper/diabetes-and-prediabetes-classification-using-glycemic-2x0omnsw35","2018","Journal Article","Journal of diabetes science and technology","Giada Acciaroli
Giovanni Sparacino
Liisa Hakaste
Andrea Facchinetti
Giorgio Maria Di Nunzio
Alessandro Palombit
Tiinamaija Tuomi
Rafael Gabriel
Jaime Aranda
Saturio Vega
Claudio Cobelli","10.1177/1932296817710478","","Background:Tens of glycemic variability (GV) indices are available in the literature to characterize the dynamic properties of glucose concentration profiles from continuous glucose monitoring (CGM) sensors. However, how to exploit the plethora of GV indices for classifying subjects is still controversial. For instance, the basic problem of using GV indices to automatically determine if the subject is healthy rather than affected by impaired glucose tolerance (IGT) or type 2 diabetes (T2D), is still unaddressed. Here, we analyzed the feasibility of using CGM-based GV indices to distinguish healthy from IGT&T2D and IGT from T2D subjects by means of a machine-learning approach.Methods:The data set consists of 102 subjects belonging to three different classes: 34 healthy, 39 IGT, and 29 T2D subjects. Each subject was monitored for a few days by a CGM sensor that produced a glucose profile from which we extracted 25 GV indices. We used a two-step binary logistic regression model to classify subjects. The firs...","The feasibility of using CGM-based GV indices to distinguish healthy from IGT&T2D and IGT from T2D subjects by means of a machine-learning approach is analyzed and shows good accuracy."
"Techniques for Diabetes Care Using Artificial Intelligence and Machine Learning: A Review","https://scispace.com/paper/techniques-for-diabetes-care-using-artificial-intelligence-3gw07r1z","2022","Journal Article","Asian journal of computer science and technology","Ajit R. Patil
Avinash Ingole","10.51983/ajcst-2022.11.1.3291","","All aspects of our lives, including healthcare, are being reshaped by AI/ML (Artificial Intelligence/Machine Learning). Diabetic treatment might benefit greatly from the use of AI and ML, which could make it more effective and less time-consuming. In terms of data availability, the large number of diabetics in India brings a unique set of challenges, but it also gives an opportunity. With the use of electronic medical records, India may become a world leader in this field. The use of AI/ML might shed light on our issues and help us come up with solutions that are unique to each.","Diabetic treatment might benefit greatly from the use of AI and ML, which could make it more effective and less time-consuming, and India may become a world leader in this field."
"Application of Machine Learning in the Field of Diabetes","https://scispace.com/paper/application-of-machine-learning-in-the-field-of-diabetes-nkvch2hp0b97","","","","Churong Wei","10.61173/kc05df27","","Diabetes, a prevalent chronic disease worldwide, poses significant challenges to healthcare systems, with its cases steadily increasing. Machine learning has emerged as a promising tool in diabetes research, offering opportunities for prediction and diagnosis through analysis of vast clinical datasets. This paper systematically reviews and analyzes the latest research progress in ML applications for diabetes, encompassing risk prediction and clinical diagnosis. Various ML techniques, including neural networks, supervised learning, semi-supervised learning, deep learning, and ensemble learning, are explored in their application to diabetes research. While ML has shown promise in improving diagnostic accuracy and efficiency, several challenges remain, such as data quality, model interpretability, and computational requirements. Recommendations for future research focus on addressing these challenges to further advance ML’s effectiveness in diabetes management. Through this review, we aim to provide valuable insights for researchers and clinicians, promoting the continued development and application of ML technology in diabetes care, improving efficiency and accuracy.","This paper reviews machine learning applications in diabetes research, exploring techniques like neural networks and deep learning for risk prediction and clinical diagnosis, while highlighting challenges and recommending future research directions to improve ML's effectiveness in diabetes management."
"Diabetes Healthcare Professionals Use Multiple Continuous Glucose Monitoring Data Indicators to Assess Glucose Management.","https://scispace.com/paper/diabetes-healthcare-professionals-use-multiple-continuous-5go3uibe77","2020","Journal Article","Journal of diabetes science and technology","Tong Sheng
Reid Offringa
David Kerr
Mark A. Clements
Jerome S. Fischer
Linda Parks
Michael S. Greenfield","10.1177/1932296819873641","","Background:Continuous glucose monitoring (CGM) offers multiple data features that can be leveraged to assess glucose management. However, how diabetes healthcare professionals (HCPs) actually asses...","Consensus in the endorsement of certain data features and agreement in assessing glycemic management were observed and HCPs tended to consider CGM data holistically, in alignment with published recommendations, and made converging assessments regardless of practice."
