"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Diabetes management in the era of artificial intelligence","https://scispace.com/paper/diabetes-management-in-the-era-of-artificial-intelligence-5410u1caxp","2024","Journal Article","Archives of Medical Sciences","Athanasia Papazafiropoulou","10.5114/amsad/183420","","Artificial intelligence is growing quickly, and its application in the global diabetes pandemic has the potential to completely change the way this chronic illness is identified and treated. Machine learning methods have been used to construct algorithms supporting predictive models for the risk of getting diabetes or its complications. Social media and Internet forums also increase patient participation in diabetes care. Diabetes resource usage optimisation has benefited from technological improvements. As a lifestyle therapy intervention, digital therapies have made a name for themselves in the treatment of diabetes. Artificial intelligence will cause a paradigm shift in diabetes care, moving away from current methods and toward the creation of focused, data-driven precision treatment. ","AI-powered diabetes management revolutionizes diabetes care by improving risk prediction, increasing patient participation, optimizing resource usage, and introducing digital therapies."
"The Impact of Artificial Intelligence on Health Outcomes: A Review","https://scispace.com/paper/the-impact-of-artificial-intelligence-on-health-outcomes-a-2ujc8osfiyyq","2024","Journal Article","","Syed Shah","10.70389/pjs.100006","","Artificial intelligence (AI) has the potential to revolutionize healthcare by enhancing diagnostics, creating more tailored treatments, and streamlining healthcare administration. Focusing on peer-reviewed articles published in the past decade, a comprehensive literature search was undertaken using PubMed, Google Scholar, and IEEE Xplore. Some important results include the fact that AI can diagnose diseases and disorders as accurately as human specialists can, including skin cancer and diabetic retinopathy. For Instance, AI was able to detect diabetic retinopathy with a sensitivity rate of 97.5% and skin cancer with an accuracy rate of 72.1%. There was a 93% agreement between expert oncologists and AI-driven IBM Watson for Oncology recommendations for treatment optimization. Hospital readmissions for chronic diseases decreased by 22% when wearables powered by AI were used. The area under consideration (AUC-ROC) for AI models in healthcare management to forecast in-hospital mortality was 0.86. Despite these advantages, there are still problems that need to be resolved, including issues with data privacy and ethics, regulatory changes, and integration. That AI systems are open, equitable, and responsible is of the utmost importance. The key to a successful adoption is overcoming healthcare professionals’ resistance through proper training. These are the areas where future AI research should focus for the technology to fulfil its healthcare potential. ","This review synthesizes peer-reviewed literature on AI's impact on healthcare, highlighting its potential to enhance diagnostics, treatments, and administration, with notable successes in disease diagnosis and hospital readmission reduction, but emphasizing the need for addressing data privacy and ethics concerns."
"89-OR: Effective Real-World Usage of Artificial Intelligence–Based Decision Support System for Diabetes Management","https://scispace.com/paper/89-or-effective-real-world-usage-of-artificial-intelligence-c98ja1o6","2022","Journal Article","Diabetes","Revital Nimri
Amir Tirosh
Ido Muller
Yael Shtrit
Moshe Phillip","10.2337/db22-89-or","","Background: Artificial intelligence-based decision support system (AI-DSS) for frequent insulin dose adjustment was demonstrated to be effective in improving glycemic control in our previous clinical trials. We aimed to assess the effectiveness of AI-DSS in real world diabetes clinics.
 Methods: Data was collected and evaluated from routine AI-DSS usage for individuals with type 1 diabetes treated at 21 diabetes clinics (in the USA and 2 in Israel) . Two analyses were made: (1) Insulin dose recommendations were compared for rate of agreement/disagreement between those suggested by the AI-DSS and the approved recommendations by health care providers (HCP) . (2) Glycemic outcomes were compared between baseline and after 3 months of AI-DSS use. Included in this analysis were individuals who had mean baseline glucose level ≥ 182 mg/dL and at least one AI-DSS recommendation within the 3-months.
 Results: A total of 8 recommendations, provided to 370 individuals, were evaluated. Full agreement on the direction of insulin dose adjustments was observed in 87%, 87%, and 83% of the basal rate, carbs ratio (CR) , and correction factor (CF) pump settings parameters, respectively. Full disagreement on the direction of dose change was observed in only 0.9%, 0.5%, and 1.2% for the basal rate, CR and CF, respectively. Glycemic outcome analysis included 1 eligible individuals (mean of 1.6 recommendations within a 3-month interval) . Average sensor percentage of time in range [70-180 mg/dL] increased by 4% (p=0.003) : 43% increased time in range by more than 5% and 33% increased by 10% or more. Time in hyperglycemia [> 180 mg/dL] was reduced by 5% (p<0.01) while time in severe hypoglycemia [< 54 mg/dL] remained below 0.5%.
 Conclusion: A high rate of agreement with automated insulin adjustments was observed among HCPs at academic centers who used the AI-DSS in their workflow. Glycemic control was significantly improved for sub-optimally controlled individuals already after 3-months of follow up.
 
 
 R.Nimri: Employee; DreaMed Diabetes, Ltd., Research Support; Abbott Diabetes, Dexcom, Inc., Insulet Corporation, Medtronic, Speaker's Bureau; Eli Lilly and Company, Novo Nordisk, Stock/Shareholder; DreaMed Diabetes, Ltd. A.Tirosh: Advisory Panel; Abbott Diagnostics, AstraZeneca, Boehringer Ingelheim International GmbH, Merck & Co., Inc., Novo Nordisk, Sanofi, Consultant; Bayer AG, DreaMed Diabetes, Ltd., Research Support; Medtronic, Speaker's Bureau; Eli Lilly and Company. I.Muller: Board Member; DreaMed Diabetes, Ltd. Y.Shtrit: Employee; DreaMed Diabetes, Ltd. M.Phillip: Advisory Panel; Dompé, Insulet Corporation, Medtronic, Pfizer Inc., Board Member; DreaMed Diabetes, Ltd., Consultant; QuLab Medical Ltd., Other Relationship; Dexcom, Inc., Dompé, DreaMed Diabetes, Ltd., Eli Lilly and Company, Medtronic, NG Solutions Ltd, Novo Nordisk, OPKO, Pfizer Inc., Sanofi, Stock/Shareholder; DreaMed Diabetes, Ltd., NG Solutions Ltd.
","Glycemic control was significantly improved for sub-optimally controlled individuals already after 3-months of follow up and a high rate of agreement with automated insulin adjustments was observed among HCPs at academic centers who used the AI-DSS in their workflow."
"An Intelligent Diabetes Software Prototype: Predicting Blood Glucose Levels and Recommending Regimen Changes","https://scispace.com/paper/an-intelligent-diabetes-software-prototype-predicting-blood-4glag3azwf","2000","Journal Article","Diabetes Technology & Therapeutics","Erik Otto
Christopher Semotok
Jan Andrysek
Otman A. Basir","10.1089/15209150050501989","","Maintaining optimal blood glucose (BG) control is difficult for type 1 diabetes mellitus (T1DM) patients when typical daily regimens of food, insulin and exercise are altered. Artificial intelligence (AI) systems consisting of treatment algorithms calibrated through large datasets of patient specific information may offer a solution. Such a system can predict BG level changes resulting from regimen disturbances and recommend regimen changes for compensation. A software prototype based on neural network, fuzzy logic, and expert system concepts was developed and evaluated to determine feasibility and efficacy of a patient specific prediction model. BG data are the primary driver for adapting existing functions to patient specific prediction algorithms. Mean absolute percent error (MAPE) between actual and predicted BG values from inputs of daily insulin, food, and exercise information for an T1DM test subject was 10.5% using a calibrated model. The prototype is limited by the requirement for a rigid testing schedule, human error and situational circumstances such as alcohol consumption, illness, infection, stress, and significant hormonal imbalances. No significant conclusions regarding model validity can be drawn due to limited evaluation process and subject sample size, although the prototype has demonstrated viability as a learning tool for diabetes patients. Increased impetus for further development of this prototype and similar AI models may materialize when more effective diagnostic and data capture tools become available to reduce testing and improve accuracy of the model with more input data.","A software prototype based on neural network, fuzzy logic, and expert system concepts was developed and evaluated to determine feasibility and efficacy of a patient specific prediction model and has demonstrated viability as a learning tool for diabetes patients."
"Technological advancements in glucose monitoring and artificial pancreas systems for shaping diabetes care","https://scispace.com/paper/technological-advancements-in-glucose-monitoring-and-6ol7gw1iqfzb","2024","Journal Article","Current Medical Research and Opinion","Neha Ghosh
Saurabh Verma","10.1080/03007995.2024.2422005","","The management of diabetes mellitus has undergone remarkable progress with the introduction of cutting-edge technologies in glucose monitoring and artificial pancreas systems. These innovations have revolutionized diabetes care, offering patients more precise, convenient, and personalized management solutions that significantly improve their quality of life. This review aims to provide a comprehensive overview of recent technological advancements in glucose monitoring devices and artificial pancreas systems, focusing on their transformative impact on diabetes care. ","Recent technological advancements in glucose monitoring and artificial pancreas systems have revolutionized diabetes care, offering precise, convenient, and personalized management solutions that significantly improve patients' quality of life through improved glucose control and reduced treatment burden."
"DIETS: Diabetic Insulin Management System in Everyday Life","https://scispace.com/paper/diets-diabetic-insulin-management-system-in-everyday-life-1jnhxs0i6hnu","2024","Journal Article","arXiv.org","Hanyu Zeng
Hui Ji
Pengfei Zhou","10.48550/arxiv.2411.12812","","People with diabetes need insulin delivery to effectively manage their blood glucose levels, especially after meals, because their bodies either do not produce enough insulin or cannot fully utilize it. Accurate insulin delivery starts with estimating the nutrients in meals and is followed by developing a detailed, personalized insulin injection strategy. These tasks are particularly challenging in daily life, especially without professional guidance. Existing solutions usually assume the prior knowledge of nutrients in meals and primarily rely on feedback from professional clinicians or simulators to develop Reinforcement Learning-based models for insulin management, leading to extensive consumption of medical resources and difficulties in adapting the models to new patients due to individual differences. In this paper, we propose DIETS, a novel diabetic insulin management framework built on the transformer architecture, to help people with diabetes effectively manage insulin delivery in everyday life. Specifically, DIETS tailors a Large Language Model (LLM) to estimate the nutrients in meals and employs a titration model to generate recommended insulin injection strategies, which are further validated by a glucose prediction model to prevent potential risks of hyperglycemia or hypoglycemia. DIETS has been extensively evaluated on three public datasets, and the results show it achieves superior performance in providing effective insulin delivery recommendation to control blood glucose levels.","This paper proposes DIETS, a novel diabetic insulin management framework using transformer architecture, to estimate meal nutrients and generate personalized insulin injection strategies, achieving superior performance in controlling blood glucose levels."
"AI-Driven Predictive Analytics for Disease Management","https://scispace.com/paper/ai-driven-predictive-analytics-for-disease-management-05cvpflwsex1","2025","Journal Article","Advances in medical technologies and clinical practice book series","Nikhil Kumar Goyal
Monika Dandotiya
Jameel Ahmad Qurashi
Monika Kumari
Shikha Sharma","10.4018/979-8-3373-0690-2.ch008","","AI-driven predictive analytics with powers of artificial intelligence and highly advanced machine learning algorithms applied to the vast healthcare data sources that help in the early indication of health risks, watching for potential diseases, monitoring, and then following on with more innovative interventions-not reactive care, but proactively preventing diseases. The integration of predictive analytics into healthcare systems addresses universal challenges in the form of chronic disease and population aging, in addition to further increasing costs in healthcare, while improving efficiency and patient outcomes. This chapter discusses the principles, applications, challenges, and future opportunities of AI-driven predictive analytics in disease management, highlighting its critical role in building a more sustainable, equitable, and patient-centered healthcare ecosystem. ","AI-driven predictive analytics leverages AI and machine learning to identify health risks, monitor diseases, and prevent chronic conditions, improving patient outcomes, efficiency, and equity in healthcare, while addressing universal challenges of aging populations and rising healthcare costs."
"Application of Artificial Intelligence in Diabetes Education and Management: Present Status and Promising Prospect","https://scispace.com/paper/application-of-artificial-intelligence-in-diabetes-education-zs7f48uc0s","2020","Journal Article","Frontiers in Public Health","Juan Li
Jin Huang
Lanbo Zheng
Xia Li","10.3389/FPUBH.2020.00173","","Despite the rapid development of science and technology in healthcare, diabetes remains an incurable lifelong illness. Diabetes education aiming to improve the self-management skills is an essential way to help patients enhance their metabolic control and quality of life. Artificial intelligence (AI) technologies have made significant progress in transforming available genetic data and clinical information into valuable knowledge. The application of AI tech in disease education would be extremely beneficial considering their advantages in promoting individualization and full-course education intervention according to the unique pictures of different individuals. This paper reviews and discusses the most recent applications of AI techniques to various aspects of diabetes education. With the information and evidence collected, this review attempts to provide insight and guidance for the development of prospective, data-driven decision support platforms for diabetes management, with a focus on individualized patient management and lifelong educational interventions.","This paper reviews and discusses the most recent applications of AI techniques to various aspects of diabetes education and attempts to provide insight and guidance for the development of prospective, data-driven decision support platforms for diabetes management, with a focus on individualized patient management and lifelong educational interventions."
"Technological Innovations Transforming Diabetes Care in Practice","https://scispace.com/paper/technological-innovations-transforming-diabetes-care-in-2g8wpr249y","2024","Journal Article","The Journal of Korean Diabetes","Shinae Kang","10.4093/jkd.2024.25.2.57","","Diabetes care has experienced great changes due to technological advancements. Recent notable innovations in diabetes technology include real-time continuous glucose monitors, automated insulin delivery systems, insulin patches, and health management applications based on smartwatches and smartphones. Along with the development of these digital devices, there have been efforts to integrate patient-generated health data, including blood glucose/blood pressure, diet, exercise, and sleep, with hospital electronic health records for direct use in diabetes care. In addition, advancements and cost reductions in omics technologies, including genomics, are expected to enable personalized diagnosis, treatment, and prevention of diabetes through modeling based on vast amounts of related data, from multi-omics to patient-generated health data, using artificial intelligence. This is ultimately expected to advance precision medicine for diabetes in the future. ","Technological innovations in diabetes care have revolutionized the management of the disease through real-time monitoring, automated insulin delivery, personalized diagnosis, and improved data integration."
"Personalized and predictive strategies for diabetic foot ulcer prevention and therapeutic management: potential improvements through introducing Artificial Intelligence and wearable technology","https://scispace.com/paper/personalized-and-predictive-strategies-for-diabetic-foot-73a0grvnjjfz","2024","Journal Article","Medicine and Pharmacy Reports","A. Ardelean
Diana-Federica Balta
Carmen Neamţu
Andreea-Adriana Neamțu
Mihai Rosu
Bogdan Totolici","10.15386/mpr-2818","","Diabetic foot ulcers represent a serious and costly complication of diabetes, with significant morbidity and mortality. The purpose of this study was to explore advancements in Artificial Intelligence, and wearable technologies for the prevention and management of diabetic foot ulcers. Key findings indicate that Artificial Intelligence-driven predictive analytics can identify early signs of diabetic foot ulcers, enabling timely interventions. Wearable technologies, such as continuous glucose monitors, smart insoles, and temperature sensors, provide real-time monitoring and early warnings. These technologies promise to revolutionize diabetic foot ulcer prevention by offering personalized care plans and fostering a participatory healthcare model. However, the review also highlights challenges such as patient adherence, socioeconomic barriers, and the need for further research to validate these technologies’ effectiveness. The integration of artificial intelligence and wearable technologies holds the potential to significantly improve diabetic foot ulcer outcomes, reduce healthcare costs, and provide a more proactive and personalized approach to diabetic care. Further investments in digital infrastructure, healthcare provider training, and addressing ethical considerations are essential for successful implementation. ","This study explores AI-driven predictive analytics and wearable technologies for diabetic foot ulcer prevention and management, highlighting their potential to offer personalized care, reduce costs, and improve outcomes, but also emphasizing the need for further research and infrastructure development."
