"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Interpretable machine learning for coronary heart disease risk stratification in patients with carotid atherosclerosis: A retrospective cross-sectional study.","https://scispace.com/paper/41560093","2026","Journal Article","Medicine","Zhang
Lyu
Du
Li
Yan
Li
Niu
Pang","10.1097/MD.0000000000047203","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12826324/pdf","This study aimed to develop and validate a machine learning model for risk stratification of coronary heart disease (CHD) in patients with carotid atherosclerosis, with CHD presence/absence defined as the target outcome variable. A retrospective analysis was conducted on 442 patients diagnosed with carotid atherosclerosis at a tertiary hospital in China between January 1, 2022, and June 20, 2025. Patients were divided into CHD and non-CHD groups based on clinical outcomes. Data encompassing demographics, laboratory results, and vascular imaging findings were collected. Feature selection involved logistic regression (LR), identifying 5 key predictors: age, diabetes, hyperlipidemia, transient ischemic attack (TIA), and the presence of carotid atherosclerotic plaque. Seven machine learning algorithms (LR, XGBoost, LightGBM, random forest, K-nearest neighbors, support vector machine, and stacking ensemble) were trained and evaluated. Model performance was assessed using 10-fold cross-validation, with metrics including area under the curve, accuracy, sensitivity, specificity, and F1 score. Model interpretability was evaluated using Shapley Additive Explanations, while clinical utility was determined through calibration and decision curve analysis. All models demonstrated satisfactory performance, with the LR model achieving the highest area under the curve of 0.838 on the testing set, indicating balanced sensitivity and specificity. Shapley Additive Explanations analysis identified carotid plaque and TIA as the most influential predictors. Calibration and decision curve analysis curves indicated strong agreement between predicted and observed risks, leading to a significant clinical net benefit. An interpretable LR model incorporating age, diabetes, hyperlipidemia, TIA, and carotid plaque enables reliable CHD risk stratification among patients with carotid atherosclerosis. This model serves as a practical, explainable tool for individualized risk assessment and early clinical decision support in this high-risk population."
"Machine learning-based prediction model for 30-day readmission risk in elderly patients with type 2 diabetes mellitus and heart failure: a retrospective cohort study with SHAP interpretability analysis.","https://scispace.com/paper/41573510","2025","Journal Article","Frontiers in cardiovascular medicine","Wang
Wei
Chen
Lu
Zhang
Yang","10.3389/fcvm.2025.1673159","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12819643/pdf","Among elderly populations with concurrent type 2 diabetes mellitus (T2DM) and heart failure (HF), 30-day hospital readmission rates range 10%-25%. Conventional risk evaluation instruments show restricted predictive performance (AUC < 0.70) in this multimorbid group. This research aimed to construct and verify an artificial intelligence-based algorithm for assessing 30-day readmission probability in elderly T2DM-HF patients."
"An online interpretable machine learning model for predicting cardiometabolic multimorbidity risk in patients with type 2 diabetes mellitus.","https://scispace.com/paper/41559245","2026","Journal Article","Scientific reports","Liu
Li
Huo
Liu
Liu
Cao
Zheng","10.1038/s41598-026-36923-2","","Cardiometabolic multimorbidity (CMM), a major complication in type 2 diabetes mellitus (T2DM), increases mortality and healthcare burden. Early identification of high-risk individuals is crucial for precision intervention. This study aimed to develop and validate an online interpretable machine learning system for forecasting the CMM risk in T2DM populations to facilitate personalized decision-making and early intervention. We used data from 793 T2DM patients from a tertiary hospital in Shanxi Province as the derivation cohort, divided into training (80%) and internal validation (20%) sets, with 360 cases from another independent center for external validation. Feature selection was performed through recursive feature elimination with random forest algorithm. We employed six machine learning algorithms to develop the CMM risk model. Model performance was evaluated using accuracy, precision, recall, F1-score, and area under the curve (AUC). The SHapley Additive exPlanations (SHAP) and Local Interpretable Model-Agnostic Explanations (LIME) provided model interpretability. After feature screening, nine predictors were included in the model. In internal validation, the Stacking model achieved the highest AUC (0.868), maintaining good external validation performance with an AUC of 0.822. The web-based system was accessible on https://t2dmcmmpredictionweb.streamlit.app/. This system assisted healthcare providers to identify high-risk populations early and facilitate timely intervention to mitigate disease progression."
"Machine learning and SHAP values for predicting coronary artery disease risk in Xinjiang, China.","https://scispace.com/paper/41545835","2026","Journal Article","European journal of medical research","Maimaitituersun
Abulimiti
Shao
Zhou
Jureti
Liu
Liu
Wei
Liu
Fu","10.1186/s40001-025-03763-1","","Accurate individual risk assessment is crucial for guiding and improving the prevention of atherosclerotic cardiovascular disease (ASCVD). Existing prediction models are primarily derived from Western Caucasian and Chinese Han populations. Our objective is to develop and validate an interpretable machine learning (ML) model based on biomarkers for predicting coronary artery disease (CAD) risk among multi-ethnic patients in Xinjiang, China."
"Explainable machine-learning-based cardiovascular disease prediction in patients with hypertension: Algorithm comparison and SHapley Additive exPlanations (SHAP) analysis.","https://scispace.com/paper/41535161","2025","Journal Article","Archives of cardiovascular diseases","Wang","10.1016/j.acvd.2025.09.005","","Cardiovascular disease is a leading cause of morbidity in patients with hypertension. Developing a highly accurate and interpretable prediction model is crucial for facilitating early intervention."
"Machine learning-based prediction of permanent ileostomy in older adults after laparoscopic anterior resection for rectal cancer.","https://scispace.com/paper/41541008","2025","Journal Article","Asia-Pacific journal of oncology nursing","Zhang
Li","10.1016/j.apjon.2025.100771","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12802109/pdf","Conversion from temporary stoma to a permanent stoma (PS) following loop ileostomy (LI) significantly impairs patients' quality of life and prognosis. However, few predictive tools are currently available in clinical practice. This study aims to develop and validate a machine learning (ML) model to predict the risk of PS following laparoscopic anterior resection (LAR) in older adults with rectal cancer."
"A hybrid Transformer-CNN framework for uncertainty-guided semi-supervised multiclass eye disease classification with enhanced interpretability.","https://scispace.com/paper/41520385","2026","Journal Article","Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society","Malik
Wan
Ren
Ding","10.1016/j.compmedimag.2026.102701","","The accurate classification of eye diseases such as cataract, diabetic retinopathy (DR), glaucoma, and healthy conditions from fundus images remains a critical challenge in ophthalmology, requiring early diagnosis and treatment to prevent vision loss. Existing deep learning methods rely on large labeled datasets, inefficient use of unlabeled data, and limited interpretability, restricting clinical applicability. To address these limitations, we propose a novel CNN-Transformer hybrid architecture coupled with innovative semi-supervised learning (SSL) and explainability techniques to enhance multiclass eye disease classification. Our methodology integrates a ConvNeXt backbone with Transformer modules, leveraging multi-head attention to effectively capture both spatial features and long-range dependencies. We introduce Uncertainty-Guided MixMatch (UG-MixMatch), a semi-supervised framework that leverages Monte Carlo (MC) dropout for uncertainty quantification and pseudo-label refinement, effectively utilizing both labeled and unlabeled data. For interpretability, we propose a novel Gradient-based Integrated Attention Map (GIAM), which aggregates attention maps across multiple layers. It incorporates adaptive channel-wise weighting, offering more detailed insights into model predictions, surpassing traditional Grad-CAM methods. Evaluated on the Ocular Imaging Health (OIH) dataset of 4215 fundus images across four classes, our approach achieved a 95.27 % classification accuracy using UG-MixMatch and 95.51 % when incorporating MC dropout for direct model evaluation. Cohen's kappa score reached 93.70, indicating near-perfect agreement with the ground truth. Class-wise performance was exceptional, with 100 % sensitivity and specificity for DR and over 95 % specificity for cataract and glaucoma. Robust AUC values were observed, including 1.00 for DR and cataract and 0.99 for glaucoma and healthy cases. GIAM visualizations effectively highlighted disease-relevant regions, offering enhanced clinical interpretability and validation potential. Our framework addresses data scarcity, enhances interpretability, and delivers clinically relevant performance, a promising step towards scalable, explainable, and accurate diagnostic tools for Clinical Decision Support Systems (CDSS) and ophthalmic screening."
"Development of an explainable machine learning model for predicting poststroke anxiety: A multicenter study using Shapley Additive Explanations and nomogram visualization.","https://scispace.com/paper/41522451","2026","Journal Article","Digital health","Lyu
Xie
Li
Hölscher
Shen","10.1177/20552076251412575","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12783586/pdf",""
"Integrating probabilistic trees and causal networks for clinical and epidemiological data.","https://scispace.com/paper/41512598","2026","Journal Article","Artificial intelligence in medicine","Zahoor
Liò
Dias
Hasanuzzaman","10.1016/j.artmed.2026.103350","","Healthcare decision-making requires not only accurate predictions but also insights into how factors influence patient outcomes. While traditional machine learning (ML) models excel at predicting outcomes, such as identifying high-risk patients, they are limited in addressing ""what if"" questions about interventions. This study introduces the Probabilistic Causal Fusion (PCF) framework, which integrates Causal Bayesian Networks (CBNs) and Probability Trees (PTrees) to extend beyond predictions. PCF leverages causal relationships from CBNs to structure PTrees, enabling both the quantification of factor impacts and the simulation of hypothetical interventions. The framework is evaluated on three clinically diverse, real-world datasets, MIMIC-IV, Framingham Heart Study, and BRFSS (Diabetes), demonstrating consistent predictive performance comparable to conventional ML models, while offering enhanced interpretability and causal reasoning capabilities. In contrast to conventional approaches focused solely on prediction, PCF offers a unified framework for prediction, intervention modelling, and counterfactual analysis, forming a holistic toolkit for clinical decision support. To enhance interpretability, PCF incorporates sensitivity analysis and SHapley Additive exPlanations (SHAP). Sensitivity analysis quantifies the influence of causal parameters on outcomes such as Length of Stay (LOS), Coronary Heart Disease (CHD), and Diabetes, while SHAP highlights the importance of individual features in predictive modelling. This dual-layered interpretability offers both macro-level insights into causal pathways and micro-level explanations for individual predictions. By combining causal reasoning with predictive modelling, PCF bridges the gap between clinical intuition and data-driven insights. Its ability to uncover relationships between modifiable factors and simulate hypothetical scenarios provides clinicians with a clearer understanding of causal pathways. This approach supports more informed, evidence-based decision-making, offering a robust framework for addressing complex questions in diverse healthcare settings."
"Integrated biomarker analysis and next-generation AI for precision diabetes prediction.","https://scispace.com/paper/41503444","2026","Journal Article","Toxicological research","Sim
Ha
Kim","10.1007/s43188-025-00312-0","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12770190/pdf","This study explored the integration of advanced deep learning with key pharmaceutical biomarkers to enhance early diabetes prediction. We developed a multimodal ensemble approach that leverages transformer architectures to capture complex dependencies in heterogeneous healthcare data and Diffusion Models to address class imbalances by generating synthetic samples. Our research utilized diverse data sources, including electronic health records, medical imaging, and wearable device time-series data, supplemented with synthetic samples to better represent minority populations such as patients with type 1 and gestational diabetes. Critical biomarkers, including C-peptide, insulin, and hemoglobin A1c, were incorporated to improve model interpretability. The methodology involved extensive evaluation using accuracy, area under the receiver operating characteristic (ROC) curve (AUC), precision, recall, and F1-score, with cross-validation to mitigate overfitting. We also implemented interpretability features to provide clinicians with insight into the significance of biomarkers. Results showed a 6.2% improvement in minority class recall when pharmaceutical biomarkers were combined with diffusion-based augmentation. The model demonstrated enhanced classification stability and provided clear insights into clinical decision-making, highlighting the influence of biomarkers on disease progression and treatment outcomes. Future work will focus on multicenter validation, integration of additional omics data, and specialized validation across diverse populations. These findings underscore the potential of AI-driven biomarker analysis for advancing early diagnosis and personalized diabetes management, with broader implications for chronic disease prediction."
