"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Consistent Benefit of Control-IQ+ Automated Insulin Delivery Across a Range of Characteristics of Adults with Type 2 Diabetes.","https://scispace.com/paper/41574573","2026","Journal Article","Diabetes technology & therapeutics","Singh
Lum
Kanapka
Pinsker
Beck","10.1177/15209156261416920","","To assess the benefit of automated insulin delivery (AID) across a wide range of participant characteristics and evaluate whether there are any characteristics that can predict whether a patient is not likely to be a successful AID user."
"International clinical opinion on transparency, standardisation, and calibration alignment in the performance evaluation of systems for continuous glucose monitoring.","https://scispace.com/paper/41582769","2026","Journal Article","Diabetes, obesity & metabolism","Pemberton
Andrews
Barnard-Kelly
Battelino
Danne
Heinemann
Kar
Lumb
Maahs
Mader
Mathieu
Mohan
Murphy
Scott
Sherr
Smart
Tauschmann
Williams
Wilmot
Zaharieva
Moser","10.1111/dom.70460","","Continuous glucose monitoring (CGM) is now central to diabetes management, yet variation in how respective medical products are evaluated limits meaningful comparison between CGM systems. Three barriers currently constrain reliable interpretation of glucose-derived measures. The first is limited transparency: in several regulatory settings, particularly those using Conformité Européenne marking, clinical-study reports, reference-method information and analytical documentation required for market authorisation are not publicly accessible. The second barrier is heterogeneity in study procedures. Existing evaluations use different reference-glucose methods, sampling strategies, glucose-manipulation protocols and participant characteristics, leading to accuracy estimates that cannot be interpreted consistently across systems. The third barrier is calibration alignment. Even with full transparency and aligned procedures, CGM systems may differ because their calibration algorithms are trained on distinct reference-glucose datasets, influencing reported glucose ranges, automated insulin-delivery behaviour and interpretation during device transitions. A modified Delphi process involving clinicians, laboratory scientists, and researchers identified these issues as the principal determinants of comparability. During this process, the International Federation of Clinical Chemistry and Laboratory Medicine released a validated framework for performance evaluation of CGM systems, providing a unified approach to reference-method selection, dynamic in-clinic testing, and structured reporting. Adoption would reduce procedural variability but does not resolve calibration-alignment differences. This international clinical opinion proposes a pathway towards internationally interpretable CGM evaluation: immediate transparency of clinical evidence, routine declaration of calibration alignment, and progressive adoption of validated standardised procedures. These steps provide a foundation for reliable interpretation and globally comparable assessment of CGM technologies."
"Automated Insulin Delivery Associated with Superior Glycemic Outcomes in Type 1 Diabetes: A Swedish National Registry Analysis.","https://scispace.com/paper/41574582","2026","Journal Article","Diabetes technology & therapeutics","Ståhl
Hellman
Ekelund","10.1177/15209156251414976","","Automated insulin delivery (AID) systems integrate continuous glucose monitoring (CGM) and insulin pumps with algorithms that adjust insulin delivery. While randomized controlled trials (RCTs) demonstrate improvements in glycemic outcomes with AID, large-scale real-world data (RWD) analyses are needed to evaluate performance in routine care."
"Machine learning-based online prediction of nocturnal hypoglycemia in elderly patients with type 2 diabetes.","https://scispace.com/paper/41573194","2025","Journal Article","Frontiers in endocrinology","Liu
Guo
Li
Li
Huang
Zhao
Zhu
Liu
Wang
Lin
Wang
Gao
Gao
Liu","10.3389/fendo.2025.1685969","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12819298/pdf","Nocturnal hypoglycemia (NH) is a common adverse event in elderly patients with type 2 diabetes (T2D). This study aims to develop a clinically applicable model for predicting the risk of NH in elderly patients with T2D."
"Hybrid Deep Learning Framework for Continuous Blood Glucose Monitoring and Gestational Diabetes Risk Prediction.","https://scispace.com/paper/41568507","2026","Journal Article","Current diabetes reviews","Chanumolu
G
G","10.2174/0115733998380389251111041618","","Gestational diabetes mellitus (GDM) affects almost 10%-12% of pregnancies worldwide, threatening maternal and fetal life. Continuous glucose monitoring (CGM) forms the backbone of managing GDM, and the current methodologies largely disregard physiological and behavioral factors, thereby greatly reducing accuracy and clinical interpretability."
"From Pathophysiology to Treatment: Contemporary Approaches to CFRD in the Pediatric and Adolescent Population.","https://scispace.com/paper/41552835","2026","Journal Article","Pediatric diabetes","Vuralli","10.1155/pedi/5539725","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12811412/pdf","Cystic fibrosis-related diabetes (CFRD) is the most prevalent nonrespiratory complication of cystic fibrosis (CF), with its prominence growing as survival rates improve due to advances in CFTR modulator therapies. Its prevalence increases with age, affecting nearly 50% of patients with CF (PwCF) over 30 years old. CFRD primarily results from progressive pancreatic fibrosis leading to insulin deficiency, further compounded by intermittent insulin resistance during pulmonary exacerbations and systemic inflammation. Key risk factors include pancreatic insufficiency, female sex, severe "
"Efficacy of an AI-Enabled Low Glucose Prediction: A Pooled Performance Analysis With Capillary Blood Glucose as Ground Truth.","https://scispace.com/paper/41548894","2026","Journal Article","Journal of diabetes science and technology","Glatzer
Peak
Leppäaho
Lustenberger
Herrero
Andorrà
van Maren","10.1177/19322968251412451","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12812513/pdf","Hypoglycemia is a critical challenge for insulin-dependent people with diabetes using multiple daily injections (MDI), who rely on reactive responses to continuous glucose monitoring (CGM) alerts. To meet the need for a proactive safety tool, we evaluated the performance of the Low Glucose Predict (LGP) feature in the Accu-Chek SmartGuide Predict App."
"Continuous Glucose Monitoring-Based Machine Learning Identification of Diurnal Glycemic Patterns and Diabetes Distress in Type 2 Diabetes.","https://scispace.com/paper/41548885","2026","Journal Article","Journal of diabetes science and technology","Lee
Nam","10.1177/19322968251412449","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12812510/pdf","To identify diurnal glycemic patterns in adults with type 2 diabetes (T2D) using continuous glucose monitoring (CGM)-based machine learning and examine their association with diabetes distress, a key psychosocial outcome."
"Insulin pump guide for health care professionals: settings, interpretation, and adjustment.","https://scispace.com/paper/41548846","2026","Journal Article","Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists","Lansang
Malloy
Knapp
Veeramachaneni
Rahhal
Arce
Mucci
Zhou
Isaacs","10.1016/j.eprac.2025.12.025","","The number of people with diabetes using insulin pumps has increased through the years. Automated insulin delivery (AID) systems, which integrate pump and continuous glucose monitoring with an algorithm to deliver insulin, have enhanced the adoption of insulin pumps. We present a step-by-step resource for health care professionals, from novices to more advanced practitioners, for reviewing the features and settings of AIDs and interpreting the download reports, including considerations such as the kind of insulin used in the pump, and the nonjudgmental approach in evaluating patient behaviors."
"A foundation model for continuous glucose monitoring data.","https://scispace.com/paper/41535468","2026","Journal Article","Nature","Lutsker
Sapir
Shilo
Merino
Godneva
Greenfield
Samocha-Bonet
Dhir
Gude
Mannor
Meirom
Xing
Chechik
Rossman
Segal","10.1038/s41586-025-09925-9","","Continuous glucose monitoring (CGM) generates detailed temporal profiles of glucose dynamics, but its full potential for achieving glucose homeostasis and predicting long-term outcomes remains underutilized. Here we present GluFormer, a generative foundation model for CGM data trained with self-supervised learning on more than 10 million glucose measurements from 10,812 adults mainly without diabetes"
