"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Multimodal Echocardiography for Diagnostic Value of Type 2 Diabetes Mellitus Complicated with Left Anterior Descending Artery Stenosis: A Retrospective Case-Control Study.","https://scispace.com/paper/41582349","2026","Journal Article","Current medical imaging","Li
Wu
You
He
Wang
Zhou
Hu","10.2174/0115734056410845251205082610","","Type 2 diabetes mellitus (T2DM) significantly increases the risk of coronary heart disease (CHD), with left anterior descending artery (LAD) stenosis being a critical determinant of prognosis. While coronary angiography (CAG) and coronary computed tomography angiography (CCTA) are standard diagnostic tools, they have inherent limitations. This study aimed to evaluate the clinical value of multimodal echocardiography in assessing LAD stenosis severity in patients with T2DM."
"Activating the SDF-1/CXCR4 axis: Notoginsenoside R1-Functionalized zinc scaffolds accelerate fracture healing and angiogenesis in diabetic osteoporosis.","https://scispace.com/paper/41579467","2026","Journal Article","Biomaterials","Xie
Lin
Yang
Zhao
Deng
Du
Jia
Wu
Li
Li
Li
Zong
Hu
Cai","10.1016/j.biomaterials.2026.124004","","Effective treatment of diabetic osteoporotic fractures (DOF) requires biomaterials capable of promoting vascularized bone regeneration. A biodegradable porous zinc (Zn) scaffold incorporating sustained-release Notoginsenoside R1 (NGR1), referred to as Zn-NGR1, was developed using powder metallurgy and impregnation techniques. Comprehensive characterization by scanning electron microscopy (SEM), energy-dispersive X-ray spectroscopy (EDS), X-ray diffraction (XRD), and high-performance liquid chromatography (HPLC) confirmed the scaffold's morphology, composition, and controlled NGR1 release. In a streptozotocin (STZ)-induced diabetic and ovariectomized (OVX) rat model with femoral fractures, Zn-NGR1 implantation markedly accelerated fracture healing, enhanced angiogenesis as demonstrated by hematoxylin and eosin (H&E) staining, Masson's trichrome staining, and immunohistochemistry/immunofluorescence (IHC/IF) analysis for cluster of differentiation 31 (CD31) and vascular endothelial growth factor (VEGF), and improved mechanical strength in three-point bending tests. Bone volume fraction (BV/TV) increased by 20 % compared with controls. Transcriptomic profiling (RNA sequencing, RNA-seq) combined with network pharmacology and machine learning analysis identified the stromal cell-derived factor 1 (SDF-1)/C-X-C chemokine receptor type 4 (CXCR4) signaling axis as the principal pathway activated by NGR1. In vitro, Zn-NGR1 significantly enhanced bone marrow mesenchymal stem cell (BMSC) and human umbilical vein endothelial cell (HUVEC) proliferation and migration, promoted osteogenic differentiation, and stimulated angiogenesis through SDF-1/CXCR4 upregulation, confirmed by real-time quantitative polymerase chain reaction (RT-qPCR) and Western blot analysis. In vivo validation demonstrated that Zn-NGR1 facilitates diabetic fracture healing by activating the SDF-1/CXCR4 axis, thereby promoting osteogenesis and angiogenesis. These findings indicate that Zn-NGR1 scaffolds represent a promising biomaterial strategy for improving DOF repair through targeted modulation of the SDF-1/CXCR4 axis."
"Construction of an interpretable machine learning model for predicting gestational diabetes mellitus based on 45 dietary nutrients.","https://scispace.com/paper/41580827","2026","Journal Article","BioData mining","Xiong
Yuan
Yun
Li
Chen","10.1186/s13040-025-00515-z","","No abstract available"
"Spatial and spatiotemporal pattern of stroke relative risk in Ghana using Bayesian modelling approach.","https://scispace.com/paper/41577310","2026","Journal Article","Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association","Iddrisu
Takyi
Afriyie
Siddick","10.1016/j.jstrokecerebrovasdis.2026.108567","","Stroke ranks as the second-leading cause of death and third in combined death and disability globally. In Ghana, there is a significant incidence of stroke, yet systematic reviews highlight a lack of comprehensive data on stroke in Sub-Saharan Africa, including Ghana. Additionally, information on the spatial and spatiotemporal distribution of stroke risk across Ghana's 16 regions remains limited. The objective of this study was to study the spatial and spatiotemporal distribution of stroke relative risk, identify regions with high-risk regions and associated predictors."
"Exploration Novel Therapeutic Targets for Periodontitis via Stress Granules Biomarkers.","https://scispace.com/paper/41576727","2026","Journal Article","International dental journal","Wang
Yang
Shi
Zhu
Zhuang
Chen","10.1016/j.identj.2025.109390","","Periodontitis (PD) is associated with stress granules (SGs), which are involved in cellular stress responses. Identifying biomarkers related to SGs in PD is key to grasping its pathogenesis and devising novel therapeutic approaches."
"Endocrine and metabolic determinants of cardiometabolic risk in mild autonomous cortisol secretion.","https://scispace.com/paper/41576621","2026","Journal Article","EBioMedicine","Prete
Abdi
Canducci
van den Brandhof
Albors-Zumel
Jenkinson
Gilligan
Zhang
Visser
Chortis
Najdekr
Jankevics
Lloyd
Winder
Tsagarakis
Lang
Macech
Fell
Vodanovic
Reimondo
Marina
Deutschbein
Balomenaki
O'Reilly
Bednarczuk
Dusek
Diamantopoulos
Asia
Kondracka
Yu
Masjkur
Quinkler
Ueland
Dennedy
Beuschlein
Tabarin
Fassnacht
Ivovic
Terzolo
Kastelan
Young
Manolopoulos
Ambroziak
Vassiliadi
Bancos
Sitch
Taylor
Tino
Biehl
Dunn
Arlt","10.1016/j.ebiom.2026.106126","","Benign adrenal tumours, found in 1-7% of adults, can be non-functioning (NFAT) or show mild autonomous cortisol secretion (MACS), i.e., biochemical cortisol excess without manifestations of Cushing's syndrome (CS). MACS occurs in 20-50% of cases and is linked to increased cardiometabolic burden."
"Diagnostic Accuracy of Artificial Intelligence-Enabled Retinal Biomarkers for Detecting Type 2 Diabetes and Prediabetes Among Asian Indians [DART Study].","https://scispace.com/paper/41574589","2026","Journal Article","Diabetes technology & therapeutics","Kaup
Sil Kar
Carrillo-Larco
Dhamdhere
Lebowitz
Anjana
Jagannathan
Ali
Mohan
Narayan
Madabhushi
Rajalakshmi","10.1177/15209156261417296","","To identify retinal microvascular features that distinguish normoglycemia from diabetes mellitus (DM)[Study-1] and prediabetes (PreDM)[Study-2] among Asian Indians using artificial intelligence (AI); evaluate their diagnostic accuracy; and examine independent associations of oculomics scores [Oculomic Diabetes Score (ODiS) and Prediabetes Score (OPreS)] with glycemic status."
"Machine learning-based prediction model for 30-day readmission risk in elderly patients with type 2 diabetes mellitus and heart failure: a retrospective cohort study with SHAP interpretability analysis.","https://scispace.com/paper/41573510","2025","Journal Article","Frontiers in cardiovascular medicine","Wang
Wei
Chen
Lu
Zhang
Yang","10.3389/fcvm.2025.1673159","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12819643/pdf","Among elderly populations with concurrent type 2 diabetes mellitus (T2DM) and heart failure (HF), 30-day hospital readmission rates range 10%-25%. Conventional risk evaluation instruments show restricted predictive performance (AUC < 0.70) in this multimorbid group. This research aimed to construct and verify an artificial intelligence-based algorithm for assessing 30-day readmission probability in elderly T2DM-HF patients."
"Machine learning-based online prediction of nocturnal hypoglycemia in elderly patients with type 2 diabetes.","https://scispace.com/paper/41573194","2025","Journal Article","Frontiers in endocrinology","Liu
Guo
Li
Li
Huang
Zhao
Zhu
Liu
Wang
Lin
Wang
Gao
Gao
Liu","10.3389/fendo.2025.1685969","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12819298/pdf","Nocturnal hypoglycemia (NH) is a common adverse event in elderly patients with type 2 diabetes (T2D). This study aims to develop a clinically applicable model for predicting the risk of NH in elderly patients with T2D."
"Ontology development and use for cholangiocarcinoma risk factors and predictions: a term enrichment data analysis and machine learning classification.","https://scispace.com/paper/41572391","2026","Journal Article","Journal of biomedical semantics","Pengput
Diehl","10.1186/s13326-025-00345-2","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12829242/pdf","Cholangiocarcinoma (CCA) is a critical public health problem in Thailand. The prevalence is much higher than other areas in the world. Data about CCA are stored in different data sources and standards in both research data sets and electronic health records (EHR)."
