"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Multimodal Echocardiography for Diagnostic Value of Type 2 Diabetes Mellitus Complicated with Left Anterior Descending Artery Stenosis: A Retrospective Case-Control Study.","https://scispace.com/paper/41582349","2026","Journal Article","Current medical imaging","Li
Wu
You
He
Wang
Zhou
Hu","10.2174/0115734056410845251205082610","","Type 2 diabetes mellitus (T2DM) significantly increases the risk of coronary heart disease (CHD), with left anterior descending artery (LAD) stenosis being a critical determinant of prognosis. While coronary angiography (CAG) and coronary computed tomography angiography (CCTA) are standard diagnostic tools, they have inherent limitations. This study aimed to evaluate the clinical value of multimodal echocardiography in assessing LAD stenosis severity in patients with T2DM."
"Diagnostic Accuracy of Artificial Intelligence-Enabled Retinal Biomarkers for Detecting Type 2 Diabetes and Prediabetes Among Asian Indians [DART Study].","https://scispace.com/paper/41574589","2026","Journal Article","Diabetes technology & therapeutics","Kaup
Sil Kar
Carrillo-Larco
Dhamdhere
Lebowitz
Anjana
Jagannathan
Ali
Mohan
Narayan
Madabhushi
Rajalakshmi","10.1177/15209156261417296","","To identify retinal microvascular features that distinguish normoglycemia from diabetes mellitus (DM)[Study-1] and prediabetes (PreDM)[Study-2] among Asian Indians using artificial intelligence (AI); evaluate their diagnostic accuracy; and examine independent associations of oculomics scores [Oculomic Diabetes Score (ODiS) and Prediabetes Score (OPreS)] with glycemic status."
"Machine learning-based online prediction of nocturnal hypoglycemia in elderly patients with type 2 diabetes.","https://scispace.com/paper/41573194","2025","Journal Article","Frontiers in endocrinology","Liu
Guo
Li
Li
Huang
Zhao
Zhu
Liu
Wang
Lin
Wang
Gao
Gao
Liu","10.3389/fendo.2025.1685969","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12819298/pdf","Nocturnal hypoglycemia (NH) is a common adverse event in elderly patients with type 2 diabetes (T2D). This study aims to develop a clinically applicable model for predicting the risk of NH in elderly patients with T2D."
"Endocrine disruption in metabolic disorders: Biomarkers and therapeutic targets.","https://scispace.com/paper/41571379","2026","Journal Article","Advances in clinical chemistry","Ikram
Rehman
Akash
Ameer","10.1016/bs.acc.2025.10.012","","Endocrine-disrupting chemicals (EDCs) are external agents that interfere with normal hormone production, release, movement, attachment, activity, and removal. EDCs operate through various mechanisms, including receptor binding, interference with hormone production pathways, modification of hormone-transporting proteins, or disturbance of hormonal metabolic processes. Evidence links EDCs to several health conditions, including insulin resistance, type 2 diabetes mellitus, obesity, and metabolic syndrome. Fortunately, the field of biomarker discovery for metabolic and endocrine disorders is undergoing rapid transformation, driven by advancements in metabolomics, multi-omics integration, and artificial intelligence (AI)-enhanced diagnostics. Cutting-edge analytical techniques, such as mass spectrometry, nuclear magnetic resonance spectroscopy, and next-generation sequencing, have facilitated the identification of novel biomarkers for early disease detection, prognosis, and treatment monitoring. Metabolomics has played a crucial role in unraveling disease mechanisms, identifying biochemical signatures of metabolic dysfunctions, and bridging traditional and modern medical approaches. However, challenges remain in clinical validation, reproducibility, and specificity of these biomarkers. The incorporation of multi-omics technologies such as genomics, proteomics, and transcriptomic has provided a more comprehensive view of metabolic dysregulation. Future advancements in machine learning, AI-driven data analytics, and single-cell omics are expected to revolutionize precision medicine by enabling personalized treatment strategies and improving clinical outcomes. As biomarker research continues to evolve, the convergence of high-throughput technologies, computational approaches, and clinical validation efforts will be critical in ensuring their translation into routine medical practice."
"The discordance of remnant cholesterol and low-density lipoprotein cholesterol as a predictor of diabetes, diabetic microvascular diseases, and cardiovascular disease.","https://scispace.com/paper/41572345","2026","Journal Article","Diabetology & metabolic syndrome","Wang
Li
Shao
Xu
Wang
Wu
Ning
He
Li
Ma
Wei
Lin
Zhang
Lv
Wang
Li
Yang
Wu
Shi","10.1186/s13098-025-02039-2","","The impact of discordance between remnant cholesterol (RC) and low-density lipoprotein cholesterol (LDL-c) on diabetes, diabetic kidney disease (DKD), diabetic retinopathy (DR) and cardiovascular disease (CVD) remains unclear. This study aims to explore the association between the discordance and these outcomes, using data from the National Health and Nutrition Examination Survey (NHANES) 1999.1-2020.3 and Clinical Medical College & Affiliated Hospital of Chengdu University."
"Machine learning-based prediction of diabetic retinopathy from pupillary abnormalities in a South Indian population.","https://scispace.com/paper/41569995","2026","Journal Article","PloS one","Surya
Tamilselvi
Roy
Chinnasamy
Raman
Suchetha
Rajendran","10.1371/journal.pone.0340802","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12826491/pdf","Diabetic retinopathy (DR) is a common complication of diabetes that can lead to vision loss. Early detection and prevention of DR is crucial to reduce the burden of this disease. The purpose of this study was to build a prediction model for DR using pupillary abnormalities as biomarkers. Pupillary parameters including Dark-adapted Baseline Pupillary Diameter (BPD), Amplitude of Pupillary Constriction (APC), Velocity of Pupillary Constriction (VPC), Amplitude of Pupil Re-dilatation after Maximum Constriction, and Velocity of Pupillary Dilatation (VPD) were collected and analyzed using machine learning algorithm including Support Vector Machine, Decision Trees, Artificial Neural Networks (ANN), Logistic Regressions, Random Forest, Naive Bayes Classifier. Utilizing ROC analysis and the Youden index, this study identified cut-off values for pupillary abnormalities to detect DR risk. The study found that ANN performed well with an accuracy of 0.807 (95% CI: 0.65-0.94) and AUC of 0.879 (95% CI: 0.71-0.98) in predicting DR using pupillary abnormalities as biomarkers. The findings of this research offer significant insights into the predictive value of pupillary abnormalities for DR, establishing a strong foundation for early intervention strategies. Particularly, the superior performance of ANN in detecting DR presents an opportunity to refine risk stratification and prevention approaches, potentially transforming the prognosis for individuals at elevated risk of this condition."
"Hybrid Deep Learning Framework for Continuous Blood Glucose Monitoring and Gestational Diabetes Risk Prediction.","https://scispace.com/paper/41568507","2026","Journal Article","Current diabetes reviews","Chanumolu
G
G","10.2174/0115733998380389251111041618","","Gestational diabetes mellitus (GDM) affects almost 10%-12% of pregnancies worldwide, threatening maternal and fetal life. Continuous glucose monitoring (CGM) forms the backbone of managing GDM, and the current methodologies largely disregard physiological and behavioral factors, thereby greatly reducing accuracy and clinical interpretability."
"Implementation of guideline-recommended organ-protective therapy in people with type 2 diabetes and cardiovascular disease, heart failure, or kidney disease: real-world evidence from a German University Hospital.","https://scispace.com/paper/41567800","2025","Journal Article","Frontiers in endocrinology","Suliman
Lee-Barkey
Brehmer
Stratmann
Klose
Lenfers
Kleesiek
Reger-Tan
Keyl","10.3389/fendo.2025.1736984","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12816769/pdf","Organ-protective therapy with sodium-glucose cotransporter 2 inhibitors (SGLT2i) and glucagon-like peptide-1 receptor agonists (GLP1RA) is recommended for people with type 2 diabetes (PwT2D) and cardiorenal comorbidities, yet real-world uptake remains uncertain."
"A Review of Emerging Biomarkers Connecting Diabetes and Ischemic Stroke: Implications for Early Detection and Risk Stratification.","https://scispace.com/paper/41567175","2026","Journal Article","Journal of diabetes research","Hussain
Ramadan
Al Haddad
Alfahl","10.1155/jdr/2719491","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12817486/pdf","Diabetes substantially increases the risk of ischemic stroke through complex metabolic, inflammatory, and vascular mechanisms, yet early identification of high-risk individuals remains challenging. This narrative review synthesizes emerging circulating and genomic biomarkers that illuminate the pathways linking diabetes and ischemic stroke and evaluates their potential for early detection and precise risk stratification. Systematic searches of PubMed, Scopus, and Web of Science identified 141 relevant studies examining biomarkers, genetic and epigenetic factors, or risk prediction models in adults with diabetes. Evidence highlights several biomarker domains. Inflammatory markers such as high-sensitivity C-reactive protein, interleukin-6, and tumor necrosis factor-"
"Hemorrhage Segmentation in Fundus Images Using the U-Net 3+ Model: Performance Comparison Across Retinal Regions.","https://scispace.com/paper/41565928","2026","Journal Article","Journal of imaging informatics in medicine","Kang
Kim
Kim","10.1007/s10278-025-01837-4","","Diabetic retinopathy (DR) is one of the most common complications of diabetes, and timely detection of retinal hemorrhages is essential for preventing vision loss. This study evaluates the U-Net3 + model for pixel-level hemorrhage segmentation in fundus images and examines its performance across clinically meaningful retinal regions. Model performance was assessed using accuracy, sensitivity, specificity, and Dice score and further analyzed across perivascular and extravascular areas, perifoveal and extrafoveal regions, fovea-centered quadrants, and images stratified by hemorrhage burden. U-Net3 + achieved strong overall performance, with 99.93% accuracy, 87.03% sensitivity, 99.97% specificity, and an 85.02% Dice score. Higher segmentation accuracy was observed in extravascular regions and within the foveal area, while quadrant-wise performance remained largely consistent. Images with greater hemorrhage burden demonstrated higher segmentation reliability. These findings highlight the importance of region-aware evaluation and suggest that U-Net3 + can provide clinically meaningful support for automated DR screening. Further validation using larger and multi-center datasets is required to enhance the model's generalizability for real-world clinical deployment."
