"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Federated multimodal AI for precision-equitable diabetes care","https://scispace.com/paper/SeoUyLpF2eYJ","","","","B Bai
X Liu
H Li","","https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1678047/pdf","… federated learning (FL) and multimodal artificial intelligence (… frameworks leverage cross-modal alignment and co-learning … diabetic retinopathy screening, time-series analysis of CGM …",""
"Leveraging Deep Learning and Multi-Modal Data for Early Prediction and Personalized Management of Type 2 Diabetes","https://scispace.com/paper/leveraging-deep-learning-and-multi-modal-data-for-early-shuvamxp7j36","","","","Shashi Bhushan Singh -
Arjun Singh","10.36948/ijfmr.2024.v06i04.26096","https://pdfs.semanticscholar.org/6835/ad6aa701c0236628775de1795ad9a4e4a904.pdf","… , lifestyle data, and continuous glucose monitoring. The model … The application of artificial intelligence (AI) and deep learning … levels, detect diabetic retinopathy from retinal images, and …","Type 2 diabetes mellitus (T2DM) is a chronic metabolic disorder affecting millions worldwide, with significant health and economic implications. Early prediction and personalized management are crucial for improving patient outcomes and reducing healthcare costs. This study presents a novel approach leveraging deep learning techniques and multi-modal data analysis for the early prediction and personalized management of T2DM. We developed a deep learning model that integrates diverse data types, including electronic health records, genetic information, lifestyle data, and continuous glucose monitoring. The model was trained on a large dataset of 50,000 patients, including both diabetic and non-diabetic individuals, with a 5-year follow-up period. Our results demonstrate that the deep learning model achieves a sensitivity of 89% and specificity of 92% in predicting T2DM onset up to 3 years before clinical diagnosis, outperforming traditional risk assessment tools. Furthermore, the model generates personalized management plans, including tailored lifestyle recommendations and medication schedules, which led to a 25% improvement in glycemic control compared to standard care in a randomized controlled trial of 1,000 patients. This study highlights the potential of AI-driven, multi-modal approaches in revolutionizing diabetes care. By enabling earlier interventions and more personalized management strategies, this approach could significantly improve patient outcomes and reduce the burden of T2DM on healthcare systems. Future work will focus on external validation, long-term follow-up studies, and integration into clinical workflows."
"Multimodal Approach for Diabetic Retinopathy Detection Using Deep Learning and Clinical Data Fusion","https://scispace.com/paper/multimodal-approach-for-diabetic-retinopathy-detection-using-jvwualaqnoxq","","","","Karthikeyan S
Selva Sangeeth S
Sreeja GG
Sivasanjeev R
Srimathi M","10.1109/icces63552.2024.10859974","","… in artificial intelligence, especially deep learning, show great promise for detecting DR from retinal images. The training model… 1) Dataset Composition: We utilize high-resolution fundus …","A novel multimodal diabetic retinopathy (DR) diagnosis method is proposed that addresses the most common and time-consuming limitations of traditional diagnosis methods. This approach combines deep learning techniques with medical data fusion to integrate retinal images with important measurements such as glucose levels, blood pressure, and diabetes duration. The model uses convolutional neural networks (CNN) for high-level image analysis and multilayer perceptrons (MLP) to process medical data, and achieves fusion through integration. Compared with image-only models, this principle improves performance metrics including optimization, recall, and classification accuracy. Through the use of visualization and therapy, this approach provides large-scale and flexible solutions for many clinical environments. This study demonstrates the various aspects of multidisciplinary work in the diagnosis of DR, paving the way for better patient outcomes and setting a new standard for integration into expert clinical practice in medicine. Future work will focus on expanding the data, developing the translational model and exploring real-world applications."
"Deep Learning for Diabetic Retinopathy Detection: A Review of Multimodal Data Fusion Approaches","https://scispace.com/paper/deep-learning-for-diabetic-retinopathy-detection-a-review-of-1bidhjb5msjz","2025","Journal Article","","Kartina Diah Kesuma Wardhani
Shahreen Kasim
Rohayanti Hassan
Rahmat Hidayat
Khaled Mahmud Sujon","10.21203/rs.3.rs-7196434/v1","https://scispace.compdf/deep-learning-for-diabetic-retinopathy-detection-a-review-of-1bidhjb5msjz.pdf","… Diabetic retinopathy (DR) is a diabetes-induced eye disease that affects the blood vessels of the retina… requires interpreting diverse information such as retinal imaging and clinical data. …","<title>Abstract</title> Diabetic retinopathy (DR) is a diabetes-induced eye disease that affects the blood vessels of the retina, and a lack of proper DR detection could result in the loss of vision. Although deep learning (DL) has successfully analyzed single-modality medical data, DR diagnosis often requires interpreting diverse information such as retinal imaging and clinical data. Multimodal data fusion has the potential to accommodate robust and complementary information between these sources for more accurate diagnostic decisions. However, DR detection using deep learning-based multimodal fusion is still challenging and underdeveloped. This review investigates recent advances in applying DL techniques to multimodal DR detection , focusing on model architecture, modality combinations, fusion strategies, and performance metrics. Among these architectures, convolutional neural networks (CNNs) are the most popular, and the fusion of fundus images with OCT or 1 EHR data is the most common pairing. Early and joint fusion strategies dominate, while model performance is typically assessed using accuracy, AUC, sensitivity, and F1-score. Despite promising progress, the field still faces challenges including modality heterogeneity, lack of standardized multimodal datasets, and limited model interpretability. Emerging trends point toward hybrid architecture, attention mechanisms, and self-supervised learning as potential solutions. This review highlights current developments and outlines future directions to support the design of scalable, generalizable, and clinically applicable multimodal DL systems for DR detection. "
"Detection of Center-Involved Diabetic Macular Edema with Visual Impairment using Multimodal Artificial Intelligence Algorithms","https://scispace.com/paper/detection-of-center-involved-diabetic-macular-edema-with-z51mtfjvcat6","2025","Journal Article","Ophthalmology Retina","Tien‐En Tan
Yi Pin Ng
Claire T. Calhoun
Jia Quan Chaung
Jie Yao
Yan Wang
Liangli Zhen
Xinxing Xu
Yong Liu
Rick Siow Mong Goh
Gabriele Piccoli
Stela Vujosevic
Gavin Siew Wei Tan
Jennifer K. Sun
Daniel SW Ting","10.1016/j.oret.2025.04.016","","… Diabetic retinopathy (DR) is one of the leading causes of … Artificial intelligence (AI) and deep learning algorithms (DLAs… of diabetic patients with or without CI-DME, who had CFP, OCT, …","To develop artificial intelligence (AI) models for automated detection of center-involved diabetic macular edema (CI-DME) with visual impairment using color fundus photographs (CFP) and optical coherence tomography (OCT) scans. AI effort using pooled data from multi-center studies. Datasets consisted of diabetic participants with or without CI-DME, who had CFP, OCT, and best corrected visual acuity (BCVA) obtained after manifest refraction. The development dataset was from DRCR Retina Network clinical trials, external testing dataset 1 was from the Singapore National Eye Centre, Singapore, and external testing dataset 2 was from the Eye Clinic, IRCCS MultiMedica, Milan, Italy. AI models were trained to detect CI-DME, visual impairment (BCVA 20/32 or worse), and CI-DME with visual impairment, using CFPs alone, OCTs alone, and both CFPs and OCTs together (multimodal). Data from 1,007 eyes were used to train and validate the algorithms, and data from 448 eyes were used for testing. Area under the receiver operating characteristic curve (AUC) values. In the primary testing set, the CFP model, OCT model, and multimodal model had AUCs of 0.848 (95% CI 0.787-0.900), 0.913 (95% CI 0.870-0.947), and 0.939 (95% CI 0.906-0.964), respectively, for detection of CI-DME with visual impairment. In external testing dataset 1, the CFP, OCT, and multimodal models had AUCs of 0.756 (95% CI 0.624-0.870), 0.949 (95% CI 0.889-0.989), and 0.917 (95% CI 0.837-0.979), respectively, for detection of CI-DME with visual impairment. In external testing dataset 2, the CFP, OCT, and multimodal models had AUCs of 0.881 (95% CI 0.822-0.940), 0.828 (95% CI 0.749-0.905), and 0.907 (95% CI 0.852-0.952), respectively, for detection of CI-DME with visual impairment. The AI models showed good diagnostic performance for detection of CI-DME with visual impairment. The multimodal (CFP and OCT) model did not offer additional benefit over the OCT model alone. If validated in prospective studies, these AI models could potentially help to improve triage and detection of patients who require prompt treatment. "
"A panoramic perspective: application prospects and outlook of multimodal artificial intelligence in the management of diabetic retinopathy","https://scispace.com/paper/dBQgdMekr78J","","","","C Liu
Y Duan
H Wu
J Duan","","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1724001/pdf","… Against this background, the rise of artificial intelligence (AI), particularly deep learning, … multimodal imaging features of diabetic retinopathy. (A) Ultra-widefield color fundus photography …",""
"Deep Learning-based Method in Multimodal Data for Diabetic Retinopathy Detection.","https://scispace.com/paper/deep-learning-based-method-in-multimodal-data-for-diabetic-4ze0rarc8ljd","2024","Journal Article","International Journal on Advanced Science, Engineering and Information Technology","Kartina Diah Kesuma Wardhani
Shahreen Kasim
Aldo Erianda
Rohayanti Hassan","10.18517/ijaseit.14.5.11677","","… Unimodal learning may overlook capturing these multimodal … of diabetic retinopathy (DR) by fusing retinal imaging … , the retinal imaging used in this study includes fundus retinal …","Diabetic retinopathy (DR) is a complex condition, and incorporating information from multiple sources, such as patient history, laboratory results, or genetic data, can enhance understanding. An ophthalmologist or an automated system can identify DR through manual examination. The automatic detection of diabetic retinopathy has become a preferred choice for patients and healthcare providers due to its cost-effectiveness and time efficiency. The novelty of this research lies in developing a model for predicting diabetic retinopathy using multimodal data fusion, incorporating fundus retinal images, optical coherence tomography (OCT), and electronic health records (EHR) through an early fusion technique implemented in a Long Short-Term Memory (LSTM) network. Our model, which utilizes an early fusion of multimodal data with Local Binary Pattern (LBP), has demonstrated the best performance, achieving an AUC value of 0.99. This high accuracy indicates that integrating information from various data sources can significantly improve the capability of the model in detecting both positive and negative cases of diabetic retinopathy, instilling confidence in the reliability of our findings."
"A multimodal transformer system for noninvasive diabetic nephropathy diagnosis via retinal imaging","https://scispace.com/paper/a-multimodal-transformer-system-for-noninvasive-diabetic-1jx7fn4kguat","2025","Journal Article","npj digital medicine","Zheyi Dong
Xiaofei Wang
Sai Pan
Taohan Weng
Xiaoniao Chen
Shuangshuang Jiang
Ying Li
Zonghua Wang
Xueying Cao
Qian Wang
Pu Chen
Lai Jiang
Guangyan Cai
Li Zhang
Yong Wang
Jin‐Kui Yang
Yani He
Hongli Lin
Jie Wu
Li Tang
Jianhui Zhou
Shengxi Li
Zhaohui Li
Yibing Fu
Xiang Yu
Yanqiu Geng
Yingjie Zhang
Liqiang Wang
Mai Xu
Xiangmei Chen","10.1038/s41746-024-01393-1","https://www.nature.com/articles/s41746-024-01393-1.pdf","… , such as diabetes history and diabetic retinopathy (DR), and … has not been well explored in artificial intelligence (AI)-based … supervised learning manner, with multimodal input of fundus …",""
"Novel artificial intelligence algorithms for diabetic retinopathy and diabetic macular edema","https://scispace.com/paper/novel-artificial-intelligence-algorithms-for-diabetic-3nndl62ekr","2024","Journal Article","Eye and vision","Jie Yao
Joshua Lim
Gilbert Lim
Jasmine Chiat Ling Ong
Yuhe Ke
Ting Fang Tan
Tien‐En Tan
Stela Vujosevic
Daniel Shu Wei Ting","10.1186/s40662-024-00389-y","https://link.springer.com/content/pdf/10.1186/s40662-024-00389-y.pdf","… diabetic retinopathy"", ""diabetic macular edema"", ""fundus photograph"", ""optical coherence tomography"", ""artificial intelligence"", ""machine learning"", and ""deep learning… that multi-modal AI …","Abstract Background Diabetic retinopathy (DR) and diabetic macular edema (DME) are major causes of visual impairment that challenge global vision health. New strategies are needed to tackle these growing global health problems, and the integration of artificial intelligence (AI) into ophthalmology has the potential to revolutionize DR and DME management to meet these challenges. Main text This review discusses the latest AI-driven methodologies in the context of DR and DME in terms of disease identification, patient-specific disease profiling, and short-term and long-term management. This includes current screening and diagnostic systems and their real-world implementation, lesion detection and analysis, disease progression prediction, and treatment response models. It also highlights the technical advancements that have been made in these areas. Despite these advancements, there are obstacles to the widespread adoption of these technologies in clinical settings, including regulatory and privacy concerns, the need for extensive validation, and integration with existing healthcare systems. We also explore the disparity between the potential of AI models and their actual effectiveness in real-world applications. Conclusion AI has the potential to revolutionize the management of DR and DME, offering more efficient and precise tools for healthcare professionals. However, overcoming challenges in deployment, regulatory compliance, and patient privacy is essential for these technologies to realize their full potential. Future research should aim to bridge the gap between technological innovation and clinical application, ensuring AI tools integrate seamlessly into healthcare workflows to enhance patient outcomes. "
"Advances and prospects of multi-modal ophthalmic artificial intelligence based on deep learning: a review","https://scispace.com/paper/advances-and-prospects-of-multi-modal-ophthalmic-artificial-1mbh4bdtm5vs","2024","Journal Article","Eye and vision","Shaopan Wang
Xin He
Zhongquan Jian
Jie Li
Changsheng Xu
Yuguang Chen
Yuwen Liu
Han Chen
Caihong Huang
Jiaoyue Hu
Zuguo Liu","10.1186/s40662-024-00405-1","https://link.springer.com/content/pdf/10.1186/s40662-024-00405-1.pdf","… Diabetic retinopathy (DR) is a common complication of diabetes, and if not promptly … glaucoma and various fundus diseases, multi-modal learning exhibits notable advantages …","Abstract Background In recent years, ophthalmology has emerged as a new frontier in medical artificial intelligence (AI) with multi-modal AI in ophthalmology garnering significant attention across interdisciplinary research. This integration of various types and data models holds paramount importance as it enables the provision of detailed and precise information for diagnosing eye and vision diseases. By leveraging multi-modal ophthalmology AI techniques, clinicians can enhance the accuracy and efficiency of diagnoses, and thus reduce the risks associated with misdiagnosis and oversight while also enabling more precise management of eye and vision health. However, the widespread adoption of multi-modal ophthalmology poses significant challenges. Main text In this review, we first summarize comprehensively the concept of modalities in the field of ophthalmology, the forms of fusion between modalities, and the progress of multi-modal ophthalmic AI technology. Finally, we discuss the challenges of current multi-modal AI technology applications in ophthalmology and future feasible research directions. Conclusion In the field of ophthalmic AI, evidence suggests that when utilizing multi-modal data, deep learning-based multi-modal AI technology exhibits excellent diagnostic efficacy in assisting the diagnosis of various ophthalmic diseases. Particularly, in the current era marked by the proliferation of large-scale models, multi-modal techniques represent the most promising and advantageous solution for addressing the diagnosis of various ophthalmic diseases from a comprehensive perspective. However, it must be acknowledged that there are still numerous challenges associated with the application of multi-modal techniques in ophthalmic AI before they can be effectively employed in the clinical setting. "
