"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning","https://scispace.com/paper/a-critical-review-on-diagnosis-of-diabetic-retinopathy-using-3vkmoy28","2022","Journal Article","Multimedia Tools and Applications","Dolly Das
Saroj Kr. Biswas
Sivaji Bandyopadhyay","10.1007/s11042-022-12642-4","https://link.springer.com/content/pdf/10.1007/s11042-022-12642-4.pdf","… To overcome DR, manual diagnosis of the disease is feasible but … diagnosis to prevent DR from developing into severe stages and prevent blindness. Innumerable Machine Learning (…","Diabetic Retinopathy (DR) is a health condition caused due to Diabetes Mellitus (DM). It causes vision problems and blindness due to disfigurement of human retina. According to statistics, 80% of diabetes patients battling from long diabetic period of 15 to 20 years, suffer from DR. Hence, it has become a dangerous threat to the health and life of people. To overcome DR, manual diagnosis of the disease is feasible but overwhelming and cumbersome at the same time and hence requires a revolutionary method. Thus, such a health condition necessitates primary recognition and diagnosis to prevent DR from developing into severe stages and prevent blindness. Innumerable Machine Learning (ML) models are proposed by researchers across the globe, to achieve this purpose. Various feature extraction techniques are proposed for extraction of DR features for early detection. However, traditional ML models have shown either meagre generalization throughout feature extraction and classification for deploying smaller datasets or consumes more of training time causing inefficiency in prediction while using larger datasets. Hence Deep Learning (DL), a new domain of ML, is introduced. DL models can handle a smaller dataset with help of efficient data processing techniques. However, they generally incorporate larger datasets for their deep architectures to enhance performance in feature extraction and image classification. This paper gives a detailed review on DR, its features, causes, ML models, state-of-the-art DL models, challenges, comparisons and future directions, for early detection of DR. "
"Deep learning–based algorithms in screening of diabetic retinopathy: a systematic review of diagnostic performance","https://scispace.com/paper/deep-learning-based-algorithms-in-screening-of-diabetic-h17lctx5ra","2019","Journal Article","Ophthalmology Retina","Katrine B. Nielsen
Katrine B. Nielsen
Mie L. Lautrup
Mie L. Lautrup
Jakob Kristian Holm Andersen
Jakob Kristian Holm Andersen
Thiusius Rajeeth Savarimuthu
Jakob Grauslund
Jakob Grauslund
Jakob Grauslund","10.1016/J.ORET.2018.10.014","https://portal.findresearcher.sdu.dk/files/150139260/Deep_Learning_based_Algorithms_in_Screening_of_Diabetic_Retinopathy.pdf","… that incorporated the use of deep learning in classifying full-scale DR in retinal fundus images of patients with diabetes. The studies had to provide a DR grading scale, a human grader …",""
"Diagnostic assessment of deep learning algorithms for diabetic retinopathy screening","https://scispace.com/paper/diagnostic-assessment-of-deep-learning-algorithms-for-4d24tf6oyb","2019","Journal Article","Information Sciences","Tao Li
Yingqi Gao
Kai Wang
Song Guo
Hanruo Liu
Hong Kang","10.1016/J.INS.2019.06.011","","… object detection… detection, indicating that lesion segmentation and detection are quite challenging. In summary, we are providing a new dataset named DDR for assessing deep learning …",""
"Diabetic retinopathy detection through deep learning techniques: A review","https://scispace.com/paper/diabetic-retinopathy-detection-through-deep-learning-l10gbeh0jn","2020","Journal Article","Informatics in Medicine Unlocked","Wejdan L. Alyoubi
Wafaa M. Shalash
Maysoon F. Abulkhair","10.1016/J.IMU.2020.100377","","… Recently, deep learning has become one of the most … more widely used as a deep learning method in medical image … fundus images detection and classification using deep learning …",""
"Performance of a deep-learning algorithm vs manual grading for detecting diabetic retinopathy in India","https://scispace.com/paper/performance-of-a-deep-learning-algorithm-vs-manual-grading-kofhayy1b6","2019","Journal Article","JAMA Ophthalmology","Varun Gulshan
Renu P Rajan
Kasumi Widner
Derek Wu
Peter Wubbels
Tyler Rhodes
Kira Whitehouse
Marc Coram
Greg S. Corrado
Kim Ramasamy
Rajiv Raman
Lily Peng
Dale R. Webster","10.1001/JAMAOPHTHALMOL.2019.2004","https://jamanetwork.com/journals/jamaophthalmology/articlepdf/2734990/jamaophthalmology_gulshan_2019_oi_190041.pdf","… assessment of deep learning algorithms for detection of … population of patients with diabetes who require screening, and a … yearly screenings, 7 DR screening in India is performed on an …","Importance More than 60 million people in India have diabetes and are at risk for diabetic retinopathy (DR), a vision-threatening disease. Automated interpretation of retinal fundus photographs can help support and scale a robust screening program to detect DR. Objective To prospectively validate the performance of an automated DR system across 2 sites in India. Design, Setting, and Participants This prospective observational study was conducted at 2 eye care centers in India (Aravind Eye Hospital and Sankara Nethralaya) and included 3049 patients with diabetes. Data collection and patient enrollment took place between April 2016 and July 2016 at Aravind and May 2016 and April 2017 at Sankara Nethralaya. The model was trained and fixed in March 2016. Interventions Automated DR grading system compared with manual grading by 1 trained grader and 1 retina specialist from each site. Adjudication by a panel of 3 retinal specialists served as the reference standard in the cases of disagreement. Main Outcomes and Measures Sensitivity and specificity for moderate or worse DR or referable diabetic macula edema. Results Of 3049 patients, 1091 (35.8%) were women and the mean (SD) age for patients at Aravind and Sankara Nethralaya was 56.6 (9.0) years and 56.0 (10.0) years, respectively. For moderate or worse DR, the sensitivity and specificity for manual grading by individual nonadjudicator graders ranged from 73.4% to 89.8% and from 83.5% to 98.7%, respectively. The automated DR system’s performance was equal to or exceeded manual grading, with an 88.9% sensitivity (95% CI, 85.8-91.5), 92.2% specificity (95% CI, 90.3-93.8), and an area under the curve of 0.963 on the data set from Aravind Eye Hospital and 92.1% sensitivity (95% CI, 90.1-93.8), 95.2% specificity (95% CI, 94.2-96.1), and an area under the curve of 0.980 on the data set from Sankara Nethralaya. Conclusions and Relevance This study shows that the automated DR system generalizes to this population of Indian patients in a prospective setting and demonstrates the feasibility of using an automated DR grading system to expand screening programs."
"Automated detection of diabetic retinopathy using deep learning","https://scispace.com/paper/automated-detection-of-diabetic-retinopathy-using-deep-27hf46k907","2018","","","Carson Lam
Darvin Yi
Margaret Guo
Tony Lindsey
Tony Lindsey","","https://pmc.ncbi.nlm.nih.gov/articles/PMC5961805/pdf/2840838.pdf","… While deep learning for binary classification … grading system capable of classifying images based on disease pathologies from four severity levels. A convolutional neural network (CNN) …","Diabetic retinopathy is a leading cause of blindness among working-age adults. Early detection of this condition is critical for good prognosis. In this paper, we demonstrate the use of convolutional neural networks (CNNs) on color fundus images for the recognition task of diabetic retinopathy staging. Our network models achieved test metric performance comparable to baseline literature results, with validation sensitivity of 95%. We additionally explored multinomial classification models, and demonstrate that errors primarily occur in the misclassification of mild disease as normal due to the CNNs inability to detect subtle disease features. We discovered that preprocessing with contrast limited adaptive histogram equalization and ensuring dataset fidelity by expert verification of class labels improves recognition of subtle features. Transfer learning on pretrained GoogLeNet and AlexNet models from ImageNet improved peak test set accuracies to 74.5%, 68.8%, and 57.2% on 2-ary, 3-ary, and 4-ary classification models, respectively."
"Detection of diabetic retinopathy using deep learning methodology","https://scispace.com/paper/detection-of-diabetic-retinopathy-using-deep-learning-43k1tp00wj","2021","Journal Article","","Gazala Mushtaq
Farheen Siddiqui","10.1088/1757-899X/1070/1/012049","https://iopscience.iop.org/article/10.1088/1757-899X/1070/1/012049/pdf","… diabetic retinopathy automatically and attempted to propose our own deep learning approach for the early diagnosis of retinopathy by using a DenseNet169(which is a new CNN …","Diabetic retinopathy is a complication of diabetes that targets the eyes by damaging the retinal blood vessels. Initially it is asymptomatic or causes fluctuating vision problems. As it becomes severe, it affects both the eyes and eventually causes partial or complete vision loss. Primarily occurs when the blood sugar level is unmanageable. Therefore, the person with diabetes mellitus is always at a high risk of acquiring this disease. The early detection can deter the contingency of complete and permanent blindness. Thus, requires an efficient screening system. The present work considers a deep learning methodology specifically a Densely Connected Convolutional Network DenseNet-169, which is applied for the early detection of diabetic retinopathy. It classifies the fundus images based on its severity levels as No DR, Mild, Moderate, Severe and Proliferative DR. The datasets that are taken into consideration are Diabetic Retinopathy Detection 2015 and Aptos 2019 Blindness Detection which are both obtained from Kaggle. The proposed method is accomplished through various steps: Data Collection, Preprocessing, Augmentation and modelling. Our proposed model achieved 90% of accuracy. The Regression model was also employed, manifested up an accuracy of 78%. The main aim of this work is to develop a robust system for detecting DR automatically."
"Diabetic retinopathy detection using deep learning","https://scispace.com/paper/diabetic-retinopathy-detection-using-deep-learning-5czdaspb9a","2020","Proceedings Article","International Conference on Machine Learning","Quang H. Nguyen
Ramasamy Muthuraman
Laxman Singh
Gopa Sen
Anh Cuong Tran
Binh P. Nguyen
Matthew Chin Heng Chua","10.1145/3380688.3380709","https://dl.acm.org/doi/pdf/10.1145/3380688.3380709","… The automated method of DR screening will speed up the detection and decision-making … diabetic retinopathy (DR) using machine learning models such as CNN, VGG-16 and VGG-19. …","Diabetic Retinopathy (DR) is an eye disease associated with chronic diabetes. DR is the leading cause of blindness among working aged adults around the world and estimated it may affect more than 93 million people. Progression to vision impairment can be slowed or controlled if DR is detected in time, however this can be difficult as the disease often shows few symptoms until it is too late to provide effective treatment.Currently, detecting DR is a time-consuming and manual process, which requires an ophthalmologist or trained clinician to examine and evaluate digital color fundus photographs of the retina, to identify DR by the presence of lesions associated with the vascular abnormalities caused by the disease.The automated method of DR screening will speed up the detection and decision-making process, which will help to control or manage DR progression. This paper presents an automated classification system, in which it analyzes fundus images with varying illumination and fields of view and generates a severity grade for diabetic retinopathy (DR) using machine learning models such as CNN, VGG-16 and VGG-19.This system achieves 80% sensitivity, 82% accuracy, 82% specificity, and 0.904 AUC for classifying images into 5 categories ranging from 0 to 4, where 0 is no DR and 4 is proliferative DR."
"A convolutional neural network for the screening and staging of diabetic retinopathy","https://scispace.com/paper/a-convolutional-neural-network-for-the-screening-and-staging-2tpb30kp5w","2020","Journal Article","PLOS ONE","Mohamed Shaban
Zeliha Ogur
Ali Mahmoud
Andrew E. Switala
Ahmed Shalaby
Hadil Abu Khalifeh
Mohammed Ghazal
Luay Fraiwan
Guruprasad A. Giridharan
Harpal Sandhu
Ayman El-Baz","10.1371/JOURNAL.PONE.0233514","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0233514&type=printable","… paper, a deep Convolutional Neural Network (CNN) with 18 … objectively diagnosing and grading diabetic retinopathy, which … This technology enables both early diagnosis and objective …","Diabetic retinopathy (DR) is a serious retinal disease and is considered as a leading cause of blindness in the world Ophthalmologists use optical coherence tomography (OCT) and fundus photography for the purpose of assessing the retinal thickness, and structure, in addition to detecting edema, hemorrhage, and scars Deep learning models are mainly used to analyze OCT or fundus images, extract unique features for each stage of DR and therefore classify images and stage the disease Throughout this paper, a deep Convolutional Neural Network (CNN) with 18 convolutional layers and 3 fully connected layers is proposed to analyze fundus images and automatically distinguish between controls (ie no DR), moderate DR (ie a combination of mild and moderate Non Proliferative DR (NPDR)) and severe DR (ie a group of severe NPDR, and Proliferative DR (PDR)) with a validation accuracy of 88%-89%, a sensitivity of 87%-89%, a specificity of 94%-95%, and a Quadratic Weighted Kappa Score of 091-092 when both 5-fold, and 10-fold cross validation methods were used respectively A prior pre-processing stage was deployed where image resizing and a class-specific data augmentation were used The proposed approach is considerably accurate in objectively diagnosing and grading diabetic retinopathy, which obviates the need for a retina specialist and expands access to retinal care This technology enables both early diagnosis and objective tracking of disease progression which may help optimize medical therapy to minimize vision loss"
"A deep learning ensemble approach for diabetic retinopathy detection","https://scispace.com/paper/a-deep-learning-ensemble-approach-for-diabetic-retinopathy-44hmr2lw63","2019","Journal Article","IEEE Access","Sehrish Qummar
Fiaz Gul Khan
Sajid Shah
Ahmad Khan
Shahaboddin Shamshirband
Zia ur Rehman
Iftikhar Ahmed Khan
Waqas Jadoon","10.1109/ACCESS.2019.2947484","https://ieeexplore.ieee.org/iel7/6287639/8600701/08869883.pdf","… a CNN model for the referable Diabetic Retinopathy (RDR). … The performance of the CNN model is evaluated based on … [10] proposed three CNN models for binary classification and …","Diabetic Retinopathy (DR) is an ophthalmic disease that damages retinal blood vessels. DR causes impaired vision and may even lead to blindness if it is not diagnosed in early stages. DR has five stages or classes, namely normal, mild, moderate, severe and PDR (Proliferative Diabetic Retinopathy). Normally, highly trained experts examine the colored fundus images to diagnose this fatal disease. This manual diagnosis of this condition (by clinicians) is tedious and error-prone. Therefore, various computer vision-based techniques have been proposed to automatically detect DR and its different stages from retina images. However, these methods are unable to encode the underlying complicated features and can only classify DR's different stages with very low accuracy particularly, for the early stages. In this research, we used the publicly available Kaggle dataset of retina images to train an ensemble of five deep Convolution Neural Network (CNN) models (Resnet50, Inceptionv3, Xception, Dense121, Dense169) to encode the rich features and improve the classification for different stages of DR. The experimental results show that the proposed model detects all the stages of DR unlike the current methods and performs better compared to state-of-the-art methods on the same Kaggle dataset."
