"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Bias in medical AI: Implications for clinical decision-making","https://scispace.com/paper/bias-in-medical-ai-implications-for-clinical-decision-making-268qymcjldcf","2024","Journal Article","PLOS digital health","James L. Cross
Michael A. Choma
John A. Onofrey","10.1371/journal.pdig.0000651","https://journals.plos.org/digitalhealth/article/file?id=10.1371/journal.pdig.0000651&type=printable","… In the context of medical AI for clinical decision-making, we define bias as any instance, factor, or prejudice that drives an AI algorithm to produce differential or inequitable outputs and …","Biases in medical artificial intelligence (AI) arise and compound throughout the AI lifecycle. These biases can have significant clinical consequences, especially in applications that involve clinical decision-making. Left unaddressed, biased medical AI can lead to substandard clinical decisions and the perpetuation and exacerbation of longstanding healthcare disparities. We discuss potential biases that can arise at different stages in the AI development pipeline and how they can affect AI algorithms and clinical decision-making. Bias can occur in data features and labels, model development and evaluation, deployment, and publication. Insufficient sample sizes for certain patient groups can result in suboptimal performance, algorithm underestimation, and clinically unmeaningful predictions. Missing patient findings can also produce biased model behavior, including capturable but nonrandomly missing data, such as diagnosis codes, and data that is not usually or not easily captured, such as social determinants of health. Expertly annotated labels used to train supervised learning models may reflect implicit cognitive biases or substandard care practices. Overreliance on performance metrics during model development may obscure bias and diminish a model's clinical utility. When applied to data outside the training cohort, model performance can deteriorate from previous validation and can do so differentially across subgroups. How end users interact with deployed solutions can introduce bias. Finally, where models are developed and published, and by whom, impacts the trajectories and priorities of future medical AI development. Solutions to mitigate bias must be implemented with care, which include the collection of large and diverse data sets, statistical debiasing methods, thorough model evaluation, emphasis on model interpretability, and standardized bias reporting and transparency requirements. Prior to real-world implementation in clinical settings, rigorous validation through clinical trials is critical to demonstrate unbiased application. Addressing biases across model development stages is crucial for ensuring all patients benefit equitably from the future of medical AI. "
"Algorithmic fairness and bias mitigation for clinical machine learning with deep reinforcement learning","https://scispace.com/paper/algorithmic-fairness-and-bias-mitigation-for-clinical-21u98t761w","2023","Journal Article","Nature Machine Intelligence","Jenny Yang
Andrew Soltan
David W Eyre
David A. Clifton","10.1038/s42256-023-00697-3","https://www.nature.com/articles/s42256-023-00697-3.pdf","… In the context of fairness and bias, our focus is on clinical … Secondly, bias against certain groups can result in disparities in … of ML models in clinical practice more challenging. …","Abstract As models based on machine learning continue to be developed for healthcare applications, greater effort is needed to ensure that these technologies do not reflect or exacerbate any unwanted or discriminatory biases that may be present in the data. Here we introduce a reinforcement learning framework capable of mitigating biases that may have been acquired during data collection. In particular, we evaluated our model for the task of rapidly predicting COVID-19 for patients presenting to hospital emergency departments and aimed to mitigate any site (hospital)-specific and ethnicity-based biases present in the data. Using a specialized reward function and training procedure, we show that our method achieves clinically effective screening performances, while significantly improving outcome fairness compared with current benchmarks and state-of-the-art machine learning methods. We performed external validation across three independent hospitals, and additionally tested our method on a patient intensive care unit discharge status task, demonstrating model generalizability. "
"Evaluation and mitigation of racial bias in clinical machine learning models: scoping review","https://scispace.com/paper/evaluation-and-mitigation-of-racial-bias-in-clinical-machine-85nw89ye","2022","Journal Article","JMIR medical informatics","Jonathan S Huang
Galal Galal
Mozziyar Etemadi
Mahesh Vaidyanathan","10.2196/36388","https://jmir.org/api/download?alt_name=medinform_v10i5e36388_app1.pdf&filename=913eebeab355f3bafc031318200c7560.pdf","… the racial bias of clinical ML in terms of model fairness with … The clinical machine learning development workflow (orange … of racial bias and algorithmic fairness in clinical ML models in …","Background Racial bias is a key concern regarding the development, validation, and implementation of machine learning (ML) models in clinical settings. Despite the potential of bias to propagate health disparities, racial bias in clinical ML has yet to be thoroughly examined and best practices for bias mitigation remain unclear. Objective Our objective was to perform a scoping review to characterize the methods by which the racial bias of ML has been assessed and describe strategies that may be used to enhance algorithmic fairness in clinical ML. Methods A scoping review was conducted in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) Extension for Scoping Reviews. A literature search using PubMed, Scopus, and Embase databases, as well as Google Scholar, identified 635 records, of which 12 studies were included. Results Applications of ML were varied and involved diagnosis, outcome prediction, and clinical score prediction performed on data sets including images, diagnostic studies, clinical text, and clinical variables. Of the 12 studies, 1 (8%) described a model in routine clinical use, 2 (17%) examined prospectively validated clinical models, and the remaining 9 (75%) described internally validated models. In addition, 8 (67%) studies concluded that racial bias was present, 2 (17%) concluded that it was not, and 2 (17%) assessed the implementation of bias mitigation strategies without comparison to a baseline model. Fairness metrics used to assess algorithmic racial bias were inconsistent. The most commonly observed metrics were equal opportunity difference (5/12, 42%), accuracy (4/12, 25%), and disparate impact (2/12, 17%). All 8 (67%) studies that implemented methods for mitigation of racial bias successfully increased fairness, as measured by the authors’ chosen metrics. Preprocessing methods of bias mitigation were most commonly used across all studies that implemented them. Conclusions The broad scope of medical ML applications and potential patient harms demand an increased emphasis on evaluation and mitigation of racial bias in clinical ML. However, the adoption of algorithmic fairness principles in medicine remains inconsistent and is limited by poor data availability and ML model reporting. We recommend that researchers and journal editors emphasize standardized reporting and data availability in medical ML studies to improve transparency and facilitate evaluation for racial bias."
"The limits of fair medical imaging AI in real-world generalization","https://scispace.com/paper/the-limits-of-fair-medical-imaging-ai-in-real-world-20xne0x2wj","2024","Journal Article","Nature Medicine","Yuzhe Yang
Haoran Zhang
Judy Wawira Gichoya
Dina Katabi
Marzyeh Ghassemi","10.1038/s41591-024-03113-4","https://www.nature.com/articles/s41591-024-03113-4.pdf","… clinical deployment settings where shortcuts may not be valid in the out-of-distribution (OOD) data, to dissect the interplay between algorithmic fairness and … that maintain fairness when …","Abstract As artificial intelligence (AI) rapidly approaches human-level performance in medical imaging, it is crucial that it does not exacerbate or propagate healthcare disparities. Previous research established AI’s capacity to infer demographic data from chest X-rays, leading to a key concern: do models using demographic shortcuts have unfair predictions across subpopulations? In this study, we conducted a thorough investigation into the extent to which medical AI uses demographic encodings, focusing on potential fairness discrepancies within both in-distribution training sets and external test sets. Our analysis covers three key medical imaging disciplines—radiology, dermatology and ophthalmology—and incorporates data from six global chest X-ray datasets. We confirm that medical imaging AI leverages demographic shortcuts in disease classification. Although correcting shortcuts algorithmically effectively addresses fairness gaps to create ‘locally optimal’ models within the original data distribution, this optimality is not true in new test settings. Surprisingly, we found that models with less encoding of demographic attributes are often most ‘globally optimal’, exhibiting better fairness during model evaluation in new test environments. Our work establishes best practices for medical imaging models that maintain their performance and fairness in deployments beyond their initial training contexts, underscoring critical considerations for AI clinical deployments across populations and sites. "
"Algorithm fairness in ai for medicine and healthcare","https://scispace.com/paper/algorithm-fairness-in-ai-for-medicine-and-healthcare-1dmeeo2fie","2021","Posted Content","arXiv: Computer Vision and Pattern Recognition","Richard J. Chen
Tiffany Y. Chen
Jana Lipkova
Judy J. Wang
Drew F. K. Williamson
Ming Y. Lu
Sharifa Sahai
Faisal Mahmood","","https://arxiv.org/pdf/2110.00603","… In clinical machine learning tasks, modalities such as fundus photography images or chest X-ray images have been shown to include subtle biases that may leak protected attribute …","In the current development and deployment of many artificial intelligence (AI) systems in healthcare, algorithm fairness is a challenging problem in delivering equitable care. Recent evaluation of AI models stratified across race sub-populations have revealed enormous inequalities in how patients are diagnosed, given treatments, and billed for healthcare costs. In this perspective article, we summarize the intersectional field of fairness in machine learning through the context of current issues in healthcare, outline how algorithmic biases (e.g. - image acquisition, genetic variation, intra-observer labeling variability) arise in current clinical workflows and their resulting healthcare disparities. Lastly, we also review emerging strategies for mitigating bias via decentralized learning, disentanglement, and model explainability."
"Algorithmic fairness in artificial intelligence for medicine and healthcare","https://scispace.com/paper/algorithmic-fairness-in-artificial-intelligence-for-medicine-pkabhx5d","2023","Journal Article","Nature Biomedical Engineering","Richard Chen
Judy J. Wang
Drew F. K. Williamson
Tiffany Y. Chen
Jana Lipkova
Ming Y. Lu
S. Sahai
Faisal Mahmood","10.1038/s41551-023-01056-8","https://pmc.ncbi.nlm.nih.gov/articles/PMC10632090/pdf/nihms-1940941.pdf","… AI-SaMD), AI is poised to penetrate routine clinical care over the next decade by replacing or … versa, conventional bias-mitigation strategies in AI may fail to translate to real-world clinical …",""
"Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model …","https://scispace.com/paper/WeFwFPccH6AJ","","","","K Drukker
W Chen
J Gichoya","","https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-10/issue-6/061104/Toward-fairness-in-artificial-intelligence-for-medical-image-analysis/10.1117/1.JMI.10.6.061104.pdf","… aims to develop a carefully curated imaging data commons and to gather and produce resources to foster and accelerate clinical translation of AI/ML models, with fairness, trust, and …",""
"Addressing fairness issues in deep learning-based medical image analysis: a systematic review","https://scispace.com/paper/addressing-fairness-issues-in-deep-learning-based-medical-5476y74ae111","2024","Journal Article","npj digital medicine","Zikang Xu
Jun Li
Qingsong Yao
Han Li
Mingyue Zhao
S. Kevin Zhou","10.1038/s41746-024-01276-5","https://www.nature.com/articles/s41746-024-01276-5.pdf","… and necessities concerning fair MedIA, thereby fostering the advancement of fair medical AI. … The choices of fairness metrics also vary between AI fairness and clinical fairness. While AI …","Deep learning algorithms have demonstrated remarkable efficacy in various medical image analysis (MedIA) applications. However, recent research highlights a performance disparity in these algorithms when applied to specific subgroups, such as exhibiting poorer predictive performance in elderly females. Addressing this fairness issue has become a collaborative effort involving AI scientists and clinicians seeking to understand its origins and develop solutions for mitigation within MedIA. In this survey, we thoroughly examine the current advancements in addressing fairness issues in MedIA, focusing on methodological approaches. We introduce the basics of group fairness and subsequently categorize studies on fair MedIA into fairness evaluation and unfairness mitigation. Detailed methods employed in these studies are presented too. Our survey concludes with a discussion of existing challenges and opportunities in establishing a fair MedIA and healthcare system. By offering this comprehensive review, we aim to foster a shared understanding of fairness among AI researchers and clinicians, enhance the development of unfairness mitigation methods, and contribute to the creation of an equitable MedIA society. "
"Bias in artificial intelligence for medical imaging: fundamentals, detection, avoidance, mitigation, challenges, ethics, and prospects","https://scispace.com/paper/bias-in-artificial-intelligence-for-medical-imaging-rc490m05gg","2024","Journal Article","Diagnostic and Interventional Radiology","Burak Koçak
Andrea Ponsiglione
Arnaldo Stanzione
Christian Blüthgen
João Santinha
Lorenzo Ugga
Merel Huisman
Michail E. Klontzas
Roberto Cannella
Renato Cuocolo","10.4274/dir.2024.242854","https://scispace.compdf/bias-in-artificial-intelligence-for-medical-imaging-rc490m05gg.pdf","… Continuous monitoring of models should address biases that may arise over time to ensure the integrity of AI medical imaging systems in real-world clinical settings. By identifying and …","Although artificial intelligence (AI) methods hold promise for medical imaging-based prediction tasks, their integration into medical practice may present a double-edged sword due to bias (i.e., systematic errors). AI algorithms have the potential to mitigate cognitive biases in human interpretation, but extensive research has highlighted the tendency of AI systems to internalize biases within their model. This fact, whether intentional or not, may ultimately lead to unintentional consequences in the clinical setting, potentially compromising patient outcomes. This concern is particularly important in medical imaging, where AI has been more progressively and widely embraced than any other medical field. A comprehensive understanding of bias at each stage of the AI pipeline is therefore essential to contribute to developing AI solutions that are not only less biased but also widely applicable. This international collaborative review effort aims to increase awareness within the medical imaging community about the importance of proactively identifying and addressing AI bias to prevent its negative consequences from being realized later. The authors began with the fundamentals of bias by explaining its different definitions and delineating various potential sources. Strategies for detecting and identifying bias were then outlined, followed by a review of techniques for its avoidance and mitigation. Moreover, ethical dimensions, challenges encountered, and prospects were discussed. "
"Ethical and bias considerations in artificial intelligence/machine learning","https://scispace.com/paper/khFb8flh50kJ","","","","MG Hanna
L Pantanowitz
B Jackson
O Palmer","","","… bias in medicine, a comprehensive evaluation process is required, which will encompass all aspects of such systems, from model development through clinical … and bias considerations …",""
