"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Federated learning and differential privacy for medical image analysis","https://scispace.com/paper/federated-learning-and-differential-privacy-for-medical-26vzkjps","2022","Journal Article","Dental science reports","Pamela Hallock","10.1038/s41598-022-05539-7","https://www.nature.com/articles/s41598-022-05539-7.pdf","… along with the number of healthcare providers, ie, … federated learning is a viable and reliable framework for the collaborative development of machine learning models in medical …","The artificial intelligence revolution has been spurred forward by the availability of large-scale datasets. In contrast, the paucity of large-scale medical datasets hinders the application of machine learning in healthcare. The lack of publicly available multi-centric and diverse datasets mainly stems from confidentiality and privacy concerns around sharing medical data. To demonstrate a feasible path forward in medical image imaging, we conduct a case study of applying a differentially private federated learning framework for analysis of histopathology images, the largest and perhaps most complex medical images. We study the effects of IID and non-IID distributions along with the number of healthcare providers, i.e., hospitals and clinics, and the individual dataset sizes, using The Cancer Genome Atlas (TCGA) dataset, a public repository, to simulate a distributed environment. We empirically compare the performance of private, distributed training to conventional training and demonstrate that distributed training can achieve similar performance with strong privacy guarantees. We also study the effect of different source domains for histopathology images by evaluating the performance using external validation. Our work indicates that differentially private federated learning is a viable and reliable framework for the collaborative development of machine learning models in medical image analysis. "
"Comparison of privacy-preserving distributed deep learning methods in healthcare","https://scispace.com/paper/comparison-of-privacy-preserving-distributed-deep-learning-3k3bxzxcku","2020","Posted Content","arXiv: Learning","Manish Gawali
Arvind C S
Shriya Suryavanshi
Harshit Madaan
Ashrika Gaikwad
Bhanu Prakash Kn
Viraj Kulkarni
Aniruddha Pant","","https://arxiv.org/pdf/2012.12591","… the federated learning framework for different deep learning … data sources using federated learning perform better than … learning methods for application in the medical domain. In this …","In this paper, we compare three privacy-preserving distributed learning techniques: federated learning, split learning, and SplitFed. We use these techniques to develop binary classification models for detecting tuberculosis from chest X-rays and compare them in terms of classification performance, communication and computational costs, and training time. We propose a novel distributed learning architecture called SplitFedv3, which performs better than split learning and SplitFedv2 in our experiments. We also propose alternate mini-batch training, a new training technique for split learning, that performs better than alternate client training, where clients take turns to train a model."
"Systematic review of privacy-preserving distributed machine learning from federated databases in health care","https://scispace.com/paper/systematic-review-of-privacy-preserving-distributed-machine-3wkcknot2r","2020","Journal Article","","Fadila Zerka
Samir Barakat
Sean Walsh
Marta Bogowicz
Marta Bogowicz
Ralph T.H. Leijenaar
Arthur Jochems
Benjamin Miraglio
David Townend
Philippe Lambin","10.1200/CCI.19.00047","https://ascopubs.org/doi/pdfdirect/10.1200/CCI.19.00047","… how privacy-preserving distributed machine learning from … then discusses machine learning and deep learning. Thereafter, … research is that distributed machine learning is an evolving …","Big data for health care is one of the potential solutions to deal with the numerous challenges of health care, such as rising cost, aging population, precision medicine, universal health coverage, and the increase of noncommunicable diseases. However, data centralization for big data raises privacy and regulatory concerns.Covered topics include (1) an introduction to privacy of patient data and distributed learning as a potential solution to preserving these data, a description of the legal context for patient data research, and a definition of machine/deep learning concepts; (2) a presentation of the adopted review protocol; (3) a presentation of the search results; and (4) a discussion of the findings, limitations of the review, and future perspectives.Distributed learning from federated databases makes data centralization unnecessary. Distributed algorithms iteratively analyze separate databases, essentially sharing research questions and answers between databases instead of sharing the data. In other words, one can learn from separate and isolated datasets without patient data ever leaving the individual clinical institutes.Distributed learning promises great potential to facilitate big data for medical application, in particular for international consortiums. Our purpose is to review the major implementations of distributed learning in health care."
"Secure, privacy-preserving and federated machine learning in medical imaging","https://scispace.com/paper/secure-privacy-preserving-and-federated-machine-learning-in-4jedzuai3s","2020","Journal Article","Nature Machine Intelligence","Georgios Kaissis
Georgios Kaissis
Marcus R. Makowski
Daniel Rückert
Rickmer Braren","10.1038/S42256-020-0186-1","https://mediatum.ub.tum.de/doc/1602022/document.pdf","… and privacy-preserving artificial intelligence with a focus on medical imaging applications, alongside potential attack vectors and future prospects in medical imaging and beyond. …","The broad application of artificial intelligence techniques in medicine is currently hindered by limited dataset availability for algorithm training and validation, due to the absence of standardized electronic medical records, and strict legal and ethical requirements to protect patient privacy. In medical imaging, harmonized data exchange formats such as Digital Imaging and Communication in Medicine and electronic data storage are the standard, partially addressing the first issue, but the requirements for privacy preservation are equally strict. To prevent patient privacy compromise while promoting scientific research on large datasets that aims to improve patient care, the implementation of technical solutions to simultaneously address the demands for data protection and utilization is mandatory. Here we present an overview of current and next-generation methods for federated, secure and privacy-preserving artificial intelligence with a focus on medical imaging applications, alongside potential attack vectors and future prospects in medical imaging and beyond. Medical imaging data is often subject to privacy and intellectual property restrictions. AI techniques can help out by offering tools like federated learning to bridge the gap between personal data protection and data utilisation for research and clinical routine, but these tools need to be secure."
"Medical imaging deep learning with differential privacy","https://scispace.com/paper/medical-imaging-deep-learning-with-differential-privacy-hfnut5n24y","2021","Journal Article","Scientific Reports","Alexander Ziller
Dmitrii Usynin
Rickmer Braren
Marcus R. Makowski
Daniel Rueckert
Georgios Kaissis","10.1038/S41598-021-93030-0","https://www.nature.com/articles/s41598-021-93030-0.pdf","… task and on the Medical Segmentation Decathlon Liver dataset in the task of medical image … for differentially private deep learning, which we demonstrate in medical imaging analysis …","The successful training of deep learning models for diagnostic deployment in medical imaging applications requires large volumes of data. Such data cannot be procured without consideration for patient privacy, mandated both by legal regulations and ethical requirements of the medical profession. Differential privacy (DP) enables the provision of information-theoretic privacy guarantees to patients and can be implemented in the setting of deep neural network training through the differentially private stochastic gradient descent (DP-SGD) algorithm. We here present deepee, a free-and-open-source framework for differentially private deep learning for use with the PyTorch deep learning framework. Our framework is based on parallelised execution of neural network operations to obtain and modify the per-sample gradients. The process is efficiently abstracted via a data structure maintaining shared memory references to neural network weights to maintain memory efficiency. We furthermore offer specialised data loading procedures and privacy budget accounting based on the Gaussian Differential Privacy framework, as well as automated modification of the user-supplied neural network architectures to ensure DP-conformity of its layers. We benchmark our framework's computational performance against other open-source DP frameworks and evaluate its application on the paediatric pneumonia dataset, an image classification task and on the Medical Segmentation Decathlon Liver dataset in the task of medical image segmentation. We find that neural network training with rigorous privacy guarantees is possible while maintaining acceptable classification performance and excellent segmentation performance. Our framework compares favourably to related work with respect to memory consumption and computational performance. Our work presents an open-source software framework for differentially private deep learning, which we demonstrate in medical imaging analysis tasks. It serves to further the utilisation of privacy-enhancing techniques in medicine and beyond in order to assist researchers and practitioners in addressing the numerous outstanding challenges towards their widespread implementation."
"Federated learning for privacy preservation in smart healthcare systems: A comprehensive survey","https://scispace.com/paper/federated-learning-for-privacy-preservation-in-smart-29drrpnr","2022","Journal Article","IEEE Journal of Biomedical and Health Informatics","Mansoor Salman Ali
Faisal Naeem
Muhammad Tariq
Georges Kaddoum","10.1109/JBHI.2022.3181823","https://arxiv.org/pdf/2203.09702","… healthcare systems, a distributed AI-based framework is needed for enabling privacy-preserving and scalable healthcare … Wang, “Blockchain-federated-learning and deep learning …","Recent advances in electronic devices and communication infrastructure have revolutionized the traditional healthcare system into a smart healthcare system by using internet of medical things (IoMT) devices. However, due to the centralized training approach of artificial intelligence (AI), mobile and wearable IoMT devices raise privacy issues concerning the information communicated between hospitals and end-users. The information conveyed by the IoMT devices is highly confidential and can be exposed to adversaries. In this regard, federated learning (FL), a distributive AI paradigm, has opened up new opportunities for privacy preservation in IoMT without accessing the confidential data of the participants. Further, FL provides privacy to end-users as only gradients are shared during training. For these specific properties of FL, in this paper, we present privacy-related issues in IoMT. Afterwards, we present the role of FL in IoMT networks for privacy preservation and introduce some advanced FL architectures by incorporating deep reinforcement learning (DRL), digital twin, and generative adversarial networks (GANs) for detecting privacy threats. Moreover, we present some practical opportunities for FL in IoMT. In the end, we conclude this survey by discussing open research issues and challenges while using FL in future smart healthcare systems."
"Advancing federated learning through novel mechanism for privacy preservation in healthcare applications","https://scispace.com/paper/advancing-federated-learning-through-novel-mechanism-for-3qvv2m451g","","Journal Article","IEEE Access","Mohammed A. AbaOud
Muqrin Almuqrin
Mohammad Faisal Khan","10.1109/access.2023.3301162","https://ieeexplore.ieee.org/iel7/6287639/6514899/10201859.pdf","… expedite the advancement of medical research. The formidable … of privacy-preserving federated learning models, effectively … healthcare institutions to collectively train machine learning …","The landscape of healthcare data collaboration heralds an era of profound transformation, underscoring an exceptional potential to elevate the quality of patient care and expedite the advancement of medical research. The formidable challenge, however, lies in the safeguarding of sensitive information’s privacy and security - a monumental task that creates significant obstacles. This paper presents an innovative approach designed to address these challenges through the implementation of privacy-preserving federated learning models, effectively pioneering a novel path in this intricate field of research. Our proposed solution enables healthcare institutions to collectively train machine learning models on decentralized data, concurrently preserving the confidentiality of individual patient data. During the model aggregation phase, the proposed mechanism enforces the protection of sensitive data by integrating cutting-edge privacy-preserving methodologies, including secure multi-party computation and differential privacy. To substantiate the efficacy of the proposed solution, we conduct an array of comprehensive simulations and evaluations with a concentrated focus on accuracy, computational efficiency, and privacy preservation. The results obtained corroborate that our methodology surpasses competing approaches in providing superior utility and ensuring robust privacy guarantees. The proposed approach encapsulates the feasibility of secure and privacy-preserving collaboration on healthcare data, serving as a compelling testament to its practicality and effectiveness. Through our work, we underscore the potential of harnessing collective intelligence in healthcare while maintaining paramount privacy protection, thereby affirming the promise of a new horizon in collaborative healthcare informatics. "
"Privacy-preserving federated learning model for healthcare data","https://scispace.com/paper/privacy-preserving-federated-learning-model-for-healthcare-p6gs2bre","2022","Proceedings Article","Computing and Communication Workshop and Conference","Tanzir Ul Islam
Reza Ghasemi
Noman Mohammed","10.1109/CCWC54503.2022.9720752","https://mspace.lib.umanitoba.ca/bitstream/handle/1993/37192/Islam_Tanzir.pdf?sequence=2","… structured healthcare data with privacy-preserving distributed machine learning algorithms … First, a review of the federated learning approach focusing on healthcare data is presented. …","Federated Machine Learning (FL) can be used effectively in distributed datasets, where data owners hesitate to share their raw data, as a reliable approach to train an ML algorithm. However, in the case of sensitive healthcare datasets, additional privacy measures before feeding into machine learning mechanisms are also necessary. Our approach uses the federated learning framework, which removes the necessity of sharing patients' sensitive data in a raw format outside the premise. First, the data owners agree on a list of features selected by the correlation; then, after training the local models, the obtained local models are transmitted to the central server for aggregation. The differential privacy (DP) approach is adopted to perturb the local models before transmission to add an extra privacy layer. As a result, our framework achieves improved utility as the feature selection reduces the data dimension. Finally, based on the patient's genomic data, the framework establishes a practical healthcare application to privacy-predict certain heart failure/cancer diseases. application to predict certain heart failure diseases in a private manner."
"Robust and privacy-preserving decentralized deep federated learning training: Focusing on digital healthcare applications","https://scispace.com/paper/robust-and-privacy-preserving-decentralized-deep-federated-38u48fcv","2023","Journal Article","IEEE/ACM Transactions on Computational Biology and Bioinformatics","Youliang Tian
Shuai Wang
Ji Qiang Xiong
Ren Bi
Zhou Zhou
Zakirul Alam Bhuiyan","10.1109/tcbb.2023.3243932","","… Federated learning is an emerging machine learning paradigm where multiple clients (healthcare organizations) solve machine learning … server in digital healthcare systems. The …","Federated learning of deep neural networks has emerged as an evolving paradigm for distributed machine learning, gaining widespread attention due to its ability to update parameters without collecting raw data from users, especially in digital healthcare applications. However, the traditional centralized architecture of federated learning suffers from several problems (e.g., single point of failure, communication bottlenecks, etc.), especially malicious servers inferring gradients and causing gradient leakage. To tackle the above issues, we propose a robust and privacy-preserving decentralized deep federated learning (RPDFL) training scheme. Specifically, we design a novel ring FL structure and a Ring-Allreduce-based data sharing scheme to improve the communication efficiency in RPDFL training. Furthermore, we improve the process of distributing parameters of the Chinese residual theorem to update the execution process of the threshold secret sharing, supporting healthcare edge to drop out during the training process without causing data leakage, and ensuring the robustness of the RPDFL training under the Ring-Allreduce-based data sharing scheme. Security analysis indicates that RPDFL is provable secure. Experiment results show that RPDFL is significantly superior to standard FL methods in terms of model accuracy and convergence, and is suitable for digital healthcare applications."
"A review of privacy enhancement methods for federated learning in healthcare systems","https://scispace.com/paper/a-review-of-privacy-enhancement-methods-for-federated-ae38dcixxa","2023","","International Journal of Environmental Research and Public Health","Xin Gu
Fariza Sabrina
Zongwen Fan
Shaleeza Sohail","10.3390/ijerph20156539","","… a deep learning-based clinical decision support system under an FL paradigm enabled large-scale clinical data mining [3]. The objective was to assist healthcare professionals in …","Federated learning (FL) provides a distributed machine learning system that enables participants to train using local data to create a shared model by eliminating the requirement of data sharing. In healthcare systems, FL allows Medical Internet of Things (MIoT) devices and electronic health records (EHRs) to be trained locally without sending patients data to the central server. This allows healthcare decisions and diagnoses based on datasets from all participants, as well as streamlining other healthcare processes. In terms of user data privacy, this technology allows collaborative training without the need of sharing the local data with the central server. However, there are privacy challenges in FL arising from the fact that the model updates are shared between the client and the server which can be used for re-generating the client’s data, breaching privacy requirements of applications in domains like healthcare. In this paper, we have conducted a review of the literature to analyse the existing privacy and security enhancement methods proposed for FL in healthcare systems. It has been identified that the research in the domain focuses on seven techniques: Differential Privacy, Homomorphic Encryption, Blockchain, Hierarchical Approaches, Peer to Peer Sharing, Intelligence on the Edge Device, and Mixed, Hybrid and Miscellaneous Approaches. The strengths, limitations, and trade-offs of each technique were discussed, and the possible future for these seven privacy enhancement techniques for healthcare FL systems was identified. "
