"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Multimodal deep learning for biomedical data fusion: a review","https://scispace.com/paper/multimodal-deep-learning-for-biomedical-data-fusion-a-review-gbf5elmr","2022","Journal Article","Briefings in Bioinformatics","Sören Richard Stahlschmidt
Benjamin Ulfenborg
Jane Synnergren","10.1093/bib/bbab569","https://academic.oup.com/bib/article-pdf/23/2/bbab569/42805085/bbab569.pdf","… Deep learning (DL)-based data fusion strategies are a popular approach for modeling these nonlinear relationships. Therefore, we review the current state-of-the-art of such methods …","Abstract Biomedical data are becoming increasingly multimodal and thereby capture the underlying complex relationships among biological processes. Deep learning (DL)-based data fusion strategies are a popular approach for modeling these nonlinear relationships. Therefore, we review the current state-of-the-art of such methods and propose a detailed taxonomy that facilitates more informed choices of fusion strategies for biomedical applications, as well as research on novel methods. By doing so, we find that deep fusion strategies often outperform unimodal and shallow approaches. Additionally, the proposed subcategories of fusion strategies show different advantages and drawbacks. The review of current methods has shown that, especially for intermediate fusion strategies, joint representation learning is the preferred approach as it effectively models the complex interactions of different levels of biological organization. Finally, we note that gradual fusion, based on prior biological knowledge or on search strategies, is a promising future research path. Similarly, utilizing transfer learning might overcome sample size limitations of multimodal data sets. As these data sets become increasingly available, multimodal DL approaches present the opportunity to train holistic models that can learn the complex regulatory dynamics behind health and disease."
"Multimodal machine learning in precision health: A scoping review","https://scispace.com/paper/multimodal-machine-learning-in-precision-health-a-scoping-2gppmfrd","2022","Journal Article","npj digital medicine","Adrienne Kline
Hanyin Wang
Yikuan Li
Saya Dennis
Meghan R Hutch
Zhenxing Xu
Fei Wang
Feixiong Cheng
Yuan Luo","10.1038/s41746-022-00712-8","https://www.nature.com/articles/s41746-022-00712-8.pdf","… and healthcare disparities. These findings provide a summary on multimodal data fusion as … Multi-modal machine learning, while more robust in its estimations over unimodal methods, …",""
"Use of multi-modal data and machine learning to improve cardiovascular disease care","https://scispace.com/paper/use-of-multi-modal-data-and-machine-learning-to-improve-2fs7n2w1","2022","Journal Article","Frontiers in Cardiovascular Medicine","S Amal
Lida Safarnejad
Jesutofunmi A. Omiye
I. Ghanzouri
John Cabot
Elsie Gyang Ross","10.3389/fcvm.2022.840262","https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2022.840262/pdf","… and/or unstructured medical records. However, with the exciting promise of data fusion comes … that enables efficient processing by machine learning algorithms. Though examples of …","Today's digital health revolution aims to improve the efficiency of healthcare delivery and make care more personalized and timely. Sources of data for digital health tools include multiple modalities such as electronic medical records (EMR), radiology images, and genetic repositories, to name a few. While historically, these data were utilized in silos, new machine learning (ML) and deep learning (DL) technologies enable the integration of these data sources to produce multi-modal insights. Data fusion, which integrates data from multiple modalities using ML and DL techniques, has been of growing interest in its application to medicine. In this paper, we review the state-of-the-art research that focuses on how the latest techniques in data fusion are providing scientific and clinical insights specific to the field of cardiovascular medicine. With these new data fusion capabilities, clinicians and researchers alike will advance the diagnosis and treatment of cardiovascular diseases (CVD) to deliver more timely, accurate, and precise patient care."
"A survey on deep learning for multimodal data fusion","https://scispace.com/paper/a-survey-on-deep-learning-for-multimodal-data-fusion-27ion74tco","2020","Journal Article","Neural Computation","Jing Gao
Peng Li
Zhikui Chen
Jianing Zhang","10.1162/NECO_A_01273","https://direct.mit.edu/neco/article-pdf/32/5/829/1865303/neco_a_01273.pdf","… , and medical assistant diagnosis. But the research of deep learning for multimodal data fusion is still in a preliminary stage, and there is no work that reviews multimodal deep learning …","With the wide deployments of heterogeneous networks, huge amounts of data with characteristics of high volume, high variety, high velocity, and high veracity are generated. These data, referred to ..."
"A smart healthcare recommendation system for multidisciplinary diabetes patients with data fusion based on deep ensemble learning","https://scispace.com/paper/a-smart-healthcare-recommendation-system-for-2teenhenfk","2021","Journal Article","Computational Intelligence and Neuroscience","Baha Ihnaini
M. A. Khan
Tahir Abbas Khan
Sagheer Abbas
Mohammad Sh. Daoud
Munir Ahmad
Muhammad Adnan Khan","10.1155/2021/4243700","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2021/4243700","… disease based on deep machine learning and data fusion perspectives. Using data fusion, … In this paper, the KNN machine learning classifier was used for predicting diabetes disease. …","The prediction of human diseases precisely is still an uphill battle task for better and timely treatment. A multidisciplinary diabetic disease is a life-threatening disease all over the world. It attacks different vital parts of the human body, like Neuropathy, Retinopathy, Nephropathy, and ultimately Heart. A smart healthcare recommendation system predicts and recommends the diabetic disease accurately using optimal machine learning models with the data fusion technique on healthcare datasets. Various machine learning models and methods have been proposed in the recent past to predict diabetes disease. Still, these systems cannot handle the massive number of multifeatures datasets on diabetes disease properly. A smart healthcare recommendation system is proposed for diabetes disease based on deep machine learning and data fusion perspectives. Using data fusion, we can eliminate the irrelevant burden of system computational capabilities and increase the proposed system’s performance to predict and recommend this life-threatening disease more accurately. Finally, the ensemble machine learning model is trained for diabetes prediction. This intelligent recommendation system is evaluated based on a well-known diabetes dataset, and its performance is compared with the most recent developments from the literature. The proposed system achieved 99.6% accuracy, which is higher compared to the existing deep machine learning methods. Therefore, our proposed system is better for multidisciplinary diabetes disease prediction and recommendation. Our proposed system’s improved disease diagnosis performance advocates for its employment in the automated diagnostic and recommendation systems for diabetic patients."
"Multimodal data fusion for cancer biomarker discovery with deep learning","https://scispace.com/paper/multimodal-data-fusion-for-cancer-biomarker-discovery-with-o9odf74j","2023","Journal Article","Nature Machine Intelligence","Sandra Steyaert
Marija Pizurica
Priya Khandelwal
Tina Hernandez-Boussard
Andrew J. Gentles
Olivier Gevaert","10.1038/s42256-023-00633-5","https://pmc.ncbi.nlm.nih.gov/articles/PMC10484010/pdf/nihms-1928983.pdf","… To advance precision oncology, healthcare AI should not … several sources of routinely collected medical data are not used … We cover strategies for data fusion and examine approaches …",""
"A fusion-based machine learning approach for the prediction of the onset of diabetes","https://scispace.com/paper/a-fusion-based-machine-learning-approach-for-the-prediction-f58ef8nd2x","2021","Journal Article","Healthcare","Muhammad Waqas Nadeem
Hock Guan Goh
Vasaki Ponnusamy
Ivan Andonovic
Muhammad Adnan Khan
Muzammil Hussain","10.3390/HEALTHCARE9101393","","… the fusion of machine learning algorithms are reported for the identification of diabetes. The … segmented as Data Sources, Data Fusion, and Fusion of Machine Learning techniques [17]. …",""
"A comprehensive review of multimodal deep learning for enhanced medical diagnostics.","https://scispace.com/paper/a-comprehensive-review-of-multimodal-deep-learning-for-dy2ovg6iwg2b","","Journal Article","","AM Al-Zoghby
A Ismail Ebada
AS Saleh","10.32604/cmc.2025.065571","https://www.researchgate.net/profile/Ahmed-Ebada-2/publication/393456733_A_Comprehensive_Review_of_Multimodal_Deep_Learning_for_Enhanced_Medical_Diagnostics/links/686bf106b991270ef301fcdd/A-Comprehensive-Review-of-Multimodal-Deep-Learning-for-Enhanced-Medical-Diagnostics.pdf","… of multimodal deep learning approaches in medical diagnosis. … of cooperation for federated multimodal learning. Our goal is to … First, we provide a taxonomy of multimodal learning …",""
"Artificial intelligence and multimodal data fusion for smart healthcare: topic modeling and bibliometrics","https://scispace.com/paper/artificial-intelligence-and-multimodal-data-fusion-for-smart-2yqvvsnzw3","2024","Journal Article","Artificial Intelligence Review","Xieling Chen
Xiaohui Tao
Mingming Leng
Baiying Lei","10.1007/s10462-024-10712-7","https://link.springer.com/content/pdf/10.1007/s10462-024-10712-7.pdf","… data fusion, smart healthcare, and AI simultaneously, especially through quantitative analysis employing machine learning … AI-driven multimodal data fusion in smart healthcare remains …","Abstract Advancements in artificial intelligence (AI) have driven extensive research into developing diverse multimodal data analysis approaches for smart healthcare. There is a scarcity of large-scale analysis of literature in this field based on quantitative approaches. This study performed a bibliometric and topic modeling examination on 683 articles from 2002 to 2022, focusing on research topics and trends, journals, countries/regions, institutions, authors, and scientific collaborations. Results showed that, firstly, the number of articles has grown from 1 in 2002 to 220 in 2022, with a majority being published in interdisciplinary journals that link healthcare and medical research and information technology and AI. Secondly, the significant rise in the quantity of research articles can be attributed to the increasing contribution of scholars from non-English speaking countries/regions and the noteworthy contributions made by authors in the USA and India. Thirdly, researchers show a high interest in diverse research issues, especially, cross-modality magnetic resonance imaging (MRI) for brain tumor analysis, cancer prognosis through multi-dimensional data analysis, and AI-assisted diagnostics and personalization in healthcare, with each topic experiencing a significant increase in research interest. There is an emerging trend towards issues such as applying generative adversarial networks and contrastive learning for multimodal medical image fusion and synthesis and utilizing the combined spatiotemporal resolution of functional MRI and electroencephalogram in a data-centric manner. This study is valuable in enhancing researchers’ and practitioners’ understanding of the present focal points and upcoming trajectories in AI-powered smart healthcare based on multimodal data analysis. "
"An enhanced multimodal fusion deep learning neural network for lung cancer classification","https://scispace.com/paper/an-enhanced-multimodal-fusion-deep-learning-neural-network-3u9u1ji5b7","2023","Journal Article","Systems and soft computing","S. K. B. Sangeetha
Sandeep Kumar Mathivanan
P. Karthikeyan
Hariharan Rajadurai
Basu Dev Shivahare
Saurav Mallik
Hong Qin","10.1016/j.sasc.2023.200068","","… In recent years, the emergence of deep learning, a subset of AI, has brought … of deep learning techniques into medical image analysis has garnered substantial attention. Deep learning …","Cancer remains one of the leading causes of mortality worldwide, necessitating continuous advancements in early diagnosis and treatment. Deep learning, a subset of artificial intelligence, has emerged as a powerful tool in the field of medical image analysis, revolutionizing the way cancer is detected and diagnosed. The study discusses the various modalities employed in lung cancer diagnosis, such as medical imaging (e.g., radiology and pathology), genomics, and clinical data, highlighting the unique challenges associated with each domain. The proposed Multimodal Fusion Deep Neural Network (MFDNN) architecture design effectively integrates information from different modalities (e.g., medical imaging, genomics, clinical data) to enhance lung cancer diagnostic accuracy. Furthermore, it delves into the integration of clinical data, electronic health records, and multimodal approaches to improve the accuracy and reliability of lung cancer diagnosis. Moreover, we highlight the ethical considerations surrounding the deployment of Artificial Intelligence (AI) in clinical settings and the need for robust validation and regulatory guidelines. The Multimodal Fusion Deep Neural Network (MFDNN) achieves an exceptional accuracy rate of 92.5%, marking a significant breakthrough in the realm of medical AI. MFDNN excels in precision, with 87.4% accuracy in predicting cancer cases, and equally impresses in recall, capturing approximately 86.4% of actual cancerous cases. The F1-score of 86.2 further exemplifies MFDNN's ability to strike a harmonious equilibrium, ensuring both diagnostic accuracy and minimized missed diagnoses. The performance is compared with established methods like CNN, DNN, and ResNet. The results underscore MFDNN's pivotal role in revolutionizing lung cancer diagnosis, promising more accurate and timely identification of this critical condition. "
