"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A study of CNN and transfer learning in medical imaging: Advantages, challenges, future scope","https://scispace.com/paper/a-study-of-cnn-and-transfer-learning-in-medical-imaging-1cmo19tc","2023","Journal Article","Sustainability","Ahmad Waleed Salehi
Shakir Khan
G. T. Patle S. Gupta
Bayan Ibrahimm Alabduallah
Abrar Almjally
Hadeel Alsolai
Tamanna Siddiqui","10.3390/su15075930","https://scispace.com/pdf/a-study-of-cnn-and-transfer-learning-in-medical-imaging-1cmo19tc.pdf","… and treatment of diseases, and CNN-based models have … Transfer learning, which involves reusing pre-trained CNN … the advantages of CNN and transfer learning in medical imaging, …","This paper presents a comprehensive study of Convolutional Neural Networks (CNN) and transfer learning in the context of medical imaging. Medical imaging plays a critical role in the diagnosis and treatment of diseases, and CNN-based models have demonstrated significant improvements in image analysis and classification tasks. Transfer learning, which involves reusing pre-trained CNN models, has also shown promise in addressing challenges related to small datasets and limited computational resources. This paper reviews the advantages of CNN and transfer learning in medical imaging, including improved accuracy, reduced time and resource requirements, and the ability to address class imbalances. It also discusses challenges, such as the need for large and diverse datasets, and the limited interpretability of deep learning models. What factors contribute to the success of these networks? How are they fashioned, exactly? What motivated them to build the structures that they did? Finally, the paper presents current and future research directions and opportunities, including the development of specialized architectures and the exploration of new modalities and applications for medical imaging using CNN and transfer learning techniques. Overall, the paper highlights the significant potential of CNN and transfer learning in the field of medical imaging, while also acknowledging the need for continued research and development to overcome existing challenges and limitations."
"Deep learning innovations in diagnosing diabetic retinopathy: The potential of transfer learning and the DiaCNN model","https://scispace.com/paper/deep-learning-innovations-in-diagnosing-diabetic-retinopathy-46f7gpxzoo","2023","Journal Article","Computers in Biology and Medicine","Mohamed R. Shoaib
Heba M. Emara
Jun Zhao
Walid El-Shafai
Naglaa F. Soliman
Ahmed S. A. Mubarak
Osama A. Omer
Fathi E. Abd El-Samie
Hamada Esmaiel","10.1016/j.compbiomed.2023.107834","https://arxiv.org/pdf/2401.13990","… the meticulous examination of intricate retinal images by experienced specialists. This … advanced deep learning techniques. Central to this approach is the concept of transfer learning. …","Diabetic retinopathy (DR) is a significant cause of vision impairment, emphasizing the critical need for early detection and timely intervention to avert visual deterioration. Diagnosing DR is inherently complex, as it necessitates the meticulous examination of intricate retinal images by experienced specialists. This makes the early diagnosis of DR essential for effective treatment and prevention of eventual blindness. Traditional diagnostic methods, relying on human interpretation of medical images, face challenges in terms of accuracy and efficiency. In the present research, we introduce a novel method that offers superior precision in DR diagnosis, compared to traditional methods, by employing advanced deep learning techniques. Central to this approach is the concept of transfer learning. This entails the utilization of pre-existing, well-established models, specifically InceptionResNetv2 and Inceptionv3, to extract features and fine-tune selected layers to cater to the unique requirements of this specific diagnostic task. Concurrently, we also present a newly devised model, DiaCNN, which is tailored for the classification of eye diseases. To prove the efficacy of the proposed methodology, we leveraged the Ocular Disease Intelligent Recognition (ODIR) dataset, which comprises eight different eye disease categories. The results are promising. The InceptionResNetv2 model, incorporating transfer learning, registered an impressive 97.5% accuracy in both the training and testing phases. Its counterpart, the Inceptionv3 model, achieved an even more commendable 99.7% accuracy during training, and 97.5% during testing. Remarkably, the DiaCNN model showcased unparalleled precision, achieving 100% accuracy in training and 98.3% in testing. These figures represent a significant leap in classification accuracy when juxtaposed with existing state-of-the-art diagnostic methods. Such advancements hold immense promise for the future, emphasizing the potential of our proposed technique to revolutionize the accuracy of DR and other eye disease diagnoses. By facilitating earlier detection and more timely interventions, this approach stands poised to significantly reduce the incidence of blindness associated with DR, thus heralding a new era of improved patient outcomes. Therefore, this work, through its novel approach and stellar results, not only pushes the boundaries of DR diagnostic accuracy but also promises a transformative impact in early detection and intervention, aiming to substantially diminish DR-induced blindness and champion enhanced patient care. "
"Transfer learning-based model for diabetic retinopathy diagnosis using retinal images","https://scispace.com/paper/transfer-learning-based-model-for-diabetic-retinopathy-35zxkmai","2022","Journal Article","Brain Sciences","Muhammad Kashif Jabbar
Jianzhuo Yan
Hongxia Xu
Zaka Ur Rehman
Ayesha Jabbar","10.3390/brainsci12050535","https://scispace.com/pdf/transfer-learning-based-model-for-diabetic-retinopathy-35zxkmai.pdf","… deep learning in the classification of medical images. The models based on transfer learning … and classification of diabetic retinopathy by using the transfer learning concept in this paper…","Diabetic retinopathy (DR) is a visual obstacle caused by diabetic disease, which forms because of long-standing diabetes mellitus, which damages the retinal blood vessels. This disease is considered one of the principal causes of sightlessness and accounts for more than 158 million cases all over the world. Since early detection and classification could diminish the visual impairment, it is significant to develop an automated DR diagnosis method. Although deep learning models provide automatic feature extraction and classification, training such models from scratch requires a larger annotated dataset. The availability of annotated training datasets is considered a core issue for implementing deep learning in the classification of medical images. The models based on transfer learning are widely adopted by the researchers to overcome annotated data insufficiency problems and computational overhead. In the proposed study, features are extracted from fundus images using the pre-trained network VGGNet and combined with the concept of transfer learning to improve classification performance. To deal with data insufficiency and unbalancing problems, we employed various data augmentation operations differently on each grade of DR. The results of the experiment indicate that the proposed framework (which is evaluated on the benchmark dataset) outperformed advanced methods in terms of accurateness. Our technique, in combination with handcrafted features, could be used to improve classification accuracy."
"Incremental cross-domain adaptation for robust retinopathy screening via Bayesian deep learning","https://scispace.com/paper/incremental-cross-domain-adaptation-for-robust-retinopathy-3l7zjutgyl","2021","Posted Content","arXiv: Image and Video Processing","Taimur Hassan
Bilal Hassan
Muhammad Usman Akram
Shahrukh K. Hashmi
Abdel Hakim Taguri
Naoufel Werghi","","https://arxiv.org/pdf/2110.09319","… conventional transfer learning and fine-… -domain adaptation instrument that allows any deep classification model to progressively learn abnormal retinal pathologies in OCT and fundus …","Retinopathy represents a group of retinal diseases that, if not treated timely, can cause severe visual impairments or even blindness. Many researchers have developed autonomous systems to recognize retinopathy via fundus and optical coherence tomography (OCT) imagery. However, most of these frameworks employ conventional transfer learning and fine-tuning approaches, requiring a decent amount of well-annotated training data to produce accurate diagnostic performance. This paper presents a novel incremental cross-domain adaptation instrument that allows any deep classification model to progressively learn abnormal retinal pathologies in OCT and fundus imagery via few-shot training. Furthermore, unlike its competitors, the proposed instrument is driven via a Bayesian multi-objective function that not only enforces the candidate classification network to retain its prior learned knowledge during incremental training but also ensures that the network understands the structural and semantic relationships between previously learned pathologies and newly added disease categories to effectively recognize them at the inference stage. The proposed framework, evaluated on six public datasets acquired with three different scanners to screen thirteen retinal pathologies, outperforms the state-of-the-art competitors by achieving an overall accuracy and F1 score of 0.9826 and 0.9846, respectively."
"Diabetic retinopathy detection using transfer learning and deep learning","https://scispace.com/paper/diabetic-retinopathy-detection-using-transfer-learning-and-147qpx8l63","2021","Book Chapter","","Akhilesh Kumar Gangwar
Vadlamani Ravi","10.1007/978-981-15-5788-0_64","","… In this paper, we address the problem of automatic diabetic retinopathy detection and proposed a novel deep learning hybrid to solve the problem. We use transfer learning on pre-…","Diabetic retinopathy is one of the major causes of blindness in the population aged 20–65. In this paper, we address the problem of automatic diabetic retinopathy detection and proposed a novel deep learning hybrid to solve the problem. We use transfer learning on pre-trained Inception-ResNet-v2 and added a custom block of CNN layers on top of Inception-ResNet-v2 for building the hybrid model. We evaluated the performance of the proposed model on Messidor-1 diabetic retinopathy dataset and APTOS 2019 blindness detection (Kaggle dataset). Our model performed better than other published results. We achieved a test accuracy of 72.33% and 82.18% on Messidor-1 and APTOS dataset, respectively."
"Transfer learning with convolutional neural networks for diabetic retinopathy image classification. A review","https://scispace.com/paper/transfer-learning-with-convolutional-neural-networks-for-14qykdwgqr","2020","Journal Article","Applied Sciences","Ibrahem Kandel
Mauro Castelli","10.3390/APP10062021","https://scispace.com/pdf/transfer-learning-with-convolutional-neural-networks-for-14qykdwgqr.pdf","… In this section, the main CNN architectures used in transfer learning are reviewed. … recent studies that implemented transfer learning in classifying diabetic retinopathy images. These …","Diabetic retinopathy (DR) is a dangerous eye condition that affects diabetic patients. Without early detection, it can affect the retina and may eventually cause permanent blindness. The early diagnosis of DR is crucial for its treatment. However, the diagnosis of DR is a very difficult process that requires an experienced ophthalmologist. A breakthrough in the field of artificial intelligence called deep learning can help in giving the ophthalmologist a second opinion regarding the classification of the DR by using an autonomous classifier. To accurately train a deep learning model to classify DR, an enormous number of images is required, and this is an important limitation in the DR domain. Transfer learning is a technique that can help in overcoming the scarcity of images. The main idea that is exploited by transfer learning is that a deep learning architecture, previously trained on non-medical images, can be fine-tuned to suit the DR dataset. This paper reviews research papers that focus on DR classification by using transfer learning to present the best existing methods to address this problem. This review can help future researchers to find out existing transfer learning methods to address the DR classification task and to show their differences in terms of performance."
"Performance of deep learning architectures and transfer learning for detecting glaucomatous optic neuropathy in fundus photographs","https://scispace.com/paper/performance-of-deep-learning-architectures-and-transfer-57atzd7tjw","2018","Journal Article","Scientific Reports","Mark Christopher
Akram Belghith
Christopher Bowd
James A. Proudfoot
Michael H. Goldbaum
Robert N. Weinreb
Christopher A. Girkin
Jeffrey M. Liebmann
Linda M. Zangwill","10.1038/S41598-018-35044-9","https://www.nature.com/articles/s41598-018-35044-9.pdf","… fundus images. Using a large database of ONH-centered fundus images, we evaluated several different CNN … evaluated the effect of using transfer learning in training these networks. …","The ability of deep learning architectures to identify glaucomatous optic neuropathy (GON) in fundus photographs was evaluated. A large database of fundus photographs (n = 14,822) from a racially and ethnically diverse group of individuals (over 33% of African descent) was evaluated by expert reviewers and classified as GON or healthy. Several deep learning architectures and the impact of transfer learning were evaluated. The best performing model achieved an overall area under receiver operating characteristic (AUC) of 0.91 in distinguishing GON eyes from healthy eyes. It also achieved an AUC of 0.97 for identifying GON eyes with moderate-to-severe functional loss and 0.89 for GON eyes with mild functional loss. A sensitivity of 88% at a set 95% specificity was achieved in detecting moderate-to-severe GON. In all cases, transfer improved performance and reduced training time. Model visualizations indicate that these deep learning models relied on, in part, anatomical features in the inferior and superior regions of the optic disc, areas commonly used by clinicians to diagnose GON. The results suggest that deep learning-based assessment of fundus images could be useful in clinical decision support systems and in the automation of large-scale glaucoma detection and screening programs."
"A Transfer Learning and U-Net-based automatic detection of diabetic retinopathy from fundus images","https://scispace.com/paper/a-transfer-learning-and-u-net-based-automatic-detection-of-1279npdg","2022","Journal Article","Computer methods in biomechanics and biomedical engineering. Imaging & visualization","Anas Bilal
Guangmin Sun
Sarah Mazhar
Azhar Imran
Jahanzaib Latif","10.1080/21681163.2021.2021111","https://www.researchgate.net/profile/Anas-Bilal/publication/357649843_A_Transfer_Learning_and_U-Net-based_automatic_detection_of_diabetic_retinopathy_from_fundus_images/links/61e965be9a753545e2e50468/A-Transfer-Learning-and-U-Net-based-automatic-detection-of-diabetic-retinopathy-from-fundus-images.pdf","… The enhanced image acquired after preprocessing steps is used as an input for the transfer learning-based CNN model. The proposed model is evaluated on three public fundus …","ABSTRACT Diabetic retinopathy (DR) is an ocular manifestation of diabetes and the leading cause of visual impairment and blindness across the globe. Early detection and treatment of DR can salvage from visual impairment. The manual screening of DR is a very laborious and time-intensive effort and heavily dependent on professional ophthalmologists. In addition, the subtle distinction among various retinal biomarkers and different grades of DR makes this recognition very challenging. To address the aforementioned problem, deep neural networks have brought many revolutions in the last few years. In this study, we proposed a novel two-stage framework for automatic DR classification. In the first stage, we employed two distinct U-Net models for optic disc (OD) and blood vessel (BV) segmentation during the preprocessing. In the second stage, the enhanced retinal images after OD and BV extraction are used as an input of transfer learning-based model VGGNet, which performs DR detection by identifying retinal biomarkers such as microaneurysms (MA), haemorrhages (HM), and exudates (EX). The proposed model achieved state-of-the-art performance with an average accuracy of 96.60%, 93.95%, 92.25% evaluated on EyePACS-1, Messidor-2, and DIARETDB0, respectively. Extensive experiments and comparison with baseline methods demonstrate that the effectiveness of the proposed approach."
"Deep transfer learning models for medical diabetic retinopathy detection","https://scispace.com/paper/deep-transfer-learning-models-for-medical-diabetic-2ifexwozun","2019","Journal Article","Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : časopis Društva za medicinsku informatiku BiH","Nour Eldeen Khalifa
Mohamed Loey
Mohamed Hamed N. Taha
Hamed Nasr Eldin T. Mohamed","10.5455/AIM.2019.27.327-332","https://pmc.ncbi.nlm.nih.gov/articles/PMC7085308/pdf/AIM-27-327.pdf","… relied on the deep transfer learning CNN architectures to transfer … The deep transfer learning CNN models investigated in this … The mentioned CNN models have only a few layers when …","Introduction Diabetic retinopathy (DR) is the most common diabetic eye disease worldwide and a leading cause of blindness. The number of diabetic patients will increase to 552 million by 2034, as per the International Diabetes Federation (IDF). Aim With advances in computer science techniques, such as artificial intelligence (AI) and deep learning (DL), opportunities for the detection of DR at the early stages have increased. This increase means that the chances of recovery will increase and the possibility of vision loss in patients will be reduced in the future. Methods In this paper, deep transfer learning models for medical DR detection were investigated. The DL models were trained and tested over the Asia Pacific Tele-Ophthalmology Society (APTOS) 2019 dataset. According to literature surveys, this research is considered one the first studies to use of the APTOS 2019 dataset, as it was freshly published in the second quarter of 2019. The selected deep transfer models in this research were AlexNet, Res-Net18, SqueezeNet, GoogleNet, VGG16, and VGG19. These models were selected, as they consist of a small number of layers when compared to larger models, such as DenseNet and InceptionResNet. Data augmentation techniques were used to render the models more robust and to overcome the overfitting problem. Results The testing accuracy and performance metrics, such as the precision, recall, and F1 score, were calculated to prove the robustness of the selected models. The AlexNet model achieved the highest testing accuracy at 97.9%. In addition, the achieved performance metrics strengthened our achieved results. Moreover, AlexNet has a minimum number of layers, which decreases the training time and the computational complexity."
"Transfer learning for automated OCTA detection of diabetic retinopathy","https://scispace.com/paper/transfer-learning-for-automated-octa-detection-of-diabetic-4g5x41na6b","2019","Posted Content","arXiv: Quantitative Methods","David Le
Minhaj Alam
Cham K. Yao
Jennifer I. Lim
Robison Vernon Paul Chan
Devrim Toslak
Xincheng Yao","","https://tvst.arvojournals.org/arvo/content_public/journal/tvst/938366/i2164-2591-656-1-1965.pdf","… In this study, a deep learning model was trained using transfer learning for automated classification of OCTA images for three categories: healthy control, NoDR, and DR. In our study, …","Purpose: To test the feasibility of using deep learning for optical coherence tomography angiography (OCTA) detection of diabetic retinopathy (DR). Methods: A deep learning convolutional neural network (CNN) architecture VGG16 was employed for this study. A transfer learning process was implemented to re-train the CNN for robust OCTA classification. In order to demonstrate the feasibility of using this method for artificial intelligence (AI) screening of DR in clinical environments, the re-trained CNN was incorporated into a custom developed GUI platform which can be readily operated by ophthalmic personnel. Results: With last nine layers re-trained, CNN architecture achieved the best performance for automated OCTA classification. The overall accuracy of the re-trained classifier for differentiating healthy, NoDR, and NPDR was 87.27%, with 83.76% sensitivity and 90.82% specificity. The AUC metrics for binary classification of healthy, NoDR and DR were 0.97, 0.98 and 0.97, respectively. The GUI platform enabled easy validation of the method for AI screening of DR in a clinical environment. Conclusion: With a transfer leaning process to adopt the early layers for simple feature analysis and to re-train the upper layers for fine feature analysis, the CNN architecture VGG16 can be used for robust OCTA classification of healthy, NoDR, and NPDR eyes. Translational Relevance: OCTA can capture microvascular changes in early DR. A transfer learning process enables robust implementation of convolutional neural network (CNN) for automated OCTA classification of DR."
"Diabetic retinopathy grading by a source-free transfer learning approach","https://scispace.com/paper/diabetic-retinopathy-grading-by-a-source-free-transfer-2riahbwm","2022","Journal Article","Biomedical Signal Processing and Control","Chenrui Zhang
Tao Lei
Ping-Rong Chen","10.1016/j.bspc.2021.103423","","… In recent years, deep learning methods have achieved … Nevertheless, existing supervised learning and transfer learning … design a Source-Free Transfer Learning (SFTL) method for …",""
"Collaborative learning of weakly-supervised domain adaptation for diabetic retinopathy grading on retinal images","https://scispace.com/paper/collaborative-learning-of-weakly-supervised-domain-2yh5h9xb","2022","Journal Article","Computers in Biology and Medicine","Peng Cao
Qing Tao Hou
Ruoxian Song
Hong Wang
O. Zaiane","10.1016/j.compbiomed.2022.105341","https://webdocs.cs.ualberta.ca/~zaiane/postscript/BioAndMed22.pdf","… : (i) how to simultaneously achieve domain adaptation from the different domains and (ii) … domain adaptation framework, which consists of three components: domain adaptation, …",""
"Deep residual transfer learning for automatic diagnosis and grading of diabetic retinopathy","https://scispace.com/paper/deep-residual-transfer-learning-for-automatic-diagnosis-and-1kr36hk3lq","2021","Journal Article","Neurocomputing","Francisco Jesús Martínez-Murcia
Andrés Ortiz
Javier Ramírez
Juan Manuel Górriz
Ricardo Pedrini Cruz","10.1016/J.NEUCOM.2020.04.148","https://drive.google.com/file/d/1XDlWeWvqzDdD48Mdq0J2KNA6ofoxoYN4/view","… The most popular retina image method is retinography, a technique that displays the fundus of the eye, including the retina and other structures. Retinography is the most common …",""
"Predicting systemic health features from retinal fundus images using transfer-learning-based artificial intelligence models","https://scispace.com/paper/predicting-systemic-health-features-from-retinal-fundus-2e9j911r","2022","Journal Article","Diagnostics","Nergis Khan
Chandrasan Perera
Eliot R. Dow
Karen Mei Chen
Vinit B. Mahajan
Prithvi Mruthyunjaya
Diana V. Do
Theodore Leng
David Myung","10.3390/diagnostics12071714","https://scispace.com/pdf/predicting-systemic-health-features-from-retinal-fundus-2e9j911r.pdf","… health features from retinal fundus images. We will also compare the accuracy of two different models of CNN construction: (1) an AI model pre-trained using transfer learning: on …","While color fundus photos are used in routine clinical practice to diagnose ophthalmic conditions, evidence suggests that ocular imaging contains valuable information regarding the systemic health features of patients. These features can be identified through computer vision techniques including deep learning (DL) artificial intelligence (AI) models. We aim to construct a DL model that can predict systemic features from fundus images and to determine the optimal method of model construction for this task. Data were collected from a cohort of patients undergoing diabetic retinopathy screening between March 2020 and March 2021. Two models were created for each of 12 systemic health features based on the DenseNet201 architecture: one utilizing transfer learning with images from ImageNet and another from 35,126 fundus images. Here, 1277 fundus images were used to train the AI models. Area under the receiver operating characteristics curve (AUROC) scores were used to compare the model performance. Models utilizing the ImageNet transfer learning data were superior to those using retinal images for transfer learning (mean AUROC 0.78 vs. 0.65, p-value < 0.001). Models using ImageNet pretraining were able to predict systemic features including ethnicity (AUROC 0.93), age > 70 (AUROC 0.90), gender (AUROC 0.85), ACE inhibitor (AUROC 0.82), and ARB medication use (AUROC 0.78). We conclude that fundus images contain valuable information about the systemic characteristics of a patient. To optimize DL model performance, we recommend that even domain specific models consider using transfer learning from more generalized image sets to improve accuracy."
