"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Interpretability in healthcare: A comparative study of local machine learning interpretability techniques","https://scispace.com/paper/interpretability-in-healthcare-a-comparative-study-of-local-42n45qanuz","2019","Proceedings Article","Computer-Based Medical Systems","Radwa Elshawi
Youssef Sherif
Mouaz H. Al-Mallah
Sherif Sakr","10.1109/CBMS.2019.00065","https://www.researchgate.net/profile/Radwa-El-Shawi/publication/347161722_Interpretability_in_healthcare_A_comparative_study_of_local_machine_learning_interpretability_techniques/links/61cedd61b8305f7c4b12b33c/Interpretability-in-healthcare-A-comparative-study-of-local-machine-learning-interpretability-techniques.pdf","… interpretability techniques for machine learning models are an area focus of research. In general, the main aim of these interpretability … process of the machine learning models and to be …","Although complex machine learning models (e.g., Random Forest, Neural Networks) are commonly outperforming the traditional simple interpretable models (e.g., Linear Regression, Decision Tree), in the healthcare domain, clinicians find it hard to understand and trust these complex models due to the lack of intuition and explanation of their predictions. With the new General Data Protection Regulation (GDPR), the importance for plausibility and verifiability of the predictions made by machine learning models has become essential. To tackle this challenge, recently, several machine learning interpretability techniques have been developed and introduced. In general, the main aim of these interpretability techniques is to shed light and provide insights into the predictions process of the machine learning models and explain how the model predictions have resulted. However, in practice, assessing the quality of the explanations provided by the various interpretability techniques is still questionable. In this paper, we present a comprehensive experimental evaluation of three recent and popular local model agnostic interpretability techniques, namely, LIME, SHAP and Anchors on different types of real-world healthcare data. Our experimental evaluation covers different aspects for its comparison including identity, stability, separability, similarity, execution time and bias detection. The results of our experiments show that LIME achieves the lowest performance for the identity metric and the highest performance for the separability metric across all datasets included in this study. On average, SHAP has the smallest average time to output explanation across all datasets included in this study. For detecting the bias, SHAP enables the participants to better detect the bias."
"Diabetes prediction using machine learning and explainable AI techniques","https://scispace.com/paper/diabetes-prediction-using-machine-learning-and-explainable-cvwfgi29","2022","Journal Article","Healthcare technology letters","Isfafuzzaman Tasin
Tansin Ullah Nabil
Sanjida Islam
Riasat Khan","10.1049/htl2.12039","https://ietresearch.onlinelibrary.wiley.com/doi/pdf/10.1049/htl2.12039","… the existing dataset, and apply an explainable AI technique. In this paper, we have employed machine learning and explainable AI techniques to detect diabetes. Along with a private …","Globally, diabetes affects 537 million people, making it the deadliest and the most common non-communicable disease. Many factors can cause a person to get affected by diabetes, like excessive body weight, abnormal cholesterol level, family history, physical inactivity, bad food habit etc. Increased urination is one of the most common symptoms of this disease. People with diabetes for a long time can get several complications like heart disorder, kidney disease, nerve damage, diabetic retinopathy etc. But its risk can be reduced if it is predicted early. In this paper, an automatic diabetes prediction system has been developed using a private dataset of female patients in Bangladesh and various machine learning techniques. The authors used the Pima Indian diabetes dataset and collected additional samples from 203 individuals from a local textile factory in Bangladesh. Feature selection algorithm mutual information has been applied in this work. A semi-supervised model with extreme gradient boosting has been utilized to predict the insulin features of the private dataset. SMOTE and ADASYN approaches have been employed to manage the class imbalance problem. The authors used machine learning classification methods, that is, decision tree, SVM, Random Forest, Logistic Regression, KNN, and various ensemble techniques, to determine which algorithm produces the best prediction results. After training on and testing all the classification models, the proposed system provided the best result in the XGBoost classifier with the ADASYN approach with 81% accuracy, 0.81 F1 coefficient and AUC of 0.84. Furthermore, the domain adaptation method has been implemented to demonstrate the versatility of the proposed system. The explainable AI approach with LIME and SHAP frameworks is implemented to understand how the model predicts the final results. Finally, a website framework and an Android smartphone application have been developed to input various features and predict diabetes instantaneously. The private dataset of female Bangladeshi patients and programming codes are available at the following link: https://github.com/tansin-nabil/Diabetes-Prediction-Using-Machine-Learning."
"Interpretability of machine learning‐based prediction models in healthcare","https://scispace.com/paper/interpretability-of-machine-learning-based-prediction-models-3lv7zarxj6","2020","Journal Article","Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery","Gregor Stiglic
Primoz Kocbek
Nino Fijačko
Marinka Zitnik
Katrien Verbert
Leona Cilar","10.1002/WIDM.1379","https://arxiv.org/pdf/2002.08596","… of interpretability methods for prediction models in healthcare, with a focus on usability from an end-user perspective. In contrast to many other fields, decisions in healthcare are high-…","There is a need of ensuring machine learning models that are interpretable. Higher interpretability of the model means easier comprehension and explanation of future predictions for end-users. Further, interpretable machine learning models allow healthcare experts to make reasonable and data-driven decisions to provide personalized decisions that can ultimately lead to higher quality of service in healthcare. Generally, we can classify interpretability approaches in two groups where the first focuses on personalized interpretation (local interpretability) while the second summarizes prediction models on a population level (global interpretability). Alternatively, we can group interpretability methods into model-specific techniques, which are designed to interpret predictions generated by a specific model, such as a neural network, and model-agnostic approaches, which provide easy-to-understand explanations of predictions made by any machine learning model. Here, we give an overview of interpretability approaches and provide examples of practical interpretability of machine learning in different areas of healthcare, including prediction of health-related outcomes, optimizing treatments or improving the efficiency of screening for specific conditions. Further, we outline future directions for interpretable machine learning and highlight the importance of developing algorithmic solutions that can enable machine-learning driven decision making in high-stakes healthcare problems."
"Current challenges and future opportunities for XAI in machine learning-based clinical decision support systems: a systematic review","https://scispace.com/paper/current-challenges-and-future-opportunities-for-xai-in-38bcik2g8e","2021","Journal Article","Applied Sciences","Anna Markella Antoniadi
Yuhan Du
Yasmine Guendouz
Lan Wei
Claudia Mazo
Brett A. Becker
Catherine Mooney","10.3390/APP11115088","https://www.mdpi.com/2076-3417/11/11/5088/pdf","… of the use of XAI such as … XAI in the context of CDSS and, in particular, a lack of user studies exploring the needs of clinicians. We propose some guidelines for the implementation of XAI …","Machine Learning and Artificial Intelligence (AI) more broadly have great immediate and future potential for transforming almost all aspects of medicine. However, in many applications, even outside medicine, a lack of transparency in AI applications has become increasingly problematic. This is particularly pronounced where users need to interpret the output of AI systems. Explainable AI (XAI) provides a rationale that allows users to understand why a system has produced a given output. The output can then be interpreted within a given context. One area that is in great need of XAI is that of Clinical Decision Support Systems (CDSSs). These systems support medical practitioners in their clinic decision-making and in the absence of explainability may lead to issues of under or over-reliance. Providing explanations for how recommendations are arrived at will allow practitioners to make more nuanced, and in some cases, life-saving decisions. The need for XAI in CDSS, and the medical field in general, is amplified by the need for ethical and fair decision-making and the fact that AI trained with historical data can be a reinforcement agent of historical actions and biases that should be uncovered. We performed a systematic literature review of work to-date in the application of XAI in CDSS. Tabular data processing XAI-enabled systems are the most common, while XAI-enabled CDSS for text analysis are the least common in literature. There is more interest in developers for the provision of local explanations, while there was almost a balance between post-hoc and ante-hoc explanations, as well as between model-specific and model-agnostic techniques. Studies reported benefits of the use of XAI such as the fact that it could enhance decision confidence for clinicians, or generate the hypothesis about causality, which ultimately leads to increased trustworthiness and acceptability of the system and potential for its incorporation in the clinical workflow. However, we found an overall distinct lack of application of XAI in the context of CDSS and, in particular, a lack of user studies exploring the needs of clinicians. We propose some guidelines for the implementation of XAI in CDSS and explore some opportunities, challenges, and future research needs."
"An explainable machine learning-based clinical decision support system for prediction of gestational diabetes mellitus","https://scispace.com/paper/an-explainable-machine-learning-based-clinical-decision-2v9cup5c","2022","Journal Article","Dental science reports","Yuhan Du
Anthony Rafferty
Fionnuala M. McAuliffe
Lan Wei
Catherine Mooney","10.1038/s41598-022-05112-2","https://www.nature.com/articles/s41598-022-05112-2.pdf","… We have developed an explainable machine learning-based clinical decision support … technique and feature selection, five machine learning algorithms were applied with five-fold cross…","Gestational Diabetes Mellitus (GDM), a common pregnancy complication associated with many maternal and neonatal consequences, is increased in mothers with overweight and obesity. Interventions initiated early in pregnancy can reduce the rate of GDM in these women, however, untargeted interventions can be costly and time-consuming. We have developed an explainable machine learning-based clinical decision support system (CDSS) to identify at-risk women in need of targeted pregnancy intervention. Maternal characteristics and blood biomarkers at baseline from the PEARS study were used. After appropriate data preparation, synthetic minority oversampling technique and feature selection, five machine learning algorithms were applied with five-fold cross-validated grid search optimising the balanced accuracy. Our models were explained with Shapley additive explanations to increase the trustworthiness and acceptability of the system. We developed multiple models for different use cases: theoretical (AUC-PR 0.485, AUC-ROC 0.792), GDM screening during a normal antenatal visit (AUC-PR 0.208, AUC-ROC 0.659), and remote GDM risk assessment (AUC-PR 0.199, AUC-ROC 0.656). Our models have been implemented as a web server that is publicly available for academic use. Our explainable CDSS demonstrates the potential to assist clinicians in screening at risk patients who may benefit from early pregnancy GDM prevention strategies. "
"Interpretable machine learning in healthcare","https://scispace.com/paper/interpretable-machine-learning-in-healthcare-3wc5807whv","2018","Proceedings Article","IEEE International Conference on Healthcare Informatics","Muhammad Aurangzeb Ahmad
Ankur Teredesai
Carly Eckert","10.1109/ICHI.2018.00095","https://dl.acm.org/doi/pdf/10.1145/3233547.3233667","… models and systems in healthcare. We discuss many uses in which interpretable machine learning models are needed in healthcare and how they should be deployed. Additionally, we …","This tutorial extensively covers the definitions, nuances, challenges, and requirements for the design of interpretable and explainable machine learning models and systems in healthcare. We discuss many uses in which interpretable machine learning models are needed in healthcare and how they should be deployed. Additionally, we explore the landscape of recent advances to address the challenges model interpretability in healthcare and also describe how one would go about choosing the right interpretable machine learnig algorithm for a given problem in healthcare."
"Interpretability of clinical decision support systems based on artificial intelligence from technological and medical perspective: A systematic review","https://scispace.com/paper/interpretability-of-clinical-decision-support-systems-based-2roy7wkw","2023","Journal Article","Journal of Healthcare Engineering","Qian Xu
Wenzhao Xie
Bolin Liao
Chao Hu
Lu Qin
Zhengzijin Yang
Huan Xiong
Yi Lyu
Yue Zhou
Aijing Luo","10.1155/2023/9919269","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2023/9919269","… [39] reviewed the application of explainable AI in machine learning-based CDSS and summarized the findings of data type, preference of developers, type of explanations, and benefits …","Background Artificial intelligence (AI) has developed rapidly, and its application extends to clinical decision support system (CDSS) for improving healthcare quality. However, the interpretability of AI-driven CDSS poses significant challenges to widespread application. Objective This study is a review of the knowledge-based and data-based CDSS literature regarding interpretability in health care. It highlights the relevance of interpretability for CDSS and the area for improvement from technological and medical perspectives. Methods A systematic search was conducted on the interpretability-related literature published from 2011 to 2020 and indexed in the five databases: Web of Science, PubMed, ScienceDirect, Cochrane, and Scopus. Journal articles that focus on the interpretability of CDSS were included for analysis. Experienced researchers also participated in manually reviewing the selected articles for inclusion/exclusion and categorization. Results Based on the inclusion and exclusion criteria, 20 articles from 16 journals were finally selected for this review. Interpretability, which means a transparent structure of the model, a clear relationship between input and output, and explainability of artificial intelligence algorithms, is essential for CDSS application in the healthcare setting. Methods for improving the interpretability of CDSS include ante-hoc methods such as fuzzy logic, decision rules, logistic regression, decision trees for knowledge-based AI, and white box models, post hoc methods such as feature importance, sensitivity analysis, visualization, and activation maximization for black box models. A number of factors, such as data type, biomarkers, human-AI interaction, needs of clinicians, and patients, can affect the interpretability of CDSS. Conclusions The review explores the meaning of the interpretability of CDSS and summarizes the current methods for improving interpretability from technological and medical perspectives. The results contribute to the understanding of the interpretability of CDSS based on AI in health care. Future studies should focus on establishing formalism for defining interpretability, identifying the properties of interpretability, and developing an appropriate and objective metric for interpretability; in addition, the user's demand for interpretability and how to express and provide explanations are also the directions for future research."
"A survey on the interpretability of deep learning in medical diagnosis","https://scispace.com/paper/a-survey-on-the-interpretability-of-deep-learning-in-medical-3i349qpy","2022","Journal Article","Multimedia Systems","Qiaoying Teng
Zhe Liu
Yuqing Song
Kyungdo Han
Yang Lu","10.1007/s00530-022-00960-4","https://pmc.ncbi.nlm.nih.gov/articles/PMC9243744/pdf/530_2022_Article_960.pdf","… In this section, we classify some interpretability methods commonly used in the medical field into three categories and provide a detailed description of each category. It is worth noting …","Deep learning has demonstrated remarkable performance in the medical domain, with accuracy that rivals or even exceeds that of human experts. However, it has a significant problem that these models are “black-box” structures, which means they are opaque, non-intuitive, and difficult for people to understand. This creates a barrier to the application of deep learning models in clinical practice due to lack of interpretability, trust, and transparency. To overcome this problem, several studies on interpretability have been proposed. Therefore, in this paper, we comprehensively review the interpretability of deep learning in medical diagnosis based on the current literature, including some common interpretability methods used in the medical domain, various applications with interpretability for disease diagnosis, prevalent evaluation metrics, and several disease datasets. In addition, the challenges of interpretability and future research directions are also discussed here. To the best of our knowledge, this is the first time that various applications of interpretability methods for disease diagnosis have been summarized. "
"Survey of explainable AI techniques in healthcare","https://scispace.com/paper/survey-of-explainable-ai-techniques-in-healthcare-3qntgd4a","2023","Journal Article","Sensors","Ahmad Chaddad
Jihao Peng
Jian Xu
Ahmed Bouridane","10.3390/s23020634","https://scispace.com/pdf/survey-of-explainable-ai-techniques-in-healthcare-3qntgd4a.pdf","… interpretability in medical imaging topics. In addition, we focus on the challenging XAI problems in medical … interpretations of deep learning models using XAI concepts in medical image …","Artificial intelligence (AI) with deep learning models has been widely applied in numerous domains, including medical imaging and healthcare tasks. In the medical field, any judgment or decision is fraught with risk. A doctor will carefully judge whether a patient is sick before forming a reasonable explanation based on the patient’s symptoms and/or an examination. Therefore, to be a viable and accepted tool, AI needs to mimic human judgment and interpretation skills. Specifically, explainable AI (XAI) aims to explain the information behind the black-box model of deep learning that reveals how the decisions are made. This paper provides a survey of the most recent XAI techniques used in healthcare and related medical imaging applications. We summarize and categorize the XAI types, and highlight the algorithms used to increase interpretability in medical imaging topics. In addition, we focus on the challenging XAI problems in medical applications and provide guidelines to develop better interpretations of deep learning models using XAI concepts in medical image and text analysis. Furthermore, this survey provides future directions to guide developers and researchers for future prospective investigations on clinical topics, particularly on applications with medical imaging."
"The importance of interpretability and visualization in machine learning for applications in medicine and health care","https://scispace.com/paper/the-importance-of-interpretability-and-visualization-in-121ag95dhp","2020","Journal Article","Neural Computing and Applications","Alfredo Vellido","10.1007/S00521-019-04051-W","https://www.cs.upc.edu/~avellido/research/NEUCOMP19_vellido.pdf","… the interpretability and explainability of machine learning … of the ways in which interpretability and explainability in this … as a goal in itself, we need to integrate the medical experts in …","In a short period of time, many areas of science have made a sharp transition towards data-dependent methods. In some cases, this process has been enabled by simultaneous advances in data acquisition and the development of networked system technologies. This new situation is particularly clear in the life sciences, where data overabundance has sparked a flurry of new methodologies for data management and analysis. This can be seen as a perfect scenario for the use of machine learning and computational intelligence techniques to address problems in which more traditional data analysis approaches might struggle. But, this scenario also poses some serious challenges. One of them is model interpretability and explainability, especially for complex nonlinear models. In some areas such as medicine and health care, not addressing such challenge might seriously limit the chances of adoption, in real practice, of computer-based systems that rely on machine learning and computational intelligence methods for data analysis. In this paper, we reflect on recent investigations about the interpretability and explainability of machine learning methods and discuss their impact on medicine and health care. We pay specific attention to one of the ways in which interpretability and explainability in this context can be addressed, which is through data and model visualization. We argue that, beyond improving model interpretability as a goal in itself, we need to integrate the medical experts in the design of data analysis interpretation strategies. Otherwise, machine learning is unlikely to become a part of routine clinical and health care practice."
