"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Neural Networks With Gated Recurrent Units Reduce Glucose Forecasting Error due to Changes in Sensor Location.","https://scispace.com/paper/neural-networks-with-gated-recurrent-units-reduce-glucose-51301egr","2022","Journal Article","Journal of diabetes science and technology","Aaron Tucker
Arthur G. Erdman
Pamela J. Schreiner
Sisi Ma
Lisa S. Chow","10.1177/19322968221100839","https://journals.sagepub.com/doi/pdf/10.1177/19322968221100839","BACKGROUND
Continuous glucose monitors (CGMs) have become important tools for providing estimates of glucose to patients with diabetes. Recently, neural networks (NNs) have become a common method for forecasting glucose values using data from CGMs. One method of forecasting glucose values is a time-delay feedforward (FF) NN, but a change in the CGM location on a participant can increase forecast error in a FF NN.


METHODS
In response, we examined a NN with gated recurrent units (GRUs) as a method of reducing forecast error due to changes in sensor location.


RESULTS
We observed that for 13 participants with type 2 diabetes wearing blinded CGMs on both arms for 12 weeks (FreeStyle Libre Pro-Abbott), GRU NNs did not produce significantly different errors in glucose prediction due to sensor location changes (P < .05).


CONCLUSION
We observe that GRU NNs can mitigate error in glucose prediction due to differences in CGM location.","It is observed that GRU NNs can mitigate error in glucose prediction due to differences in CGM location, and should be considered as a method of reducing forecast error due to changes in sensor location."
"Application of machine learning in affordable and accessible insulin management for type 1 and 2 diabetes: A comprehensive review.","https://scispace.com/paper/application-of-machine-learning-in-affordable-and-accessible-4er1e6j2ot","2024","","Artificial Intelligence in Medicine","Maryam Eghbali-Zarch
Sara Masoud","10.1016/j.artmed.2024.102868","","Proper insulin management is vital for maintaining stable blood sugar levels and preventing complications associated with diabetes. However, the soaring costs of insulin present significant challenges to ensuring affordable management. This paper conducts a comprehensive review of current literature on the application of machine learning (ML) in insulin management for diabetes patients, particularly focusing on enhancing affordability and accessibility within the United States. The review encompasses various facets of insulin management, including dosage calculation and response, prediction of blood glucose and insulin sensitivity, initial insulin estimation, resistance prediction, treatment adherence, complications, hypoglycemia prediction, and lifestyle modifications. Additionally, the study identifies key limitations in the utilization of ML within the insulin management literature and suggests future research directions aimed at furthering accessible and affordable insulin treatments. These proposed directions include exploring insurance coverage, optimizing insulin type selection, assessing the impact of biosimilar insulin and market competition, considering mental health factors, evaluating insulin delivery options, addressing cost-related issues affecting insulin usage and adherence, and selecting appropriate patient cost-sharing programs. By examining the potential of ML in addressing insulin management affordability and accessibility, this work aims to envision improved and cost-effective insulin management practices. It not only highlights existing research gaps but also offers insights into future directions, guiding the development of innovative solutions that have the potential to revolutionize insulin management and benefit patients reliant on this life-saving treatment. ","A comprehensive review of current literature on the application of machine learning in insulin management for diabetes patients, particularly focusing on enhancing affordability and accessibility within the United States, aims to envision improved and cost-effective insulin management practices."
"A hybrid Transformer-LSTM model apply to glucose prediction","https://scispace.com/paper/a-hybrid-transformer-lstm-model-apply-to-glucose-prediction-7in214xar2sp","2024","Journal Article","PLOS ONE","QingXiang Bian
Azizan As’arry
Xiangguo Cong
Khairil Anas bin Md Rezali
Raja Mohd Kamil Raja Ahmad","10.1371/journal.pone.0310084","","The global prevalence of diabetes is escalating, with estimates indicating that over 536.6 million individuals were afflicted by 2021, accounting for approximately 10.5% of the world’s population. Effective management of diabetes, particularly monitoring and prediction of blood glucose levels, remains a significant challenge due to the severe health risks associated with inaccuracies, such as hypoglycemia and hyperglycemia. This study addresses this critical issue by employing a hybrid Transformer-LSTM (Long Short-Term Memory) model designed to enhance the accuracy of future glucose level predictions based on data from Continuous Glucose Monitoring (CGM) systems. This innovative approach aims to reduce the risk of diabetic complications and improve patient outcomes. We utilized a dataset which contain more than 32000 data points comprising CGM data from eight patients collected by Suzhou Municipal Hospital in Jiangsu Province, China. This dataset includes historical glucose readings and equipment calibration values, making it highly suitable for developing predictive models due to its richness and real-time applicability. Our findings demonstrate that the hybrid Transformer-LSTM model significantly outperforms the standard LSTM model, achieving Mean Square Error (MSE) values of 1.18, 1.70, and 2.00 at forecasting intervals of 15, 30, and 45 minutes, respectively. This research underscores the potential of advanced machine learning techniques in the proactive management of diabetes, a critical step toward mitigating its impact. ","This study develops a hybrid Transformer-LSTM model for glucose prediction using CGM data from 8 patients, achieving improved accuracy (MSE: 1.18-2.00) over standard LSTM models, with potential to enhance diabetes management and mitigate its impact."
"Predicting Glucose Values: A New Era for Continuous Glucose Monitoring","https://scispace.com/paper/predicting-glucose-values-a-new-era-for-continuous-glucose-4ltcsv678z6c","2024","Journal Article","Journal of diabetes science and technology","Bernhard Kulzer
Lutz Heinemann","10.1177/19322968241271925","","The last 25 years of CGM have been characterized above all by providing better and more accurate glucose values in real time and analyzing the measured glucose values. Trend arrows are the only way to look into the future, but they are often too imprecise for therapy adjustment. While AID systems provide algorithms to use glucose values for glucose control, this has not been possible with stand-alone CGM systems, which are most used by people with diabetes. By analyzing the measured values with algorithms, often supported by AI, this should be possible in the future. This provides the user with important information about the further course of the glucose level, such as during the night. Predictive approaches can be used by next-generation CGM systems. These systems can proactively prevent glucose events such as hypo- or hyperglycemia. With the Accu-Chek® SmartGuide Predict app, an integral part of a novel CGM system, and the Glucose Predict (GP) feature, people with diabetes have the first commercially available CGM system with predictive algorithms. It characterizes the CGM systems of the future, which not only analyze past values and current glucose values in the future, but also use these values to predict future glucose progression. ","Researchers develop predictive algorithms for continuous glucose monitoring (CGM) systems, enabling users to forecast glucose levels and prevent hypo- or hyperglycemia events, marking a new era in CGM technology with the Accu-Chek SmartGuide Predict app."
"Real-World Assessment of Sugar.IQ with Watson—A Cognitive Computing-Based Diabetes Management Solution","https://scispace.com/paper/real-world-assessment-of-sugar-iq-with-watson-a-cognitive-3zs85p07ss","2018","Journal Article","Diabetes","Yuxiang Zhong
Siddharth Arunachalam
Pratik Agrawal
Huzefa F. Neemuchwala
Toni L. Cordero
Francine R. Kaufman","10.2337/DB18-16-OR","","Background: Cognitive computing technology providing personalized insights based on correlations between behavior patterns and glycemic outcomes was leveraged to create an interactive mobile assistant for T1D patients. Method: Medtronic MiniMed™ Connect users (N=256) were invited to take part in a 90-day Sugar.IQ app pilot program that began April 11, 2017. The percentage of time in target range (TIR, 70-180 mg/dL), 180mg/dL, and excursions (periods >20 minutes and 180mg/dL) were collected 30 days before Sugar.IQ onboarding, and compared to those 90 days later (August 2017). Insights delivered to users and user feedback were also analyzed. Results: There were 11,356 sensor-wear days; 10,761 unique Sugar.IQ usage sessions collected; and 4,688 insights delivered (1 every 3 days). Insights included 655 and 699 identifying behaviors associated with more time 180mg/dL, respectively. The Sugar.IQ app was used 2.1 times/day. Compared to baseline, TIR was 33 minutes longer per day (P 2 hours reduced by 1.3 per month (P Conclusion: Timely and personalized insights, such as those provided during the Sugar.IQ pilot, may advance patient understanding of glucose trends, aid in behavioral change that improves therapy adherence, and lead to better outcomes. Disclosure Y. Zhong: None. S. Arunachalam: None. P. Agrawal: None. H. Neemuchwala: None. T.L. Cordero: Employee; Self; Medtronic. F.R. Kaufman: Employee; Self; Medtronic.","Timely and personalized insights, such as those provided during the Sugar.IQ pilot, may advance patient understanding of glucose trends, aid in behavioral change that improves therapy adherence, and lead to better outcomes."
"89-OR: Effective Real-World Usage of Artificial Intelligence–Based Decision Support System for Diabetes Management","https://scispace.com/paper/89-or-effective-real-world-usage-of-artificial-intelligence-c98ja1o6","2022","Journal Article","Diabetes","Revital Nimri
Amir Tirosh
Ido Muller
Yael Shtrit
Moshe Phillip","10.2337/db22-89-or","","Background: Artificial intelligence-based decision support system (AI-DSS) for frequent insulin dose adjustment was demonstrated to be effective in improving glycemic control in our previous clinical trials. We aimed to assess the effectiveness of AI-DSS in real world diabetes clinics.
 Methods: Data was collected and evaluated from routine AI-DSS usage for individuals with type 1 diabetes treated at 21 diabetes clinics (in the USA and 2 in Israel) . Two analyses were made: (1) Insulin dose recommendations were compared for rate of agreement/disagreement between those suggested by the AI-DSS and the approved recommendations by health care providers (HCP) . (2) Glycemic outcomes were compared between baseline and after 3 months of AI-DSS use. Included in this analysis were individuals who had mean baseline glucose level ≥ 182 mg/dL and at least one AI-DSS recommendation within the 3-months.
 Results: A total of 8 recommendations, provided to 370 individuals, were evaluated. Full agreement on the direction of insulin dose adjustments was observed in 87%, 87%, and 83% of the basal rate, carbs ratio (CR) , and correction factor (CF) pump settings parameters, respectively. Full disagreement on the direction of dose change was observed in only 0.9%, 0.5%, and 1.2% for the basal rate, CR and CF, respectively. Glycemic outcome analysis included 1 eligible individuals (mean of 1.6 recommendations within a 3-month interval) . Average sensor percentage of time in range [70-180 mg/dL] increased by 4% (p=0.003) : 43% increased time in range by more than 5% and 33% increased by 10% or more. Time in hyperglycemia [> 180 mg/dL] was reduced by 5% (p<0.01) while time in severe hypoglycemia [< 54 mg/dL] remained below 0.5%.
 Conclusion: A high rate of agreement with automated insulin adjustments was observed among HCPs at academic centers who used the AI-DSS in their workflow. Glycemic control was significantly improved for sub-optimally controlled individuals already after 3-months of follow up.
 
 
 R.Nimri: Employee; DreaMed Diabetes, Ltd., Research Support; Abbott Diabetes, Dexcom, Inc., Insulet Corporation, Medtronic, Speaker's Bureau; Eli Lilly and Company, Novo Nordisk, Stock/Shareholder; DreaMed Diabetes, Ltd. A.Tirosh: Advisory Panel; Abbott Diagnostics, AstraZeneca, Boehringer Ingelheim International GmbH, Merck & Co., Inc., Novo Nordisk, Sanofi, Consultant; Bayer AG, DreaMed Diabetes, Ltd., Research Support; Medtronic, Speaker's Bureau; Eli Lilly and Company. I.Muller: Board Member; DreaMed Diabetes, Ltd. Y.Shtrit: Employee; DreaMed Diabetes, Ltd. M.Phillip: Advisory Panel; Dompé, Insulet Corporation, Medtronic, Pfizer Inc., Board Member; DreaMed Diabetes, Ltd., Consultant; QuLab Medical Ltd., Other Relationship; Dexcom, Inc., Dompé, DreaMed Diabetes, Ltd., Eli Lilly and Company, Medtronic, NG Solutions Ltd, Novo Nordisk, OPKO, Pfizer Inc., Sanofi, Stock/Shareholder; DreaMed Diabetes, Ltd., NG Solutions Ltd.
","Glycemic control was significantly improved for sub-optimally controlled individuals already after 3-months of follow up and a high rate of agreement with automated insulin adjustments was observed among HCPs at academic centers who used the AI-DSS in their workflow."
"Concept and Implementation of a Novel Continuous Glucose Monitoring Solution With Glucose Predictions on Board","https://scispace.com/paper/concept-and-implementation-of-a-novel-continuous-glucose-1hnslzia5lvq","2024","Journal Article","Journal of diabetes science and technology","Timor Glatzer
Christian Ringemann
Daniel Militz
Wiebke Mueller-Hoffmann","10.1177/19322968241269927","","The recently CE-marked continuous real-time glucose monitoring (rtCGM) solution Accu-Chek® (AC) SmartGuide Solution was developed to enable people with diabetes mellitus (DM) to proactively control their glucose levels using predictive technologies. The comprehensive solution consists of three components that harmonize well with each other. The CGM device is composed of a sensor applicator and a glucose sensor patch whose data are transferred to the connected smartphone by Bluetooth® Low Energy. The user interface of the CGM solution is powered by the AC SmartGuide app delivering current and past glucose metrics, and the AC SmartGuide Predict app providing a glucose prediction suite enabled by artificial intelligence (AI). This article describes the innovative CGM solution. ","This study presents the Accu-Chek SmartGuide Solution, a novel continuous glucose monitoring system with predictive capabilities, consisting of a CGM device, smartphone app, and AI-powered prediction suite, enabling proactive glucose control for people with diabetes mellitus."
"Deep Learning-Based Glucose Prediction Models: A Guide for Practitioners and a Curated Dataset for Improved Diabetes Management","https://scispace.com/paper/deep-learning-based-glucose-prediction-models-a-guide-for-4gmuw435hu","2024","Journal Article","IEEE open journal of engineering in medicine and biology","Saúl Langarica
Diego Vega
Nawel Cariman
Martín Miranda
David C. Andrade
Felipe Núñez
María Rodríguez-Fernández","10.1109/ojemb.2024.3365290","","Accurate short- and mid-term blood glucose predictions are crucial for patients with diabetes struggling to maintain healthy glucose levels, as well as for individuals at risk of developing the disease. Consequently, numerous efforts from the scientific community have focused on developing predictive models for glucose levels. This study harnesses physiological data collected from wearable sensors to construct a series of data-driven models based on deep learning approaches. We systematically compare these models to offer insights for practitioners and researchers venturing into glucose prediction using deep learning techniques. Key questions addressed in this work encompass the comparison of various deep learning architectures for this task, determining the optimal set of input variables for accurate glucose prediction, comparing population-wide, fine-tuned, and personalized models, and assessing the impact of an individual's data volume on model performance. Additionally, as part of our outcomes, we introduce a meticulously curated dataset inclusive of data from both healthy individuals and those with diabetes, recorded in free-living conditions. This dataset aims to foster research in this domain and facilitate equitable comparisons among researchers. ","Deep learning-based glucose prediction models guide practitioners and introduce a curated dataset for improved diabetes management."
"922-P: Diabits—An AI-Powered Smartphone Application for Blood Glucose Monitoring and Predictions","https://scispace.com/paper/922-p-diabits-an-ai-powered-smartphone-application-for-blood-1929luzt1s","2019","Journal Article","Diabetes","Amir Hayeri","10.2337/DB19-922-P","","This paper presents DiaBits, an iPhone application that allows patients with diabetes to efficiently monitor and manage their blood glucose levels in real time. Using current CGM data, smartphone sensor data, and user inputs, DiaBits takes advantage of modern machine learning techniques to predict future blood glucose fluctuations up to 60 minutes in advance. These predictions, which are over 95% clinically acceptable according to standard Error Grid Analysis methods, give the patients an opportunity to take corrective action in advance in order to keep their blood glucose values within normal range. Additionally, the presence of predictive alarms and statistical tools for analysis of past data makes it easier for the users to manage their condition and have better blood glucose control. The paper discusses some of the details of the predictive approach, provides accuracy results for 1.63 million predictions made for free-living users of the application, gives a detailed overview of the available features and the interface of DiaBits, and describes some challenges related to using machine learning for real-time predictions of blood glucose behavior. Disclosure A. Hayeri: Other Relationship; Self; Bio Conscious Technologies INC.","DiaBits, an iPhone application that allows patients with diabetes to efficiently monitor and manage their blood glucose levels in real time, takes advantage of modern machine learning techniques to predict future blood glucose fluctuations up to 60 minutes in advance, giving patients an opportunity to take corrective action in advance."
"Glu-ensemble: An ensemble deep learning framework for blood glucose forecasting in type 2 diabetes patients","https://scispace.com/paper/glu-ensemble-an-ensemble-deep-learning-framework-for-blood-56deng01hc","2024","Journal Article","Heliyon","Yechan Han
Dae-Yeon Kim
Jiyoung Woo
Jaeyun Kim","10.1016/j.heliyon.2024.e29030","","<h2>Abstract</h2> Diabetes is a chronic metabolic disorder characterized by elevated blood glucose levels, posing significant health risks such as cardiovascular disease, and nerve, kidney, and eye damage. Effective management of blood glucose is essential for individuals with diabetes to mitigate these risks. This study introduces the Glu-Ensemble, a deep learning framework designed for precise blood glucose forecasting in patients with type 2 diabetes. Unlike other predictive models, Glu-Ensemble addresses challenges related to small sample sizes, data quality issues, reliance on strict statistical assumptions, and the complexity of models. It enhances prediction accuracy and model generalizability by utilizing larger datasets and reduces bias inherent in many predictive models. The framework's unified approach, as opposed to patient-specific models, eliminates the need for initial calibration time, facilitating immediate blood glucose predictions for new patients. The obtained results indicate that Glu-Ensemble surpasses traditional methods in accuracy, as measured by root mean square error, mean absolute error, and error grid analysis. The Glu-Ensemble framework emerges as a promising tool for blood glucose level prediction in type 2 diabetes patients, warranting further investigation in clinical settings for its practical application. ","The Glu-Ensemble framework emerges as a promising tool for blood glucose level prediction in type 2 diabetes patients, warranting further investigation in clinical settings for its practical application."
