"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A domain-agnostic continual multi-task learning model for generalized glucose level and hypoglycemia event prediction","https://scispace.com/paper/a-domain-agnostic-continual-multi-task-learning-model-for-z972yswseetk","2025","Journal Article","","M.-Y. Hwang
Vega Pradana Rachim
Junyoung Yoo
Yein Lee
Sung‐Min Park","10.21203/rs.3.rs-6576039/v1","","<title>Abstract</title> Continuous prediction of blood glucose levels and hypoglycemia events is critical for managing type 1 diabetes mellitus (T1DM), particularly under intensive insulin therapy. Existing models focus on a single task, limiting their practicality and adaptability in automated insulin delivery (AID) systems. To address, a domain-agnostic continual multi-task learning (DA-CMTL) model is proposed to perform both tasks within a unified framework. Trained on simulated datasets via Sim2Real transfer and adapted using elastic weight consolidation, DA-CMTL supports generalization across domains. On public datasets (DiaTrend, OhioT1DM, and ShanghaiT1DM), DA-CMTL achieved a root mean squared error of 14.19 mg/dL, mean absolute error of 10.09 mg/dL, and sensitivity/specificity of 89.28%/94.09% for early hypoglycemia detection. Real-world validation using type 2 diabetes-induced rats demonstrated a reduction in time below range from 3.01–2.58%, supporting reliable integration as a safety layer in AID systems. These results highlight DA-CMTL’s robustness, scalability, and potential to improve safety in AID. ","A domain-agnostic continual multi-task learning model (DA-CMTL) is proposed for generalized glucose level and hypoglycemia event prediction in type 1 diabetes mellitus, achieving robust performance on public datasets and real-world validation with type 2 diabetes-induced rats."
"A large sensor foundation model pretrained on continuous glucose monitor data for diabetes management","https://scispace.com/paper/a-large-sensor-foundation-model-pretrained-on-continuous-5xndiz50vte8","2025","Journal Article","","Junjie Luo
Abhimanyu Kumbara
Mansur Shomali
Rui Han
Anand Iyer
Grazia Aleppo
Ritu Agarwal
Guodong Gao","10.1038/s44401-025-00039-y","","Continuous glucose monitoring (CGM) combined with AI offers new opportunities for proactive diabetes management through real-time glucose forecasting. However, most existing models are task-specific and lack generalization across patient populations. Inspired by the autoregressive paradigm of large language models, we introduce CGM-LSM, a Transformer decoder-based Large Sensor Model (LSM) pretrained on 1.6 million CGM records from patients with different diabetes types, ages, and genders. We model patients as sequences of glucose time steps to learn latent knowledge embedded in CGM data and apply it to the prediction of glucose readings for a 2-h horizon. Compared with prior methods, CGM-LSM significantly improves prediction accuracy and robustness: a 48.51% reduction in root mean square error in 1-h horizon forecasting and consistent zero-shot prediction performance across held-out patient groups. We analyze model performance variations across patient subgroups and prediction scenarios and outline key opportunities and challenges for advancing CGM foundation models. ","Researchers introduce CGM-LSM, a large sensor model pretrained on 1.6 million CGM records, achieving 48.51% reduction in root mean square error in 1-h glucose forecasting and consistent zero-shot performance across patient groups with different diabetes types, ages, and genders."
"Let Curves Speak: A Continuous Glucose Monitor based Large Sensor
  Foundation Model for Diabetes Management","https://scispace.com/paper/let-curves-speak-a-continuous-glucose-monitor-based-large-5k5qlexiiqdr","2024","Journal Article","","Junjie Luo
Abhimanyu Kumbara
Mansur Shomali
Rui Han
Anand Iyer
Ritu Agarwal
Gordon Gao","10.48550/arxiv.2412.09727","https://scispace.compdf/let-curves-speak-a-continuous-glucose-monitor-based-large-5k5qlexiiqdr.pdf","While previous studies of AI in diabetes management focus on long-term risk, research on near-future glucose prediction remains limited but important as it enables timely diabetes self-management. Integrating AI with continuous glucose monitoring (CGM) holds promise for near-future glucose prediction. However, existing models have limitations in capturing patterns of blood glucose fluctuations and demonstrate poor generalizability. A robust approach is needed to leverage massive CGM data for near-future glucose prediction. We propose large sensor models (LSMs) to capture knowledge in CGM data by modeling patients as sequences of glucose. CGM-LSM is pretrained on 15.96 million glucose records from 592 diabetes patients for near-future glucose prediction. We evaluated CGM-LSM against state-of-the-art methods using the OhioT1DM dataset across various metrics, prediction horizons, and unseen patients. Additionally, we assessed its generalizability across factors like diabetes type, age, gender, and hour of day. CGM-LSM achieved exceptional performance, with an rMSE of 29.81 mg/dL for type 1 diabetes patients and 23.49 mg/dL for type 2 diabetes patients in a two-hour prediction horizon. For the OhioT1DM dataset, CGM-LSM achieved a one-hour rMSE of 15.64 mg/dL, halving the previous best of 31.97 mg/dL. Robustness analyses revealed consistent performance not only for unseen patients and future periods, but also across diabetes type, age, and gender. The model demonstrated adaptability to different hours of day, maintaining accuracy across periods of various activity intensity levels. CGM-LSM represents a transformative step in diabetes management by leveraging pretraining to uncover latent glucose generation patterns in sensor data. Our findings also underscore the broader potential of LSMs to drive innovation across domains involving complex sensor data. ","Researchers propose a large sensor model (CGM-LSM) for near-future glucose prediction in diabetes management, leveraging 15.96 million glucose records from 592 patients, achieving exceptional performance with an rMSE of 15.64 mg/dL for type 1 diabetes patients in a one-hour prediction horizon."
"Transforming the Diabetes Mellitus Diagnosis and Treatment Using Data Technology: Comprehensive Analysis of Deep Learning and Machine Learning Methodologies","https://scispace.com/paper/transforming-the-diabetes-mellitus-diagnosis-and-treatment-sy5n7vsmtxyg","2024","Journal Article","","Dwi Anggriani
Syaiful Bachri Mustamin
Sahriani
Muhammad Atnang
Siti Fatmah
Nur Azaliah Mar
Nurhikmah Fajar","10.69930/jsi.v1i1.71","","Recent research in health data analysis has transformed our understanding, prediction, and management of diabetes mellitus. This review explores various approaches used in related studies to enhance understanding and management strategies of diabetes through data analysis. Various data analysis methods, including machine learning such as neural networks, Gaussian Process Classification (GPC), and deep learning, have been used to enhance illness management and forecast accuracy. One of the included studies created customised care plans and used data to forecast the likelihood of complications in diabetes.. Another focused on comparative approaches for diabetes diagnosis using artificial intelligence, while others explored disease classification techniques using GPC algorithms. On the other hand, some studies utilized deep learning to identify diverse trajectories of type 2 diabetes from routine medical records, while others developed wide and deep learning models to predict diabetes onset. This review notes that data analysis approaches have significantly advanced accuracy in diagnosis, predictive modeling, and disease management of diabetes. Integrating these technologies allows for more personalized treatment approaches, where patient data can tailor individualized care strategies. Study findings indicate that machine learning and deep learning applications not only enhance prediction accuracy but also unlock new potentials in identifying risk factors, managing complications, and preventing diseases. Thus, this review provides profound insights into how data analysis has shifted paradigms in diabetes management, extending beyond diagnosis and treatment to encompass prevention and long-term management of chronic diseases. These studies lay a robust foundation for further research in developing more sophisticated and effective approaches in health data analysis, ultimately aiming to enhance the overall quality of life for patients with diabetes. ","This review explores the application of machine learning and deep learning in diabetes diagnosis and treatment, highlighting advancements in predictive modeling, disease management, and personalized care strategies through data analysis and integration of artificial intelligence."
"Population-Specific Glucose Prediction in Diabetes Care With Transformer-Based Deep Learning on the Edge.","https://scispace.com/paper/population-specific-glucose-prediction-in-diabetes-care-with-nuqfpgx8e2","2024","Journal Article","IEEE Transactions on Biomedical Circuits and Systems","Taiyu Zhu
Lei Kuang
Chengzhe Piao
Junming Zeng
Kezhi Li
Pantelis Georgiou","10.1109/tbcas.2023.3348844","","Leveraging continuous glucose monitoring (CGM) systems, real-time blood glucose (BG) forecasting is essential for proactive interventions, playing a crucial role in enhancing the management of type 1 diabetes (T1D) and type 2 diabetes (T2D). However, developing a model generalized to a population and subsequently embedding it within a microchip of a wearable device presents significant technical challenges. Furthermore, the domain of BG prediction in T2D remains under-explored in the literature. In light of this, we propose a population-specific BG prediction model, leveraging the capabilities of the temporal fusion Transformer (TFT) to adjust predictions based on personal demographic data. Then the trained model is embedded within a system-on-chip, integral to our low-power and low-cost customized wearable device. This device seamlessly communicates with CGM systems through Bluetooth and provides timely BG predictions using edge computing. When evaluated on two publicly available clinical datasets with a total of 124 participants with T1D or T2D, the embedded TFT model consistently demonstrated superior performance, achieving the lowest prediction errors when compared with a range of machine learning baseline methods. Executing the TFT model on our wearable device requires minimal memory and power consumption, enabling continuous decision support for more than 51 days on a single Li-Poly battery charge. These findings demonstrate the significant potential of the proposed TFT model and wearable device in enhancing the quality of life for people with diabetes and effectively addressing real-world challenges.","A population-specific BG prediction model is proposed, leveraging the capabilities of the temporal fusion Transformer (TFT) to adjust predictions based on personal demographic data and embedded within a system-on-chip of a low-power and low-cost customized wearable device."
"From Glucose Patterns to Health Outcomes: A Generalizable Foundation Model for Continuous Glucose Monitor Data Analysis","https://scispace.com/paper/from-glucose-patterns-to-health-outcomes-a-generalizable-1htoqgoqsnyo","2024","Journal Article","arXiv.org","Guy Lutsker
Gal Sapir
Anastasia Godneva
Smadar Shilo
Jerry R Greenfield,*
Dorit Samocha-Bonet
Shie Mannor
Eli A. Meirom
Gal Chechik
Hagai Rossman
Eran Segal","10.48550/arxiv.2408.11876","","Recent advances in self-supervised learning enabled novel medical AI models, known as foundation models (FMs) that offer great potential for characterizing health from diverse biomedical data. Continuous glucose monitoring (CGM) provides rich, temporal data on glycemic patterns, but its full potential for predicting broader health outcomes remains underutilized. Here, we present GluFormer, a generative foundation model on biomedical temporal data based on a transformer architecture, and trained on over 10 million CGM measurements from 10,812 non-diabetic individuals. We tokenized the CGM training data and trained GluFormer using next token prediction in a generative, autoregressive manner. We demonstrate that GluFormer generalizes effectively to 15 different external datasets, including 4936 individuals across 5 different geographical regions, 6 different CGM devices, and several metabolic disorders, including normoglycemic, prediabetic, and diabetic populations, as well as those with gestational diabetes and obesity. GluFormer produces embeddings which outperform traditional CGM analysis tools, and achieves high Pearson correlations in predicting clinical parameters such as HbA1c, liver-related parameters, blood lipids, and sleep-related indices. Notably, GluFormer can also predict onset of future health outcomes even 4 years in advance. We also show that CGM embeddings from pre-intervention periods in Randomized Clinical Trials (RCTs) outperform other methods in predicting primary and secondary outcomes. When integrating dietary data into GluFormer, we show that the enhanced model can accurately generate CGM data based only on dietary intake data, simulate outcomes of dietary interventions, and predict individual responses to specific foods. Overall, we show that GluFormer accurately predicts health outcomes which generalize across different populations metabolic conditions.","Researchers develop GluFormer, a transformer-based foundation model that analyzes continuous glucose monitor data to predict health outcomes, achieving high correlations with clinical parameters and generalizing across diverse populations and metabolic conditions."
"Mitigating Simplicity Bias in Deep Learning for Improved OOD Generalization and Robustness","https://scispace.com/paper/mitigating-simplicity-bias-in-deep-learning-for-improved-ood-56ll1hkts6","2023","Journal Article","arXiv.org","Bhavya Vasudeva
Kameron Shahabi
Vatsal Sharan","10.48550/arxiv.2310.06161","https://scispace.compdf/mitigating-simplicity-bias-in-deep-learning-for-improved-ood-56ll1hkts6.pdf","Neural networks (NNs) are known to exhibit simplicity bias where they tend to prefer learning 'simple' features over more 'complex' ones, even when the latter may be more informative. Simplicity bias can lead to the model making biased predictions which have poor out-of-distribution (OOD) generalization. To address this, we propose a framework that encourages the model to use a more diverse set of features to make predictions. We first train a simple model, and then regularize the conditional mutual information with respect to it to obtain the final model. We demonstrate the effectiveness of this framework in various problem settings and real-world applications, showing that it effectively addresses simplicity bias and leads to more features being used, enhances OOD generalization, and improves subgroup robustness and fairness. We complement these results with theoretical analyses of the effect of the regularization and its OOD generalization properties.","This work first train a simple model, and then regularize the conditional mutual information with respect to it to obtain the final model, which effectively addresses simplicity bias and leads to more features being used, enhances OOD generalization, and improves subgroup robustness and fairness."
"Glucose Transformer: Forecasting Glucose Level and Events of Hyperglycemia and Hypoglycemia","https://scispace.com/paper/glucose-transformer-forecasting-glucose-level-and-events-of-29cm3ubu","2023","Journal Article","IEEE Journal of Biomedical and Health Informatics","","10.1109/jbhi.2023.3236822","","To avoid the adverse consequences from abrupt increases in blood glucose, diabetic inpatients should be closely monitored. Using blood glucose data from type 2 diabetes patients, we propose a deep learning model-based framework to forecast blood glucose levels. We used continuous glucose monitoring (CGM) data collected from inpatients with type 2 diabetes for a week. We adopted the Transformer model, commonly used in sequence data, to forecast the blood glucose level over time and detect hyperglycemia and hypoglycemia in advance. We expected the attention mechanism in Transformer to reveal a hint of hyperglycemia and hypoglycemia, and performed a comparative study to determine whether Transformer was effective in the classification and regression of glucose. Hyperglycemia and hypoglycemia rarely occur and this results in an imbalance in the classification. We built a data augmentation model using the generative adversarial network. Our contributions are as follows. First, we developed a deep learning framework utilizing the encoder part of Transformer to perform the regression and classification under a unified framework. Second, we adopted a data augmentation model using the generative adversarial network suitable for time-series data to solve the data imbalance problem and to improve performance. Third, we collected data for type 2 diabetic inpatients for mid-time. Finally, we incorporated transfer learning to improve the performance of regression and classification. ","In this article , a deep learning model-based framework was proposed to forecast blood glucose levels using continuous glucose monitoring (CGM) data collected from inpatients with type 2 diabetes for a week."
"Glucose Transformer: Forecasting Glucose Level and Events of Hyperglycemia and Hypoglycemia","https://scispace.com/paper/glucose-transformer-forecasting-glucose-level-and-events-of-ccii8ytl","2023","Journal Article","IEEE Journal of Biomedical and Health Informatics","Sangmin Lee
Dae-Yeon Kim
Jiyoung Woo","10.1109/JBHI.2023.3236822","","To avoid the adverse consequences from abrupt increases in blood glucose, diabetic inpatients should be closely monitored. Using blood glucose data from type 2 diabetes patients, we propose a deep learning model-based framework to forecast blood glucose levels. We used continuous glucose monitoring (CGM) data collected from inpatients with type 2 diabetes for a week. We adopted the Transformer model, commonly used in sequence data, to forecast the blood glucose level over time and detect hyperglycemia and hypoglycemia in advance. We expected the attention mechanism in Transformer to reveal a hint of hyperglycemia and hypoglycemia, and performed a comparative study to determine whether Transformer was effective in the classification and regression of glucose. Hyperglycemia and hypoglycemia rarely occur and this results in an imbalance in the classification. We built a data augmentation model using the generative adversarial network. Our contributions are as follows. First, we developed a deep learning framework utilizing the encoder part of Transformer to perform the regression and classification under a unified framework. Second, we adopted a data augmentation model using the generative adversarial network suitable for time-series data to solve the data imbalance problem and to improve performance. Third, we collected data for type 2 diabetic inpatients for mid-time. Finally, we incorporated transfer learning to improve the performance of regression and classification.","In this article , a deep learning model-based framework was proposed to forecast blood glucose levels using continuous glucose monitoring (CGM) data collected from inpatients with type 2 diabetes for a week."
"Personalized Blood Glucose Prediction for Type 1 Diabetes Using Evidential Deep Learning and Meta-Learning","https://scispace.com/paper/personalized-blood-glucose-prediction-for-type-1-diabetes-1cvgsquy","2023","Journal Article","IEEE Transactions on Biomedical Engineering","","10.1109/tbme.2022.3187703","https://scispace.com/pdf/personalized-blood-glucose-prediction-for-type-1-diabetes-1cvgsquy.pdf","The availability of large amounts of data from continuous glucose monitoring (CGM), together with the latest advances in deep learning techniques, have opened the door to a new paradigm of algorithm design for personalized blood glucose (BG) prediction in type 1 diabetes (T1D) with superior performance. However, there are several challenges that prevent the widespread implementation of deep learning algorithms in actual clinical settings, including unclear prediction confidence and limited training data for new T1D subjects. To this end, we propose a novel deep learning framework, Fast-adaptive and Confident Neural Network (FCNN), to meet these clinical challenges. In particular, an attention-based recurrent neural network is used to learn representations from CGM input and forward a weighted sum of hidden states to an evidential output layer, aiming to compute personalized BG predictions with theoretically supported model confidence. The model-agnostic meta-learning is employed to enable fast adaptation for a new T1D subject with limited training data. The proposed framework has been validated on three clinical datasets. In particular, for a dataset including 12 subjects with T1D, FCNN achieved a root mean square error of 18.64±2.60 mg/dL and 31.07±3.62 mg/dL for 30 and 60-minute prediction horizons, respectively, which outperformed all the considered baseline methods with significant improvements. These results indicate that FCNN is a viable and effective approach for predicting BG levels in T1D. The well-trained models can be implemented in smartphone apps to improve glycemic control by enabling proactive actions through real-time glucose alerts. ","In this article , an attention-based recurrent neural network is used to learn representations from continuous glucose monitoring (CGM) input and forward a weighted sum of hidden states to an evidential output layer, aiming to compute personalized BG predictions with theoretically supported model confidence."
