"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Enhancing diabetic retinopathy classification using deep learning","https://scispace.com/paper/enhancing-diabetic-retinopathy-classification-using-deep-2dfufw1re6","2023","Journal Article","Digital health","Ghadah Alwakid
Walaa Gouda
Mamoona Humayun
Noor Zaman","10.1177/20552076231203676","","Prolonged hyperglycemia can cause diabetic retinopathy (DR), which is a major contributor to blindness. Numerous incidences of DR may be avoided if it were identified and addressed promptly. Throughout recent years, many deep learning (DL)-based algorithms have been proposed to facilitate psychometric testing. Utilizing DL model that encompassed four scenarios, DR and its stages were identified in this study using retinal scans from the ""Asia Pacific Tele-Ophthalmology Society (APTOS) 2019 Blindness Detection"" dataset. Adopting a DL model then led to the use of augmentation strategies that produced a comprehensive dataset with consistent hyper parameters across all test cases. As a further step in the classification process, we used a Convolutional Neural Network model. Different enhancement methods have been used to raise visual quality. The proposed approach detected the DR with a highest experimental result of 97.83%, a top-2 accuracy of 99.31%, and a top-3 accuracy of 99.88% across all the 5 severity stages of the APTOS 2019 evaluation employing CLAHE and ESRGAN techniques for image enhancement. In addition, we employed APTOS 2019 to develop a set of evaluation metrics (precision, recall, and F1-score) to use in analyzing the efficacy of the suggested model. The proposed approach was also proven to be more efficient at DR location than both state-of-the-art technology and conventional DL. ","The proposed approach was proven to be more efficient at DR location than both state-of-the-art technology and conventional DL, and more efficient than different enhancement methods used to raise visual quality."
"Diabetic retinopathy detection using supervised and unsupervised deep learning: a review study","https://scispace.com/paper/diabetic-retinopathy-detection-using-supervised-and-prlrvb8x7e","2024","Journal Article","Artificial Intelligence Review","Huma Naz
Neelu Jyothi Ahuja
Rahul Nijhawan","10.1007/s10462-024-10770-x","","Abstract The severe progression of Diabetes Mellitus (DM) stands out as one of the most significant concerns for healthcare officials worldwide. Diabetic Retinopathy (DR) is a common complication associated with diabetes, particularly affecting individuals between the ages of 18 and 65. As per the findings of the International Diabetes Federation (IDF) report, 35–60% of individuals suffering from DR possess a diabetes history. DR emerges as a leading cause of worldwide visual impairment. Due to the absence of ophthalmologists worldwide, insufficient health resources, and healthcare services, patients cannot get timely eye screening services. Automated computer-aided detection of DR provides a wide range of potential benefits. In contrast to traditional observer-driven techniques, automatic detection allows for a more objective analysis of numerous images in a shorter time. Moreover, Unsupervised Learning (UL) holds a high potential for image classification in healthcare, particularly regarding explainability and interpretability. Many studies on the detection of DR with both supervised and unsupervised Deep Learning (DL) methodologies are available. Surprisingly, none of the reviews presented thus far have highlighted the potential benefits of both supervised and unsupervised DL methods in Medical Imaging for the detection of DR. After a rigorous selection process, 103 articles were retrieved from four diverse and well-known databases (Web of Science, Scopus, ScienceDirect, and IEEE). This review provides a comprehensive summary of both supervised and unsupervised DL methods applied in DR detection, explaining the significant benefits of both techniques and covering aspects such as datasets, pre-processing, segmentation techniques, and supervised and unsupervised DL methods for detection. The insights from this review will aid academics and researchers in medical imaging to make informed decisions and choose the best practices for DR detection. ","This review study examines the application of supervised and unsupervised deep learning methods for diabetic retinopathy detection, summarizing 103 articles and highlighting the benefits of both techniques in medical imaging, including datasets, pre-processing, and segmentation techniques."
"Advancing diabetic retinopathy diagnosis with fundus imaging: A comprehensive survey of computer-aided detection, grading and classification methods","https://scispace.com/paper/advancing-diabetic-retinopathy-diagnosis-with-fundus-imaging-4ds921kc3u","","Journal Article","Global transitions","S. Prathibha
Siddappaji","10.1016/j.glt.2024.04.001","","The incidence of diabetic retinopathy globally calls for advanced and more universally applicable computer-aided diagnosis (CAD) systems. This survey paper explores the current state of vision-based CAD techniques for the detection and classification of diabetic retinopathy, a diabetes-induced eye disorder that can lead to severe visual impairment or blindness. Characterized by a variety of manifestations including microaneurysms, exudates, hemorrhages, and macular detachment, diabetic retinopathy presents substantial challenges for automated detection. This is primarily due to the heterogeneity of retinal fundus images, which display diverse spatiotextural features and intricate vascular structures. Our exhaustive review indicates that most existing methodologies predominantly concentrate on isolated diabetic retinopathy types, employing localized spatiotextural feature analysis for classification. Such specificity often results in limited accuracy and generalizability, restricting practical real-world application. Furthermore, contemporary leading methods generally focus on single retinal characteristics, necessitating patients to undergo multiple CAD procedures, thereby increasing time, costs, and possibly intensifying retinal complexities. To overcome these obstacles, we propose the adoption of multi-trait-driven CAD solutions. Utilizing the potent capabilities of deep learning, these solutions could employ high-dimensional, multi-cue sensitive feature extraction and ensemble learning for classification. This approach is designed to improve the generalizability and dependability of CAD systems, offering a holistic solution capable of effectively managing the diverse manifestations of diabetic retinopathy. Our study highlights the need for a fundamental transformation in diabetic retinopathy CAD systems, motivating further research towards robust, multi-modal methods to enhance detection, classification, and grading of this widespread ailment. ","This survey paper reviews computer-aided diagnosis techniques for diabetic retinopathy, highlighting limitations of existing methods and proposing multi-trait-driven CAD solutions using deep learning for improved generalizability and dependability."
"Source-free active domain adaptation for diabetic retinopathy grading based on ultra-wide-field fundus images","https://scispace.com/paper/source-free-active-domain-adaptation-for-diabetic-1yfh0x2oi6","2024","Journal Article","Computers in Biology and Medicine","Jinye Ran
Guanghua Zhang
Fan Xia
Ximei Zhang
Juan Xie","10.1016/j.compbiomed.2024.108418","","Domain adaptation (DA) is commonly employed in diabetic retinopathy (DR) grading using unannotated fundus images, allowing knowledge transfer from labeled color fundus images. Existing DAs often struggle with domain disparities, hindering DR grading performance compared to clinical diagnosis. A source-free active domain adaptation method (SFADA), which generates features of color fundus images by noise, selects valuable ultra-wide-field (UWF) fundus images through local representation matching, and adapts models using DR lesion prototypes, is proposed to upgrade DR diagnostic accuracy. Importantly, SFADA enhances data security and patient privacy by excluding source domain data. It reduces image resolution and boosts model training speed by modeling DR grade relationships directly. Experiments show SFADA significantly improves DR grading performance, increasing accuracy by 20.90% and quadratic weighted kappa by 18.63% over baseline, reaching 85.36% and 92.38%, respectively. This suggests SFADA's promise for real clinical applications. ","Experiments show SFADA significantly improves DR grading performance, increasing accuracy by 20.90% and quadratic weighted kappa by 18.63% over baseline, and suggests SFADA's promise for real clinical applications."
"Diabetic retinopathy detection using developed hybrid cascaded multi-scale DCNN with hybrid heuristic strategy","https://scispace.com/paper/diabetic-retinopathy-detection-using-developed-hybrid-1al0jm96jf","","Journal Article","Biomedical Signal Processing and Control","AhlamAsadig Ali Tabtaba
Oguz Ata","10.1016/j.bspc.2023.105718","","In recent times, Diabetic Retinopathy (DR) is the most inevitable ailment caused by high blood sugar levels in humans. Conversely, the detection process is accomplished by many learning algorithms. Some models have used the single view of retinal images, it renders unsatisfactory outcomes to forecast the disorder. Due to inadequate of retinal lesion features, the system gradually degrades the performance, and the system has a fewer tendencies to diagnose the disease. On the other hand, the computer-based model is suggested to detect the DR. Nevertheless, these methods are most cost and computationally effective and behinds with feature representation, futile to classify the diseases. To conquer against these shortcomings, a novel DR diagnosis model is proposed using a hybrid heuristic-aided deep learning model with fundus images. The retinal fundus images are collected that are given to the pre-processing stages as scaling, cropping and ""Contrast Limited Adaptive Histogram Equalization (CLAHE)"". In image augmentation, the high quality image is given for further processing with the help of Generative Adversarial Networks (GANs). Subsequently, the augmented images are fed into the model of a Hybrid cascaded Multi-scale Dilated Convolutional Neural Network (HCMD-CNN), where the Residual Attention Network (RAN) and the MobileNet are integrated to provide promising results for DR detection. Furthermore, the parameters present inside the HCMD-CNN are optimized to achieve higher performance with the help of newly designed Modified Sooty Tern Golden Eagle Optimization (MSTGEO). The implementation results will be analyzed through existing DR detection schemes to ensure the efficiency of the suggested DR detection model. ","A hybrid cascaded multi-scale DCNN with a hybrid heuristic strategy is proposed for diabetic retinopathy detection, utilizing fundus images, image augmentation, and optimized parameters to improve performance and overcome limitations of existing DR detection models."
"Deep learning model using classification for diabetic retinopathy detection: an overview","https://scispace.com/paper/deep-learning-model-using-classification-for-diabetic-54q73afkgu","2024","Journal Article","Artificial Intelligence Review","Dharmalingam Muthusamy
Parimala Palani","10.1007/s10462-024-10806-2","https://scispace.compdf/deep-learning-model-using-classification-for-diabetic-54q73afkgu.pdf","Abstract Early detection of diabetic retinopathy is a serious disease for diabetics to minimize their sightlessness risks. The different approaches take a much longer time for a very large training dataset. In classifying to better the accuracy of diabetic retinopathy, a novel technique called MAP Concordance Regressive Camargo’s Index-Based Deep Multilayer Perceptive Learning Classification (MAPCRCI-DMPLC) has been introduced with minimum time consumption. The novel model of MAPCRCI-DMPLC comprises the input layer, hidden layers, and output layer for detecting diabetic retinopathy at an early stage through high accuracy and less moment consumption. The proposed MAPCRCI-DMPLC model collected the retinal fundus images from the dataset as input. After that, we carried out image preprocessing using the MAP-estimated local region filtering-based preprocessing technique in the first hidden layer. In the second hidden layer, Camargo’s index-based ROI extraction is performed to identify the infected region. Then, Concordance Correlative Regression is applied for texture feature extraction. Then the color feature is extracted, beginning the image. The features extracted to the output layer to classify the different levels of DR using the swish activation function through higher accuracy. An investigational assessment using a retinal image dataset on factors such as peak signal-to-noise ratio (PSNR), disease detection accuracy (DDA), false-positive rate (FPR), and disease detection time (DDT), regarding the quantity of retinal fundus images and image dimension. The quantitative and qualitatively analyzed outcome shows a better presentation of our proposed MAPCRCI-DMPLC technique when compared through the five state-of-the-art approaches. ","A novel deep learning model called MAPCRCI-DMPLC is introduced for diabetic retinopathy detection with high accuracy and less time consumption."
"UC-Stack: a deep learning computer automatic detection system for diabetic retinopathy classification.","https://scispace.com/paper/uc-stack-a-deep-learning-computer-automatic-detection-system-3b0f70wu29","2024","Journal Article","Physics in Medicine and Biology","Yong Fu
Yuekun Wei
Siying Chen
Caihong Chen
Rong Zhou
Hongjun Li
Mocan Qiu
Jin Xie
Daizheng Huang","10.1088/1361-6560/ad22a1","","OBJECT
The existing diagnostic paradigm for diabetic retinopathy (DR) greatly relies on subjective assessments by medical practitioners utilizing optical imaging, introducing susceptibility to individual interpretation. This work presents a novel system for the early detection and grading of DR, providing an automated alternative to the manual examination.


APPROACH
First, we use advanced image preprocessing techniques, specifically contrast-limited adaptive histogram equalization and Gaussian filtering, with the goal of enhancing image quality and module learning capabilities. Second, a deep learning-based automatic detection system is developed. The system consists of a feature segmentation module, a deep learning feature extraction module, and an ensemble classification module. The feature segmentation module accomplishes vascular segmentation, the deep learning feature extraction module realizes the global feature and local feature extraction of retinopathy images, and the ensemble module performs the diagnosis and classification of DR for the extracted features. Lastly, nine performance evaluation metrics are applied to assess the quality of the model's performance.


MAIN RESULTS
Extensive experiments are conducted on four retinal image databases (APTOS 2019, Messidor, DDR, and EyePACS). The proposed method demonstrates promising performance in the binary and multi-classification tasks for DR, evaluated through nine indicators, including AUC and quadratic weighted Kappa score. The system shows the best performance in the comparison of three segmentation methods, two convolutional neural network architecture models, four Swin Transformer structures, and the latest literature methods.


SIGNIFICANCE
In contrast to existing methods, our system demonstrates superior performance across multiple indicators, enabling accurate screening of DR and providing valuable support to clinicians in the diagnostic process. Our automated approach minimizes the reliance on subjective assessments, contributing to more consistent and reliable DR evaluations.","This work presents a novel system for the early detection and grading of DR, providing an automated alternative to the manual examination, and demonstrates superior performance across multiple indicators."
"Detecting severity of Diabetic Retinopathy from fundus images: A transformer network-based review","https://scispace.com/paper/detecting-severity-of-diabetic-retinopathy-from-fundus-35x0un9vm7","2024","Journal Article","Neurocomputing","Tejas Karkera
Chandranath Adak
Sreya Chattopadhyay
Muhammad Saqib","10.1016/j.neucom.2024.127991","","Diabetic Retinopathy (DR) is considered one of the significant concerns worldwide, primarily due to its impact on causing vision loss among most people with diabetes. The severity of DR is typically comprehended manually by ophthalmologists from fundus photography-based retina images. This paper deals with an automated understanding of the severity stages of DR. In the literature, researchers have focused on this automation using traditional machine learning-based algorithms and convolutional architectures. However, the past works hardly focused on essential parts of the retinal image to improve the model performance. In this study, we adopt and fine-tune transformer-based learning models to capture the crucial features of retinal images for a more nuanced understanding of DR severity. Additionally, we explore the effectiveness of image transformers to infer the degree of DR severity from fundus photographs. For experiments, we utilized the publicly available APTOS-2019 blindness detection dataset, where the performances of the transformer-based models were quite encouraging. ","The paper proposes a transformer-based approach for detecting the severity of Diabetic Retinopathy (DR) from fundus images. The model captures crucial features of retinal images for a more nuanced understanding of DR severity."
"A multi-resolution convolutional attention network for efficient diabetic retinopathy classification","https://scispace.com/paper/a-multi-resolution-convolutional-attention-network-for-41k9z4ugpx","2024","Journal Article","Computers & Electrical Engineering","Sandeep Madarapu
Samit Ari
Kamalakanta Mahapatra","10.1016/j.compeleceng.2024.109243","","Diabetic retinopathy (DR) is a disorder commonly associated with individuals who have diabetes and is caused by excessive glucose levels in the blood, which induce retinal damage. Manual diagnosis of DR by medical experts is time-consuming; hence, a computer-aided diagnosis (CAD) solution for faster identification and improved efficiency is required. Diagnosis of DR is complex due to the prevalence of inter-class differences and small lesions, making it difficult for convolutional neural networks (CNNs) to identify discriminative regions effectively. The most critical challenge is locating complex patterns connected with visual differences and lesion locations. To tackle the aforementioned challenges, this work presents a novel multi-resolution convolutional attention network (MuR-CAN), which improves overall performance by emphasizing discriminative features. MuR-CAN includes a multi-dilation attention block (MDAB), which uses depth-wise convolution layers with various dilation rates to allow the model to prioritize relevant features and capture multi-scale spatial information. This method provides for simultaneously highlighting fine features and subtle visual patterns. Furthermore, the features extracted from the MuR-CAN are utilized to train the support vector machine (SVM) for DR classification. The integration of the SVM classifier with the proposed CNN architecture ensures improved accuracy. The experimental findings demonstrate that the proposed model outperforms the current state-of-the-art methods. ","A novel multi-resolution convolutional attention network (MuR-CAN) for diabetic retinopathy classification improves accuracy by emphasizing discriminative features and capturing multi-scale spatial information."
"Computer aided diagnosis of diabetic retinopathy based on multi-view joint learning","https://scispace.com/paper/computer-aided-diagnosis-of-diabetic-retinopathy-based-on-1xmljgkfov","2024","Journal Article","Computers in Biology and Medicine","Xuebin Xu
Dehua Liu
Muyu Wang
Meng Lei","10.1016/j.compbiomed.2024.108428","","Diabetic retinopathy (DR) is a kind of ocular complication of diabetes, and its degree grade is an essential basis for early diagnosis of patients. Manual diagnosis is a long and expensive process with a specific risk of misdiagnosis. Computer-aided diagnosis can provide more accurate and practical treatment recommendations. In this paper, we propose a multi-view joint learning DR diagnostic model called RT2Net, which integrates the global features of fundus images and the local detailed features of vascular images to reduce the limitations of single fundus image learning. Firstly, the original image is preprocessed using operations such as contrast-limited adaptive histogram equalization, and the vascular structure of the extracted DR image is segmented. Then, the vascular image and fundus image are input into two branch networks of RT2Net for feature extraction, respectively, and the feature fusion module adaptively fuses the feature vectors' output from the branch networks. Finally, the optimized classification model is used to identify the five categories of DR. This paper conducts extensive experiments on the public datasets EyePACS and APTOS 2019 to demonstrate the method's effectiveness. The accuracy of RT2Net on the two datasets reaches 88.2% and 85.4%, and the area under the receiver operating characteristic curve (AUC) is 0.98 and 0.96, respectively. The excellent classification ability of RT2Net for DR can significantly help patients detect and treat lesions early and provide doctors with a more reliable diagnosis basis, which has significant clinical value for diagnosing DR. ","A multi-view joint learning DR diagnostic model called RT2Net, which integrates the global features of fundus images and the local detailed features of vascular images to reduce the limitations of single fundus image learning is proposed."
