"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Mitigating machine learning bias between high income and low–middle income countries for enhanced model fairness and generalizability","https://scispace.com/paper/mitigating-machine-learning-bias-between-high-income-and-low-3vhwysnpsi","2024","Journal Article","Dental science reports","Jenny Yang
Lei Clifton
Nguyen Thanh Dung
Nguyễn Thanh Phong
Lam Minh Yen
Doan Bui Xuan Thy
Andrew A. S. Soltan
Louise Thwaites
David A. Clifton","10.1038/s41598-024-64210-5","https://scispace.compdf/mitigating-machine-learning-bias-between-high-income-and-low-3vhwysnpsi.pdf","Abstract Collaborative efforts in artificial intelligence (AI) are increasingly common between high-income countries (HICs) and low- to middle-income countries (LMICs). Given the resource limitations often encountered by LMICs, collaboration becomes crucial for pooling resources, expertise, and knowledge. Despite the apparent advantages, ensuring the fairness and equity of these collaborative models is essential, especially considering the distinct differences between LMIC and HIC hospitals. In this study, we show that collaborative AI approaches can lead to divergent performance outcomes across HIC and LMIC settings, particularly in the presence of data imbalances. Through a real-world COVID-19 screening case study, we demonstrate that implementing algorithmic-level bias mitigation methods significantly improves outcome fairness between HIC and LMIC sites while maintaining high diagnostic sensitivity. We compare our results against previous benchmarks, utilizing datasets from four independent United Kingdom Hospitals and one Vietnamese hospital, representing HIC and LMIC settings, respectively. ","Collaborative AI approaches can lead to biased outcomes between HIC and LMIC settings due to data imbalances. Algorithmic-level bias mitigation methods improve fairness and generalizability."
"Focusing on Decisions, Outcomes, and Value Judgments to Confront Algorithmic Bias.","https://scispace.com/paper/focusing-on-decisions-outcomes-and-value-judgments-to-3o65e2ae","2023","Journal Article","JAMA network open","Ankur Pandya
Jinyi Zhu","10.1001/jamanetworkopen.2023.18501","https://scispace.com/pdf/focusing-on-decisions-outcomes-and-value-judgments-to-3o65e2ae.pdf","Sara Khor, MASc; Eric C. Haupt, ScM; Erin E. Hahn, PhD, MPH; Lindsay Joe L. Lyons, LVN; Veena Shankaran, MD, MS; Aasthaa Bansal, PhD ","Sara Khor, MASc; Eric C. Haupt, ScM; Erin E. Hahn, PhD, MPH; Lindsay Joe L. Lyons, LVN; Veena Shankaran, MD, MS; Aasthaa Bansal, PhD as discussed by the authors"
"Causal fairness assessment of treatment allocation with electronic health records","https://scispace.com/paper/causal-fairness-assessment-of-treatment-allocation-with-4sifyjvjrk","2024","Journal Article","Journal of Biomedical Informatics","Linying Zhang
Lauren R. Richter
Yixin Wang
Anna Ostropolets
Noémie Elhadad
David M. Blei
George Hripcsak","10.1016/j.jbi.2024.104656","","Healthcare continues to grapple with the persistent issue of treatment disparities, sparking concerns regarding the equitable allocation of treatments in clinical practice. While various fairness metrics have emerged to assess fairness in decision-making processes, a growing focus has been on causality-based fairness concepts due to their capacity to mitigate confounding effects and reason about bias. However, the application of causal fairness notions in evaluating the fairness of clinical decision-making with electronic health record (EHR) data remains an understudied domain. This study aims to address the methodological gap in assessing causal fairness of treatment allocation with electronic health records data. In addition, we investigate the impact of social determinants of health on the assessment of causal fairness of treatment allocation. We propose a causal fairness algorithm to assess fairness in clinical decision-making. Our algorithm accounts for the heterogeneity of patient populations and identifies potential unfairness in treatment allocation by conditioning on patients who have the same likelihood to benefit from the treatment. We apply this framework to a patient cohort with coronary artery disease derived from an EHR database to evaluate the fairness of treatment decisions. Our analysis reveals notable disparities in coronary artery bypass grafting (CABG) allocation among different patient groups. Women were found to be 4.4%–7.7% less likely to receive CABG than men in two out of four treatment response strata. Similarly, Black or African American patients were 5.4%–8.7% less likely to receive CABG than others in three out of four response strata. These results were similar when social determinants of health (insurance and area deprivation index) were dropped from the algorithm. These findings highlight the presence of disparities in treatment allocation among similar patients, suggesting potential unfairness in the clinical decision-making process. This study introduces a novel approach for assessing the fairness of treatment allocation in healthcare. By incorporating responses to treatment into fairness framework, our method explores the potential of quantifying fairness from a causal perspective using EHR data. Our research advances the methodological development of fairness assessment in healthcare and highlight the importance of causality in determining treatment fairness. ","Causal fairness assessment of treatment allocation with electronic health records data reveals significant disparities in treatment allocation among different patient groups."
"Evaluating gender bias in ML-based clinical risk prediction models: A study on multiple use cases at different hospitals","https://scispace.com/paper/evaluating-gender-bias-in-ml-based-clinical-risk-prediction-244j34sq01","2024","Journal Article","Journal of Biomedical Informatics","Patricia Cabanillas Silva
Hong Sun
Pablo Esteban Rodríguez
Mohamed Rezk
Xianchao Zhang
Janis Fliegenschmidt
Nikolai Hulde
Vera von Dossow
Laurent Meesseman
Kristof Depraetere
Ralph Szymanowsky
Jörg Stieg
Fried-Michael Dahlweid","10.1016/j.jbi.2024.104692","","An inherent difference exists between male and female bodies, the historical under-representation of females in clinical trials widened this gap in existing healthcare data. The fairness of clinical decision-support tools is at risk when developed based on biased data. This paper aims to quantitatively assess the gender bias in risk prediction models. We aim to generalize our findings by performing this investigation on multiple use cases at different hospitals. ","The presence of gender bias within risk prediction models varies across different clinical use cases and healthcare institutions, and the decision curve analysis demonstrates there is no statistically significant difference between the model's clinical utility across gender groups within the interested range of thresholds."
"Fairness and inclusion in biomedical artificial intelligence research and clinical use: Technical and social perspectives","https://scispace.com/paper/fairness-and-inclusion-in-biomedical-artificial-intelligence-2435dvpzgi","2024","Journal Article","Journal of Biomedical Informatics","Ashley C Griffin
Karen Wang
Tiffany I. Leung
Julio C. Facelli","10.1016/j.jbi.2024.104693","","Understanding and quantifying biases when designing and implementing actionable approaches to increase fairness and inclusion is critical for artificial intelligence (AI) in biomedical applications. ","Recommendations to address biases when developing and using AI in clinical applications can be applied to informatics research and practice to foster more equitable and inclusive health care systems and research discoveries."
"Fair AI-powered orthopedic image segmentation: addressing bias and promoting equitable healthcare","https://scispace.com/paper/fair-ai-powered-orthopedic-image-segmentation-addressing-2pwzrvp94u","2024","Journal Article","Dental science reports","Iram Siddiqui
Nickolas Littlefield
Luke Carlson
Matthew Gong
Avani Chhabra
Zoe Menezes
George Mastorakos
Sakshi Mehul Thakar
Mehrnaz Abedian
Ines Lohse
Kurt R. Weiss
Johannes F. Plate
Hamidreza Moradi
Soheyla Amirian
Ahmad P. Tafti","10.1038/s41598-024-66873-6","","Abstract AI-powered segmentation of hip and knee bony anatomy has revolutionized orthopedics, transforming pre-operative planning and post-operative assessment. Despite the remarkable advancements in AI algorithms for medical imaging, the potential for biases inherent within these models remains largely unexplored. This study tackles these concerns by thoroughly re-examining AI-driven segmentation for hip and knee bony anatomy. While advanced imaging modalities like CT and MRI offer comprehensive views, plain radiographs (X-rays) predominate the standard initial clinical assessment due to their widespread availability, low cost, and rapid acquisition. Hence, we focused on plain radiographs to ensure the utilization of our contribution in diverse healthcare settings, including those with limited access to advanced imaging technologies. This work provides insights into the underlying causes of biases in AI-based knee and hip image segmentation through an extensive evaluation, presenting targeted mitigation strategies to alleviate biases related to sex, race, and age, using an automatic segmentation that is fair, impartial, and safe in the context of AI. Our contribution can enhance inclusivity, ethical practices, equity, and an unbiased healthcare environment with advanced clinical outcomes, aiding decision-making and osteoarthritis research. Furthermore, we have made all the codes and datasets publicly and freely accessible to promote open scientific research. ","This work provides insights into the underlying causes of biases in AI-based knee and hip image segmentation through an extensive evaluation, presenting targeted mitigation strategies to alleviate biases related to sex, race, and age using an automatic segmentation that is fair, impartial, and safe in the context of AI."
"Resilient Artificial Intelligence in Health: Synthesis and Research Agenda Toward Next-Generation Trustworthy Clinical Decision Support","https://scispace.com/paper/resilient-artificial-intelligence-in-health-synthesis-and-2xp2f6e6yu","2024","Journal Article","Journal of Medical Internet Research","Carlos Sáez
Carlos Sáez
Carlos Sáez","10.2196/50295","","Artificial intelligence (AI)-based clinical decision support systems are gaining momentum by relying on a greater volume and variety of secondary use data. However, the uncertainty, variability, and biases in real-world data environments still pose significant challenges to the development of health AI, its routine clinical use, and its regulatory frameworks. Health AI should be resilient against real-world environments throughout its lifecycle, including the training and prediction phases and maintenance during production, and health AI regulations should evolve accordingly. Data quality issues, variability over time or across sites, information uncertainty, human-computer interaction, and fundamental rights assurance are among the most relevant challenges. If health AI is not designed resiliently with regard to these real-world data effects, potentially biased data-driven medical decisions can risk the safety and fundamental rights of millions of people. In this viewpoint, we review the challenges, requirements, and methods for resilient AI in health and provide a research framework to improve the trustworthiness of next-generation AI-based clinical decision support. ","Resilient AI in health requires addressing data quality issues, variability over time or across sites, information uncertainty, human-computer interaction, and fundamental rights assurance to ensure trustworthy clinical decision support."
"Advancing Fairness in Cardiac Care: Strategies for Mitigating Bias in Artificial Intelligence Models within Cardiology.","https://scispace.com/paper/advancing-fairness-in-cardiac-care-strategies-for-mitigating-4tiaqwudcz","2024","","Canadian Journal of Cardiology","Alexis Nolin Lapalme
Denis Corbin
Olivier Tastet
Robert Avram
Julie G. Hussin","10.1016/j.cjca.2024.04.026","","In the dynamic field of medical artificial intelligence (AI), cardiology stands out as a key area for its technological advancements and clinical application. This review explores the complex issue of data bias, specifically addressing those encountered during the development and implementation of AI tools in cardiology. We dissect the origins and impacts of these biases, which challenge their reliability and widespread applicability in healthcare. Using a case study, we highlight the complexities involved in addressing these biases from a clinical viewpoint. The goal of this review is to equip researchers and clinicians with the practical knowledge needed to identify, understand, and mitigate these biases, advocating for the creation of AI solutions that are not just technologically sound, but also fair and effective for all patient demographics. In the dynamic field of medical artificial intelligence (AI), cardiology stands out as a key area for its technological advancements and clinical application. This review explores the complex issue of data bias, specifically addressing those encountered during the development and implementation of AI tools in cardiology. We dissect the origins and impacts of these biases, which challenge their reliability and widespread applicability in healthcare. Using a case study, we highlight the complexities involved in addressing these biases from a clinical viewpoint. The goal of this review is to equip researchers and clinicians with the practical knowledge needed to identify, understand, and mitigate these biases, advocating for the creation of AI solutions that are not just technologically sound, but also fair and effective for all patient demographics. Dans le domaine dynamique de l'intelligence artificielle (IA) médicale, la cardiologie se distingue comme un secteur clé pour son progrès et son application clinique. Cette revue de littérature examine la question complexe des biais, en se concentrant spécifiquement sur ceux rencontrés lors du développement et du déploiement d'outils d'IA en cardiologie. Nous analysons les origines et les impacts de ces biais, qui remettent en question leur fiabilité et leur applicabilité dans les soins de santé. À travers une étude de cas, nous soulignons les subtilités à prendre en compte pour détecter et éviter ces biais du point de vue clinique. L'objectif de cette revue est de fournir aux chercheurs et aux cliniciens des connaissances pratiques pour identifier, comprendre et atténuer les biais, en plaidant pour la création de solutions d'IA qui ne sont pas seulement performantes, mais aussi équitables pour tous les groupes de patients. Dans le domaine dynamique de l'intelligence artificielle (IA) médicale, la cardiologie se distingue comme un secteur clé pour son progrès et son application clinique. Cette revue de littérature examine la question complexe des biais, en se concentrant spécifiquement sur ceux rencontrés lors du développement et du déploiement d'outils d'IA en cardiologie. Nous analysons les origines et les impacts de ces biais, qui remettent en question leur fiabilité et leur applicabilité dans les soins de santé. À travers une étude de cas, nous soulignons les subtilités à prendre en compte pour détecter et éviter ces biais du point de vue clinique. L'objectif de cette revue est de fournir aux chercheurs et aux cliniciens des connaissances pratiques pour identifier, comprendre et atténuer les biais, en plaidant pour la création de solutions d'IA qui ne sont pas seulement performantes, mais aussi équitables pour tous les groupes de patients. ","This review explores data bias in AI models in cardiology, dissecting origins and impacts, and advocating for fair and effective AI solutions that address biases and promote equitable care for all patient demographics."
"Addressing AI Algorithmic Bias in Health Care","https://scispace.com/paper/addressing-ai-algorithmic-bias-in-health-care-172rv8u6le2t","2024","Journal Article","JAMA","Raj M. Ratwani
Karey M. Sutton
Jessica E. Galarraga","10.1001/jama.2024.13486","","This Viewpoint discusses the bias that exists in artificial intelligence (AI) algorithms used in health care despite recent federal rules to prohibit discriminatory outcomes from AI and recommends ways in which health care facilities, AI developers, and regulators could share responsibilities and actions to address bias. ","This Viewpoint highlights AI algorithmic bias in healthcare, despite federal regulations, and proposes shared responsibilities among healthcare facilities, AI developers, and regulators to address bias and ensure equitable healthcare outcomes through AI."
"Mitigating the risk of artificial intelligence bias in cardiovascular care","https://scispace.com/paper/mitigating-the-risk-of-artificial-intelligence-bias-in-5cz5ptoerfze","2024","Journal Article","The Lancet Digital Health","Ariana Mihan
Ambarish Pandey
Harriette G.C. Van Spall","10.1016/s2589-7500(24)00155-9","","Digital health technologies can generate data that can be used to train artificial intelligence (AI) algorithms, which have been particularly transformative in cardiovascular health-care delivery. However, digital and health-care data repositories that are used to train AI algorithms can introduce bias when data are homogeneous and health-care processes are inequitable. AI bias can also be introduced during algorithm development, testing, implementation, and post-implementation processes. The consequences of AI algorithmic bias can be considerable, including missed diagnoses, misclassification of disease, incorrect risk prediction, and inappropriate treatment recommendations. This bias can disproportionately affect marginalised demographic groups. In this Series paper, we provide a brief overview of AI applications in cardiovascular health care, discuss stages of algorithm development and associated sources of bias, and provide examples of harm from biased algorithms. We propose strategies that can be applied during the training, testing, and implementation of AI algorithms to mitigate bias so that all those at risk for or living with cardiovascular disease might benefit equally from AI. ","This paper discusses AI bias in cardiovascular care, highlighting its introduction through data repositories, algorithm development, and implementation, and proposes strategies to mitigate bias and ensure equitable benefits for all patients, particularly marginalized groups."
