"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A Chaotic Maps-based Privacy-preserving Distributed Deep Learning for Incomplete and Non-IID Datasets","https://scispace.com/paper/a-chaotic-maps-based-privacy-preserving-distributed-deep-1oxqhie98t","2024","Journal Article","IEEE Transactions on Emerging Topics in Computing","Irina Arévalo
Jose L. Salmeron","10.1109/tetc.2023.3320758","","Federated Learning is a machine learning approach that enables the training of a deep learning model among several participants with sensitive data that wish to share their own knowledge without compromising the privacy of their data. In this research, the authors employ a secured Federated Learning method with an additional layer of privacy and proposes a method for addressing the non-IID challenge. Moreover, differential privacy is compared with chaotic-based encryption as layer of privacy. The experimental approach assesses the performance of the federated deep learning model with differential privacy using both IID and non-IID data. In each experiment, the Federated Learning process improves the average performance metrics of the deep neural network, even in the case of non-IID data.","A secured Federated Learning method with an additional layer of privacy is employed and a method for addressing the non-IID challenge is proposed and differential privacy is compared with chaotic-based encryption as layer of privacy."
"DeFedHDP: Fully Decentralized Online Federated Learning for Heart Disease Prediction in Computational Health Systems","https://scispace.com/paper/defedhdp-fully-decentralized-online-federated-learning-for-57da0pszwj","2024","Journal Article","IEEE Transactions on Computational Social Systems","Mengli Wei
Ju Yang
Zhongyuan Zhao
Xiaogang Zhang
Jinsong Li
Zhi-ai Deng","10.1109/tcss.2024.3406528","","Heart disease is a leading global cause of death, while federated learning (FL) is an effective way to predict it. Due to patient privacy concerns and the centralized nature of current FL approaches, collaborative research in heart disease prediction (HDP) faces significant hurdles in computational health systems. This article introduces a distributed online aggregation method within fully decentralized federated learning (DFL), named DeFedHDP, to address these privacy challenges and improve the model of HDP. Moreover, the differential privacy (DP) mechanism is applied to the aggregation strategy of DeFedHDP to protect the privacy of the patients. The data holder communicates directly with neighbors in a series of time-varying directed graphs without the involvement of a central server. Furthermore, each participant is both a trainer of the local model and a collaborator of the other participants’ models. The data does not leave the local device, only the model parameters are exchanged and integrated, and this decentralized approach can further improve the level of privacy protection. In addition, to cope with model gradient disappearance and gradient explosion, the one-point bandit feedback (OPBF) strategy is utilized to estimate the true gradient values. Experiments on a public medical dataset show that the effectiveness of DeFedHDP is close to the centralized FedAVG algorithm for client-server architectures in terms of accuracy and speed.","This study introduces DeFedHDP, a fully decentralized online federated learning method for heart disease prediction, addressing patient privacy concerns through differential privacy and direct neighbor communication, achieving comparable accuracy and speed to centralized approaches."
"Federated Multi-view Learning for Private Medical Data Integration and Analysis","https://scispace.com/paper/federated-multi-view-learning-for-private-medical-data-2o2vyisc","2022","Journal Article","ACM Transactions on Intelligent Systems and Technology","","10.1145/3501816","https://scispace.com/pdf/federated-multi-view-learning-for-private-medical-data-2o2vyisc.pdf","Along with the rapid expansion of information technology and digitalization of health data, there is an increasing concern on maintaining data privacy while garnering the benefits in the medical field. Two critical challenges are identified: First, medical data is naturally distributed across multiple local sites, making it difficult to collectively train machine learning models without data leakage. Second, in medical applications, data are often collected from different sources and views, resulting in heterogeneity and complexity that requires reconciliation. In this article, we present a generic Federated Multi-view Learning (FedMV) framework for multi-view data leakage prevention. Specifically, we apply this framework to two types of problems based on local data availability: Vertical Federated Multi-view Learning (V-FedMV) and Horizontal Federated Multi-view Learning (H-FedMV). We experimented with real-world keyboard data collected from BiAffect study. Our results demonstrated that the proposed approach can make full use of multi-view data in a privacy-preserving way, and both V-FedMV and H-FedMV perform better than their single-view and pairwise counterparts. Besides, the framework can be easily adapted to deal with multi-view sequential data. We have developed a sequential model (S-FedMV) that takes sequence of multi-view data as input and demonstrated it experimentally. To the best of our knowledge, this framework is the first to consider both vertical and horizontal diversification in the multi-view setting, as well as their sequential federated learning. ","In this article , a generic federated multi-view learning (FedMV) framework was proposed for multiview data leakage prevention in the medical field, which considers both vertical and horizontal diversification in the multiview setting as well as their sequential federated learning."
"A Differentially Privacy Assisted Federated Learning Scheme to Preserve Data Privacy for IoMT Applications","https://scispace.com/paper/a-differentially-privacy-assisted-federated-learning-scheme-320hv14tmv","","Journal Article","IEEE Transactions on Network and Service Management","Ahmed Barnawi
Prateek Chhikara
Rajkumar Tekchandani
Neeraj Kumar
Bander Al-Zahrani","10.1109/tnsm.2024.3393969","","The rapid development of Artificial Intelligence (AI) has had a significant impact on various industries, including healthcare. The Internet of Medical Things (IoMT) has played a vital role in this evolution. However, while AI has contributed to many benefits in healthcare, concerns about data privacy and security persist. To address these concerns, we propose a framework that combines Federated Learning (FL) and Differential Privacy (DP) to enhance data protection within IoMT. By integrating FL’s decentralized approach with DP’s mechanism to prevent data reconstruction from model outputs, we can improve data confidentiality. This integrated approach is used to develop and analyze high-performing Convolutional Neural Networks (CNNs) for detecting Tuberculosis using chest X-ray datasets. The framework undergo thorough performance evaluation, utilizing various metrics to establish its superiority over baseline models. The results demonstrate the effectiveness of our framework as a robust solution for secure and private AI applications in healthcare.","This study proposes a Federated Learning framework integrating Differential Privacy to enhance data protection in IoMT applications, improving data confidentiality and developing high-performing CNNs for Tuberculosis detection using chest X-ray datasets with robust performance evaluation."
"Recent methodological advances in federated learning for healthcare","https://scispace.com/paper/recent-methodological-advances-in-federated-learning-for-19x6y7u49q","2024","Journal Article","Patterns","Fan Zhang
Daniel Kreuter
Yi‐Chen Chen
Sören Dittmer
Samuel Tull
Tolou Shadbahr
Martijn C. Schut
Folkert W. Asselbergs
Sujoy Kumar Kar
Suthesh Sivapalaratnam
Sophie Williams
Mickey Koh
Yvonne Henskens
Bart de Wit
Umberto D’Alessandro
Bubacarr Bah
Ousman Secka
Parashkev Nachev
Rajeev Gupta
Sara Trompeter
Nancy Boeckx
Christine van Laer
Gordon A. Awandare
Kwabena Sarpong
Lucas Amenga–Etego
Mathie P.G. Leers
Mirelle Huijskens
Samuel McDermott
Willem H. Ouwehand
James H.F. Rudd
Carola-Bibiane Schönlieb
Nicholas Gleadall
Michael Roberts
Jacobus Preller
James H.F. Rudd
John A. D. Aston
Carola-Bibiane Schönlieb
Nicholas Gleadall
Michael Roberts","10.1016/j.patter.2024.101006","","For healthcare datasets, it is often impossible to combine data samples from multiple sites due to ethical, privacy, or logistical concerns. Federated learning allows for the utilization of powerful machine learning algorithms without requiring the pooling of data. Healthcare data have many simultaneous challenges, such as highly siloed data, class imbalance, missing data, distribution shifts, and non-standardized variables, that require new methodologies to address. Federated learning adds significant methodological complexity to conventional centralized machine learning, requiring distributed optimization, communication between nodes, aggregation of models, and redistribution of models. In this systematic review, we consider all papers on Scopus published between January 2015 and February 2023 that describe new federated learning methodologies for addressing challenges with healthcare data. We reviewed 89 papers meeting these criteria. Significant systemic issues were identified throughout the literature, compromising many methodologies reviewed. We give detailed recommendations to help improve methodology development for federated learning in healthcare. ","Recent methodological advances in federated learning for healthcare face challenges due to data siloing, class imbalance, missing data, distribution shifts, and non-standardized variables. The methodologies reviewed require distributed optimization, communication between nodes, aggregation of models, and redistribution of models. Significant systemic issues were identified throughout the literature, compromising many methodologies reviewed."
"Communication-Efficient Hybrid Federated Learning for E-Health With Horizontal and Vertical Data Partitioning.","https://scispace.com/paper/communication-efficient-hybrid-federated-learning-for-e-5fx4f2xdhu","2024","Journal Article","IEEE transactions on neural networks and learning systems","Chong Yu
Shuaiqi Shen
Shiqiang Wang
Kuan Zhang","10.1109/tnnls.2024.3383748","https://scispace.compdf/communication-efficient-hybrid-federated-learning-for-e-5fx4f2xdhu.pdf","Electronic healthcare (e-health) allows smart devices and medical institutions to collaboratively collect patients' data, which is trained by artificial intelligence (AI) technologies to help doctors make diagnosis. By allowing multiple devices to train models collaboratively, federated learning is a promising solution to address the communication and privacy issues in e-health. However, applying federated learning in e-health faces many challenges. First, medical data are both horizontally and vertically partitioned. Since single horizontal federated learning (HFL) or vertical federated learning (VFL) techniques cannot deal with both types of data partitioning, directly applying them may consume excessive communication cost due to transmitting a part of raw data when requiring high modeling accuracy. Second, a naive combination of HFL and VFL has limitations including low training efficiency, unsound convergence analysis, and lack of parameter tuning strategies. In this article, we provide a thorough study on an effective integration of HFL and VFL, to achieve communication efficiency and overcome the above limitations when data are both horizontally and vertically partitioned. Specifically, we propose a hybrid federated learning framework with one intermediate result exchange and two aggregation phases. Based on this framework, we develop a hybrid stochastic gradient descent (HSGD) algorithm to train models. Then, we theoretically analyze the convergence upper bound of the proposed algorithm. Using the convergence results, we design adaptive strategies to adjust the training parameters and shrink the size of transmitted data. The experimental results validate that the proposed HSGD algorithm can achieve the desired accuracy while reducing communication cost, and they also verify the effectiveness of the adaptive strategies.","A hybrid federated learning framework with one intermediate result exchange and two aggregation phases is proposed and a hybrid stochastic gradient descent (HSGD) algorithm is developed to train models to achieve communication efficiency and overcome the above limitations when data are both horizontally and vertically partitioned."
"Energy-Efficient and Privacy-Preserving Blockchain Based Federated Learning for Smart Healthcare System","https://scispace.com/paper/energy-efficient-and-privacy-preserving-blockchain-based-490lo1rdcz","","Journal Article","IEEE Transactions on Services Computing","Moirangthem Biken Singh
Himanshu Singh
Ajay Pratap","10.1109/tsc.2023.3332955","","The privacy-focused concept of Federated Learning (FL) allows local data processing without disclosing patients’ health details to a central server. However, its vulnerability to privacy breaches through shared model weights and susceptibility to a single point of failure remain concerns. Energy constraints of Wireless Body Area Networks (WBANs) necessitate considering computation and transmission energy in the FL process. Thus, this article introduces a smart healthcare system prioritizing energy efficiency and privacy through a blockchain-backed FL model. Yet, WBAN users might be unwilling to share data without adequate incentives, and miners might hesitate due to the high energy usage associated with maintaining the blockchain. Therefore, an optimization problem is formulated to maximize system utility while considering energy, WBAN incentives, miner revenue, and FL loss. A computationally efficient stable matching-based algorithm is proposed for optimizing utility via associating WBANs and miners. Associated WBANs use Quantized Neural Networks (QNNs) to minimize computation energy. Moreover, this work integrates Differential Privacy (DP) and Homomorphic Encryption (HE) mechanisms to prevent information leakage by adding noise to gradients before updating model weights and encrypting consequences before transmitting them to miners. Real-world experiments validate the framework, yielding an average of 15.1%, 9.03%, and 15.35% improvements over existing methods. ","This study proposes an energy-efficient and privacy-preserving blockchain-based federated learning framework for smart healthcare systems, incorporating Quantized Neural Networks, Differential Privacy, and Homomorphic Encryption to optimize utility and minimize energy consumption."
"A comprehensive review on Federated Learning for Data-Sensitive Application: Open issues & challenges","https://scispace.com/paper/a-comprehensive-review-on-federated-learning-for-data-45znruhe5h","2024","Journal Article","Engineering Applications of Artificial Intelligence","Manu Narula
Jasraj Meena
Dinesh Kumar Vishwakarma","10.1016/j.engappai.2024.108128","","Artificial intelligence employs Machine Learning (ML) and Deep Learning (DL) to analyze data. In both, the data is stored centrally. The data involved may be sensitive and leakage may incur consequences. Applications dealing with intimate data, with critical results, cannot afford this risk and are termed Data-Sensitive Applications (DSA). Some examples are healthcare, finance, etc. The data required for DSA cannot be stored centrally due to large amounts, or isolated data islands. The ML and DL techniques following a data-centralized approach have difficulties in handling the scattered data frequently associated with DSA. Federated Learning (FL) acknowledges the scattered data and provides a more secure and efficient way to analyze such data. This motivates previously reluctant entities like banks to collaborate for variety and quantity of data. Most DSA transitioned to FL, but the migration is not without concerns. These include communication costs, heterogeneity, and malicious attacks. In this paper, we deeply analyze the role of FL in DSA and provide a taxonomy for the studies and implementations of FL. Then we provide an insight into DSA covering works in healthcare and finance. A glance is provided at attempts in non-DSA with possible DSA applications. Finally, we discuss FL's open issues and challenges with their possible solutions. ","This paper reviews Federated Learning's role in Data-Sensitive Applications, highlighting its secure and efficient data analysis capabilities, while discussing open issues and challenges, including communication costs, heterogeneity, and malicious attacks."
"FedMCC: Federated Multi-Center Clustering Algorithm to Improve Privacy Healthcare.","https://scispace.com/paper/fedmcc-federated-multi-center-clustering-algorithm-to-284j6mmbgs","2023","Journal Article","Methods","Zhiwei An
Jinli Zhang
Zongli Jiang
Jinlian Du
Zhiyi Yin
Chen Li","10.1016/j.ymeth.2023.07.006","","In recent years, healthcare data from various sources such as clinical institutions, patients, and pharmaceutical industries have become increasingly abundant. However, due to the complex healthcare system and data privacy concerns, aggregating and utilizing these data in a centralized manner can be challenging. Federated learning (FL) has emerged as a promising solution for distributed training in edge computing scenarios, utilizing on-device user data while reducing server costs. In traditional FL, a central server trains a global model sampled client data randomly, and the server combines the collected model from different clients into one global model. However, for not independent and identically distributed (non-i.i.d.) datasets, randomly selecting users to train server is not an optimal choice and can lead to poor model training performance. To address this limitation, we propose the Federated Multi-Center Clustering algorithm (FedMCC) to enhance the robustness and accuracy for all clients. FedMCC leverages the Model-Agnostic Meta-Learning (MAML) algorithm, focusing on training a robust base model during the initial training phase and better capturing features from different users. Subsequently, clustering methods are used to ensure that features among users within each cluster are similar, approximating an i.i.d. training process in each round, resulting in more effective training of the global model. We validate the effectiveness and generalizability of FedMCC through extensive experiments on public healthcare datasets. The results demonstrate that FedMCC achieves improved performance and accuracy for all clients while maintaining data privacy and security, showcasing its potential for various healthcare applications. ","FedMCC leverages the Model-Agnostic Meta-Learning (MAML) algorithm, focusing on training a robust base model during the initial training phase and better capturing features from different users, to enhance the robustness and accuracy for all clients."
"FedKC: Personalized Federated Learning With Robustness Against Model Poisoning Attacks in the Metaverse for Consumer Health","https://scispace.com/paper/fedkc-personalized-federated-learning-with-robustness-551in5plgm","","Journal Article","IEEE Transactions on Consumer Electronics","Le Sun
Ghulam Muhammad","10.1109/tce.2024.3386932","","The revolutionary changes in digital healthcare have emerged as a pivotal force driving transformation in the healthcare industry. The metaverse for consumer health utilizes technologies such as virtual reality, digital twins, and big data analysis to facilitate intelligent healthcare image analysis, remote medical consultations, and other services, propelling advancements in healthcare systems. The introduction of federated learning ensures the privacy of metaverse users. However, due to data heterogeneity, consumers exhibit distinct data distributions, impacting the quality of healthcare services. Furthermore, malicious users' attacks on the model lead to inadequate diagnoses. All these challenges may overwhelm traditional methods. To resolve these challenges, we propose FedKC, a personalized federated learning algorithm with robustness against model poisoning attacks in the Consumer Health Metaverse. Furthermore, new users joining the metaverse can quickly receive customized medical services through FedKC. Extensive experiments across multiple datasets demonstrate that FedKC outperforms current algorithms in thwarting harmful attacks and enhancing client personalization capabilities. ","This study proposes FedKC, a personalized federated learning algorithm, to address data heterogeneity and model poisoning attacks in the Consumer Health Metaverse, ensuring robust and customized medical services for users while thwarting malicious attacks."
