"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Reducing Domain Gap in Frequency and Spatial domain for Cross-modality
  Domain Adaptation on Medical Image Segmentation","https://scispace.com/paper/reducing-domain-gap-in-frequency-and-spatial-domain-for-199dn4a5","2022","Posted Content","","","10.48550/arxiv.2211.15235","https://scispace.com/pdf/reducing-domain-gap-in-frequency-and-spatial-domain-for-199dn4a5.pdf","Unsupervised domain adaptation (UDA) aims to learn a model trained on source domain and performs well on unlabeled target domain. In medical image segmentation field, most existing UDA methods depend on adversarial learning to address the domain gap between different image modalities, which is ineffective due to its complicated training process. In this paper, we propose a simple yet effective UDA method based on frequency and spatial domain transfer uner multi-teacher distillation framework. In the frequency domain, we first introduce non-subsampled contourlet transform for identifying domain-invariant and domain-variant frequency components (DIFs and DVFs), and then keep the DIFs unchanged while replacing the DVFs of the source domain images with that of the target domain images to narrow the domain gap. In the spatial domain, we propose a batch momentum update-based histogram matching strategy to reduce the domain-variant image style bias. Experiments on two cross-modality medical image segmentation datasets (cardiac, abdominal) show that our proposed method achieves superior performance compared to state-of-the-art methods. ","Title: Reducing Domain Gap in Frequency and Spatial domain for Cross-modality Domain Adaptation on Medical Image Segmentation Authors: Shaolei Liu,Siqi Yin,Linhao Qu,Manning Wang Introduction:
 Deep learning has a wide range of applications in the medical field, including image segmentation , classification , detection , etc. The success of deep learning heavily depends on large amount of annotated data for model training, but the pixel-level annotation of medical images for segmentation is expensive and time-consuming, because the annotation usually can only be done by experienced radiologists. To tackle the difficulty of obtaining new annotated datasets, one solution is to utilize other annotated datasets . However, the differences on imaging principles and equipment parameters (scanners, protocols and modalities) lead to domain gap between datasets, and the performance of a model trained on one domain tends to deteriorate when it is directly used in another domain . Unsupervised domain adaptation (UDA) is the technique to address this problem by training a network with labeled source domain data and unlabeled target domain data, aiming at improving the performance on target domain . Introduction:
 The main objective of UDA is to minimize the influence of domain gap on the performance of the trained model in the target domain, which can be realized by either generating target-like images for model training or encouraging the model to focus on domain-invariant information instead of domain-variant information. In the UDA for medical image segmentation, most studies leverage adversarial learning to stylize source-domain images at the image level  to generate target-like images for model training. Other studies apply adversarial learning at the feature level to maximize the confusion between representations in source and target domains to make the model learn domain invariant representations . Although satisfactory results have been achieved, the adversarial training process is complicated and is prone to collapse. Introduction:
 In recent years, several UDA methods without using adversarial learning have been developed in the CV field, which can be divided into two categories: spatial domainbased methods and frequency domain-based methods. Spatial domain-based methods generate target-like images by simple cutmix-like region replacement ), statistical information adjustment  or histogram matching . Frequency domain-based methods first transform images into frequency components by Discrete Fourier Transform (DFT)  or Discrete Cosine Transform (DCT) ) and narrow domain gap by manipulating the frequency components. These methods have yielded promising results in the CV field, but no studies have been explored in medical image analysis."
"Application of Unsupervised Domain Adaptation for Structural MRI
  Analysis","https://scispace.com/paper/application-of-unsupervised-domain-adaptation-for-structural-37ryqicu","2022","Posted Content","","Rafael Harnos","10.48550/arxiv.2212.12986","https://scispace.com/pdf/application-of-unsupervised-domain-adaptation-for-structural-37ryqicu.pdf","The primary goal of this work is to study the effectiveness of an unsupervised domain adaptation approach for various applications such as binary classification and anomaly detection in the context of Alzheimer's disease (AD) detection for the OASIS datasets. We also explore image reconstruction and image synthesis for analyzing and generating 3D structural MRI data to establish performance benchmarks for anomaly detection. We successfully demonstrate that domain adaptation improves the performance of AD detection when implemented in both supervised and unsupervised settings. Additionally, the proposed methodology achieves state-of-the-art performance for binary classification on the OASIS-1 dataset. ","Title: Application of Unsupervised Domain Adaptation for Structural MRI Analysis Authors: Pranath Reddy Keywords: ML in Medicine, Deep Learning, Classification, Anomaly Detection, Domain Adaptation I. INTRODUCTION:
 Alzheimer's disease (AD), one of the most prevalent degenerative conditions, is a degenerative dementia that begins with minor memory loss and gradually escalates to a complete loss of mental and physical capacities. For the patient's health, a diagnosis should be made as soon as possible so that treatment and preventative measures can be commenced. A thorough and comprehensive medical evaluation involving an array of psychological and physical testing is necessary to diagnose AD. The ability and expertise of the clinician have a direct impact on the precision of the psychological and cognitive tests, and a magnetic resonance imaging (MRI) medical data analysis is necessary for a conclusive medical diagnosis of AD. Medical specialists are in responsibility of evaluating and interpreting medical data, however due to the data subjectivity and complexity, this procedure is particularly complex and constrained for a medical specialist. Consequently, there is a need for the development of quick and efficient diagnostic tools, and machine learning (ML) can be employed for this. I. INTRODUCTION:
 The ability of the computer to learn from experience without explicit programming has improved thanks to machine learning approaches. For classification, regression, clustering, and dimensionality reduction in a variety of applications like image processing, predictive analytics, and data mining, machine learning approaches are applied. In the field of medical imaging research, machine learning (ML) is frequently used and produces outstanding results in tasks like segmentation, regression, classification, etc. Medical image analysis tasks seldom have access to such expansive datasets, unlike some visual image datasets like ImageNet, which offer large-scale annotated examples for developing models for tasks like object detection. Using pre-trained models for some related domains using the transfer learning method is a practical and effective solution. I. INTRODUCTION:
 This study deals with a specific type of transfer learning approach called domain adaptation. Domain adaptation is a very effective learning technique that has been used for analyzing medical image data . In this project, we will be focusing on studying 3D structural MRI brain scans in the context of Alzheimer's disease classification. Real-world medical datasets are prone to being filled with unlabeled and ill-labeled samples, which makes working with them very challenging. The process of labeling medical images is typically expensive, time-consuming, and laborintensive, necessitating the involvement of doctors, radiologists, and other experts. Where transfer learning strategies like domain adaptation may be useful is in this situation. While there has been a lot of work related to the development of novel classification algorithms for Alzheimer's detection and classification, the study of interoperability and reusability of such models is often ignored, and this is very important since a model that performs well on one dataset might not replicate that performance when tested on a different dataset, and the samples themselves can be very different with a large domain gap between them, and domain adaptation could be useful in mitigating problems associated with domain shift."
"Why does my medical AI look at pictures of birds? Exploring the efficacy
  of transfer learning across domain boundaries","https://scispace.com/paper/why-does-my-medical-ai-look-at-pictures-of-birds-exploring-1g3as0u5","2023","Posted Content","","","10.48550/arxiv.2306.17555","https://scispace.com/pdf/why-does-my-medical-ai-look-at-pictures-of-birds-exploring-1g3as0u5.pdf","It is an open secret that ImageNet is treated as the panacea of pretraining. Particularly in medical machine learning, models not trained from scratch are often finetuned based on ImageNet-pretrained models. We posit that pretraining on data from the domain of the downstream task should almost always be preferred instead. We leverage RadNet-12M, a dataset containing more than 12 million computed tomography (CT) image slices, to explore the efficacy of self-supervised pretraining on medical and natural images. Our experiments cover intra- and cross-domain transfer scenarios, varying data scales, finetuning vs. linear evaluation, and feature space analysis. We observe that intra-domain transfer compares favorably to cross-domain transfer, achieving comparable or improved performance (0.44% - 2.07% performance increase using RadNet pretraining, depending on the experiment) and demonstrate the existence of a domain boundary-related generalization gap and domain-specific learned features. ","scans. However, this limitation is only of theoretical concern, as all practical tasks in image-guided medical machine learning come with this caveat. Conclusions & Outlook: We summarize a general set of rules for optimal transfer learning performance, based on our experiments: Conclusions & Outlook:
 • Intra-domain transfer learning typically outperforms cross-domain transfer learning by at least a small margin in performance. Occasionally, this is accompanied by increased convergence speed. In short, ""My medical AI should be looking at pictures of tumors instead of birds to learn about tumors."" • The higher the downstream task's complexity, the more valuable intra-domain pretraining becomes. • Large-scale pretraining almost always results in performance gains. We observed no performance saturation for further upscaling of the pretraining in many scenarios, with RadNet-12M-pretrained models often outperforming ImageNet-1k-pretrained models. Conclusions & Outlook:
 This insight is particularly relevant for clinical settings, where plentiful data from the same imaging modality are often available but very costly to annotate. This data should be leveraged in unsupervised pretraining where possible. • There is no ""one size fits all"" solution. Using ImageNet as a default pretraining dataset is suitable. However, if the best possible performance on that task is more relevant than a quick solution, there is no substitute for testing multiple pretraining datasets, particularly from the same data domain as the task. • We observed that the generalization gap varies very nuancedly; Even the target class or metric, e.g. liver vs. lesion on the LiTS task, can be relevant for the choice of pretraining dataset. Conclusions & Outlook:
 In future work, we plan to extend RadNet-12M with additional data from other modalities, such as MRI and X-rays. We also plan to pretrain additional architectures using RadNet and publish their model weights. Further, we believe that research extending our work to other pretraining algorithms and supervised scenarios constitutes a promising research direction, which would address some of the limitations of this work. Creating large-scale models pretrained on a previously untapped wealth of unlabeled clinical images will be of great value to the exponentially growing, yet notoriously data-starved  field of medical computer vision."
"Explainable, Domain-Adaptive, and Federated Artificial Intelligence in
  Medicine","https://scispace.com/paper/explainable-domain-adaptive-and-federated-artificial-12vynjtr","2022","Posted Content","","","10.48550/arxiv.2211.09317","https://scispace.com/pdf/explainable-domain-adaptive-and-federated-artificial-12vynjtr.pdf","Artificial intelligence (AI) continues to transform data analysis in many domains. Progress in each domain is driven by a growing body of annotated data, increased computational resources, and technological innovations. In medicine, the sensitivity of the data, the complexity of the tasks, the potentially high stakes, and a requirement of accountability give rise to a particular set of challenges. In this review, we focus on three key methodological approaches that address some of the particular challenges in AI-driven medical decision making. (1) Explainable AI aims to produce a human-interpretable justification for each output. Such models increase confidence if the results appear plausible and match the clinicians expectations. However, the absence of a plausible explanation does not imply an inaccurate model. Especially in highly non-linear, complex models that are tuned to maximize accuracy, such interpretable representations only reflect a small portion of the justification. (2) Domain adaptation and transfer learning enable AI models to be trained and applied across multiple domains. For example, a classification task based on images acquired on different acquisition hardware. (3) Federated learning enables learning large-scale models without exposing sensitive personal health information. Unlike centralized AI learning, where the centralized learning machine has access to the entire training data, the federated learning process iteratively updates models across multiple sites by exchanging only parameter updates, not personal health data. This narrative review covers the basic concepts, highlights relevant corner-stone and state-of-the-art research in the field, and discusses perspectives. ","cross-modality DA between MRI and CT images has been applied using the synergistic image and feature alignment framework (SIFA) . Despite the practicability of DA, there are always remaining risks of inherent biases in the data or unfairness in models . B. Domain-adaptive artificial intelligence:
 c) Single-and multi-source domain adaptation: Depending on the number of source domains, it is possible to classify DA into single-source DA (SDA), multi-source DA (MDA) and source-free DA . For example, trained models using single-source domains lack generalization. Multi-source DA collects labeled data from multiple sources with different distributions  and implicitly learn to be robust. For example, MDA learning can alleviate the difficulties caused by aligning multimodal characteristics between multiple domains . Although MDA is advanced, MDA applications are challenging due to the heterogeneity of data between domains. For this reason, most existing studies are based on SDA . Another issue could be related to the source domains, cause to data privacy or lack of storage space for small devices . A generalized source-free domain adaptation (G-SFDA) was proposed to possess source domain features via transfer learning . B. Domain-adaptive artificial intelligence:
 d) One-and multi-step DA: On the basis of the distance between the source and the target domain, domain adaptation methods can be roughly categorized into two types: one-step and multistep domain adaptation methods. The one-step DA methods often simply align the feature distributions of the two domains by minimizing their distances. But it is difficult for the network to minimize the huge domain discrepancy. Specifically, in remote domain transfer learning, when the distance between the source domain and the target domain is too long , it is impossible to achieve and can even affect the performance of the learning model in the target domain. This situation is called negative transfer . In order to avoid this situation, it is necessary to find an ""intermediate bridge"" to connect the source and the target domain. That is called multistep DA. It can be transformed into one-step domain adaptation by choosing an appropriate intermediate domain. B. Domain-adaptive artificial intelligence:
 For example, through efficient instance selection, transfer features are successfully applied between remote domains and effectively solve the remote domain problem . B. Domain-adaptive artificial intelligence:
 e) Shallow and deep DA: According to the type of model, we can divide the DA method into shallow and deep DA. Usually, shallow DA leverages feature engineering and is used with traditional machine learning. But few timely reviews the emerging deep learning based methods. Unlike the shallow DA, deep DA methods can leverage deep networks to learn more transferable representations by embedding DA in a deep learning pipeline . In addition, deep DA integrates a feature into the learning model to improve performance metrics . B. Domain-adaptive artificial intelligence:
 These methods may reduce the differences in the domain that can have a positive impact in clinical research. Specifically, more effort is required to fully apply such methods in clinical topics to avoid bias. C. Federated learning:
 Federated Learning (FL) is a way of distributed collaborative machine learning in which the training data is not shared. This concept of data-private collaborative learning , that initially was motivated in the context of mobile devices in which each one has only a small fraction of the data, equally applies to medical application in which the data is distributed across hospitals ."
"Curriculum-Based Augmented Fourier Domain Adaptation for Robust Medical
  Image Segmentation","https://scispace.com/paper/curriculum-based-augmented-fourier-domain-adaptation-for-80fhakkc","2023","Posted Content","","","10.48550/arxiv.2306.03511","https://scispace.com/pdf/curriculum-based-augmented-fourier-domain-adaptation-for-80fhakkc.pdf","Accurate and robust medical image segmentation is fundamental and crucial for enhancing the autonomy of computer-aided diagnosis and intervention systems. Medical data collection normally involves different scanners, protocols, and populations, making domain adaptation (DA) a highly demanding research field to alleviate model degradation in the deployment site. To preserve the model performance across multiple testing domains, this work proposes the Curriculum-based Augmented Fourier Domain Adaptation (Curri-AFDA) for robust medical image segmentation. In particular, our curriculum learning strategy is based on the causal relationship of a model under different levels of data shift in the deployment phase, where the higher the shift is, the harder to recognize the variance. Considering this, we progressively introduce more amplitude information from the target domain to the source domain in the frequency space during the curriculum-style training to smoothly schedule the semantic knowledge transfer in an easier-to-harder manner. Besides, we incorporate the training-time chained augmentation mixing to help expand the data distributions while preserving the domain-invariant semantics, which is beneficial for the acquired model to be more robust and generalize better to unseen domains. Extensive experiments on two segmentation tasks of Retina and Nuclei collected from multiple sites and scanners suggest that our proposed method yields superior adaptation and generalization performance. Meanwhile, our approach proves to be more robust under various corruption types and increasing severity levels. In addition, we show our method is also beneficial in the domain-adaptive classification task with skin lesion datasets. The code is available at https://github.com/lofrienger/Curri-AFDA. ","for Medical Image Classification: As shown in Table V, our method yields the best overall result of f1 score on the skin lesion datasets. This demonstrates that our methods are also supportive of the domain-adaptive medical image classification task in addition to segmentation. VII. CONCLUSION AND DISCUSSION:
 This work proposes the Curriculum-based Augmented Fourier Domain Adaptation (Curri-AFDA) and proves to achieve superior adaptation, generalization, and robustness performance for medical image segmentation. Specifically, we design a novel curriculum strategy to progressively transfer amplitude information in the Fourier space from the target domain to the source domain to mitigate domain gaps and incorporate the chained augmentation mixing to further improve the generalization and robustness ability. Our method is naturally modality-independent due to its independence on any particular properties of the imaging modality. Without additional trainable parameters, extensive experiments on two segmentation tasks with multiple-domain datasets of two image modalities demonstrate the efficacy of our method on top of both the classical CNN (UNet ) and recent transformer (Swin-UNet ) architectures. Specially, we consider the crucial yet rarely explored topic in medical image analysis, i.e., the robustness performance with the synthetic dataset generated by different types and levels of corruptions, and also observe the superior results of our method. Additionally, our method can also contribute to medical image classification besides segmentation, indicating its potential for broader medical applications. VII. CONCLUSION AND DISCUSSION:
 Future research may focus on designing more flexible and automatic scheduling functions to update the amplitude scaling coefficient which adjusts the amplitude fusion area. In addition, the weighting coefficient which controls the merging ratio between images can also be involved when designing the curriculum strategy. Besides the training-time Domain Adaptation, test-time Domain Adaptation ,  is also worth to be explored by integrating the Fourier-based cross-domain information fusion and the chained augmentation mixing."
"Adversarial and Random Transformations for Robust Domain Adaptation and
  Generalization","https://scispace.com/paper/adversarial-and-random-transformations-for-robust-domain-15657fyn","2022","Posted Content","","","10.48550/arxiv.2211.06788","https://scispace.com/pdf/adversarial-and-random-transformations-for-robust-domain-15657fyn.pdf","Data augmentation has been widely used to improve generalization in training deep neural networks. Recent works show that using worst-case transformations or adversarial augmentation strategies can significantly improve the accuracy and robustness. However, due to the non-differentiable properties of image transformations, searching algorithms such as reinforcement learning or evolution strategy have to be applied, which are not computationally practical for large scale problems. In this work, we show that by simply applying consistency training with random data augmentation, state-of-the-art results on domain adaptation (DA) and generalization (DG) can be obtained. To further improve the accuracy and robustness with adversarial examples, we propose a differentiable adversarial data augmentation method based on spatial transformer networks (STN). The combined adversarial and random transformations based method outperforms the state-of-the-art on multiple DA and DG benchmark datasets. Besides, the proposed method shows desirable robustness to corruption, which is also validated on commonly used datasets. ","the mean accuracy. The results of multi-source domain adaptation and domain generalization which take photo, cartoon and sketch as the source domains and art_painting as the target domain are reported in Figure . Resnet-18 is used as the base network. Ablation study on hyperparameters setting:
 From the figures, we can see that when both λ c and λ t are not too large, the accuracies are relatively stable, validating the insensitiveness of our proposed method to hyperparameters. However, when λ c and λ t grow too large, the performance decreases, especially with a small λ c and a large λ t . The reason maybe that overwhelmingly large weights for consistency loss and adversarial spatial transformer loss over the main classification loss make the learned feature less discriminative for the main classification task, therefore resulting in lower accuracy. And too large λ t may lead to excessive emphasis on the extreme geometric distortions, which may be harmful to the general cross domain performance. Visualization of learned deep features:
 To better understand the learned domain invariant feature representations, we use t-SNE  to conduct an embedding visualization. We conduct experiments on transfer task of photo, cartoon, sketch → art_painting with both DA and DG settings and visualize the feature embeddings. Figure4 shows the visualization on PACS DA setting, and Figure5 shows the visualization on PACS DG setting. On both figures, we visualize category alignment as well as domain alignment. We also compare to the baseline Deep All which does not apply any adaptation. Visualization of learned deep features:
 From the visualization of the embeddings, we can see that the clusters created by our model not only separates the categories but also mixes the domains. The visualization from DG model suggests that our proposed method is able to learn feature representations generalizable to unseen domains. It also implies that the proposed method can effectively learn domain invariant representation with unlabeled target domain examples. Conclusion:
 In this work, we proposed a unified framework for addressing both domain adaptation and generalization problems. Our domain adaptation and generalization methods are built upon random image transformation"
"Generalizability of Deep Adult Lung Segmentation Models to the Pediatric
  Population: A Retrospective Study","https://scispace.com/paper/generalizability-of-deep-adult-lung-segmentation-models-to-qd8cpnib","2022","Posted Content","","","10.48550/arxiv.2211.02475","https://scispace.com/pdf/generalizability-of-deep-adult-lung-segmentation-models-to-qd8cpnib.pdf","Lung segmentation in chest X-rays (CXRs) is an important prerequisite for improving the specificity of diagnoses of cardiopulmonary diseases in a clinical decision support system. Current deep learning models for lung segmentation are trained and evaluated on CXR datasets in which the radiographic projections are captured predominantly from the adult population. However, the shape of the lungs is reported to be significantly different across the developmental stages from infancy to adulthood. This might result in age-related data domain shifts that would adversely impact lung segmentation performance when the models trained on the adult population are deployed for pediatric lung segmentation. In this work, our goal is to (i) analyze the generalizability of deep adult lung segmentation models to the pediatric population and (ii) improve performance through a stage-wise, systematic approach consisting of CXR modality-specific weight initializations, stacked ensembles, and an ensemble of stacked ensembles. To evaluate segmentation performance and generalizability, novel evaluation metrics consisting of mean lung contour distance (MLCD) and average hash score (AHS) are proposed in addition to the multi-scale structural similarity index measure (MS-SSIM), the intersection of union (IoU), Dice score, 95% Hausdorff distance (HD95), and average symmetric surface distance (ASSD). Our results showed a significant improvement (p < 0.05) in cross-domain generalization through our approach. This study could serve as a paradigm to analyze the cross-domain generalizability of deep segmentation models for other medical imaging modalities and applications. ","sub-optimal generalization. Further, this domain shift might lead to poor performance, if not failure, when these models are deployed in expert systems, which can potentially degrade people's trust in the model, and threaten clinical decisions and bestpractice recommendations. INTRODUCTION:
 This study aims to analyze age-related domain generalization, i.e., the generalizability of deep adult lung segmentation models to the pediatric population. Fig.  illustrates the workflow of age-related domain generalization in the context of our study. Here, the widely used Shenzhen, Montgomery, and JSRT CXR collections represent the multiple source domains and a private pediatric CXR collection  represents the unseen target domain. We aim to evaluate age-related domain generalization, i.e., analyzing if the DL models trained on multiple source domains containing the CXRs captured from the adult population would generalize to an unseen pediatric CXR collection. RELATED LITERATURE AND CONTRIBUTIONS OF THE STUDY:
 Recent research has demonstrated the importance of domain generalization in medical image analysis and provided insight into the techniques used to achieve domain generalization in DL models, particularly when trained and evaluated on medical imaging datasets that often have limited sample sizes, high levels of variability, and complex underlying structures. A novel transfer learning method based on instance-level adaptation was proposed in the literature  to improve generalization. With limited data availability, the proposal demonstrated superior performance on unseen target domains compared to conventional transfer learning methods. In another study , the authors proposed a method to manipulate the data and improve domain generalization. The data was augmented to generate novel imaging domains that improved the training set's diversity. In another study , the authors measured the representation shift that quantified the magnitude of domain shift in a tumor classification task. The authors observed that the representation shift correlated with reduced performance during cross-domain evaluation and helped evaluate the sensitivity of the model to domain variations. RELATED LITERATURE AND CONTRIBUTIONS OF THE STUDY:
 A variety of domain generalization solutions are proposed in the literature in the context of CXR image analysis. In , the authors empirically demonstrated model generalization issues due to label shifts. They observed that the external test data was inadequately represented in the training and even high-performing models disagreed with their predictions. In another study , the authors trained CNN-based models on publicly available CXR datasets to classify them as showing pneumoniaconsistent manifestations or normal lungs. A significant reduction in performance was reported using crossinstitutional test sets compared to the internal test sets. In a recent study , the authors trained DL models to classify the pediatric CXRs as showing pneumonia-consistent manifestations or normal lungs and evaluated model generalization using external test sets. They observed that the models delivered a superior performance with the internal test set but had a significantly lower performance with an external test set. A semi-supervised regularization method was proposed in the literature . This method used the stability and orthogonality of the learned features to alleviate domain generalization issues in a CXR classification task. All these prior works demonstrate the importance of domain generalization in medical imaging and propose innovative methods for improving the generalization performance of DL models across different domains."
"A Review of Causality for Learning Algorithms in Medical Image Analysis","https://scispace.com/paper/a-review-of-causality-for-learning-algorithms-in-medical-moei42b1","2022","Posted Content","","","10.48550/arxiv.2206.05498","https://scispace.com/pdf/a-review-of-causality-for-learning-algorithms-in-medical-moei42b1.pdf","Medical image analysis is a vibrant research area that offers doctors and medical practitioners invaluable insight and the ability to accurately diagnose and monitor disease. Machine learning provides an additional boost for this area. However, machine learning for medical image analysis is particularly vulnerable to natural biases like domain shifts that affect algorithmic performance and robustness. In this paper we analyze machine learning for medical image analysis within the framework of Technology Readiness Levels and review how causal analysis methods can fill a gap when creating robust and adaptable medical image analysis algorithms. We review methods using causality in medical imaging AI/ML and find that causal analysis has the potential to mitigate critical problems for clinical translation but that uptake and clinical downstream research has been limited so far. ","discovery of medical biomarkers in brain MRI volumes. Generative methods: Finally ) use deep diffusion model to ask counterfactual questions and generate hard to obtain medical scans. These, in turn, are used to augment existing datasets for other downstream tasks. Domain Generalization:
 One of the most promising areas where causal reasoning can be applied in the field of medical imaging is Domain Adaptation and Out-of-Distribution detection, directly associated with TRL 6.4. If we model the generative process that results in a medical image and include factors like the medical history, the disease, imaging domain, etc. we can then go on and interpret domain generalization and adaptation as a model that is able to perform well under different treatments in the imaging domain parameter, as argued by . In their paper Huang et al model domain adaptation as a non stationary change in the underlying causal graph and propose methods to identify and resolve these changes.  analyze the domain shifts experienced in clinical deployment of AIML algorithms from a causal perspective and then proceed to investigate and benchmark eight popular methods of domain generalization. They find that domain generalization methods fail to provide any improvement in performance over empirical risk minimization in situations where we find sampling bias. Similarly  model the causal relationships leading to the medical images and create synthetic datasets in order to evaluate the transportability of methods to external settings where interventions on factors like ages, sex and medical metrics have been performed.  apply a causal analysis on the problem of domain generalization in segmentation of medical images. They first simulate shifted domain images via a randomly weighted shallow network; then they intervene upon the images such that spurious correlations are removed and finally train their segmentation model while enforcing a domain invariance condition.  develop a method to reuse adversarial mask discriminators for test-time training to combat distribution shifts in medical image segmentation tasks. In their discussion of their method they explain the good performance of their method under a causal lens. Finally  build a causal Bayesian prior to aide MRI tissue segmentation to generalize across different medical centers."
"Domain Generalization and Adaptation with Generative Modeling and Representation Learning","https://scispace.com/paper/domain-generalization-and-adaptation-with-generative-3netsdog2b","2021","","","Jaideep Vitthal Murkute","","https://scispace.com/pdf/domain-generalization-and-adaptation-with-generative-3netsdog2b.pdf","","adaptation, by considering the 'group' information as the domain related information. For this study, we will limit to the computer vision application and the task of object classification; however, we proposed methods and learning can be extended to other application areas. Objectives:
 The core objective of this work is to build a domain generalization and adaptation framework by leveraging generative modeling, and in particular VAEs, which is the area less explored. Not many in depth studies exist on this topic that visually analyze the representations learned by the networks in detail. We also plan to perform in-depth ablation study of the effectiveness of components of the framework developed. For the domain adaptation method, we aim to build a method that can adapt to any number of (≥ 1) of source and target domains. Although in this work, we'll be considering the computer vision application and the image classification task, we aim to develop a generic framework, which can be adapted to other applications and tasks. Background:
 In this section, we will briefly introduce the terminologies and concepts that are part of the proposed methodology. Domain Generalization:
 Generalization in machine learning refers to the models ability to perform well or generalize to the previously unseen, new data samples. While in typical setting of machine learning models, no special assumption is made about the data samples on which generalization ability of the model is tested. Sometimes, it's ensured that data distribution of the data samples on which generalization power is being measured is represented sufficiently in the seen or the training samples. Domain Generalization:
 The goal of the domain generalization methods is to perform well across the data domains and evaluated by the performance on the data samples from an unseen domain(s). The 'domain' refers to the particular setting in which images or data samples are recorded, and domain assumed to have significant effect on the characteristics of the input. Data within a domain assumed to reflect commonalities belonging to that domain while data samples from different domains differ significantly for the aspects influenced by the domain. A simple example of such domain can be images of cats taken in an common indoor setting vs images taken in the forest. Domain Adaptation:
 Domain adaptation(DA) approaches consider a scenario where models can learn from or adapt to the target domain data, but without the ground truth labels. Domain adaptation is considered as a sub-category of more popular transfer learning. Domain adaptation assumes that the source and the target domains share a same or similar feature space but they differ in the data distribution. Transfer learning includes all scenarios where the target dataset can have significantly different feature space or even task description. The shift in source and target feature distributions, mentioned above, is popularly termed as 'domain shift' in the DA setting. One of the essential desired characteristic of the domain adaptation methods is the capability to update the learned distribution to accommodate and perform well on this new distribution. Domain Adaptation:
 From learning methodology perspective, domain adaptation methods can be broadly classified as unsupervised, semi-supervised and weakly-supervised methods, while unsupervised setting being the most common setting studied. Representation learning:
 Representation learning refers to the task of learning representations of the data that makes it easier to extract useful information about the relationships between categories, and which in turn can make the easier to analyze and improve downstream tasks like classification . Our proposed approach is centered around the representation learning and disentangled representation learning."
"BayeSeg: Bayesian Modeling for Medical Image Segmentation with Interpretable Generalizability","https://scispace.com/paper/bayeseg-bayesian-modeling-for-medical-image-segmentation-b8ipt3ca","2023","Journal Article","Medical Image Analysis","Shangqi Gao
Hang Zhou
Yibo Gao
Xiahai Zhuang","10.48550/arXiv.2303.01710","https://scispace.compdf/bayeseg-bayesian-modeling-for-medical-image-segmentation-b8ipt3ca.pdf","","segmentation: The aim of domain generalization (DG) is to make a model trained on one or several source domains generalize well on unseen target domains. Different from domain adaptation (DA), DG has no access to target domain data during the training process. Domain generalization for medical image segmentation:
 This makes DG more challenging, but closer to real-world situations like clinical applications. In general, from the perspective of techniques, DG methods can be roughly categorized into three groups, i.e., data-based approaches, learning-based approaches and representation-based approaches . Domain generalization for medical image segmentation:
 enrich the diversity of data distribution in training by data augmentation or data generation to enhance model generalization ability. For medical image segmentation,  applied a series of stacked transformations to simulate domain shift for a specific medical imaging modality. Domain generalization for medical image segmentation:
 learned the bias-field and deformation field to generate plausible and realistic signal corruptions through adversarial learning, and  adapted adversarial data augmentation, and proposed a mutual information regularizer to promote the cross-domain semantic consistency. proposed a causalty-inspired data augmentation method to simulate different possible MRI imaging processes for domain-invariant segmentation networks. Domain generalization for medical image segmentation:
 Learning-based approaches focus on improving the learning strategy. adapted meta-learning for generalization, and introduced two complementary losses to encourage shape compactness and shape smoothness. further considered the boundary of prediction masks, proposing a shapeaware meta-learning scheme SAML for prostate MRI segmentation. Domain generalization for medical image segmentation:
 explicitly modeled and disentangled the representations to better approximate the domain shifts for meta-learning. Besides,  proposed an episodic learning strategy in continuous frequency space, which balances and fuses the information from multi-source domains to build a general model. Domain generalization for medical image segmentation:
 Representation-based approaches are devoted to extracting domain-invariant or domain-irrelevant features for the model to make decisions. Specifically, feature alignment methods aim to narrow the cross-domain feature distribution gap to make features domain-invariant. ;  adapted adversarial learning to align the distributions among different domains. To explicitly minimizing the distribution distance. Domain generalization for medical image segmentation:
 also imposed the Maximum Mean Discrepancy (MMD) measure, and  proposed an entropy regularization term for conditional distributions. Feature disentanglement methods aim to decompose a feature representation into domain-specific parts and domain-shared/irrelevant parts. Domain generalization for medical image segmentation:
 For instance,  disentangled the image features into domain-related, class-related, and residual-related variables for classification, and learned those independent latent subspaces through a domain-invariant variational auto-encoder (DIVA). Recently, causality-inspired models  focus on the causal relationship between latent features and outputs to find the most important features that cause the results. Domain generalization for medical image segmentation:
 Although these representation-based methods have achieved remarkable progress in many computer vision tasks, there are relatively few of them targeting medical image segmentation . Moreover, the interpretability of the domaininvariant features themselves remains a great challenge to promote. Domain generalization for medical image segmentation:
 To further enhance the interpretability of features, we combine statistical modeling with image decomposition and achieve generalizable segmentation through a Bayesian framework. Unlike DSU  that models domain shifts with the uncertain feature statistics for data augmentation, we aim to extract the shape information that represents the domain-invariant organ structures."
