"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A multimodal neural network that distinguishes between type 1 and type 2 diabetes in young persons using MRI and clinical data","https://scispace.com/paper/a-multimodal-neural-network-that-distinguishes-between-type-3fz5gub7","2023","Journal Article","Physiology","Mehrshad Sadria
Petter Bjornstad
P. Pottumarthi
Laura Pyle
Tim Vigers
Anita T. Layton","10.1152/physiol.2023.38.s1.5695980","","Early diabetic kidney disease (DKD) is common in young persons with type 1 (T1D) and type 2 diabetes (T2D) and accentuates their lifetime risk of kidney failure, requiring dialysis or a kidney transplant. Although clinical manifestations of DKD are similar in T1D and T2D, the structural lesions may differ, and it remains unclear whether DKD in T1D and T2D represent distinct diseases. Accordingly, the objective of this study is to build machine learning (ML) models using clinical and kidney MRI data to classify diabetes status, as well as structural and functional kidney differences of individuals with T1D versus T2D. We hypothesize that a highly accurate multimodal neural network can be constructed that integrates clinical and functional kidney MRI images.Data were obtained from several studies at University of Colorado in youth with T1D (n=102), T2D (n=91) as well as non-diabetic controls (n=60). A total of 253 participants were included in the analyses. First, we applied to clinical data (CASPER, IMPROVE-T2D, CROCODILE, and RENAL-HEIR trials) logistic regression and 7 ML models: extreme gradient boosting machine (XGBoost), XGBoost with grid search, k-nearest neighbors (KNN), support vector machine (SVM), decision tree, random forest, and a 3-layer neural network (NN-EHR). When a small subset of the clinical data was used as features, the NN-EHR yielded the highest accuracy of 84%. Next, we considered the MRI images (27,000 images from the 253 individuals). We applied three convoluted NN to perform the classification: AlexNet, VGG16, and a 4-layer Neural Network for Diabetes Detection (NN4DD). Considering the images alone, VGG16 and NN4DD both achieved an accuracy of > 80%. Additionally, by integrating the clinical data and the MRI images, the fusion neural network achieved an accuracy of almost 100%. Finally, an interpretability analysis of NN4DD indicated notable differences in kidney structure and function among the three groups.Although the cost of MRI is prohibitive and thus impractical for diabetes diagnosis, these results provide a proof-of-concept that fused neural networks that integrate multimodal data can be a valuable diagnostic tool, and provide structural and functional insight on kidney differences between T1D and T2D. This research is sponsored in part by the Natural Sciences and Engineering Council (Canada) and the National Institutes of Health (USA). This is the full abstract presented at the American Physiology Summit 2023 meeting and is only available in HTML format. There are no additional versions or additional content available for this abstract. Physiology was not involved in the peer review process.","In this paper , a multimodal neural network was constructed that integrates clinical and functional kidney MRI images to detect early diabetic kidney disease (DKDKA) in young persons with Type 1 (T1D) and Type 2 diabetes (T2D)."
"Wavelet Based Machine Learning Approaches Towards Precision Medicine in Diabetes Mellitus","https://scispace.com/paper/wavelet-based-machine-learning-approaches-towards-precision-1u4z3twz","2022","Journal Article","The FASEB Journal","","10.1096/fasebj.2022.36.s1.r6003","","It is estimated that 422 million people around the world have diabetes mellitus (DM)-a devastating, complex, and highly heterogeneous disease-requesting better interventions based on disease subtyping. In this research, we utilize the discrete wavelet transform (DWT) to decompose and denoise DM data. Using DWT, we enhance heart rate variability (HRV) based DM diagnosis, data visualization of the disparities in Human Microbiome Project (HMP) data (gut bacteria, metabolomics, proteomics, RNA sequencing, targeted proteomics, and transcriptomics data) using demographic features, and insulin resistance prediction. We also attempt to forecast continuous glucose monitoring (CGM) ahead by 90 minutes because CGM is unable to provide real-time blood glucose measurements. We achieve 91.9% diagnosis accuracy for Type 1 DM using Random Forest on data transformed with DWT, holding the potential for usage in clinics. In addition, our DWT-based t-SNE and UMAP explorative analysis of HMP data support subtypes of prediabetic patients stratified by sex, race, and age. Moreover, DWT-based transformations provide multi-view clustering that any other methods would not provide on metabolomics, proteomics, RNA sequencing, targeted proteomics, and transcriptomics data and outperform those without DWT. Taken together, DWT-based machine learning approaches enable a fine resolution of subtyping DM towards precision medicine. ","In this paper , the discrete wavelet transform (DWT) is used to decompose and denoise DM data. And DWT-based transformations provide multi-view clustering that any other methods would not provide on metabolomics, proteomics, RNA sequencing, targeted proteomics and transcriptomics data and outperform those without DWT."
"Intelligent medical diagnosis and treatment for diabetes with deep convolutional fuzzy neural networks","https://scispace.com/paper/intelligent-medical-diagnosis-and-treatment-for-diabetes-1a3i3i5qld","2024","Journal Article","Information Sciences","Wenhui Zhou
Xiaomin Liu
Hongtao Bai
Lina He","10.1016/j.ins.2024.120802","","The advent of smart healthcare has significantly heightened the importance of computer technologies in supporting medical diagnosis and treatment. Nevertheless, the challenges of mining latent knowledge within diagnostic data and explaining results to healthcare professionals have limited the application of many algorithms in clinical practice. To address these issues, our study introduces an Interpretable Predictor with Deep Convolutional Fuzzy Neural Network (IP-DCFNN). The proposed model is capable of assessing disease risk based on individual data and providing interpretable justifications to aid in medical diagnosis and treatment decisions. By deconstructing the fuzzy inference process and incorporating convolutional neural network, our approach enhances the ability to discover underlying information while maintaining transparency and interpretability. Furthermore, we introduce a grid partition-based method for initializing the antecedent parameters and a hybrid approach that combines gradient descent with least squares estimation for training. Compared with Adaptive Neuro-Fuzzy Inference System (ANFIS) and Deep Neural Networks (DNN) Our model has an average improvement of 7.4% on prediction accuracy. More importantly, it can extract interpretable insights from membership functions, rule bases, and fuzzy contributions, offering valuable knowledge for medical research on type 2 diabetes, supporting intelligent diagnostic processes and providing personalized healthcare recommendations. The model can also be applied on the diagnosis and treatment of various other diseases. ","An interpretable deep convolutional fuzzy neural network model for diabetes diagnosis and treatment, improving accuracy and providing insights into disease mechanisms."
"MFISN: Modality Fuzzy Information Separation Network for Disease Classification","https://scispace.com/paper/mfisn-modality-fuzzy-information-separation-network-for-13jonu9w3y","","Journal Article","IEEE Transactions on Fuzzy Systems","Fengtao Nan
Bin Pu
Jiayi Pan
Yingchun Fan
Jiewen Yang
Xingbo Dong
Zhaozhao Xu
Shuihua Wang","10.1109/tfuzz.2024.3371678","","Most of the previous machine learning-based models for multimodal medical diagnosis, primarily designed for unimodal images, usually do not fully leverage the potential of multimodal medical images, leading to limited classification accuracy. These conventional methods typically focus only on the intermodality common information, neglecting the intramodality specific information and assuming that the common information is more effective in disease diagnosis. Moreover, they do not adequately address the impact of fuzzy information between different medical imaging modalities on diagnostic results. To this end, we propose a modality fuzzy information separation network for disease classification, which extracts both common and specific information from fuzzy information to construct a comprehensive representation of multimodal medical images. Specifically, we extract modality invariant features as common information by explicitly modeling and maximizing loss constraints on mutual information. For specific information extraction, a constraint on feature space independence between specific and common information is imposed on each modality. Above-mentioned two steps, we concatenate common information and specific information to construct a comprehensive multimodal representation for separating fuzzy information. Finally, we purposely design a decoder network to reconstruct medical images from unimodal specific information and common information to demonstrate the effectiveness of the modality fuzzy information separation network. We conducted a validation of the proposed method's performance in classifying cardiomegaly, pneumothorax, edema, and skin disease. The experimental results substantiate the effectiveness of our proposed approach.","This study proposes MFISN, a modality fuzzy information separation network for disease classification, which extracts common and specific information from multimodal medical images to improve classification accuracy and address fuzzy information between imaging modalities."
"Multimodal Machine Learning in Image-Based and Clinical Biomedicine: Survey and Prospects","https://scispace.com/paper/multimodal-machine-learning-in-image-based-and-clinical-dij7ctr98y","2024","Journal Article","International Journal of Computer Vision","Elisa Warner
Joon Sang Lee
William Hsu
Tanveer Syeda-Mahmood
Charles Η. Kahn
Olivier Gevaert
Arvind Rao","10.1007/s11263-024-02032-8","https://scispace.compdf/multimodal-machine-learning-in-image-based-and-clinical-dij7ctr98y.pdf","Abstract Machine learning (ML) applications in medical artificial intelligence (AI) systems have shifted from traditional and statistical methods to increasing application of deep learning models. This survey navigates the current landscape of multimodal ML, focusing on its profound impact on medical image analysis and clinical decision support systems. Emphasizing challenges and innovations in addressing multimodal representation, fusion, translation, alignment, and co-learning, the paper explores the transformative potential of multimodal models for clinical predictions. It also highlights the need for principled assessments and practical implementation of such models, bringing attention to the dynamics between decision support systems and healthcare providers and personnel. Despite advancements, challenges such as data biases and the scarcity of “big data” in many biomedical domains persist. We conclude with a discussion on principled innovation and collaborative efforts to further the mission of seamless integration of multimodal ML models into biomedical practice. ","Multimodal ML revolutionizes image-based and clinical biomedicine by integrating various modalities of data. It enhances medical image analysis and clinical decision support systems. Challenges include data biases and scarcity of ""big data."" Despite advancements, there is a need for principled assessments and practical implementation. Collaborative efforts are essential for seamless integration into biomedical practice."
"Novel Detection and Progression Markers for Diabetes Based on Continuous Glucose Monitoring Data Dynamics","https://scispace.com/paper/novel-detection-and-progression-markers-for-diabetes-based-3ktyawar77","2024","Journal Article","The Journal of Clinical Endocrinology and Metabolism","Eslam Montaser
Leon S. Farhy
Boris Kovatchev","10.1210/clinem/dgae379","","Develop a diabetes diagnostic tool based on two markers of continuous glucose monitoring (CGM) dynamics: CGM entropy rate (ER) and Poincaré plot (PP) ellipse area (S). ","Novel diabetes detection and progression markers based on CGM data dynamics. Develop a diagnostic tool using CGM entropy rate and Poincaré plot ellipse area for diabetes diagnosis and progression prediction."
"Hypoglycaemia Prediction Models With Auto Explanation","https://scispace.com/paper/hypoglycaemia-prediction-models-with-auto-explanation-1r8djquy","2022","Journal Article","IEEE Access","","10.1109/access.2021.3117340","","World-wide statistics show a considerable growth of the occurrence of different types of Diabetes Mellitus, posing diverse challenges at many levels for public health policies. Some of these challenges may be addressed by means of computerised systems which may pave the way to provide practitioners with insight on their patient’s conditions anywhere and at anytime, but also to empower Diabetes patients as managers of their health. These systems for disease management come in many shapes and sizes, being the most promising trends the ones that involve expert systems that comprise specialised knowledge, use predictive models, feature engineering and reasoning. This study presents the state-of-the-art on reasoning and prediction models related with either blood glucose level or hypoglycaemia events. The main findings revealed are that there is room for improvement on predictive models, namely to enhance its accuracy and ability to forecast future events into a wider time frame. On the other hand, reasoning models are understudied and its usage in Diabetes management is reduced. We discuss an architecture that combines a predictive model and a reasoning system, with the objective of alerting of impending occurrences and interpret the current situation to accurately advise the diabetic user. ","In this article , the authors present the state-of-the-art on reasoning and prediction models related with either blood glucose level or hypoglycaemia events, and discuss an architecture that combines a predictive model and a reasoning system, with the objective of alerting of impending occurrences and interpret the current situation to accurately advise the diabetic user."
"A hybrid Transformer-LSTM model apply to glucose prediction","https://scispace.com/paper/a-hybrid-transformer-lstm-model-apply-to-glucose-prediction-7in214xar2sp","2024","Journal Article","PLOS ONE","QingXiang Bian
Azizan As’arry
Xiangguo Cong
Khairil Anas bin Md Rezali
Raja Mohd Kamil Raja Ahmad","10.1371/journal.pone.0310084","","The global prevalence of diabetes is escalating, with estimates indicating that over 536.6 million individuals were afflicted by 2021, accounting for approximately 10.5% of the world’s population. Effective management of diabetes, particularly monitoring and prediction of blood glucose levels, remains a significant challenge due to the severe health risks associated with inaccuracies, such as hypoglycemia and hyperglycemia. This study addresses this critical issue by employing a hybrid Transformer-LSTM (Long Short-Term Memory) model designed to enhance the accuracy of future glucose level predictions based on data from Continuous Glucose Monitoring (CGM) systems. This innovative approach aims to reduce the risk of diabetic complications and improve patient outcomes. We utilized a dataset which contain more than 32000 data points comprising CGM data from eight patients collected by Suzhou Municipal Hospital in Jiangsu Province, China. This dataset includes historical glucose readings and equipment calibration values, making it highly suitable for developing predictive models due to its richness and real-time applicability. Our findings demonstrate that the hybrid Transformer-LSTM model significantly outperforms the standard LSTM model, achieving Mean Square Error (MSE) values of 1.18, 1.70, and 2.00 at forecasting intervals of 15, 30, and 45 minutes, respectively. This research underscores the potential of advanced machine learning techniques in the proactive management of diabetes, a critical step toward mitigating its impact. ","This study develops a hybrid Transformer-LSTM model for glucose prediction using CGM data from 8 patients, achieving improved accuracy (MSE: 1.18-2.00) over standard LSTM models, with potential to enhance diabetes management and mitigate its impact."
"Multi-View Cross-Fusion Transformer Based on Kinetic Features for Non-Invasive Blood Glucose Measurement Using PPG Signal.","https://scispace.com/paper/multi-view-cross-fusion-transformer-based-on-kinetic-4mj6k8n0p3","2024","Journal Article","IEEE Journal of Biomedical and Health Informatics","Shisen Chen
Fen Qin
Xuesheng Ma
Jie Wei
Yuan-Ting Zhang
Yuan-Ting Zhang
Emil Jovanov","10.1109/jbhi.2024.3351867","","Noninvasive blood glucose (BG) measurement could significantly improve the prevention and management of diabetes. In this paper, we present a robust novel paradigm based on analyzing photoplethysmogram (PPG) signals. The method includes signal pre-processing optimization and a multi-view cross-fusion transformer (MvCFT) network for non-invasive BG assessment. Specifically, a multi-size weighted fitting (MSWF) time-domain filtering algorithm is proposed to optimally preserve the most authentic morphological features of the original signals. Meanwhile, the spatial position encoding-based kinetics features are reconstructed and embedded as prior knowledge to discern the implicit physiological patterns. In addition, a cross-view feature fusion (CVFF) module is designed to incorporate pairwise mutual information among different views to adequately capture the potential complementary features in physiological sequences. Finally, the subject- wise 5- fold cross-validation is performed on a clinical dataset of 260 subjects. The root mean square error (RMSE) and mean absolute error (MAE) of BG measurements are 1.129 mmol/L and 0.659 mmol/L, respectively, and the optimal Zone A in the Clark error grid, representing none clinical risk, is 87.89%. The results indicate that the proposed method has great potential for homecare applications.","A robust novel paradigm based on analyzing photoplethysmogram signals is presented, which includes a multi-size weighted fitting time-domain filtering algorithm and a multi-view cross-fusion transformer network for non-invasive BG assessment."
"AI-based diabetes care: risk prediction models and implementation concerns","https://scispace.com/paper/ai-based-diabetes-care-risk-prediction-models-and-53lx211ct4","2024","","npj digital medicine","Serena C Y Wang
Grace Nickel
Kaushik P. Venkatesh
Marium M. Raza
Joseph C. Kvedar","10.1038/s41746-024-01034-7","","The utilization of artificial intelligence (AI) in diabetes care has focused on early intervention and treatment management. Notably, usage has expanded to predict an individual’s risk for developing type 2 diabetes. A scoping review of 40 studies by Mohsen et al. shows that while most studies used unimodal AI models, multimodal approaches were superior because they integrate multiple types of data. However, creating multimodal models and determining model performance are challenging tasks given the multi-factored nature of diabetes. For both unimodal and multimodal models, there are also concerns of bias with the lack of external validations and representation of race, age, and gender in training data. The barriers in data quality and evaluation standardization are ripe areas for developing new technologies, especially for entrepreneurs and innovators. Collaboration amongst providers, entrepreneurs, and researchers must be prioritized to ensure that AI in diabetes care is providing quality and equitable patient care. ","Collaboration amongst providers, entrepreneurs, and researchers must be prioritized to ensure that AI in diabetes care is providing quality and equitable patient care, especially for entrepreneurs and innovators."
