"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Toward a responsible future: recommendations for AI-enabled clinical decision support","https://scispace.com/paper/toward-a-responsible-future-recommendations-for-ai-enabled-4zsaqj5z6gd5","2024","Journal Article","Journal of the American Medical Informatics Association","Steven E. Labkoff
Bilikis J. Oladimeji
Joseph Kannry
Anthony Solomonides
Russell Leftwich
Eileen Koski
Amanda L. Joseph
Mónica López-González
Lee A. Fleisher
Kimberly Nolen
Sayon Dutta
Deborah R Levy
Amy Price
Paul Barr
Jonathan D. Hron
Baihan Lin
Gyana Srivastava
Núria Pastor
Unai Sanchez Luque
Tien Thi Thuy Bui
Reva Singh
T. A. Williams
Mark G. Weiner
Tristan Naumann
Dean F. Sittig
Gretchen Purcell Jackson
Yuri Quintana","10.1093/jamia/ocae209","","Abstract Background Integrating artificial intelligence (AI) in healthcare settings has the potential to benefit clinical decision-making. Addressing challenges such as ensuring trustworthiness, mitigating bias, and maintaining safety is paramount. The lack of established methodologies for pre- and post-deployment evaluation of AI tools regarding crucial attributes such as transparency, performance monitoring, and adverse event reporting makes this situation challenging. Objectives This paper aims to make practical suggestions for creating methods, rules, and guidelines to ensure that the development, testing, supervision, and use of AI in clinical decision support (CDS) systems are done well and safely for patients. Materials and Methods In May 2023, the Division of Clinical Informatics at Beth Israel Deaconess Medical Center and the American Medical Informatics Association co-sponsored a working group on AI in healthcare. In August 2023, there were 4 webinars on AI topics and a 2-day workshop in September 2023 for consensus-building. The event included over 200 industry stakeholders, including clinicians, software developers, academics, ethicists, attorneys, government policy experts, scientists, and patients. The goal was to identify challenges associated with the trusted use of AI-enabled CDS in medical practice. Key issues were identified, and solutions were proposed through qualitative analysis and a 4-month iterative consensus process. Results Our work culminated in several key recommendations: (1) building safe and trustworthy systems; (2) developing validation, verification, and certification processes for AI-CDS systems; (3) providing a means of safety monitoring and reporting at the national level; and (4) ensuring that appropriate documentation and end-user training are provided. Discussion AI-enabled Clinical Decision Support (AI-CDS) systems promise to revolutionize healthcare decision-making, necessitating a comprehensive framework for their development, implementation, and regulation that emphasizes trustworthiness, transparency, and safety. This framework encompasses various aspects including model training, explainability, validation, certification, monitoring, and continuous evaluation, while also addressing challenges such as data privacy, fairness, and the need for regulatory oversight to ensure responsible integration of AI into clinical workflow. Conclusions Achieving responsible AI-CDS systems requires a collective effort from many healthcare stakeholders. This involves implementing robust safety, monitoring, and transparency measures while fostering innovation. Future steps include testing and piloting proposed trust mechanisms, such as safety reporting protocols, and establishing best practice guidelines. ","This paper proposes a framework for responsible AI-enabled clinical decision support, emphasizing trustworthiness, transparency, and safety through validation, verification, certification, and monitoring processes, to ensure safe and effective integration into healthcare workflow."
"Prediction and explainability in AI: Striking a new balance?","https://scispace.com/paper/prediction-and-explainability-in-ai-striking-a-new-balance-453sgp1lkz","2024","Journal Article","Big Data & Society","Aviad E. Raz
Bert Heinrichs
Netta Avnoon
Gil Eyal
Yael Inbar","10.1177/20539517241235871","","The debate regarding prediction and explainability in artificial intelligence (AI) centers around the trade-off between achieving high-performance accurate models and the ability to understand and interpret the decisionmaking process of those models. In recent years, this debate has gained significant attention due to the increasing adoption of AI systems in various domains, including healthcare, finance, and criminal justice. While prediction and explainability are desirable goals in principle, the recent spread of high accuracy yet opaque machine learning (ML) algorithms has highlighted the trade-off between the two, marking this debate as an inter-disciplinary, inter-professional arena for negotiating expertise. There is no longer an agreement about what should be the “default” balance of prediction and explainability, with various positions reflecting claims for professional jurisdiction. Overall, there appears to be a growing schism between the regulatory and ethics-based call for explainability as a condition for trustworthy AI, and how it is being designed, assimilated, and negotiated. The impetus for writing this commentary comes from recent suggestions that explainability is overrated, including the argument that explainability is not guaranteed in human healthcare experts either. To shed light on this debate, its premises, and its recent twists, we provide an overview of key arguments representing different frames, focusing on AI in healthcare. ","The AI prediction-explainability trade-off is a debated topic, with varying opinions on the balance between accuracy and interpretability, particularly in high-stakes domains like healthcare, finance, and criminal justice, where trustworthiness is paramount."
"Enhancing medical decision-making with ChatGPT and explainable AI.","https://scispace.com/paper/enhancing-medical-decision-making-with-chatgpt-and-5vmbbnk63n","2024","Journal Article","International Journal of Surgery","Aryan Chopra
Dharmendra Singh Rajput
Harshita Patel","10.1097/js9.0000000000001464","","In light of the accelerating advancements in generative arti ﬁ cial intelligence (AI) and its applications in healthcare","This study explores the integration of ChatGPT and explainable AI to enhance medical decision-making, leveraging generative AI's advancements in healthcare to improve diagnosis, treatment, and patient outcomes through transparent and interpretable AI-driven insights."
"1036-P: Developing an Explainable AI Model to Identify Members with Diabetes at High Risk for Worsening Glycemic Control in a Large Accountable Care Network (ACN)","https://scispace.com/paper/1036-p-developing-an-explainable-ai-model-to-identify-3goayr2w","2023","Journal Article","Diabetes","Asra Kermani
Usha K. Kollipara
Michael E. Bowen
Jaime P. Almandoz
Carol J McCall
David DeCaprio
Jacqueline Mutz","10.2337/db23-1036-p","","People with diabetes and poor glycemic control (HbA1c ≥9%) have a greater likelihood of diabetes complications, increased healthcare utilization, and higher total cost of care (TCOC). Novel approaches to identify patients at high risk for worsening glycemic control can improve outcomes and contain costs within ACNs. We used XGBoost Decision Trees to build and validate a model predicting worsening glycemic control (HbA1c increase ≥1.5% over 12 months) using Medicare ACN administrative claims and electronic health record data. Eligible members had ≥18 mos. continuous enrollment, were age ≥18 years with Type 1 or 2 diabetes, had ≥2 HbA1c values between 6.5 and 14%, and no disability. Members were split into HbA1c outcome stratified training (80%) and validation (20%) datasets for 10-fold cross-validation. The model utilized 1,490 features including medical history, labs, demographics, SDOH, utilization, and quality of care. Of the 44,007 unique members (mean age 72 years, 51% Female, 61% Non-Hispanic White, mean HbA1c 7.2%, 9% on insulin, HTN 92%, Obesity 71%, CKD 33%, CAD 32%, Heart Failure 15% and COPD 13%), 5.23% had an HbA1c increase ≥1.5% over 12 months. Key features in the final model included duration of diabetes, last HbA1c value, treatment intensification, prescribed insulin or sulfonylureas, weight change, depression, acute renal failure, area deprivation index, and no car access. Model AUC was 0.672 (95% CI ±0.005) in the validation sample. The model was able to identify 23.5% of members with worsening glycemic control in the highest predicted decile of HbA1c progression (sensitivity 23.5% at 10% alert rate). Mean TCOC at 10% alert rate was $43,850 PMPY which was substantially higher than training population at $18,208 PMPY. Our model can identify ACN members with diabetes at high risk for worsening glycemic control that may benefit from education, medication adherence, food insecurity and transportation interventions.
 
 
 A.Kermani: None. C.J.Mccall: None. J.A.Gartner: None. D.Decaprio: Employee; ClosedLoop.ai. J.M.Mutz: None. J.S.Fish: None. U.Kollipara: None. J.Acosta: None. M.E.Bowen: Research Support; Boehringer-Ingelheim. J.P.Almandoz: Advisory Panel; Eli Lilly and Company, Novo Nordisk. B.Goldberg: None. A.Rozich: None. M.He: None. S.V.J.Acosta: None.
","In this article , the authors used XGBoost Decision Trees to build and validate a model predicting worsening glycemic control (HbA1c increase ≥ 1.5% over 12 months) using Medicare ACN administrative claims and electronic health record data."
"1055-P: Clinical Decision Support Systems (CDSSs) in Diabetes Management—A Scoping Review","https://scispace.com/paper/1055-p-clinical-decision-support-systems-cdsss-in-diabetes-1kqrajea","2023","Journal Article","Diabetes","Yu Liang","10.2337/db23-1055-p","","This scoping review aimed to summarize the application scenarios, effectiveness and safety of CDSS in diabetes management. PubMed, Embase, Cochrane Library, Web of Science, CNKI, Wanfang, VIP, and conference databases were searched from 1985 to 2022. There were 11,145 studies identified, and 72 articles and 8 abstracts were included, involving 137,710 subjects. Most CDSSs (77%) were knowledge-based, while the non-knowledge-based systems have been increasing in recent years. CDSS was mainly utilized in treatment recommendations (Table 1). Most CDSSs significantly improved outcomes (Table 2) without increase of hypoglycemia risk. The results demonstrated the value of CDSS as a reliable assistant in diabetes management especially in primary care with limited resources, and advanced software is needed to improve CDSS functionalities.
 
 
 
 
 S.Huang: None. Y.Liang: None. J.Li: None. X.Li: None.
 
 
 
 Beijing Medical Award Foundation (2019-1585)
","Wang et al. as discussed by the authors summarized the application scenarios, effectiveness and safety of CDSS in diabetes management, and demonstrated the value of a reliable assistant in diabetic management especially in primary care with limited resources."
"The importance of ensuring artificial intelligence and machine learning can be understood at the human level","https://scispace.com/paper/the-importance-of-ensuring-artificial-intelligence-and-r0zqica92l","2019","Journal Article","European Journal of Public Health","Sudha Ram","10.1093/EURPUB/CKZ185.259","http://academic.oup.com/eurpub/article-pdf/29/Supplement_4/ckz185.259/32631620/ckz185.259.pdf","\n With rapid developments in big data technology and the prevalence of large-scale datasets from diverse sources, the healthcare predictive analytics (HPA) field is witnessing a dramatic surge in interest. In healthcare, it is not only important to provide accurate predictions, but also critical to provide reliable explanations to the underlying black-box models making the predictions. Such explanations can play a crucial role in not only supporting clinical decision-making but also facilitating user engagement and patient safety. If users and decision makers do not have faith in the HPA model, it is highly likely that they will reject its use. Furthermore, it is extremely risky to blindly accept and apply the results derived from black-box models, which might lead to undesirable consequences or life-threatening outcomes in domains with high stakes such as healthcare. As machine learning and artificial intelligence systems are becoming more capable and ubiquitous, explainable artificial intelligence and machine learning interpretability are garnering significant attention among practitioners and researchers. The introduction of policies such as the General Data Protection Regulation (GDPR), has amplified the need for ensuring human interpretability of prediction models. In this talk I will discuss methods and applications for developing local as well as global explanations from machine learning and the value they can provide for healthcare prediction.","Methods and applications for developing local as well as global explanations from machine learning and the value they can provide for healthcare prediction are discussed."
"An innovative artificial intelligence-based method to compress complex models into explainable, model-agnostic and reduced decision support systems with application to healthcare (NEAR)","https://scispace.com/paper/an-innovative-artificial-intelligence-based-method-to-1fy43x4brl","2024","Journal Article","Artificial Intelligence in Medicine","Karim Kassem
M. Sperti
Andrea Cavallo
Andrea Mario Vergani
Davide Fassino
Monica Moz
Alessandro Liscio
Riccardo Banali
Michael Dahlweid
Luciano Benetti
F. Bruno
Guglielmo Gallone
Ovidio De Filippo
Mario Iannaccone
Fabrizio d’Ascenzo
G. D. De Ferrari
Umberto Morbiducci
E. Della Valle
Marco Agostino Deriu","10.1016/j.artmed.2024.102841","","In everyday clinical practice, medical decision is currently based on clinical guidelines which are often static and rigid, and do not account for population variability, while individualized, patient-oriented decision and/or treatment are the paradigm change necessary to enter into the era of precision medicine. Most of the limitations of a guideline-based system could be overcome through the adoption of Clinical Decision Support Systems (CDSSs) based on Artificial Intelligence (AI) algorithms. However, the black-box nature of AI algorithms has hampered a large adoption of AI-based CDSSs in clinical practice. In this study, an innovative AI-based method to compress AI-based prediction models into explainable, model-agnostic, and reduced decision support systems (NEAR) with application to healthcare is presented and validated. NEAR is based on the Shapley Additive Explanations framework and can be applied to complex input models to obtain the contributions of each input feature to the output. Technically, the simplified NEAR models approximate contributions from input features using a custom library and merge them to determine the final output. Finally, NEAR estimates the confidence error associated with the single input feature contributing to the final score, making the result more interpretable. Here, NEAR is evaluated on a clinical real-world use case, the mortality prediction in patients who experienced Acute Coronary Syndrome (ACS), applying three different Machine Learning/Deep Learning models as implementation examples. NEAR, when applied to the ACS use case, exhibits performances like the ones of the AI-based model from which it is derived, as in the case of the Adaptive Boosting classifier, whose Area Under the Curve is not statistically different from the NEAR one, even the model's simplification. Moreover, NEAR comes with intrinsic explainability and modularity, as it can be tested on the developed web application platform (https://neardashboard.pythonanywhere.com/). An explainable and reliable CDSS tailored to single-patient analysis has been developed. The proposed AI-based system has the potential to be used alongside the clinical guidelines currently employed in the medical setting making them more personalized and dynamic and assisting doctors in taking their everyday clinical decisions. ","An explainable and reliable CDSS tailored to single-patient analysis has been developed and has the potential to be used alongside the clinical guidelines currently employed in the medical setting making them more personalized and dynamic and assisting doctors in taking their everyday clinical decisions."
"Unraveling the Black Box: A Review of Explainable Deep Learning Healthcare Techniques","https://scispace.com/paper/unraveling-the-black-box-a-review-of-explainable-deep-2sp1g9enne","","Journal Article","IEEE Access","Nafeesa Yousuf Murad
Muhammad Hamza Azam
Nadia Yousuf
Jameel Shehu Yalli","10.1109/access.2024.3398203","","The integration of deep learning in healthcare has propelled advancements in diagnostics and decision support. However, the inherent opacity of deep neural networks (DNNs) poses challenges to their acceptance and trust in clinical settings. This survey paper delves into the landscape of explainable deep learning techniques within the healthcare domain, offering a thorough examination of deep learning explainability techniques. Recognizing the pressing need for nuanced interpretability, we extend our focus to include the integration of fuzzy logic as a novel and vital category. The survey begins by categorizing and critically analyzing existing intrinsic, visualization, and distillation techniques, shedding light on their strengths and limitations in healthcare applications. Building upon this foundation, we introduce fuzzy logic as a distinct category, emphasizing its capacity to address uncertainties inherent in medical data, thus contributing to the interpretability of DNNs. Fuzzy logic, traditionally applied in decision-making contexts, offers a unique perspective on unraveling the black box of DNNs, providing a structured framework for capturing and explaining complex decision processes. Through a comprehensive exploration of techniques, we showcase the effectiveness of fuzzy logic as an additional layer of interpretability, complementing intrinsic, visualization, and distillation methods. Our survey contributes to a holistic understanding of explainable deep learning in healthcare, facilitating the seamless integration of DNNs into clinical workflows. By combining traditional methods with the novel inclusion of fuzzy logic, we aim to provide a nuanced and comprehensive view of interpretability techniques, advancing the transparency and trustworthiness of deep learning models in the healthcare landscape.","Unraveling the black box of deep learning healthcare techniques through explainable deep learning and fuzzy logic. The survey explores existing intrinsic, visualization, and distillation techniques, and introduces fuzzy logic as a novel category for addressing uncertainties in medical data."
"89-OR: Effective Real-World Usage of Artificial Intelligence–Based Decision Support System for Diabetes Management","https://scispace.com/paper/89-or-effective-real-world-usage-of-artificial-intelligence-c98ja1o6","2022","Journal Article","Diabetes","Revital Nimri
Amir Tirosh
Ido Muller
Yael Shtrit
Moshe Phillip","10.2337/db22-89-or","","Background: Artificial intelligence-based decision support system (AI-DSS) for frequent insulin dose adjustment was demonstrated to be effective in improving glycemic control in our previous clinical trials. We aimed to assess the effectiveness of AI-DSS in real world diabetes clinics.
 Methods: Data was collected and evaluated from routine AI-DSS usage for individuals with type 1 diabetes treated at 21 diabetes clinics (in the USA and 2 in Israel) . Two analyses were made: (1) Insulin dose recommendations were compared for rate of agreement/disagreement between those suggested by the AI-DSS and the approved recommendations by health care providers (HCP) . (2) Glycemic outcomes were compared between baseline and after 3 months of AI-DSS use. Included in this analysis were individuals who had mean baseline glucose level ≥ 182 mg/dL and at least one AI-DSS recommendation within the 3-months.
 Results: A total of 8 recommendations, provided to 370 individuals, were evaluated. Full agreement on the direction of insulin dose adjustments was observed in 87%, 87%, and 83% of the basal rate, carbs ratio (CR) , and correction factor (CF) pump settings parameters, respectively. Full disagreement on the direction of dose change was observed in only 0.9%, 0.5%, and 1.2% for the basal rate, CR and CF, respectively. Glycemic outcome analysis included 1 eligible individuals (mean of 1.6 recommendations within a 3-month interval) . Average sensor percentage of time in range [70-180 mg/dL] increased by 4% (p=0.003) : 43% increased time in range by more than 5% and 33% increased by 10% or more. Time in hyperglycemia [> 180 mg/dL] was reduced by 5% (p<0.01) while time in severe hypoglycemia [< 54 mg/dL] remained below 0.5%.
 Conclusion: A high rate of agreement with automated insulin adjustments was observed among HCPs at academic centers who used the AI-DSS in their workflow. Glycemic control was significantly improved for sub-optimally controlled individuals already after 3-months of follow up.
 
 
 R.Nimri: Employee; DreaMed Diabetes, Ltd., Research Support; Abbott Diabetes, Dexcom, Inc., Insulet Corporation, Medtronic, Speaker's Bureau; Eli Lilly and Company, Novo Nordisk, Stock/Shareholder; DreaMed Diabetes, Ltd. A.Tirosh: Advisory Panel; Abbott Diagnostics, AstraZeneca, Boehringer Ingelheim International GmbH, Merck & Co., Inc., Novo Nordisk, Sanofi, Consultant; Bayer AG, DreaMed Diabetes, Ltd., Research Support; Medtronic, Speaker's Bureau; Eli Lilly and Company. I.Muller: Board Member; DreaMed Diabetes, Ltd. Y.Shtrit: Employee; DreaMed Diabetes, Ltd. M.Phillip: Advisory Panel; Dompé, Insulet Corporation, Medtronic, Pfizer Inc., Board Member; DreaMed Diabetes, Ltd., Consultant; QuLab Medical Ltd., Other Relationship; Dexcom, Inc., Dompé, DreaMed Diabetes, Ltd., Eli Lilly and Company, Medtronic, NG Solutions Ltd, Novo Nordisk, OPKO, Pfizer Inc., Sanofi, Stock/Shareholder; DreaMed Diabetes, Ltd., NG Solutions Ltd.
","Glycemic control was significantly improved for sub-optimally controlled individuals already after 3-months of follow up and a high rate of agreement with automated insulin adjustments was observed among HCPs at academic centers who used the AI-DSS in their workflow."
"AI-based diabetes care: risk prediction models and implementation concerns","https://scispace.com/paper/ai-based-diabetes-care-risk-prediction-models-and-53lx211ct4","2024","","npj digital medicine","Serena C Y Wang
Grace Nickel
Kaushik P. Venkatesh
Marium M. Raza
Joseph C. Kvedar","10.1038/s41746-024-01034-7","","The utilization of artificial intelligence (AI) in diabetes care has focused on early intervention and treatment management. Notably, usage has expanded to predict an individual’s risk for developing type 2 diabetes. A scoping review of 40 studies by Mohsen et al. shows that while most studies used unimodal AI models, multimodal approaches were superior because they integrate multiple types of data. However, creating multimodal models and determining model performance are challenging tasks given the multi-factored nature of diabetes. For both unimodal and multimodal models, there are also concerns of bias with the lack of external validations and representation of race, age, and gender in training data. The barriers in data quality and evaluation standardization are ripe areas for developing new technologies, especially for entrepreneurs and innovators. Collaboration amongst providers, entrepreneurs, and researchers must be prioritized to ensure that AI in diabetes care is providing quality and equitable patient care. ","Collaboration amongst providers, entrepreneurs, and researchers must be prioritized to ensure that AI in diabetes care is providing quality and equitable patient care, especially for entrepreneurs and innovators."
